,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1997,44800000,27700000,17100000,0.3817,,,,,12400000,12400000,40100000,,,700000,6000000,0.1339,4700000,0.1049,600000,5300000,0.1183,300000,5000000,0.1116,0.78,0.78,6410256,6410256,2100000,,2100000,14800000,,300000,17200000,2900000,,,,,,300000,3200000,,20400000,900000,300000,,,8300000,9500000,800000,,,1300000,2100000,,,11600000,,,7800000,-3200000,4200000,8800000,20400000,,20400000,5000000,700000,100000,,-1900000,,,,,-300000,3600000,-2300000,,,,,-2300000,,400000,,-1600000,500000,-700000,,-700000,,1400000,1300000
1998,53000000,30700000,22300000,0.4208,,,,,12800000,12800000,43500000,,,900000,11600000,0.2189,9500000,0.1792,1200000,10700000,0.2019,4300000,6400000,0.1208,0.84,0.84,7570493,7619945,32000000,,32000000,16500000,,1100000,49600000,3500000,,,,,,200000,3700000,,53300000,2500000,,,,14200000,16700000,500000,,,1500000,2000000,,,18700000,,31000000,3600000,-3500000,3500000,34600000,53300000,,53300000,6400000,900000,-1100000,,7700000,,,,7700000,-200000,13700000,-1600000,,,,,-1600000,,29500000,,-11700000,100000,17900000,,17900000,,2100000,12100000
1999,74000000,40200000,33800000,0.4568,,,,,19500000,19500000,59700000,,,2100000,17300000,0.2338,14300000,0.1932,900000,15200000,0.2054,6200000,9000000,0.1216,1.07,1.05,8477204,8571042,20200000,8700000,28900000,26600000,,1900000,57400000,4100000,10600000,1300000,11900000,,,100000,16100000,,73500000,3600000,,,,15800000,19400000,500000,,,1300000,1800000,,,21200000,,40200000,12500000,-600000,200000,52300000,73500000,,73500000,9000000,2100000,-800000,,25200000,,,,32900000,-32400000,3100000,-10900000,,-8700000,,,-19600000,,4800000,,,-200000,4600000,,-11800000,20200000,32000000,-7800000
2000,82547000,44297000,38250000,0.4634,,,,,23979000,23979000,68276000,1542000,,2142000,17147000,0.2077,14271000,0.1729,734000,15005000,0.1818,6166000,8839000,0.1071,1.01,1.01,8727705,8774422,20300000,5800000,26100000,29500000,,1200000,56800000,5900000,14800000,1200000,16000000,,,1200000,23100000,,79900000,4000000,,,,10000000,14000000,100000,,,3400000,3500000,,,17500000,,45700000,21400000,-600000,,62300000,79800000,100000,79900000,8839000,2142000,722000,,5100000,,,,38000000,-13913000,2890000,-3444000,-4845000,,2926000,,-5363000,,35000,,,2716000,2751000,-149000,129000,20305000,20176000,-554000
2001,109804000,65590000,44214000,0.4027,,,,,31556000,31556000,97146000,1045000,,3371000,16658000,0.1517,12658000,0.1153,1045000,13703000,0.1248,5848000,7439000,0.0677,0.82,0.81,9107000,9218000,21900000,1700000,23600000,37300000,,2300000,63200000,7600000,17900000,1000000,18900000,3400000,,3800000,33700000,,96900000,6000000,,,1437000,14663000,22100000,600000,,,4200000,4800000,,,26900000,,46100000,28800000,-600000,,70000000,96900000,,96900000,7439000,3371000,-1129000,,4800000,,,,42800000,-8625000,5856000,-3648000,,,577000,,-3071000,,100000,,,-1243000,-1143000,-67000,1575000,21880000,20305000,2208000
2002,130690000,80659000,50031000,0.3828,,,,,36600000,36600000,117259000,337000,,2968000,17283000,0.1322,13431000,0.1028,884000,14315000,0.1095,5879000,8436000,0.0645,0.93,0.91,9047000,9283000,18846000,152000,18998000,41906000,,3902000,64806000,9397000,,26476000,26476000,,131000,8359000,44363000,,109169000,7894000,987000,,910000,17306000,27097000,413000,,,1605000,2018000,,,29115000,,45596000,37217000,-4455000,,78358000,107473000,1696000,109169000,8436000,2968000,-292000,,-1700000,,,,41100000,4007000,13419000,-3934000,-10517000,-319000,,,-14770000,,701000,-2336000,,-320000,-1955000,272000,-3034000,18846000,21880000,9485000
2003,163458000,100168000,63290000,0.3872,,,,,43055000,43055000,143223000,85000,,3761000,23927000,0.1464,20235000,0.1238,-69000,20166000,0.1234,8737000,11429000,0.0699,1.21,1.16,9438000,9843000,60500000,,60500000,49500000,,8700000,118700000,12700000,24800000,1200000,26000000,5200000,1200000,400000,45500000,,164200000,9600000,1038000,,5510000,23552000,39700000,1600000,,,4900000,6500000,,,46200000,,72800000,48600000,-3407000,38000,118031000,164231000,-31000,164200000,11429000,3761000,-2266000,,-3391000,,,,37709000,12855000,22388000,-6161000,,,,314000,-5847000,,26109000,-683000,,-600000,24826000,284000,41651000,60497000,18846000,16227000
2004,216735000,127716000,89019000,0.4107,,,,,57286000,57286000,185002000,904000,1751000,5125000,37167000,0.1715,31733000,0.1464,-1107000,30626000,0.1413,13947000,16344000,0.0754,1.63,1.55,10016000,10520000,65600000,2200000,67800000,75500000,,19500000,162800000,18500000,91500000,3000000,94500000,,900000,12100000,126000000,,288800000,11600000,1082000,,12389000,36429000,61500000,91200000,,,9100000,100300000,,,161800000,,61800000,65000000,205000,21000,127026000,288826000,-26000,288800000,16344000,5125000,1434000,,41291000,,,,79000000,-32350000,31844000,-8720000,-91880000,,2986000,,-97614000,,4980000,-19998000,,85708000,70690000,194000,5114000,65611000,60497000,23124000
2005,295474000,174724000,120750000,0.4087,,,,,76562000,76562000,251286000,2149000,3369000,8121000,54620000,0.1849,44188000,0.1495,-999000,43189000,0.1462,18530000,24600000,0.0833,2.34,2.13,10526000,11564000,115200000,,115200000,92800000,,19000000,227000000,25900000,115200000,7300000,122500000,,3000000,9100000,160500000,,387500000,13700000,972000,,13343000,50585000,78600000,90200000,,,14100000,104300000,,,182900000,,118800000,89600000,-3760000,-20000,204620000,387520000,-20000,387500000,24600000,8121000,3955000,,22300000,,,,101300000,-17058000,41918000,-13886000,-24322000,-1065000,3265000,,-36008000,,44410000,,,-720000,43690000,-8000,49592000,115203000,65611000,28032000
2006,349894000,221342000,128552000,0.3674,,,,,80601000,80601000,301943000,5089000,3424000,10275000,62326000,0.1781,47951000,0.1370,1462000,49413000,0.1412,21182000,27445000,0.0784,2.40,2.24,11418000,12272000,131600000,,131600000,110500000,,17600000,259700000,25100000,141300000,8300000,149600000,,3300000,8200000,186200000,,445900000,11900000,3242000,,13998000,70560000,99700000,87000000,,,10400000,97400000,,,197100000,,128600000,117000000,3159000,17000,248776000,445876000,24000,445900000,27445000,10275000,2463000,,47100000,,,,148400000,-39852000,47431000,-6059000,-19138000,,,-4815000,-30012000,,9626000,-11998000,,801000,-1571000,519000,16367000,131570000,115203000,41372000
