,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2000,295717000,,,,,,,,,,,,,,-303757000,-1.0272,-62209000,-0.2104,,,,,-303757000,-1.0272,-0.54,-0.54,560407076,560407076,,,,,,3272560000,3272560000,366944000,,,2315164000,,,,2682108000,,5954668000,,,,,,,,,,,,1861518000,,1861518000,,,,,4093150000,4093150000,5954668000,,5954668000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,592732000,,,,,,,,943360000,943360000,943360000,,,,-608261000,-1.0262,-350628000,-0.5915,,,,,-608261000,-1.0262,-1.08,-1.08,560407076,560407076,,,,,,,,,2034102000,,2034102000,,,,,5399702000,5399702000,,,,,,,,,,,,1821338000,,1821338000,,,,,3578364000,3578364000,5399702000,,5399702000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,539333000,,,,,,,,,,,,,,-129275000,-0.2397,-61452000,-0.1139,,,,,-129275000,-0.2397,-0.23,-0.23,560407076,560407076,,,,,,,,,2104705000,,2104705000,2816513000,,,,5373150000,5373150000,,,,,,,,,,,,1755733000,,1755733000,,,,,3617417000,3617417000,5373150000,,5373150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,506103000,301005000,205098000,0.4052,,,,,204026000,204026000,505031000,,47489000,70526000,85777000,0.1695,-2404000,-0.0048,-32086000,-34490000,-0.0681,20156000,-52394000,-0.1035,-0.10,-0.10,560407076,560407076,8599000,,8599000,102889000,,19949000,131437000,257536000,,,2136667000,2863003000,,7984000,5265190000,,5396627000,12269000,,,,48326000,60595000,,,1053113000,22650000,1075763000,,,1136358000,,,-1237205000,6675000,5497474000,4260269000,5396627000,,5396627000,-52394000,70526000,17653000,,-14109000,,,,103242000,8006000,29682000,-25863000,5453000,,,-25686000,-20233000,-406820000,,,,393972000,-12848000,,-3399000,8599000,11998000,3819000
2004,631215000,380290000,250925000,0.3975,,,,,233990000,233990000,614280000,,,77605000,178683000,0.2831,16935000,0.0268,84143000,101078000,0.1601,34970000,66108000,0.1047,0.12,0.12,560407076,560407076,34441000,,34441000,151120000,,26208000,211769000,258741000,,,2140355000,2945782000,,8181000,5353059000,,5564828000,33327000,,,,75200000,108527000,,,1083964000,25058000,1109022000,,,1217549000,,,-1171097000,12310000,5518376000,4347279000,5564828000,,5564828000,66108000,77605000,31692000,,207199000,,,,310441000,-298282000,84322000,-49292000,-40260000,,,-49219000,-89479000,,,,,30999000,30999000,,25842000,34441000,8599000,35030000
2005,694509000,445839000,248670000,0.3581,,,,,245960000,245960000,691799000,,,76377000,158489000,0.2282,-1402000,-0.0020,83514000,82112000,0.1182,48836000,33276000,0.0479,0.06,0.06,560407076,560398000,250352000,,250352000,134615000,,15419000,400386000,256245000,,2133518000,2133518000,3019000000,,10087000,5418850000,,5819236000,26854000,,,17491000,45600000,89945000,,,1131505000,22361000,1153866000,,,1243811000,,2681000,-1137821000,-1860000,5712425000,4575425000,5819236000,,5819236000,33276000,76377000,50363000,,-114966000,,,,195475000,40241000,85291000,-90526000,,-394000,12800000,15374000,-62746000,,,,,206166000,206166000,,228711000,250352000,21641000,-5235000
2006,688087000,454482000,233605000,0.3395,,,,,336650000,336650000,791132000,,,67929000,65861000,0.0957,-115137000,-0.1673,113069000,-2068000,-0.0030,43942000,-46010000,-0.0669,-0.08,-0.08,560407076,,154775000,,154775000,147436000,,15151000,317362000,280775000,2074789000,,2074789000,3181000000,,17056000,5553620000,,5870982000,43656000,,,16015000,62216000,121887000,,,1174594000,25237000,1199831000,,,1321718000,,2802000,-1183831000,15914000,5714379000,4549264000,5870982000,,5870982000,-46010000,67929000,42115000,,56095000,,,,251570000,-46496000,73633000,-77541000,-46793000,-51837000,,6689000,-169482000,,279000,,,-7000,272000,,-95577000,154775000,250352000,-3908000
2007,707214000,491034000,216180000,0.3057,,,,,383062000,383062000,874096000,,,67732000,58497000,0.0827,-167643000,-0.2370,158408000,-9235000,-0.0131,59157000,-68392000,-0.0967,-0.12,-0.12,561193146,,209449000,,209449000,144342000,,17916000,371707000,269742000,1909823000,,1909823000,3272000000,,42480000,5494045000,,5865752000,26298000,,,24951000,68888000,120137000,,,1228942000,22352000,1251294000,,,1371431000,,2810000,-1253483000,16781000,5728213000,4494321000,5865752000,,5865752000,-68392000,67732000,56353000,,-212570000,,,,39000000,213876000,56999000,-47115000,2143000,,28292000,2021000,-14659000,,12975000,,,-641000,12334000,,54674000,209449000,154775000,9884000
2008,3443000000,1024000000,2419000000,0.7026,,1115000000,,1115000000,216000000,1331000000,2355000000,,,232000000,901000000,0.2617,1057000000,0.3070,-303000000,754000000,0.2190,352000000,317000000,0.0921,0.49,0.49,562447947,644000000,100000000,,100000000,780000000,,229000000,1109000000,395000000,6891000000,716000000,7607000000,,,1373000000,9375000000,,10484000000,71000000,458000000,,93000000,448000000,1070000000,3331000000,,246000000,301000000,3878000000,,,4948000000,2000000,3000000,-936000000,-78000000,6545000000,5536000000,10484000000,,10484000000,317000000,232000000,190000000,,851000000,,,,890000000,-1021000000,569000000,-102000000,176000000,,24000000,,98000000,,,,,-774000000,-774000000,-2000000,-109000000,100000000,209000000,467000000
2009,3516000000,1065000000,2451000000,0.6971,,1247000000,,1247000000,-97000000,1150000000,2215000000,,,155000000,1187000000,0.3376,1235000000,0.3513,-204000000,1031000000,0.2932,472000000,560000000,0.1593,0.65,0.65,564945732,850000000,623000000,,623000000,810000000,,247000000,1680000000,411000000,6433000000,1860000000,8293000000,,,581000000,9285000000,,10965000000,63000000,155000000,38000000,91000000,481000000,790000000,3457000000,,274000000,225000000,3956000000,,,4746000000,2000000,3000000,-376000000,-21000000,6600000000,6208000000,10954000000,11000000,10965000000,560000000,155000000,-7000000,228000000,60000000,,,40000000,950000000,-388000000,608000000,-57000000,,,,323000000,266000000,-1341000000,,,,985000000,-356000000,5000000,523000000,623000000,100000000,551000000
