,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1986,110500000,68600000,41900000,0.3792,,,,19200000,2800000,22000000,90600000,,,2800000,23700000,0.2145,19900000,0.1801,1000000,20900000,0.1891,9500000,11400000,0.1032,0.15,0.15,22916000,22916000,21000000,,21000000,14900000,11100000,1000000,48000000,23900000,,1300000,1300000,,,1800000,27000000,,75000000,,,,,11500000,11500000,8800000,,4300000,100000,13200000,,,24700000,,,39500000,-24800000,35600000,50300000,75000000,,75000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,111900000,68300000,43600000,0.3896,,,,19200000,3100000,22300000,90600000,,,3100000,26200000,0.2341,21300000,0.1903,1800000,23100000,0.2064,10500000,12600000,0.1126,0.16,0.16,22201000,22201000,25300000,,25300000,15100000,12000000,1000000,53400000,23000000,,1000000,1000000,,,2000000,26000000,,79400000,,,,,12600000,12600000,7900000,,4900000,,12800000,,,25400000,,,40500000,-27100000,40600000,54000000,79400000,,79400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,117500000,69300000,48200000,0.4102,,,,19200000,3200000,22400000,91700000,,,3200000,29100000,0.2477,25800000,0.2196,100000,25900000,0.2204,10100000,15800000,0.1345,0.33,0.33,20568000,20568000,19500000,,19500000,15400000,12400000,1400000,48700000,22100000,,800000,800000,,,2600000,25500000,,74200000,,,,,12600000,12600000,6900000,,5200000,-100000,12000000,,,24600000,,,51500000,-29700000,27800000,49600000,74200000,,74200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,128200000,76400000,51800000,0.4041,,,,19900000,3400000,23300000,99700000,,,3400000,32600000,0.2543,28500000,0.2223,700000,29200000,0.2278,10400000,18800000,0.1466,0.41,0.41,19856000,19856000,16000000,,16000000,17900000,11400000,1500000,46800000,20500000,,,,,,6500000,27000000,,73800000,,,,,10100000,10100000,5800000,,4900000,,10700000,,,20800000,,,63700000,-31600000,20900000,53000000,73800000,,73800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,129600000,75200000,54400000,0.4198,,,,19800000,3500000,23300000,98500000,,,3500000,36100000,0.2785,31100000,0.2400,1500000,32600000,0.2515,11600000,21000000,0.1620,0.71,0.71,19582000,19582000,7700000,,7700000,16700000,28500000,2600000,55500000,20400000,,,,,,3300000,23700000,,79200000,2300000,,,,7800000,10100000,4200000,,4200000,,8400000,,,18500000,,,65500000,-34000000,29200000,60700000,79200000,,79200000,21000000,3500000,-600000,,1600000,,1600000,,45400000,2300000,27800000,-3600000,,-31700000,21700000,200000,-13400000,,200000,-6500000,-8200000,-1300000,-15800000,,-15800000,,9100000,24200000
1991,126200000,72600000,53600000,0.4247,,,,18500000,3700000,22200000,94800000,,,3700000,36500000,0.2892,31400000,0.2488,1400000,32800000,0.2599,11700000,21100000,0.1672,0.75,0.75,18291000,18291000,24300000,,24300000,15500000,8100000,3000000,50900000,20200000,,,,,,2100000,22300000,,73200000,2500000,,,,7700000,10200000,3200000,,4000000,,7200000,,,17400000,,,77800000,-37400000,15400000,55800000,73200000,,73200000,21100000,3700000,-200000,,-4700000,,1700000,,40700000,9300000,29200000,-3700000,,-11800000,30500000,200000,15200000,,100000,-18100000,-8800000,-1000000,-27800000,,-27800000,,7700000,25500000
1992,131800000,74600000,57200000,0.4340,,,,21100000,4400000,25500000,100100000,,,4400000,37100000,0.2815,31700000,0.2405,600000,32300000,0.2451,11500000,21200000,0.1608,1.18,1.18,17966102,17966102,25100000,,25100000,16100000,7200000,2600000,51000000,23700000,,4300000,4300000,,,2200000,30200000,,81200000,2100000,,,,7500000,9600000,2400000,,2700000,,5100000,,,14700000,,,74500000,-41800000,33800000,66500000,81200000,,81200000,21200000,4400000,-1200000,,700000,,1600000,,41400000,2300000,27400000,-2500000,,-7500000,8700000,-13500000,-14800000,,200000,-1700000,-9300000,-1100000,-11900000,,-11900000,,24300000,24900000
1993,129300000,72600000,56700000,0.4385,,,,20300000,4400000,24700000,97300000,,,4400000,37300000,0.2885,32000000,0.2475,300000,32300000,0.2498,11600000,21300000,0.1647,1.24,1.24,17177419,17177419,22600000,,22600000,15700000,7900000,2700000,48900000,20500000,,4200000,4200000,,,2300000,27000000,,75900000,2200000,,,,9900000,12100000,500000,,2800000,-100000,3200000,,,15300000,,,86400000,-43700000,17900000,60600000,75900000,,75900000,21300000,4400000,,,-4600000,,-1200000,,36800000,4100000,25200000,-1300000,,,1800000,-200000,300000,,200000,-17900000,-9400000,-900000,-28000000,,-28000000,,25100000,23900000
1994,132900000,76600000,56300000,0.4236,,,,21500000,4100000,25600000,102200000,,100000,4100000,35300000,0.2656,30700000,0.2310,400000,31100000,0.2340,11600000,19500000,0.1467,1.16,1.16,16810345,16810345,21600000,,21600000,15100000,8800000,3000000,48500000,19200000,,4500000,4500000,,,2300000,26000000,,74500000,4300000,,,,8200000,12500000,500000,,2600000,,3100000,,,15600000,,,96500000,-46900000,9300000,58900000,74500000,,74500000,19500000,4100000,-700000,,-800000,,-700000,,36000000,3100000,25200000,-2200000,,,,-1000000,-3200000,,,-11900000,-9300000,-1800000,-23000000,,-23000000,,22600000,23000000
1995,140100000,82800000,57300000,0.4090,,,,22900000,3700000,26600000,109400000,,,3700000,35700000,0.2548,30700000,0.2191,1300000,32000000,0.2284,12000000,20000000,0.1428,1.22,1.22,16393443,16516854,10500000,,10500000,18300000,10300000,20200000,59300000,19500000,,4400000,4400000,,,1800000,25700000,,85000000,5000000,,,,8000000,13000000,400000,,2300000,,2700000,,,15700000,,,107100000,-48400000,10600000,69300000,85000000,,85000000,20000000,3700000,-300000,,10300000,,-1600000,,46300000,-14000000,19700000,-4000000,,-17600000,,400000,-21200000,,,,-9500000,,-9500000,,-9500000,,21600000,15700000
