,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1997,,,,,,,,,,,,,,,,,,,,,,,,,738.11,738.11,140020784,140020784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,3195872695,1485321741,1710550954,0.5352,,,,267990547,437083307,705073854,2190395595,99678815,478868354,-437083307,377432224,0.1181,,,-669829924,335647177,0.1050,149664666,185982511,0.0582,1.31,1.31,142080210,142080210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185982511,-437083307,,,241630821,39637217,4100402,139316033,,1310176006,1300706031,-401058348,,,,-735826867,-1136885216,-2682346183,,,-342383551,3022386647,-2343087,9860490,171435847,359761444,188325597,899647682
1999,4287549539,2330351421,1957198118,0.4565,,,,462082918,718600607,1180683525,3511034946,,,-718600607,-705219982,-0.1645,,,-763133968,13380625,0.0031,160947801,-147567176,-0.0344,-1.04,-1.04,142005631,142005631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-147567176,-718600607,,,333276639,60259849,65402933,-75143668,,1583430327,1050539183,-678787993,,,,-2342921402,-3021709396,-6087344671,,,-52553730,7516203259,1376304858,-88752474,-683617828,366147740,1049765569,371751190
2000,4525441833,2350756016,2174685817,0.4805,,,,549940345,833247989,1383188334,3733944349,122025983,822774529,-833247989,387689420,0.0857,,,-393334604,398162880,0.0880,240761280,157401600,0.0348,0.91,0.91,173142454,173142454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157401600,-833247989,,,110559203,-179997370,38017788,37652936,,1451651224,886364037,-564389089,,-178383602,860126762,173250614,290604686,-4099848892,517190861,,-247322604,2490144547,-1339836088,6771815,-156095550,197507264,353602813,321974949
2001,4494022438,2975045803,1518976635,0.3380,,,,410603116,,410603116,3385648920,83131024,659802770,687218550,1609727437,0.3582,1108373518,0.2466,-731530035,376843483,0.0839,200784707,61921410,0.0138,0.39,0.39,156820221,173142454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61921410,687218550,,,98530804,176271389,1779448,-79326376,,126114562,973785326,-501719228,,-18919460,,-219173644,-739812332,-3130630334,,,-212212882,3252630037,-90213179,-110163,143649652,319973944,176324291,472066098
2002,3450392006,2401309878,1049082128,0.3040,,,,309771760,120254640,430026400,2831336278,118375057,610076405,1192232055,1400114543,0.4058,739310368,0.2143,-1105583849,-366273481,-0.1062,-91631575,-310562343,-0.0900,-1.92,-1.92,161457215,173142454,269010738,2142087,271152824,1077895781,83811122,266001064,1698860791,13712687865,1176348729,112311259,1288659987,490839757,,327128052,15819315660,,17518176451,339619326,2287432335,38214456,12156714,346897675,2986106049,5565978410,,85696328,1862413686,7514088425,,,10500194474,,1005155327,306750829,-48091826,131931109,1395745439,11895939913,5622236539,17518176451,-310562343,1192232055,,,98012299,74895088,16335001,-66350869,,-108320141,871361871,-441266632,,-32569804,,6248725,-467587712,-1637039739,,,-139419484,1380823895,-395635329,-3469489,4669342,307014050,302344708,430095239
2003,3956624752,2778212951,1178411801,0.2978,,,,285105495,,285105495,3063318446,113089504,707167682,684660014,1482720587,0.3747,893306306,0.2258,-756749477,136556829,0.0345,69921946,20970946,0.0053,0.05,0.05,173142454,173142454,475374978,18763956,494138935,1090060001,74526382,268852643,1927577961,13618078402,1312628123,129801590,1442429713,527595915,,536798439,16124902469,,18052480430,407459384,1104504388,80466974,20917837,362986424,1895868032,5514492502,,41627117,680605576,6236725195,,,8132593228,,3891145491,273851305,,,4286395167,12418988394,5633492036,18052480430,20970946,684660014,,,206419365,-147434247,17446261,32922513,,54219941,966270265,-435277461,,-5024486,204913632,384035734,148647420,-4415741105,919153881,-18218842,-135897685,2917759508,-732944242,-200994906,180978536,556743389,375764852,530992805
2004,4876065580,3416558356,1459507224,0.2993,,,,317944297,,317944297,3734502654,132544138,648252396,760296508,1735336747,0.3559,1141562927,0.2341,-663574928,477987998,0.0980,247034171,79753672,0.0164,0.12,0.12,656229467,681859877,913028884,22178766,935207651,1453330752,91766366,254041351,2734346120,13832679385,1320363175,145275857,1465639032,434624065,,446256497,16179198979,,18913545099,455404502,877117711,97953803,11667083,489670335,1833859631,5882264642,,114364597,850849852,6847479091,,,8681338722,,4095577433,208974348,,,4607195619,13288534340,5625010759,18913545099,79753672,760296508,,,5584789,-43358175,-12570795,-16953934,,266774929,1112409898,-478681832,,-619126,4603936,125666990,-349030032,-2152582631,,,-174623696,1986782687,-340423640,-48625549,374330677,985027199,610696522,633728067
2005,6245078753,4243639278,2001439474,0.3205,,,,437482489,0,437482489,4681121768,180236841,686194000,807143946,1971697420,0.3157,1563956985,0.2504,-786497971,777459014,0.1245,346270723,132088751,0.0212,0.19,0.19,682888705,682888705,643324882,10312948,653637830,1482311909,137135159,254397731,2527482629,14848774563,1362123669,158885885,1521009554,192047073,,823162378,17384993568,,19912476196,630907586,1530411378,129533136,7867703,699207926,2868394593,5168872257,,166302909,1230045366,6565220532,,,9433615125,,4594008145,579508639,-10013678337,9881343853,5041182300,14474797425,5437678771,19912476196,132088751,807143946,,,639773039,-149995482,-38602932,34318775,,156364011,1735369747,-616486290,,-64360896,3240211,35345017,-642261957,-1752509450,,,-235779336,534620448,-1453668339,-40715756,-401276306,699717058,1100993364,1118883456
2006,7309297610,4872365966,2436931644,0.3334,,,,431147909,11411040,442558949,5314924915,234357875,733751026,886991920,2363244505,0.3233,2005783735,0.2744,-768038072,1237745663,0.1693,205467989,537033571,0.0735,0.79,0.79,681708002,681860211,717244609,17115955,734360564,1886955438,123776323,337394124,3082486450,15188207525,1230206438,170446186,1400652624,216472274,23004077,864381807,17692718307,,20775204756,983163884,836526301,268387658,9425903,799117652,2628233739,6035613823,,,1331928489,7367542312,,,9995776051,,4535904153,1046496980,-10820785967,10628023092,5389638257,15385414308,5389790448,20775204756,537033571,886991920,,,-334153725,-339063615,8763798,205026878,-182440696,529731106,1619602872,-972368960,-7736637,-65890359,65983121,26588437,-953424398,-2754139394,,,-335426677,2531631304,-557934766,27378842,135622550,826489742,690867192,647233913
