,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1998,44820000,15794000,29026000,0.6476,,,,,40068000,40068000,55862000,,8244000,10934000,15686000,0.3500,4752000,0.1060,-8244000,-3492000,-0.0779,210000,-3702000,-0.0826,-0.03,-0.03,115287988,115287988,3661000,,3661000,,,,,,,,,,,,,131291000,131291000,,,,,,,,,,,,106420000,,106420000,,,,,24871000,24871000,131291000,,131291000,-3702000,10934000,,,,,,,,426000,7658000,,,,,-25586000,-25586000,,,,,19339000,19339000,,19339000,,,7658000
1999,58999000,24441000,34558000,0.5857,,,,,62545000,62545000,86986000,,,15723000,-24355000,-0.4128,-27987000,-0.4744,-12091000,-40078000,-0.6793,-121000,-39957000,-0.6772,-0.35,-0.35,115287988,115287988,2357000,,2357000,12665000,,355000,15377000,27230000,,,152387000,,,10023000,189640000,,205017000,,,,,9099000,9099000,165917000,,1990000,,167907000,,,177006000,,,-48635000,,76646000,28011000,205017000,,205017000,-39957000,15723000,406000,,6278000,,,,6278000,23678000,6128000,-12825000,,,,-46238000,-59063000,-352000,,-530000,-2400000,54913000,51631000,,-1304000,2357000,3661000,-6697000
2000,154021000,56208000,97813000,0.6351,,57163000,,57163000,72017000,129180000,185388000,5918000,69511000,72017000,46354000,0.3010,-31367000,-0.2037,-63807000,-95174000,-0.6179,-2934000,-92240000,-0.5989,-0.27,-0.27,50321985,50321985,69224000,,69224000,38547000,,14282000,122053000,169289000,,1257348000,1257348000,,,11803000,1438440000,,1560493000,30274000,2653000,,,,32927000,252495000,,132419000,6672000,391586000,,,424513000,,12000,-31147000,-21200000,1188315000,1135980000,1560493000,,1560493000,-92240000,72017000,-4126000,,82848000,,,,89126000,-47891000,10608000,-22848000,-990495000,,,11043000,-1002300000,,813974000,,,244585000,1058559000,,66867000,69224000,2357000,-12240000
2001,208908000,100347000,108561000,0.5197,,61364000,,61364000,120017000,181381000,281728000,1287000,22265000,122425000,55896000,0.2676,-72820000,-0.3486,-16001000,-88821000,-0.4252,-22999000,-65795000,-0.3149,-0.66,-0.66,115223005,115223005,19013000,,19013000,44143000,,10795000,73951000,181135000,,1268351000,1268351000,,,12080000,1461566000,,1535517000,25210000,3459000,,,,28669000,249428000,,176992000,2313000,428733000,,,457402000,,12000,-107059000,-39200000,1224362000,1078115000,1535517000,,1535517000,-65795000,122425000,-23749000,,-43844000,,,,45282000,22961000,11998000,-28680000,-45139000,,,10086000,-63733000,,4048000,,,-2524000,1524000,,-50211000,19013000,69224000,-16682000
2002,238469000,113930000,124539000,0.5222,,,,,109983000,109983000,223913000,153000,24982000,46501000,60716000,0.2546,14556000,0.0610,-25536000,-10980000,-0.0460,-122000,-10645000,-0.0446,-0.18,-0.18,119110908,119110908,12569000,,12569000,51796000,,9157000,73522000,181192000,,1300309000,1300309000,,,18458000,1499959000,,1573481000,27719000,1408000,,,118000,29245000,304502000,,122187000,102504000,529193000,,,558438000,,12000,-127905000,-846000,1143782000,1015043000,1573481000,,1573481000,-10645000,46501000,-377000,,-1005000,,,,44277000,544000,35018000,-19292000,-109296000,,,1372000,-127216000,,3269000,,,82485000,85754000,,-6444000,12569000,19013000,15726000
2003,237956000,106961000,130995000,0.5505,,,,,110200000,110200000,217161000,145000,26892000,46343000,76470000,0.3214,20795000,0.0874,-26747000,-5952000,-0.0250,968000,2267000,0.0095,-0.08,-0.08,112611511,112611511,19806000,,19806000,49518000,,40506000,109830000,170624000,,1387118000,1387118000,,,19396000,1577138000,,1686968000,26568000,1191000,,,118000,27877000,376424000,,124000000,112666000,613090000,,,640967000,,9000,-136986000,-83300000,1266278000,1046001000,1686968000,,1686968000,2267000,46343000,5813000,,37676000,,,,81953000,-51591000,40508000,-122853000,,,,18348000,-104505000,,1021000,,,70581000,71602000,,7605000,19806000,12201000,-82345000
2004,259053000,112574000,146479000,0.5654,,,,,105990000,105990000,218564000,456000,28282000,45989000,87479000,0.3377,40489000,0.1563,-27826000,12663000,0.0489,7044000,6164000,0.0238,-0.09,-0.09,105758136,105758136,46969000,,46969000,52568000,,5271000,104808000,163926000,,1400566000,1400566000,,,20412000,1584904000,,1689712000,29153000,1993000,,,118000,31264000,480983000,,136074000,3719000,620776000,,,652040000,,13000,-146735000,-106800000,1291194000,1037672000,1689712000,,1689712000,6164000,45989000,5647000,,-8409000,,,,73544000,3206000,52597000,-23338000,-17592000,,,41755000,825000,,1081000,-128182000,,100842000,-26259000,,27163000,46969000,19806000,29259000
2005,280964000,120285000,160679000,0.5719,,,,,115903000,115903000,236188000,966000,29848000,48371000,66224000,0.2357,44776000,0.1594,-56851000,-12075000,-0.0430,-2338000,-9657000,-0.0344,-0.08,-0.08,124293792,124293792,65610000,,65610000,61215000,,113118000,239943000,152114000,,1337697000,1337697000,,,13405000,1503216000,,1743159000,3300000,6333000,,3900000,28028000,41561000,500269000,,168636000,3760000,672665000,,,714226000,,13000,-156392000,-130700000,1316012000,1028933000,1743159000,,1743159000,-9657000,48371000,-3748000,,124838000,,,,198382000,-123864000,35940000,-39880000,,,,-1044000,-40924000,,1347000,,,22278000,23625000,,18641000,65610000,46969000,-3940000
2006,291752000,123798000,167954000,0.5757,,,,,279035000,279035000,402833000,1602000,29431000,45183000,-64448000,-0.2209,-111081000,-0.3807,-27829000,-138910000,-0.4761,-4463000,-134599000,-0.4613,-1.27,-1.27,106078486,107279346,118525000,,118525000,61036000,,13644000,193205000,145975000,229210000,836220000,1065430000,,,14054000,1225459000,,1418664000,33770000,3697000,,,118000,37585000,494073000,,130765000,4522000,629360000,,,666945000,,12000,-290991000,-148400000,1191098000,751719000,1418664000,,1418664000,-134599000,45183000,-8882000,,-42762000,,,,155620000,203089000,62029000,-40586000,,,,97676000,57090000,,3760000,-61286000,,-8678000,-66204000,,52915000,118525000,65610000,21443000
2007,250046000,99608000,150438000,0.6016,,,,,84185000,84185000,183793000,4809000,49405000,24767000,13008000,0.0520,66253000,0.2650,-44596000,21657000,0.0866,-18047000,-43117000,-0.1724,-0.42,-0.42,102382307,103020657,86945000,,86945000,55986000,,137380000,280311000,92959000,168135000,812987000,981122000,,,11756000,1085837000,,1366148000,57944000,1076000,,,5890000,64910000,483002000,,138043000,22383000,643428000,,,708338000,,10000,-334108000,-128000000,1119908000,657810000,1366148000,,1366148000,-43117000,24767000,-18589000,,59781000,,,,215401000,40423000,63265000,-26177000,,,,-1323000,-27500000,,7353000,-61006000,,-13692000,-67345000,,-31580000,86945000,118525000,37088000
