,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1985,3013700000,,,,,,,,,,,,,,525300000,0.1743,,,,,,,525300000,0.1743,1.28,1.28,339609375,339609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,3090900000,,,,,,,,,,,,,,566400000,0.1832,,,,,,,566400000,0.1832,1.30,1.30,365384615,365384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,3181500000,,,,,,,,,,,,,,542400000,0.1705,,,,,,,542400000,0.1705,1.17,1.17,384721030,384721030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,3228700000,,,,,,,,,,,,,,566000000,0.1753,,,,,,,566000000,0.1753,1.17,1.17,402403433,402403433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,3405600000,,,,,,,,,,,,,,590400000,0.1734,,,,,,,590400000,0.1734,1.18,1.18,418644068,418644068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,3705200000,,,,,,,,,,,,,,105800000,0.0286,,,,,,,105800000,0.0286,0.04,0.04,442857143,442857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,3975800000,,,,,,,,,,,,,,534700000,0.1345,,,,,,,534700000,0.1345,1.07,1.07,435906977,435906977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3962500000,,,,,,,,,,,,,,478900000,0.1209,,,,,,,478900000,0.1209,0.95,0.95,440210526,440210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,3988100000,,,,,,,,,,,,,,590600000,0.1481,,,,,,,590600000,0.1481,1.23,1.23,442040816,442040816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,4040600000,703600000,3337000000,0.8259,,,,,2273500000,2273500000,2977100000,,,,676000000,0.1673,1063500000,0.2632,-387500000,676000000,0.1673,249300000,426700000,0.1056,0.88,0.88,442500000,442500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426700000,,-23300000,,99900000,,18200000,,52900000,791400000,1294700000,-570900000,,-18000000,,,-588900000,,2300000,-238800000,-381100000,-88200000,-705800000,,100000,47000000,46900000,723800000
