,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2006,132715357,82073249,50642108,0.3816,,6026184,,6026184,7409381,13435565,95508814,,5074367,7409381,44756825,0.3372,37206543,0.2803,-4933466,32273077,0.2432,,32273077,0.2432,2.38,2.38,13536175,13536175,7649635,,7649635,24331081,,3263865,35244581,92131350,,,,,,1142346,93273696,,128518277,11093733,17067296,,,5368429,33529458,51009012,,,5179075,56188087,,,89717545,,,,,38800732,38800732,128518277,,128518277,32273077,7409381,,,-17103131,-10441547,,,27041,1079434,23658761,-40883585,,,,-72500,-40956085,-13331267,,,,35014550,21683283,,4385959,7649635,3263676,-17224824
2007,207006415,130458184,76548231,0.3698,,8823299,,8823299,15341906,24165205,154623389,,8342652,15341906,67961515,0.3283,52383026,0.2531,-8106069,44276957,0.2139,683291,43593666,0.2106,3.22,3.22,13536175,13536175,5209345,,5209345,43503106,,4618169,53330620,204132089,,,,,,2532457,206664546,,259995166,66496676,3823422,,,11258219,81578317,100409507,,500000,7048075,107957582,,,189535899,,,,,70459267,70459267,259995166,,259995166,43593666,15341906,500000,,-13199988,-19227480,,,2328691,346226,46581810,-68234687,,,,11478,-68223209,-29444099,,,,48645208,19201109,,-2440290,5209345,7649635,-21652877
2008,360929299,246554753,114374546,0.3169,,17700341,,17700341,33724218,51424559,297979312,,25797663,33724218,92348783,0.2559,58586618,0.1623,-25759716,32826902,0.0910,62574492,-29747590,-0.0824,-2.60,-2.60,11473639,11473639,23469067,,23469067,69799119,,6375102,99643288,330951116,,39459977,39459977,,,12747010,383158103,,482801391,29936230,6811802,,,20188212,56936244,205378040,,62068620,,267446660,,,324382904,,621112,-8878679,-47186317,213862371,158418487,482801391,,482801391,-29747590,33724218,61568620,1449995,-16157290,-28883810,-892800,956218,,14372113,65210066,-176940028,,,,50017,-176890011,-151880935,189779432,-120000000,-14734271,226775441,129939667,,18259722,23469067,5209345,-111729962
2009,215919920,184089262,31830658,0.1474,,21228819,,21228819,39471755,60700574,244789836,,26918517,39576270,12020211,0.0557,-28869916,-0.1337,-25604660,-54474576,-0.2523,-25143867,-29330709,-0.1358,-1.88,-1.88,15660719,15660719,28425367,,28425367,58093865,,7668973,94188205,308559885,,36598781,36598781,,,18086025,363244691,,457432896,24274831,12432900,,,23130248,59837979,214465329,,36622111,,251087440,,,310925419,,836737,-38209388,-83529327,267409455,146507477,457432896,,457432896,-29330709,39576270,-25446509,2491994,22910586,7914749,,9393723,,5177770,15379402,-30024471,,,1783832,-9492504,-37733143,-18381026,14927705,,,30763362,27310041,,4956300,28425367,23469067,-14645069
2010,334069975,261411056,72658919,0.2175,,23373046,,23373046,39960295,63333341,324744397,118924,27273125,39960295,49422370,0.1479,9325578,0.0279,-27136628,-17811050,-0.0533,-6501132,-11309918,-0.0339,-0.60,-0.60,20918425,20918425,30458457,,30458457,88845701,,6572856,125877014,274231466,,33737585,33737585,,,17983802,325952853,,451829867,28826651,6463820,249022,,21873682,57164153,212914685,,29685339,15270293,257870317,,,315034470,,836737,-49519306,342974,185134992,136795397,451829867,,451829867,-11309918,39960295,-6936774,2696952,-25950684,-30619696,,7875883,,3989238,2449109,-6951297,,,,1197571,-5753726,-8474950,,,,13836631,5361681,-23974,2033090,30458457,28425367,-4502188
2011,445782638,335307021,110475617,0.2478,,,,,70977386,70977386,406284407,56265,27454417,41831957,52264913,0.1172,39498231,0.0886,-62743881,-23245650,-0.0521,-4676774,-12344687,-0.0277,-0.60,-0.60,20918417,20918417,36600091,,36600091,136922038,,10284645,183806774,285944684,,30876389,30876389,,,49795206,366616279,,550423053,51789382,10517232,1268545,,34734443,97041057,285633042,,27491812,14476783,327601637,,,424642694,,836737,-61863993,-1077678,187885293,125780359,550423053,,550423053,-12344687,41831957,-2193527,2936890,-39670800,-53134399,,13247171,,15439594,5999427,-58205581,,,,7268691,-50936890,-4346000,,,-918845,57340571,52075726,-996629,6141634,36600091,30458457,-52206154
2012,472596892,354684666,117912226,0.2495,,33382501,,33382501,50996689,84379190,439063856,78066,28033466,50996689,83975437,0.1777,33533036,0.0710,-27955400,5577636,0.0118,3359101,1586181,0.0034,0.04,0.04,21061640,21340253,17618900,,17618900,93045256,,14950352,125614508,348441432,,28015133,28015133,,,10590794,387047359,,512661867,18087909,13025793,,,14953809,46067511,293321374,,26586818,14518267,334426459,,,380493970,14518267,843705,-60277812,,177083737,132167897,512661867,,512661867,1586181,50996689,-867180,4430235,11973656,43207059,,-20683241,,314784,68434365,-111769771,,,,29172415,-82597356,-4477684,,,-735072,-37426,-5250182,431982,-18981191,17618900,36600091,-43335406
2013,419933000,324137000,95796000,0.2281,,30186000,,30186000,54838000,85024000,409161000,27000,28211000,54838000,65344000,0.1556,10772000,0.0257,-28184000,-17412000,-0.0415,-4615000,-13090000,-0.0312,-0.65,-0.65,21388000,21388000,26409000,,26409000,82986000,,14004000,123399000,341869000,,25154000,25154000,,,10136000,377159000,,500558000,27016000,9374000,575000,,16714000,53104000,290266000,,21610000,14560000,326436000,,,379540000,,859000,-73368000,-237380000,430907000,121018000,500558000,,500558000,-13090000,54838000,-4977000,2852000,13401000,8857000,,6278000,,3314000,56338000,-42541000,,,,1508000,-41033000,-5306000,,,-735000,-474000,-6515000,,8790000,26409000,17619000,13797000
2014,449278000,341053000,108225000,0.2409,,36428000,,36428000,54959000,91387000,432440000,9000,28228000,54959000,71806000,0.1598,16838000,0.0375,-28219000,-11381000,-0.0253,-3060000,-8321000,-0.0185,-0.42,-0.42,21749000,21749000,34918000,,34918000,84441000,,10537000,129896000,322663000,,22292000,22292000,,,8762000,353717000,,483613000,19305000,11204000,,,20273000,50782000,286687000,,17653000,14602000,318942000,,,369724000,,874000,-81689000,-279435000,474139000,113889000,483613000,,483613000,-8321000,54959000,-3957000,3264000,-791000,-2453000,,-5887000,,2090000,47244000,-37877000,,,,5430000,-32447000,-5083000,,,-735000,-470000,-6288000,,8509000,34918000,26409000,9367000
2015,244107000,192419000,51688000,0.2117,,31591000,,31591000,55034000,86625000,279044000,211000,27962000,55034000,20308000,0.0832,-34937000,-0.1431,-27751000,-62688000,-0.2568,-16614000,-46074000,-0.1887,-2.12,-2.12,22071000,22071000,74611000,,74611000,27702000,,9486000,111799000,277029000,,19431000,19431000,,,4168000,300628000,,412427000,8995000,25243000,,,12196000,46434000,283071000,,899000,14644000,298614000,,,345048000,,889000,-127763000,-324138000,518391000,67379000,412427000,,412427000,-46074000,55034000,-16754000,442000,41775000,54989000,,-8679000,,2159000,36582000,-9568000,,,,4146000,-5422000,-5564000,,,-735000,14832000,8533000,,39693000,74611000,34918000,27014000
