,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2008,80418000,28174000,52244000,0.6497,,,,,46836000,46836000,75010000,469000,21343000,35617000,28512000,0.3545,5408000,0.0672,-12943000,,,,-28448000,-0.3538,-0.25,-0.25,112075500,112164500,128331000,,128331000,5428000,,7747000,141506000,810920000,,134623000,134623000,,,26874000,972417000,,1113923000,3063000,,,,21919000,24982000,460762000,,,26908000,487670000,,,512652000,,755000,-74786000,-24650000,698001000,599320000,1111972000,1951000,1113923000,-28448000,35617000,,130000,-15000,-4261000,,-176000,116524000,13393000,20677000,-508116000,,,,-22837000,-526475000,-59633000,528816000,-1077000,,160556000,628662000,,122864000,128331000,5467000,-487439000
2009,129486000,45024000,84462000,0.6523,,,,,69663000,69663000,114687000,249000,29347000,48808000,53078000,0.4099,14799000,0.1143,-10474000,,,,-25077000,-0.1937,-0.22,-0.22,112075500,112164500,219001000,,219001000,10820000,,14065000,243886000,1149789000,,203222000,203222000,,,76638000,1429649000,,1673535000,4776000,,,,30471000,35247000,540028000,,,23394000,563422000,,,598669000,,1405000,-182084000,-56689000,1308685000,1071317000,1669986000,3549000,1673535000,-25077000,48808000,,816000,,-5167000,,3631000,116524000,-3546000,21001000,-411328000,,,,-52587000,-454855000,-11671000,622652000,-16266000,,-70191000,524524000,,90670000,219001000,128331000,-390327000
2010,199879000,65338000,134541000,0.6731,,,,,103376000,103376000,168714000,119000,35336000,72678000,100111000,0.5009,31165000,0.1559,-5363000,,,,-7903000,-0.0395,-0.07,-0.07,112075500,112164500,29270000,,29270000,16385000,,26679000,72334000,1797463000,,300587000,300587000,,,101411000,2199461000,,2271795000,,,,,43033000,43033000,706526000,,,31123000,737649000,,,780682000,,2026000,-310193000,-102962000,1898375000,1487246000,2267928000,3867000,2271795000,-7903000,72678000,,1313000,92115000,-7102000,,-4776000,208639000,-99700000,58503000,-611985000,,,,-29752000,-626849000,-123117000,594677000,-51856000,,-41089000,378615000,,-189731000,29270000,219001000,-553482000
2011,274438000,88760000,185678000,0.6766,,,,,136237000,136237000,224997000,174000,41892000,104045000,151478000,0.5520,49441000,0.1802,-2130000,,,,5541000,0.0202,0.05,0.05,114695500,114784000,69491000,,69491000,12658000,,16718000,98867000,1806471000,,272390000,272390000,,,113901000,2192762000,,2291629000,,,,,47801000,47801000,639149000,,,33554000,672703000,,,720504000,,2284000,-467249000,-164783000,2197088000,1567340000,2287844000,3785000,2291629000,5541000,104045000,,3221000,-179338000,2424000,,,29301000,178338000,111807000,-77419000,,,,-4573000,-65958000,-199083000,214641000,-37680000,,16494000,-5628000,,40221000,69491000,29270000,34388000
2012,295340000,95307000,200033000,0.6773,,26081000,,26081000,116418000,142499000,237806000,4304000,52993000,114575000,143144000,0.4847,57534000,0.1948,-81902000,-24368000,-0.0825,,-24424000,-0.0827,-0.22,-0.22,111356500,111356500,15956000,,15956000,75699000,,24454000,116109000,,,282934000,282934000,,,2015047000,2297981000,,2414090000,,72000000,,,63443000,135443000,965359000,24450000,,24243000,1014052000,,,1149495000,,2147000,-633717000,,1885836000,1254266000,2403761000,10329000,2414090000,-24424000,114575000,,17408000,21765000,,,2684000,51066000,-12539000,116785000,-22909000,,,,-283545000,-283545000,-416601000,,-182602000,-93273000,805701000,113225000,,-53535000,15956000,69491000,93876000
2013,317341000,97053000,220288000,0.6942,,24448000,,24448000,121476000,145924000,242977000,2558000,52255000,119904000,196420000,0.6190,74364000,0.2343,-50787000,23577000,0.0743,,24261000,0.0765,0.20,0.20,114037500,114969500,18081000,,18081000,102256000,,25715000,146052000,,,459699000,459699000,,,2146583000,2606282000,,2752334000,,55000000,,,27893000,82893000,1214241000,35339000,,20112000,1269692000,,,1352585000,,2369000,-742060000,,2126897000,1387206000,2739791000,12543000,2752334000,24261000,119904000,,5648000,-70400000,,,,-19334000,68411000,147824000,-340307000,,,,-34393000,-374700000,-331963000,240657000,-522000,-129360000,450189000,229001000,,2125000,18081000,15956000,122442000
2014,369571000,113508000,256063000,0.6929,,24947000,,24947000,140432000,165379000,278887000,1934000,57489000,137188000,240048000,0.6495,90684000,0.2454,-44690000,45994000,0.1245,,45371000,0.1228,0.38,0.37,119904000,121168000,10413000,,10413000,83540000,,45441000,139394000,,,462776000,462776000,,,2439480000,2902256000,,3041650000,,36000000,,,65042000,101042000,1412461000,32687000,,19039000,1464187000,,,1565229000,,1251000,-836044000,,2281932000,1447139000,3012368000,29282000,3041650000,45371000,137188000,,4383000,82493000,,,,63159000,-100936000,168499000,-228417000,,,,-31285000,-259702000,-505236000,152014000,-1056000,-137158000,574971000,83535000,,-7668000,10413000,18081000,139462000
2015,403553000,123390000,280163000,0.6942,,25578000,,25578000,154134000,179712000,303102000,269000,58107000,151614000,242652000,0.6013,100451000,0.2489,-66894000,33557000,0.0832,,32931000,0.0816,0.26,0.26,126074000,128004000,13070000,,13070000,83245000,,50476000,146791000,,,472916000,472916000,,,2552593000,3025509000,,3172300000,,218000000,,,-123067000,94933000,1590696000,46295000,,33418000,1670409000,,,1765342000,,1270000,-950652000,,2328806000,1379424000,3144766000,27534000,3172300000,32931000,151614000,,5724000,-24807000,,,,38352000,25633000,191095000,-244705000,,,,-24559000,-269264000,-366856000,44324000,-1667000,-146372000,551397000,80826000,,2657000,13070000,10413000,161825000
2016,460563000,143751000,316812000,0.6879,,28773000,,28773000,176866000,205639000,349390000,365000,62146000,175285000,283343000,0.6152,111173000,0.2414,-63828000,47345000,0.1028,,45912000,0.0997,0.34,0.33,136620000,140259000,11231000,,11231000,92007000,,69718000,172956000,,,513889000,513889000,,,3060999000,3574888000,,3747844000,,88000000,,,17034000,105034000,1768905000,49859000,,43629000,1862393000,,,1967427000,,1417000,-1068961000,,2754818000,1687274000,3654701000,93143000,3747844000,45912000,175285000,,7071000,13506000,,,,51858000,-38079000,203695000,-565399000,,,,-40916000,-606315000,-969935000,418891000,-2642000,-159174000,1113641000,400781000,,-1839000,11231000,13070000,160701000
2017,612556000,192147000,420409000,0.6863,,33403000,,33403000,244986000,278389000,470536000,1434000,86375000,239044000,389335000,0.6356,142020000,0.2318,-76443000,65577000,0.1071,,63916000,0.1043,0.35,0.34,181064000,185278000,100356000,,100356000,114717000,,76562000,291635000,,,745913000,745913000,68577000,,5343457000,6157947000,,6449582000,,,,,167852000,167852000,2781031000,61222000,,76029000,2918282000,,,3086134000,,2049000,-1232069000,274000,4508528000,3278782000,6364916000,84666000,6449582000,63916000,239044000,,6870000,16064000,,,,67922000,-18351000,307543000,-2328132000,-68839000,,,-58125000,-2455096000,-735024000,1746956000,-3413000,-207087000,1439636000,2241068000,,93515000,118560000,25045000,242710000
2018,696030000,220617000,475413000,0.6830,,35196000,,35196000,279630000,314826000,535443000,396000,101849000,271441000,586753000,0.8430,160587000,0.2307,57039000,217626000,0.3127,,213463000,0.3067,1.04,1.02,206065000,210061000,126221000,,126221000,123639000,,69194000,319054000,,,698602000,698602000,67172000,,5103648000,5869422000,,6188476000,,,,,185073000,185073000,2541232000,59567000,,67690000,2668489000,,,2853562000,,2053000,-1272305000,307000,4525969000,3256024000,6109586000,78890000,6188476000,213463000,271441000,,9755000,55861000,,,,123783000,-213124000,337396000,253476000,,,,-77167000,176309000,-386021000,72814000,-70319000,-252651000,137442000,-498735000,,14970000,133530000,118560000,259526000
2019,691527000,211479000,480048000,0.6942,,41360000,,41360000,290384000,331744000,543223000,513000,96632000,280969000,407755000,0.5896,148304000,0.2145,-117546000,30758000,0.0445,,30154000,0.0436,0.15,0.14,205720000,209605000,32713000,,32713000,137204000,,57392000,227309000,243276000,,640619000,640619000,65888000,,5461657000,6411440000,,6638749000,,100000000,,,71698000,171698000,2749775000,49203000,,237429000,3036407000,,198650000,3208105000,,2165000,-1502744000,4546000,4854042000,3358009000,6566114000,72635000,6638749000,30154000,280969000,,10127000,10198000,,,,133981000,8946000,340394000,-576484000,,,,-90805000,-667289000,-1307361000,323393000,-12178000,-256117000,1483244000,230981000,,-95914000,37616000,133530000,248850000
2020,738414000,226859000,511555000,0.6928,,42969000,,42969000,303828000,346797000,573656000,551000,94613000,283039000,430270000,0.5827,164758000,0.2231,-111250000,53508000,0.0725,,52618000,0.0713,0.24,0.24,218078000,221666000,115407000,,115407000,152030000,,49472000,316909000,242987000,,639072000,639072000,64360000,,5527364000,6473783000,,6790692000,,,,,200358000,200358000,3026999000,,,328416000,3355415000,,198367000,3555773000,,2186000,-1727752000,-16979000,4916784000,3174239000,6730012000,60680000,6790692000,52618000,283039000,,8916000,-78370000,-11042000,,,55611000,121759000,387962000,-74743000,,,,-79836000,-319260000,-1843922000,50020000,-5192000,-275816000,2087357000,12447000,,81149000,118765000,37616000,313219000
2021,767073000,,,,,49744000,,49744000,,49744000,,,92762000,283300000,475846000,0.6203,3150000,0.0041,96634000,99784000,0.1301,,99784000,0.1301,0.46,0.45,218820000,222811000,52353000,,52353000,228293000,,70087000,350733000,245510000,,415434000,415434000,62834000,,5815178000,6538956000,,6889689000,,,,,198340000,198340000,3224408000,,,122625000,3347033000,,196286000,3545373000,,2289000,-1915776000,-7041000,5178132000,3257604000,6802977000,86712000,6889689000,99784000,283300000,,7262000,60940000,,,9430000,116551000,-65670000,385616000,-97155000,,,,-399855000,-399855000,,251250000,-3414000,-281820000,-13473000,-47457000,,-61696000,57069000,118765000,288461000
