,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,3117991,,3117991,1.0000,15486476,4034925,,4034925,,19521401,19521401,39002,193498,47747,-16316661,-5.2331,-16403410,-5.2609,-154496,-16557906,-5.3104,32921,-16590827,-5.3210,-0.75,-0.75,22159446,22159446,19145528,,19145528,300429,,188702,19634659,58266,,,,,,130755,189021,,19823680,41608,,,1666674,1131313,2839595,,,,,,,,2839595,,1460,-30696299,-3220417,50899341,16984085,19823680,,19823680,-16590827,47747,,295106,-2654963,48634,,-554256,-22100,,-18902937,-38957,,-12000000,17700122,,5661165,,,,,15194085,15194085,,1952313,15645528,13693215,-18941894
2013,2737002,,2737002,1.0000,23027578,5976276,,5976276,,29003854,29003854,29617,612963,23249,-26213986,-9.5776,-26266852,-9.5969,-583346,-26850198,-9.8101,18000,-26868198,-9.8167,-1.56,-1.56,17260768,17260768,35150924,2000000,37150924,336318,,762243,38249485,68272,,,,,,131555,199827,,38449312,3395067,,,,3438970,6834037,,,,,,,,6834037,,2216,-57564497,,89177556,31615275,38449312,,38449312,-26868198,23249,,391393,31437548,-35889,,3353459,31415448,-27575257,-22591265,-33255,,,1500000,,1466745,,43841850,-3754706,,542772,40629916,,19505396,35150924,15645528,-22624520
2014,577301,,577301,1.0000,21226345,10337679,,10337679,,31564024,31564024,303936,7073,25481,-30657306,-53.1045,-30986723,-53.6752,296863,-30689860,-53.1609,1600,-30691460,-53.1637,-1.07,-1.07,28650067,28650067,61325044,68320672,129645716,51603,,1288953,130986272,54553,,,,,,70944,125497,,131111769,2052765,,,,8504299,10557064,,,,,,,,10557064,,2950,-88255957,-104633,208912345,120554705,131111769,,131111769,-30691460,25481,,3843878,89013760,284715,,-1342302,120429208,-84998809,-22807150,-11762,,-103601836,36879308,,-66734290,,116191285,,,-475725,115715560,,26174120,61325044,35150924,-22818912
2015,91364,,91364,1.0000,87718074,18187286,,18187286,,105905360,105905360,1022455,,139626,-104651915,-1145.4393,-105813996,-1158.1585,1022455,-104791541,-1146.9675,1600,-104793141,-1146.9850,-2.91,-2.91,36069237,36069237,47159303,428041021,475200324,30660,,8025147,483256131,775522,,,,,,71875,847397,,484103528,1632905,,,,4630607,6263512,,,,1597105,1597105,,,7860617,,4316,-193049098,-590410,669878103,476242911,484103528,,484103528,-104793141,139626,,10890905,356563411,20943,,-419860,476992619,-365080766,-102279965,-860595,,-514308249,153389448,,-361779396,,449996887,,,-103267,449893620,,-14165741,47159303,61325044,-103140560
2016,330702,,,,93831530,24758063,,24758063,,118589593,118589593,2935077,36781,196872,-115126942,-348.1290,-118258891,-357.5996,2898296,-115360595,-348.8355,1065673,-116426268,-352.0579,-2.69,-2.69,43240188,43240188,48642225,335458459,384100684,94339,,4005093,388200116,627614,,,,,,75765,703379,,388903495,3754647,,,,6777687,10532334,,,,2868622,2868622,,,13400956,,4329,-309475366,-317239,685290815,375502539,388903495,,388903495,-116426268,196872,,14701219,-99324837,-63679,,2121742,377667782,109595787,-91257227,-48964,,-395757168,488068547,,92262415,-125000000,,,,125477734,477734,,1482922,48642225,47159303,-91306191
2017,245837,,,,79419009,23666957,,23666957,,103085966,103085966,4005864,,213872,-98620393,-401.1617,-102840129,-418.3265,4005864,-98834265,-402.0317,-1060851,-97773414,-397.7164,-2.12,-2.12,46181926,46181926,37790114,426540921,464331035,,,4884293,469215328,1137171,,,,,1058435,75765,2271371,,471486699,6173539,,,,8036067,14209606,,,,2840132,2840132,,,17049738,,5460,-407248780,-799224,862479505,454436961,471486699,,471486699,-97773414,213872,,14641520,77337940,94339,,2418892,455005722,-74911730,-80491812,-723429,,-520926824,428932538,,-92717715,,162149996,,,207420,162357416,,-10852111,37790114,48642225,-81215241
2018,,,,,132166913,30099855,,30099855,,162266768,162266768,7140957,,368673,-161898095,-Infinity,-162266768,-Infinity,7140957,-155125811,-Infinity,1600,-155127411,-Infinity,-2.84,-2.84,54707865,54707865,54947502,292583046,347530548,,,7908133,355438681,1159766,,,,,529218,78833,1767817,,357206498,13961060,,,,22338125,36299185,,,,3192432,3192432,,,39491617,,5490,-562376191,-667757,880753339,317714881,357206498,,357206498,-155127411,368673,,17396146,-135866226,,,7787521,319139496,155059705,-118169113,-391268,,-271156707,406189288,,134641313,,,,,685188,685188,,17157388,54947502,37790114,-118560381
2019,60613,,,,89124838,64947625,,64947625,,154072463,154072463,6291272,,477121,-147243457,-2429.2389,-154011850,-2540.9046,6291272,-147720578,-2437.1105,1600,-147722178,-2437.1369,-2.68,-2.68,55186206,55186206,107636849,116373335,224010184,,,6313785,230323969,20511814,,,,,264609,86084,20862507,,251186476,7425024,3187435,,,25611560,36224019,,,,19955186,19955186,,23142621,56179205,,5551,-710098369,128317,904971772,195007271,251186476,,251186476,-147722178,477121,,20788688,-125039546,,,-6536036,194099950,123512674,-127983241,-700395,,-80720301,258857683,,177436987,,,,,3235601,3235601,,52689347,107636849,54947502,-128683636
2020,22530753,1895029,20635724,0.9159,65782137,,,,186081218,251863355,253758384,4235481,,528118,-226464032,-10.0513,-231227631,-10.2628,4235481,-226992150,-10.0748,13513,-227005663,-10.0754,-3.23,-3.23,70364800,70364800,60045933,597402126,657448059,10764583,7056385,15635455,690904482,26323108,,,,,,86084,26409192,,717313674,5501825,5541802,,,25809596,36853223,,,,23600347,23600347,,29142149,60453570,,8046,-937104032,480584,1593475506,656860104,717313674,,717313674,-227005663,528118,,24115197,459951309,-10764583,-7056385,-1923199,654051259,-487661806,-230072845,-266724,,-755629547,275601271,,-480295000,,652712011,,,11464918,664176929,,-46190916,61445933,107636849,-230339569
2021,83803017,8034589,75768428,0.9041,88845513,,,272611040,8034589,369491142,377525731,1568090,,533360,-283597937,-3.3841,-285688125,-3.4090,1568090,-284120035,-3.3903,-5631,-284125666,-3.3904,-3.50,-3.50,81253394,81253394,92364990,319968348,412333338,,7948126,46999366,467280830,22555182,,,,,,86084,22641266,,489922096,8691220,6731792,,,37933466,53356478,,,,18674943,18674943,,,72031421,,8189,-1221229698,,1639112184,417890675,489922096,,489922096,-284125666,533360,,34303029,-240126907,-9391411,-891741,3189395,413924352,229872699,-259543485,-325738,,-224574687,505244056,,280343631,5631,,,,11513280,11518911,,32319057,93764990,61445933,-259869223
