,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1986,440600000,315300000,125300000,0.2844,,,,83900000,14600000,98500000,413800000,,,14600000,33400000,0.0758,26800000,0.0608,-8000000,18800000,0.0427,8100000,10700000,0.0243,0.24,0.24,44583333,44583333,3500000,,3500000,61100000,97000000,1200000,162800000,93700000,,,,,,6900000,100600000,,263400000,,,,,81700000,81700000,58000000,,8900000,,66900000,,,148600000,,,88400000,-82600000,109000000,114800000,263400000,,263400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,429600000,291200000,138400000,0.3222,,,,84700000,14900000,99600000,390800000,,,14900000,48200000,0.1122,38800000,0.0903,-5500000,33300000,0.0775,16100000,17200000,0.0400,0.33,0.33,52121212,52121212,2200000,,2200000,60300000,92000000,2600000,157100000,99700000,,,,,,18200000,117900000,,275000000,,,,,81700000,81700000,52100000,,13500000,,65600000,,,147300000,,,100800000,-87200000,114100000,127700000,275000000,,275000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,453400000,307300000,146100000,0.3222,,,,88400000,16500000,104900000,412200000,,,16500000,51100000,0.1127,41200000,0.0909,-6600000,34600000,0.0763,12800000,21800000,0.0481,0.43,0.43,50697674,50697674,4000000,,4000000,68600000,94500000,1500000,168600000,98300000,,,,,,19400000,117700000,,286300000,,,,,88900000,88900000,49500000,,13800000,,63300000,,,152200000,,,90600000,-97700000,141200000,134100000,286300000,,286300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,492200000,337600000,154600000,0.3141,,,,93900000,17800000,111700000,449300000,,,17800000,52900000,0.1075,42900000,0.0872,-7800000,35100000,0.0713,13200000,21900000,0.0445,0.45,0.45,48666667,48666667,3200000,,3200000,69300000,98900000,1000000,172400000,97700000,,,,,,19600000,117300000,,289700000,,,,,93000000,93000000,45300000,,13900000,-100000,59100000,,,152100000,,,104000000,-109000000,142600000,137600000,289700000,,289700000,21900000,17800000,100000,,-6800000,,-5000000,,79400000,700000,33700000,-18300000,,,,1400000,-16900000,,,-9900000,-8600000,900000,-17600000,,,,4000000,15400000
1990,504900000,344700000,160200000,0.3173,,,,98000000,18800000,116800000,461500000,,,18800000,46500000,0.0921,43400000,0.0860,-15700000,27700000,0.0549,11600000,16100000,0.0319,0.34,0.34,31632653,31632653,700000,,700000,68600000,109500000,3900000,182700000,101400000,,,,,,24400000,125800000,,308500000,32900000,,,,73900000,106800000,60200000,,12600000,,72800000,,,179600000,,,111200000,-115600000,133300000,128900000,308500000,,308500000,16100000,18800000,-3500000,,-3500000,,-9800000,,75900000,7000000,34900000,-23900000,,,,-1200000,-25100000,,1500000,-8600000,-8800000,3600000,-12300000,,,,3200000,11000000
1991,500500000,330300000,170200000,0.3401,,,,108400000,19800000,128200000,458500000,,,19800000,53600000,0.1071,42000000,0.0839,-8200000,33800000,0.0675,12600000,21200000,0.0424,0.46,0.46,46086957,46086957,5300000,,5300000,62800000,95000000,5300000,168400000,98100000,,,,,,20500000,118600000,,287000000,23900000,,,,50900000,74800000,57200000,,7700000,7900000,72800000,,,147600000,,,122300000,-127600000,144700000,139400000,287000000,,287000000,21200000,19800000,900000,,17700000,,14600000,,93600000,-10000000,49600000,-13500000,,,,-2100000,-15600000,,1300000,-2100000,-9100000,-19600000,-29500000,,,,700000,36100000
1992,555800000,359400000,196400000,0.3534,,,,115500000,21200000,136700000,496100000,,,21200000,75100000,0.1351,59700000,0.1074,-5800000,53900000,0.0970,21500000,32400000,0.0583,0.71,0.71,45633803,45633803,7400000,,7400000,64800000,92700000,7300000,172200000,99500000,,,,,,18300000,117800000,,290000000,26500000,,,,48700000,75200000,40000000,,6900000,8500000,55400000,,,130600000,,,144900000,-139500000,154000000,159400000,290000000,,290000000,32400000,21200000,-2000000,,3400000,,3500000,,97000000,12300000,67300000,-17000000,,-5100000,,200000,-21900000,,3400000,-7000000,-9900000,-29700000,-43200000,-100000,,,5300000,50300000
1993,630600000,405700000,224900000,0.3566,,,,125100000,21800000,146900000,552600000,,,21800000,96100000,0.1524,78000000,0.1237,-3700000,74300000,0.1178,28100000,46200000,0.0733,1.01,1.01,45742574,45742574,16500000,,16500000,68000000,95200000,8500000,188200000,98600000,,,,,,15300000,113900000,,302100000,26300000,,,,35200000,61500000,34600000,,5100000,8900000,48600000,,,110100000,,,179800000,-151200000,163400000,192000000,302100000,,302100000,46200000,21800000,400000,,29700000,,-2500000,,126700000,-36400000,61700000,-18900000,,,,-1000000,-19900000,,500000,-3900000,-11300000,-17900000,-32600000,-100000,,,7400000,42800000
1994,721700000,467200000,254500000,0.3526,,131400000,,131400000,22400000,153800000,621000000,,,22400000,120500000,0.1670,100700000,0.1395,-2600000,98100000,0.1359,38200000,59900000,0.0830,1.31,1.31,45476167,45476167,30400000,,30400000,80700000,117600000,9100000,237800000,101600000,,,,,,16000000,117600000,,355400000,31100000,1300000,,,41900000,74300000,32900000,,3300000,8100000,44300000,,,118600000,,,226400000,-163100000,173500000,236800000,355400000,,355400000,59900000,22400000,-400000,,36800000,,-20800000,,163500000,-57600000,61100000,-28900000,,,,-1200000,-30100000,,4900000,-7700000,-13400000,-900000,-17100000,,,,16500000,32200000
1995,795100000,524500000,270600000,0.3403,,131400000,,131400000,22700000,154100000,678600000,,,22700000,137500000,0.1729,116500000,0.1465,-1700000,114800000,0.1444,44300000,70500000,0.0887,1.57,1.57,45057000,45057000,8200000,,8200000,88400000,141900000,11300000,249800000,113200000,,,,,,16900000,130100000,,379900000,26300000,1000000,,,33200000,60500000,31800000,,2200000,8300000,42300000,,,102800000,,,280500000,-169300000,165900000,277100000,379900000,,379900000,70500000,22700000,-2100000,,25800000,,-23500000,,189300000,-70200000,46700000,-36800000,,,,-400000,-37200000,,2600000,-17800000,-16500000,,-31700000,,,,30400000,9900000
