,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1989,38500000,22400000,16100000,0.4182,,,,11800000,400000,12200000,34600000,,2500000,400000,4300000,0.1117,3900000,0.1013,-2500000,1400000,0.0364,600000,800000,0.0208,0.05,0.05,16105100,16105100,200000,,200000,6500000,18000000,600000,25300000,900000,,2300000,2300000,,,400000,3600000,,28900000,,,,,14700000,14700000,8100000,,,1200000,9300000,,,24000000,,,4100000,-1600000,2400000,4900000,28900000,,28900000,800000,400000,,,,,,,10600000,-1200000,,,,,,,,,,,,,,,,,,
1990,48500000,28100000,20400000,0.4206,,,,13600000,400000,14000000,42100000,,2100000,400000,7100000,0.1464,6400000,0.1320,-1800000,4600000,0.0948,1900000,2700000,0.0557,0.17,0.17,15908696,15908696,300000,,300000,6100000,16500000,1900000,24800000,800000,,2300000,2300000,,,400000,3500000,,28300000,,,,,14200000,14200000,5600000,,,900000,6500000,,,20700000,,,6800000,-1800000,2600000,7600000,28300000,,28300000,2700000,400000,,,,,,,10600000,-3100000,,,,,,,,,,,,,,,,,,
1991,54800000,29800000,25000000,0.4562,,,,15800000,400000,16200000,46000000,,800000,400000,9500000,0.1734,8800000,0.1606,-500000,8300000,0.1515,3300000,5000000,0.0912,0.23,0.23,8900187,8900187,6400000,,6400000,6400000,21100000,2900000,36800000,600000,,2200000,2200000,,,600000,3400000,,40200000,900000,,,,7300000,8200000,,,,,,,,8200000,,,11700000,-2100000,22400000,32000000,40200000,,40200000,5000000,400000,-100000,,18000000,,-4600000,,28600000,-22200000,1100000,-100000,,,,,-100000,,100000,-1000000,-100000,6100000,5100000,,,,300000,1000000
1992,60800000,32900000,27900000,0.4589,,,,17300000,400000,17700000,50600000,,200000,400000,10900000,0.1793,10200000,0.1678,100000,10300000,0.1694,4100000,6200000,0.1020,0.25,0.25,11004000,11004000,7500000,,7500000,12300000,19100000,3200000,42100000,600000,,2200000,2200000,,,600000,3400000,,45500000,1000000,,,,6400000,7400000,,,,-100000,-100000,,,7300000,,,17900000,-2300000,22600000,38200000,45500000,,45500000,6200000,400000,-100000,,6100000,,2000000,,34700000,-7100000,5500000,-300000,,-8800000,4800000,,-4300000,,,,,,,,,,6400000,5200000
1993,64700000,34600000,30100000,0.4652,,,,18600000,400000,19000000,53600000,,100000,400000,11900000,0.1839,11100000,0.1716,300000,11400000,0.1762,4400000,7000000,0.1082,0.44,0.42,11041000,11041000,6800000,,6800000,10200000,28800000,3600000,49400000,1100000,,2100000,2100000,,,1000000,4200000,,53600000,1000000,,,,7400000,8400000,,,,,,,,8400000,,,24900000,-2400000,22700000,45200000,53600000,,53600000,7000000,400000,-100000,,6300000,,-9700000,,41000000,-17200000,-3600000,-1100000,,,4000000,,2900000,,,,,,,,,,7500000,-4700000
1994,77400000,41100000,36300000,0.4690,,,,21600000,600000,22200000,63300000,,100000,600000,14800000,0.1912,14100000,0.1822,,14100000,0.1822,5500000,8600000,0.1111,0.59,0.56,14656338,15302941,2700000,,2700000,14100000,31000000,6100000,53900000,8000000,,2000000,2000000,,,800000,10800000,,64700000,1400000,,,,7500000,8900000,,,,,,,,8900000,,,33600000,-2100000,24300000,55800000,64700000,,64700000,8600000,600000,-200000,,4000000,,-2200000,,45000000,-11800000,1200000,-7200000,,-9700000,9600000,,-7300000,,1900000,,,,1900000,,,,6800000,-6000000
1995,80500000,42500000,38000000,0.4720,,,,25400000,1000000,26400000,68900000,,400000,1000000,12700000,0.1578,11600000,0.1441,-300000,11300000,0.1404,4400000,6900000,0.0857,0.51,0.49,13553571,14055556,100000,,100000,12700000,43300000,6500000,62600000,7900000,,4500000,4500000,,,800000,13200000,,75800000,3100000,,,,10800000,13900000,,,,,,,,13900000,,,1800000,-2800000,62900000,61900000,75800000,,75800000,6900000,1000000,-400000,,3700000,,-12300000,,48700000,-14400000,-3200000,-700000,,,,-2000000,-2700000,,300000,-1600000,,4600000,3300000,,,,2700000,-3900000
1996,98400000,48900000,49500000,0.5030,,31900000,,31900000,1600000,33500000,82400000,,700000,1600000,17800000,0.1809,16000000,0.1626,-500000,15500000,0.1575,6100000,9400000,0.0955,0.67,0.67,13972973,13972973,1100000,,1100000,14000000,39900000,6900000,61900000,8700000,,13200000,13200000,,,1000000,22900000,,84800000,4000000,1000000,,,8200000,13200000,,,,,,,,13200000,,,72500000,-4000000,3100000,71600000,84800000,,84800000,9400000,1600000,200000,,,,6900000,,48700000,7800000,19000000,-2000000,,,,-12700000,-14700000,,100000,,,-3400000,-3300000,,,,100000,17000000
1997,100000000,49400000,50600000,0.5060,,33100000,,33100000,2000000,35100000,84500000,,,2000000,17600000,0.1760,15500000,0.1550,100000,15600000,0.1560,6000000,9600000,0.0960,0.77,0.75,12467532,12800000,7800000,,7800000,13300000,42800000,5800000,69700000,9400000,,12800000,12800000,,,1100000,23300000,,93000000,5400000,,,,6700000,12100000,,,,,,,,12100000,,,6400000,-5500000,80000000,80900000,93000000,,93000000,9600000,2000000,600000,,8900000,,,,57600000,-14000000,7100000,-2300000,,,,3100000,800000,,600000,,-800000,-1000000,-1200000,,,,1100000,4800000
1998,116700000,58000000,58700000,0.5030,,35300000,,35300000,2500000,37800000,95800000,,200000,2500000,23700000,0.2031,20900000,0.1791,100000,21000000,0.1799,8400000,12600000,0.1080,1.00,0.98,12600000,12857143,9400000,,9400000,13300000,44900000,4700000,72300000,11800000,,19900000,19900000,,,1100000,32800000,,105100000,2700000,,,,11200000,13900000,,,,100000,100000,,,14000000,,,15900000,-6100000,81300000,91100000,105100000,,105100000,12600000,2500000,,,800000,,2300000,,58400000,,15900000,-8700000,,-300000,,-2500000,-11500000,,500000,,-3100000,-100000,-2700000,,,,7800000,7200000
