,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2012,727900000,523000000,204900000,0.2815,107000000,,,,101600000,208600000,731600000,,900000,42000000,46900000,0.0644,-4500000,-0.0062,8500000,4000000,0.0055,1400000,2600000,0.0036,0.04,0.04,58000000,58000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,42000000,,14500000,-23400000,10400000,-1000000,-20700000,-700000,400000,36100000,-40800000,-3600000,,,-40700000,-44300000,,,,,13200000,13200000,-100000,4900000,13300000,8400000,-4700000
2013,769900000,547100000,222800000,0.2894,113700000,,,,102600000,216300000,763400000,,1000000,46000000,50700000,0.0659,3900000,0.0051,-200000,3700000,0.0048,-2800000,6500000,0.0084,0.11,0.11,58000000,58000000,7800000,,7800000,121800000,79200000,36500000,245300000,103100000,,30300000,30300000,,31500000,500000,165400000,,410700000,58600000,,16700000,,53300000,111900000,,1700000,,15300000,17000000,,,128900000,,,,24600000,493900000,281800000,410700000,,410700000,6500000,46000000,,16300000,134100000,6900000,-4400000,-8200000,133400000,-148000000,54900000,-31900000,,,,-31900000,-31900000,,,,,-27700000,-27700000,-800000,-5500000,7800000,13300000,23000000
2014,817900000,561300000,256600000,0.3137,134900000,,,,108200000,243100000,804400000,,200000,44800000,54800000,0.0670,8700000,0.0106,1100000,9800000,0.0120,-900000,10700000,0.0131,0.18,0.18,58000000,58000000,19900000,,19900000,136500000,96500000,33100000,286000000,136500000,5900000,29900000,35800000,,33300000,500000,206100000,,492100000,82100000,,17500000,,54800000,136900000,,2300000,,17300000,19600000,,,156500000,,,,22700000,576800000,335600000,492100000,,492100000,10700000,44800000,,18500000,15700000,-15100000,-13500000,18700000,149100000,-26900000,62800000,-64200000,-12800000,,,-64100000,-76900000,,,,,26200000,26200000,,12100000,19900000,7800000,-1400000
2015,837100000,579200000,257900000,0.3081,140800000,128900000,,128900000,11600000,281300000,860500000,,700000,51000000,27200000,0.0325,-23400000,-0.0280,-1100000,-24500000,-0.0293,-21100000,-3400000,-0.0041,-0.06,-0.06,58409685,58409685,14500000,,14500000,150500000,99700000,46100000,310800000,143200000,5600000,21800000,27400000,,,31200000,201800000,,512600000,77800000,,3900000,30000000,14300000,122100000,,,,9800000,9800000,,,131900000,,,,12500000,367700000,380700000,512600000,,512600000,-3400000,51000000,,18200000,39600000,-17800000,-6200000,900000,188700000,-96100000,9300000,-53700000,,,,-53500000,-53500000,,,,,40700000,40700000,-1900000,-5400000,14500000,19900000,-44400000
2016,903000000,625700000,277300000,0.3071,141100000,117300000,,117300000,7400000,265800000,891500000,,100000,54600000,64400000,0.0713,11500000,0.0127,-1800000,9700000,0.0107,400000,9300000,0.0103,-0.05,-0.05,59100000,61200000,157100000,,157100000,170500000,100600000,61300000,489500000,183400000,5400000,14500000,19900000,,,33500000,236800000,,726300000,118300000,,1900000,31000000,24400000,173700000,,,,55200000,55200000,,,228900000,35800000,100000,20200000,9400000,467700000,533200000,762100000,-35800000,726300000,9300000,54600000,,24900000,127100000,-21800000,-3100000,28900000,315800000,-129300000,86600000,-82000000,,,,,-82000000,-2300000,,,-500000,139200000,136400000,1400000,142600000,157100000,14500000,4600000
2017,1001600000,683500000,318100000,0.3176,148300000,110200000,,110200000,12000000,270500000,954000000,,5500000,61000000,6700000,0.0067,47600000,0.0475,-107400000,-59800000,-0.0597,42700000,-102500000,-0.1023,-1.71,-1.71,60600000,60600000,272900000,282400000,555300000,166300000,145200000,63500000,930300000,273500000,11400000,10100000,21500000,,,7600000,302600000,,1232900000,114800000,,700000,3000000,66400000,184200000,317500000,,,112400000,429900000,,,614100000,35800000,100000,-83200000,7400000,694500000,654600000,1268700000,-35800000,1232900000,-102500000,61000000,,32700000,430300000,4200000,-41700000,-16900000,746100000,-336500000,85000000,-138100000,-5100000,-290700000,8200000,,-425700000,,,,-900000,457600000,456700000,-200000,115800000,272900000,157100000,-53100000
2018,1247700000,815600000,432100000,0.3463,156800000,128200000,,128200000,,285000000,1100600000,8500000,18200000,77200000,224800000,0.1802,139900000,0.1121,-10500000,129400000,0.1037,-118700000,248100000,0.1988,3.88,3.82,62300000,63300000,397300000,314200000,711500000,197100000,153600000,65000000,1127200000,306900000,11300000,7000000,18300000,,125600000,3500000,454300000,,1581500000,126500000,7300000,,2800000,77400000,214000000,334200000,2600000,,68800000,405600000,,7700000,619600000,35800000,100000,166400000,6400000,753200000,961900000,1581500000,,1581500000,248100000,77200000,,46800000,167100000,-30800000,-7700000,4800000,913200000,-291700000,247500000,-93200000,,-634300000,600500000,,-127000000,-6400000,,,-700000,10900000,3800000,100000,124400000,397300000,272900000,154300000
2019,1565300000,1139400000,425900000,0.2721,184600000,192300000,,192300000,70600000,447500000,1586900000,13900000,36300000,157500000,160500000,0.1025,-21600000,-0.0138,-11700000,-33300000,-0.0213,3100000,-36400000,-0.0233,-0.54,-0.54,70700000,70700000,432600000,335900000,768500000,286200000,228800000,49300000,1332800000,433300000,368900000,395400000,764300000,,55900000,130300000,1383800000,,2716600000,160800000,5400000,8700000,169000000,-41200000,294000000,835900000,,55900000,33700000,925500000,,400000,1219500000,,100000,129100000,7100000,1360800000,1497100000,2716600000,,2716600000,-36400000,157500000,,60700000,125600000,27700000,40600000,-10600000,1038800000,22700000,330100000,-166000000,-594300000,-269700000,251600000,-1300000,-779700000,-11300000,,,-700000,497100000,485100000,-200000,35300000,432600000,397300000,164100000
2020,1678600000,1028400000,650200000,0.3873,198600000,,,,235200000,433800000,1462200000,15800000,61200000,191900000,427400000,0.2546,204100000,0.1216,-29800000,174300000,0.1038,38800000,135500000,0.0807,1.79,1.75,75900000,77600000,298000000,1255800000,1553800000,233500000,188900000,73800000,2050000000,471700000,368900000,316800000,685700000,,81200000,4000000,1242600000,,3292600000,150800000,11400000,28800000,1900000,118900000,283000000,1177900000,,46500000,36000000,1260400000,,69000000,1543400000,,100000,64600000,7900000,1676600000,1749200000,3292600000,,3292600000,135500000,191900000,,73200000,728200000,5000000,32700000,-11700000,1767000000,-604500000,524300000,-86000000,20100000,-1341300000,423500000,-4000000,-987700000,-510000000,,-200000000,,1038800000,328800000,,-134600000,298000000,432600000,438300000
2021,1742800000,959700000,783100000,0.4493,214500000,,,,241400000,455900000,1415600000,5700000,66700000,177100000,706900000,0.4056,527000000,0.3024,-63900000,463100000,0.2657,65800000,397300000,0.2280,5.27,5.07,75400000,78400000,774300000,1171700000,1946000000,212800000,196400000,81600000,2436800000,428500000,368900000,241200000,610100000,,72900000,3300000,1114800000,,3551600000,116900000,402500000,43500000,600000,144600000,664600000,837400000,,35900000,40900000,914200000,,59400000,1578800000,,100000,220900000,8200000,1743600000,1972800000,3551600000,,3551600000,397300000,177100000,,92900000,5200000,20200000,-6600000,-34000000,1772200000,66200000,738700000,-84800000,1300000,-1991000000,2062200000,13300000,1000000,-500000,,-236000000,,-26900000,-263400000,,476300000,774300000,298000000,653900000
