,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1999,6700000,6400000,300000,0.0448,6000000,7800000,,7800000,-0,13800000,20200000,,300000,1600000,-11300000,-1.6866,-13500000,-2.0149,300000,-13200000,-1.9701,,-13200000,-1.9701,-0.25,-0.25,52800000,52800000,14500000,,14500000,1300000,3600000,300000,19700000,3400000,,900000,900000,,,200000,4500000,,24200000,1200000,,,,1900000,3100000,1600000,,,400000,2000000,,,5100000,,,-49200000,1800000,66500000,19100000,24200000,,24200000,-13200000,1600000,,,-16600000,-1000000,-1600000,-700000,,15400000,-12800000,-2100000,,,,100000,-2000000,,,16800000,,900000,17700000,,2900000,14500000,11600000,-14900000
2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,38832000,18635000,20197000,0.5201,4369000,,,14636000,1118000,20123000,38758000,,,,-183000,-0.0047,74000,0.0019,-255000,-181000,-0.0047,-1000,-182000,-0.0047,-0.93,-0.93,9274365,9274365,7792000,,7792000,,,,,,,,,,,,,32602000,32602000,,,,,,,,,,,,132794000,,132794000,,,,,,-100192000,32602000,,32602000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,46734000,22448000,24286000,0.5197,4567000,,,21947000,4245000,30759000,53207000,,,,-6892000,-0.1475,-6473000,-0.1385,-419000,-6892000,-0.1475,2000,-6894000,-0.1475,-1.64,-1.64,9372561,9372561,11124000,,11124000,,,,,,,,,,,,,40397000,40397000,,,,,,,,,,,,155790000,,155790000,127204000,,,,,-115393000,40397000,,40397000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,69357000,,,,,,,,,,,,,2300000,-1543000,-0.0222,69357000,1.0000,,,,,-3843000,-0.0554,-1.31,-1.31,9378741,9378741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3843000,2300000,,,,,,,,-3557000,-5100000,-3300000,,,,-500000,-3800000,,,100000,,9400000,9500000,,700000,553190000,552490000,-8400000
2005,107890000,42717000,65173000,0.6041,8548000,43085000,,43085000,1736000,53369000,96086000,,,2958000,10327000,0.0957,11804000,0.1094,-4435000,7369000,0.0683,-26012000,33381000,0.3094,0.57,0.42,9717882,13102611,14172000,,14172000,15485000,13055000,26556000,69268000,7418000,448000,3939000,4387000,,2595000,16921000,31321000,,100589000,9178000,7747000,,7047000,11083000,35055000,21313000,,,145303000,166616000,,,201671000,,10000,-100958000,-9575000,9441000,-101082000,100589000,,100589000,33381000,2958000,-27679000,,34213000,,-5231000,,34213000,-38332000,4541000,-6411000,-1984000,,,132000,-8263000,,1082000,,,5100000,6182000,-82000,2378000,14172000,11794000,-1870000
2006,224338000,61640000,162698000,0.7252,24875000,91493000,,91493000,-201368000,-85000000,-84597000,,,3669000,318072000,1.4178,308935000,1.3771,5468000,314403000,1.4015,132577000,181826000,0.8105,3.79,3.04,16319898,20302872,55382000,,55382000,23639000,17135000,21159000,117315000,10290000,448000,4592000,5040000,,3163000,23265000,41758000,,159073000,10142000,7528000,,13880000,55640000,87190000,13514000,,,1408000,14922000,,,102112000,88328000,17000,-30439000,-12220000,11275000,56961000,159073000,,159073000,181826000,3669000,6400000,,-4088000,,-4981000,,30125000,1824000,189631000,-6969000,-1326000,,,6000,-8289000,,14419000,-628000,-149703000,-4001000,-139913000,-219000,41210000,55382000,14172000,182662000
2007,256300000,73600000,182700000,0.7128,23000000,91200000,,91234000,1466000,115700000,189300000,,,5263000,73430000,0.2865,66900000,0.2610,1200000,68100000,0.2657,25867000,42300000,0.1650,0.71,0.60,16654586,38465000,96700000,,96700000,40800000,23100000,23000000,183600000,11200000,400000,5600000,6000000,,,34700000,51900000,,235500000,14600000,62000,,16827000,30311000,61800000,19500000,,,4100000,23600000,,208000,85400000,,100000,9000000,-1000000,141966000,150066000,235466000,34000,235500000,42300000,5263000,2696000,,91675000,,-7021000,,121800000,-113111000,28823000,-6966000,-187000,,,,-7153000,,48680000,-581000,-37350000,10061000,20810000,-1129000,41351000,96733000,55382000,21857000
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,307100000,89500000,217600000,0.7086,25500000,120100000,,120069000,631000,146200000,235700000,,,5745000,78109000,0.2543,71400000,0.2325,1000000,72400000,0.2358,40464000,31900000,0.1039,0.57,0.53,56320712,60190335,146900000,,146900000,42100000,27400000,15800000,232200000,13000000,400000,7400000,7800000,,,40300000,61100000,,293300000,15900000,70000,10862000,17233000,32397000,65600000,200000,,,8200000,8400000,,157000,74000000,,100000,40900000,-21500000,199891000,219391000,293391000,-91000,293300000,31900000,5745000,447000,,44800000,,-5588000,,166600000,-4714000,78178000,-9375000,,,,-67000,-9442000,,9755000,-13000,,-28547000,-18805000,246000,50177000,146910000,96733000,68803000
2010,349100000,100300000,248800000,0.7127,31700000,134600000,,134875000,25000,166600000,266900000,178000,75000,5979000,87412000,0.2504,82200000,0.2355,,82200000,0.2355,28158000,53200000,0.1524,0.92,0.88,57856522,60486364,132100000,57000000,189100000,50400000,31600000,18300000,289400000,11700000,400000,9800000,10200000,,,45000000,66900000,,356300000,16700000,60000,477000,14641000,27999000,59400000,200000,,,8000000,8200000,,231000,67600000,,100000,94100000,1000000,193514000,288714000,356314000,-14000,356300000,53200000,5979000,-808000,,63400000,-8982000,-3929000,777000,230000000,-74650000,47121000,-5487000,-1981000,-56989000,,-1866000,-64472000,-450000,2575000,,,215000,2340000,155000,-14856000,132054000,146910000,41634000
2011,438988000,144854000,294134000,0.6700,38412000,169205000,,169205000,,207617000,352471000,,,7342000,93520000,0.2130,86517000,0.1971,14000,86531000,0.1971,22478000,63700000,0.1451,1.07,1.05,59659000,60845000,129882000,,129882000,64115000,45944000,22994000,262935000,15239000,448000,11393000,11841000,,16766000,59323000,103169000,,366104000,27302000,,,16019000,32632000,75953000,,984000,,9501000,10485000,,122000,86438000,,58000,69364000,1000000,206406000,276828000,363266000,2838000,366104000,63700000,7342000,-1567000,13676000,39582000,-7549000,-3046000,5159000,186982000,-43776000,78957000,-7508000,,,,-2451000,-7508000,-50000,5943000,-36187000,,140000,-30154000,282000,41577000,129882000,88305000,71449000
2012,493200000,167000000,326200000,0.6614,47100000,193900000,,193948000,-48000,241000000,408000000,,,9369000,93552000,0.1897,85226000,0.1728,-1426000,83800000,0.1699,21883000,62300000,0.1263,1.08,1.07,57445000,58374000,71600000,,71600000,75000000,47400000,25300000,219300000,23900000,22800000,27400000,50200000,,,81300000,155400000,,374700000,27000000,55000,1504000,19278000,43167000,89500000,100000,576000,12911000,-1487000,12100000,,2092000,101600000,,100000,74400000,4000000,194579000,273079000,374679000,21000,374700000,62300000,9369000,-6468000,14097000,-57182000,-10130000,-524000,-1726000,129800000,53318000,75434000,-14492000,-37399000,,,-3664000,-51891000,-26000,1642000,-26268000,-57275000,-162000,-82089000,218000,-58328000,71554000,129882000,60942000
2013,547200000,188400000,358800000,0.6557,55600000,215500000,,215469000,8031000,279100000,467500000,,,11421000,89826000,0.1642,79717000,0.1457,-4017000,75700000,0.1383,20005000,58400000,0.1067,1.03,1.02,56690000,57480000,95500000,,95500000,84100000,56800000,35400000,271800000,24900000,22800000,28100000,50900000,,,91100000,166900000,,438700000,28000000,111000,2406000,20755000,54934000,103800000,200000,566000,19636000,-12002000,8400000,,1694000,112200000,,100000,132700000,4000000,189669000,326469000,438669000,31000,438700000,58400000,11421000,-7920000,11674000,38200000,-9576000,-9453000,968000,168000000,-57458000,54317000,-13016000,,,,-3926000,-13016000,-132000,3289000,-19790000,,-1308000,-17941000,552000,23912000,95466000,71554000,41301000
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,586643000,195864000,390779000,0.6661,56581000,241016000,,241016000,-10331000,287266000,483130000,,,12818000,113014000,0.1926,103513000,0.1764,-1472000,102041000,0.1739,27678000,72518000,0.1236,1.33,1.30,54708000,55571000,134453000,,134453000,78602000,69718000,14303000,297076000,101952000,20979000,27771000,48750000,,,117228000,267930000,,565006000,38045000,79000,6562000,21067000,64703000,123894000,125145000,453000,18065000,-8550000,135113000,,950000,259007000,,52000,205260000,-5000000,105687000,305999000,565006000,,565006000,72518000,12818000,-56000,11005000,5182000,4862000,-13434000,-1375000,173182000,-6008000,95459000,-78414000,,,,-3353000,-78414000,-111000,4680000,-102453000,,124130000,26246000,-4304000,38987000,134453000,95466000,17045000
