,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1986,222200000,180900000,41300000,0.1859,,,,28900000,13000000,41900000,222800000,,,13000000,-19400000,-0.0873,-600000,-0.0027,-31800000,-32400000,-0.1458,-18600000,-13800000,-0.0621,-0.03,-0.03,36639000,36639000,124300000,,124300000,23800000,26400000,17800000,192300000,62200000,,,,,,5100000,67300000,,259600000,,,,,74400000,74400000,,,2600000,15300000,17900000,,,92300000,,,136000000,-82900000,114200000,167300000,259600000,,259600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,223100000,186500000,36600000,0.1641,,,,26900000,6700000,33600000,220100000,,,6700000,23400000,0.1049,3000000,0.0134,13700000,16700000,0.0749,4900000,11800000,0.0529,0.02,0.02,36627000,36627000,81900000,,81900000,36300000,34800000,18100000,171100000,58700000,,,,,,1900000,60600000,,231700000,,,,,45000000,45000000,,,3300000,12800000,16100000,,,61100000,,,139100000,-89400000,120900000,170600000,231700000,,231700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,172300000,128600000,43700000,0.2536,,,,30300000,6700000,37000000,165600000,,,6700000,5400000,0.0313,6700000,0.0389,-8000000,-1300000,-0.0075,-1400000,100000,0.0006,0.00,0.00,34844000,34844000,66900000,,66900000,36000000,37700000,13500000,154100000,55600000,,,,,,1100000,56700000,,210800000,,,,,35500000,35500000,,,2100000,19600000,21700000,,,57200000,,,130700000,-94600000,117500000,153600000,210800000,,210800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,200600000,145000000,55600000,0.2772,,,,31100000,4700000,35800000,180800000,,,4700000,28900000,0.1441,19800000,0.0987,4400000,24200000,0.1206,7300000,16900000,0.0842,0.04,0.04,34781000,34781000,49900000,,49900000,50500000,55000000,7300000,162700000,53400000,,1000000,1000000,,,,54400000,,217100000,,,,,36500000,36500000,,,1100000,18200000,19300000,,,55800000,,,139300000,-97600000,119600000,161300000,217100000,,217100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,225800000,166300000,59500000,0.2635,,,,29100000,5100000,34200000,200500000,,,5100000,35400000,0.1568,25300000,0.1120,5000000,30300000,0.1342,9300000,21000000,0.0930,0.05,0.05,34781000,34781000,9100000,,9100000,36400000,76300000,37700000,159500000,52700000,,600000,600000,,,,53300000,,212800000,35800000,,,,5600000,41400000,,,2700000,7100000,9800000,,,51200000,,,139700000,-101900000,123800000,161600000,212800000,,212800000,21000000,5100000,2500000,,-3500000,,-21300000,,118100000,-10900000,14200000,-4100000,,,2500000,,-1600000,,,,-20600000,,-20600000,-100000,-20600000,,17200000,10100000
1991,236200000,172400000,63800000,0.2701,,,,39800000,5700000,45500000,217900000,,,5700000,26200000,0.1109,18300000,0.0775,2200000,20500000,0.0868,5100000,15400000,0.0652,0.03,0.03,34781000,34781000,20100000,,20100000,43600000,84300000,16900000,164900000,53700000,,400000,400000,,,,54100000,,219000000,36900000,,,,5700000,42600000,,,2600000,6700000,9300000,,,51900000,,,144800000,-106100000,128400000,167100000,219000000,,219000000,15400000,5700000,-100000,,4200000,,-8000000,,122300000,-18700000,6500000,-6300000,,,21100000,,14800000,,,,-10300000,,-10300000,100000,-10300000,,9100000,200000
1992,246400000,185600000,60800000,0.2468,,,,44000000,6300000,50300000,235900000,,,6300000,17900000,0.0726,10500000,0.0426,1100000,11600000,0.0471,3300000,8300000,0.0337,0.02,0.02,34781000,34781000,31900000,,31900000,56900000,64900000,14100000,167800000,53500000,,,,,,3800000,57300000,,225100000,,,,,43800000,43800000,,,3400000,12300000,15700000,,,59500000,,,142700000,-106100000,129000000,165600000,225100000,,225100000,8300000,6300000,800000,,1700000,,19700000,,124000000,11200000,28300000,-5100000,,,3600000,-4900000,-6400000,,,,-10300000,,-10300000,300000,-10300000,,20100000,23200000
1993,278600000,216800000,61800000,0.2218,,,,47400000,6000000,53400000,270200000,,,6000000,4700000,0.0169,8400000,0.0302,500000,8900000,0.0319,2600000,-3900000,-0.0140,-0.01,-0.01,30826000,30826000,37300000,,37300000,61100000,34200000,15400000,148000000,57000000,,3000000,3000000,,,,60000000,,208000000,52900000,,,,5500000,58400000,,,,30200000,30200000,,,88600000,,,129100000,-111100000,101400000,119400000,208000000,,208000000,-3900000,6000000,-1400000,,-34400000,,30700000,,89600000,96400000,62700000,-10300000,,-6000000,,,-16300000,,,-30500000,-9800000,,-40300000,-700000,-40300000,,31900000,52400000
1994,275400000,201100000,74300000,0.2698,,,,46800000,6400000,53200000,254300000,,,6400000,28900000,0.1049,21100000,0.0766,1400000,22500000,0.0817,8500000,14000000,0.0508,0.48,0.48,29486004,29486004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000000,6400000,-3000000,,-65400000,,6400000,,24200000,85000000,37000000,-5300000,,-3500000,,-10700000,-19500000,,,-31100000,-8700000,100000,-39700000,100000,-39700000,,37300000,31700000
1995,313100000,230900000,82200000,0.2625,,52300000,,52300000,6800000,59100000,290000000,,,6800000,30000000,0.0958,23100000,0.0738,100000,23200000,0.0741,8600000,14600000,0.0466,0.56,0.56,25901339,25901339,15100000,,15100000,51000000,52900000,16100000,135100000,87700000,,92400000,92400000,,,9700000,189800000,,324900000,66000000,36900000,,,8000000,110900000,101200000,,,31100000,132300000,,,243200000,,,132400000,-101100000,50400000,81700000,324900000,,324900000,14600000,6800000,-800000,,-6600000,,-5900000,,17600000,2400000,16400000,-19200000,,,10400000,-100200000,-109000000,,,,-7700000,111300000,103600000,,103600000,,4100000,-2800000
1996,500500000,354200000,146300000,0.2923,,82600000,,82600000,11600000,94200000,448400000,,,11600000,54100000,0.1081,52100000,0.1041,-9600000,42500000,0.0849,16900000,25600000,0.0511,0.99,0.99,25900553,25900553,14400000,,14400000,53900000,44000000,15600000,127900000,84700000,,92200000,92200000,,,12900000,189800000,,317700000,91000000,11100000,,,8200000,110300000,76500000,,,30600000,107100000,,,217400000,,,150400000,-104700000,54600000,100300000,317700000,,317700000,25600000,11600000,-4400000,,-42900000,,9000000,,-25300000,74600000,64500000,-8400000,,-100000,,1100000,-7400000,,,,-7700000,-50500000,-58200000,300000,-58200000,,15100000,56100000
1997,545900000,384700000,161200000,0.2953,,84200000,,84200000,12000000,96200000,480900000,,,12000000,69800000,0.1279,65000000,0.1191,-7200000,57800000,0.1059,21400000,36400000,0.0667,1.41,1.39,25876777,26124402,11900000,,11900000,59200000,54700000,19700000,145500000,91200000,,147000000,147000000,,,12700000,250900000,,396400000,96500000,64500000,,,9800000,170800000,66400000,,,30600000,97000000,,,267800000,,,179100000,-111600000,61100000,128600000,396400000,,396400000,36400000,12000000,-3200000,,18100000,,-6000000,,-7200000,-19700000,43600000,-12000000,,-100000,,-63500000,-75600000,,,,-7700000,37200000,29500000,,29500000,,14400000,31600000
1998,694800000,489100000,205700000,0.2961,,98100000,,98100000,15000000,113100000,602200000,,,15000000,96400000,0.1387,92600000,0.1333,-11200000,81400000,0.1172,30000000,51400000,0.0740,1.98,1.97,25959596,26135593,10600000,,10600000,69500000,82000000,28800000,190900000,93600000,,184900000,184900000,,,11600000,290100000,,481000000,123500000,59500000,,,15100000,198100000,79800000,,,30500000,110300000,,,308400000,,,222700000,-117800000,67700000,172600000,481000000,,481000000,51400000,15000000,-5700000,,8900000,,-18700000,,1700000,-12800000,56800000,-59900000,,-100000,,1400000,-58600000,,400000,,-7700000,7800000,500000,,500000,,11900000,-3100000
1999,805500000,561900000,243600000,0.3024,,107400000,,107400000,17300000,124700000,686600000,,,17300000,123300000,0.1531,118900000,0.1476,-12900000,106000000,0.1316,39200000,66800000,0.0829,2.57,2.55,25992218,26196078,10100000,1900000,12000000,62800000,91400000,24800000,191000000,92000000,,232700000,232700000,,,14500000,339200000,,530200000,141900000,32800000,,,14600000,189300000,79200000,,,29500000,108700000,,,298000000,,400000,281700000,-122300000,72400000,232200000,530200000,,530200000,66800000,17300000,-600000,,-17683000,,-4200000,,-15983000,37583000,103400000,-75800000,,-100000,,6500000,-69400000,,1200000,,-7800000,-27800000,-34400000,,-500000,10100000,10600000,27600000
2000,873272000,626994000,246278000,0.2820,,114901000,,114901000,18725000,133626000,760620000,,,18725000,114845000,0.1315,112652000,0.1290,-16532000,96120000,0.1101,35852000,60268000,0.0690,2.42,2.40,24904132,25111667,13983000,2044000,16027000,88231000,91178000,28071000,223507000,99940000,,308751000,308751000,,,10332000,419023000,,642530000,144713000,81270000,,,13507000,239490000,137668000,,,31603000,169271000,,,408761000,,367000,334433000,-137931000,36900000,233769000,642530000,,642530000,60268000,18725000,7148000,,50912000,,6402000,,34929000,-74006000,63047000,-13415000,-98982000,-121000,,3481000,-109037000,,339000,-49752000,-7507000,106926000,50006000,-130000,3886000,13983000,10097000,49632000
2001,1116580000,831768000,284812000,0.2551,,153879000,,153879000,12554000,166433000,998201000,,,36563000,112928000,0.1011,118379000,0.1060,-38690000,79689000,0.0714,30817000,45548000,0.0408,1.87,1.86,24357219,24488172,23581000,2151000,25732000,141211000,123056000,41091000,331090000,175384000,,525695000,525695000,,,48643000,749722000,,1080812000,113098000,42048000,,,141015000,296161000,446522000,,,74334000,520856000,,,817017000,,367000,372623000,-245562000,136367000,263795000,1080812000,,1080812000,45548000,36563000,1667000,,151837000,,25565000,,186766000,-129000000,106615000,-29261000,-285533000,-107000,,10219000,-304682000,,183000,,-7358000,214895000,207720000,-55000,9598000,23581000,13983000,77354000
2002,1406577000,1080219000,326358000,0.2320,,199962000,,199962000,5901000,205863000,1286082000,,,39169000,41268000,0.0293,112786000,0.0802,-50006000,62780000,0.0446,22601000,-20502000,-0.0146,-0.82,-0.82,25002439,25627500,28035000,2371000,30406000,226091000,255218000,135449000,647164000,319301000,,507637000,507637000,,19662000,83359000,929959000,,1577123000,184786000,42632000,,,232980000,460398000,623547000,,,198063000,821610000,,,1282008000,,367000,344689000,-280367000,230426000,295115000,1577123000,,1577123000,-20502000,39169000,-10561000,,-85901000,,9141000,,100865000,172334000,94539000,-32996000,976000,-220000,,27807000,-4433000,,1511000,,-7432000,-79481000,-85402000,-250000,4454000,28035000,23581000,61543000
2003,1593186000,1255957000,337229000,0.2117,,250580000,,250580000,-9978000,240602000,1496559000,,,50166000,57784000,0.0363,86538000,0.0543,-63932000,22606000,0.0142,4069000,3549000,0.0022,0.13,0.13,27300000,27300000,44968000,2220000,47188000,245010000,232877000,121014000,646089000,334618000,,530613000,530613000,,34491000,56770000,956492000,,1602581000,454394000,25216000,,,65614000,545224000,567084000,,,191849000,758933000,,,1304157000,,367000,340792000,-327768000,285033000,298424000,1602581000,,1602581000,3549000,50166000,-2492000,,92416000,,25701000,,193281000,7224000,150863000,-31977000,,,150000,16727000,-15100000,,118000,,-7446000,-115216000,-122544000,3714000,16933000,44968000,28035000,118886000
2004,1964101000,1582131000,381970000,0.1945,,269639000,,269639000,3141000,272780000,1854911000,,,57225000,105698000,0.0538,107897000,0.0549,-58768000,49129000,0.0250,9335000,39138000,0.0199,1.45,1.43,26991724,27369231,176415000,2248000,178663000,244335000,287036000,135927000,845961000,357568000,,606210000,606210000,,48490000,69907000,1082175000,,1928136000,513504000,71605000,,,67571000,652680000,512236000,,,244291000,756527000,,,1409207000,,397000,372398000,-348953000,495087000,518929000,1928136000,,1928136000,39138000,57225000,-5163000,,69848000,,-84983000,,263129000,-104085000,56963000,-44386000,,-28000,,24458000,-19956000,,111635000,,-7532000,-11476000,92627000,1813000,131447000,176415000,44968000,12577000
2005,2254097000,1832229000,421868000,0.1872,,282271000,,282271000,3065000,285336000,2117565000,,,65601000,146173000,0.0648,133290000,0.0591,-59432000,73858000,0.0328,14772000,65800000,0.0292,2.18,2.14,30183486,30747664,229511000,2310000,231821000,243193000,331453000,146916000,953383000,353917000,,569455000,569455000,,26683000,58339000,1008394000,,1961777000,591771000,19374000,,,79109000,690254000,474000000,,,254195000,728195000,,,1418449000,,397000,429751000,17000000,96180000,543328000,1961777000,,1961777000,65800000,65601000,13980000,,-55829000,,-113454000,,207300000,17189000,106741000,-54922000,,-62000,15104000,28290000,-11590000,,10829000,,-8447000,-40504000,-38122000,-3933000,53096000,229511000,176415000,51819000
2006,2933300000,2286000000,647300000,0.2207,341600000,,,,3300000,344900000,2630900000,,,73700000,318300000,0.1085,302400000,0.1031,-57500000,244900000,0.0835,78400000,166200000,0.0567,5.42,5.30,30664207,31358491,173700000,2400000,176100000,285200000,492400000,189000000,1142700000,398900000,462100000,160000000,622100000,,14300000,41500000,1076800000,,2219500000,496900000,4100000,,48100000,386300000,935400000,264300000,,,245300000,509600000,,,1445000000,,700000,587400000,48000000,138400000,774500000,2219500000,,2219500000,166200000,73700000,-3800000,,293700000,,-160600000,,501000000,-235700000,294100000,-67600000,-48100000,-100000,,-4800000,-120600000,,30200000,,-8600000,-257000000,-235400000,6100000,-55800000,173700000,229500000,226500000
2007,4005000000,3093400000,911600000,0.2276,401900000,,,,7800000,409700000,3503100000,,,89200000,555300000,0.1387,501900000,0.1253,-38900000,463000000,0.1156,129400000,336700000,0.0841,10.80,10.56,31175926,31884470,363900000,2500000,366400000,427100000,597700000,184400000,1575600000,489500000,518800000,200600000,719400000,,27600000,56600000,1293100000,,2868700000,608900000,13100000,,55900000,396700000,1074600000,217500000,,,226700000,444200000,,,1518800000,,1400000,903800000,115000000,329700000,1349900000,2868700000,,2868700000,336700000,89200000,4200000,,15200000,,-105200000,,516200000,-207100000,238200000,-119600000,-75000000,-100000,,8200000,-186500000,,185000000,,-9500000,-47700000,127800000,10700000,190200000,363900000,173700000,118600000
2008,4503000000,3487200000,1015800000,0.2256,,455100000,,455100000,11600000,466700000,3953900000,,,97500000,88300000,0.0196,519800000,0.1154,-440600000,79200000,0.0176,1500000,-10700000,-0.0024,-0.32,-0.32,32482687,32482687,173000000,2600000,175600000,608200000,925300000,425200000,2134300000,728800000,1890500000,1009000000,2899500000,,,302800000,3931100000,,6065400000,649200000,182300000,,49500000,737100000,1618100000,2473000000,,283700000,390800000,3147500000,,,4765600000,,1400000,882700000,69000000,346700000,1299800000,6065400000,,6065400000,-10700000,97500000,6900000,,-398500000,,-179900000,,117700000,613800000,309000000,-150300000,-1912100000,-100000,,-362700000,-2425200000,,8500000,,-10400000,1928800000,1926900000,-4600000,-193900000,173000000,366900000,158700000
