,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1985,140000000,62200000,77800000,0.5557,,,,58400000,3800000,62200000,124400000,,,3800000,19700000,0.1407,15600000,0.1114,300000,15900000,0.1136,6200000,9700000,0.0693,0.11,0.11,88181818,88181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,168700000,69600000,99100000,0.5874,,,,71700000,4900000,76600000,146200000,,,4900000,27100000,0.1606,22500000,0.1334,-300000,22200000,0.1316,8400000,13800000,0.0818,0.17,0.17,81176471,81176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,205200000,75800000,129400000,0.6306,,,,84100000,5800000,89900000,165700000,,,5800000,45500000,0.2217,39500000,0.1925,200000,39700000,0.1935,15000000,24700000,0.1204,0.29,0.29,83728814,83728814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,245000000,91500000,153500000,0.6265,,,,99000000,5200000,104200000,195700000,,,5200000,53800000,0.2196,49300000,0.2012,-700000,48600000,0.1984,17000000,31600000,0.1290,0.39,0.39,81025641,81025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,282100000,108200000,173900000,0.6164,,,,112700000,8400000,121100000,229300000,,,8400000,60200000,0.2134,52800000,0.1872,-1000000,51800000,0.1836,17600000,34200000,0.1212,0.45,0.45,76853933,76853933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34200000,8400000,100000,,-30000000,,-18700000,,,700000,13400000,-20700000,,,6600000,-13900000,-28000000,,7200000,-16400000,-6100000,26600000,11300000,-300000,11300000,,7000000,-7300000
1990,344900000,142400000,202500000,0.5871,,,,140500000,12300000,152800000,295200000,,,12300000,57100000,0.1656,49700000,0.1441,-4900000,44800000,0.1299,15500000,29300000,0.0850,0.39,0.39,76103896,76103896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29300000,12300000,-1500000,,,,5600000,,,-1400000,38700000,-15200000,,,1100000,-5000000,-19100000,,6600000,-10400000,-6800000,-4200000,-14800000,-700000,-14800000,,3400000,23500000
1991,388000000,144100000,243900000,0.6286,,,,170800000,14700000,185500000,329600000,,,14700000,66700000,0.1719,58400000,0.1505,-6400000,52000000,0.1340,18200000,33800000,0.0871,0.45,0.45,75955056,75955056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33800000,14700000,-3300000,,,,-7400000,,,-7700000,37500000,-9800000,,,800000,-5600000,-14600000,,5400000,-8600000,-7500000,-10000000,-20700000,300000,-20700000,,7500000,27700000
1992,425600000,151800000,273800000,0.6433,,,,189900000,16700000,206600000,358400000,,,16700000,77400000,0.1819,67200000,0.1579,-6500000,60700000,0.1426,21200000,39500000,0.0928,0.51,0.51,77450980,77450980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500000,16700000,-1800000,,,,-2000000,,,-8400000,46000000,-18600000,,-5100000,,1700000,-22000000,,10400000,-22800000,-8300000,-5600000,-26300000,-300000,-26300000,,10000000,27400000
1993,461600000,174500000,287100000,0.6220,,,,202600000,17100000,219700000,394200000,,,17100000,74600000,0.1616,67400000,0.1460,-5100000,62300000,0.1350,21500000,36000000,0.0780,0.47,0.47,76595745,76595745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000,17100000,-6000000,,,,-2100000,,,14400000,61500000,-15800000,,-6900000,7300000,-100000,-15500000,,5000000,-9400000,-9000000,-23200000,-36600000,1400000,-36600000,,7400000,45700000
1994,506700000,212900000,293800000,0.5798,,219400000,,219400000,,219400000,432300000,,,18400000,89300000,0.1762,74400000,0.1468,-3500000,70900000,0.1399,24200000,46700000,0.0922,0.61,0.61,75934959,75934959,4600000,6500000,11100000,120100000,93600000,25500000,250300000,88700000,,29900000,29900000,,,12000000,130600000,,380900000,26900000,26900000,,,69500000,123300000,19300000,,,25900000,45200000,,,168500000,,12300000,300200000,17000000,,212400000,380900000,,380900000,46700000,18400000,-3900000,,127000000,,-7300000,,127000000,-141200000,47000000,-20600000,,-4100000,2800000,-3700000,-25600000,,7100000,-33700000,-10400000,1800000,-35200000,200000,-35200000,,18100000,26400000
1995,581400000,245600000,335800000,0.5776,,251900000,,251900000,,251900000,497500000,,,20600000,101300000,0.1742,83900000,0.1443,-3300000,80600000,0.1386,28000000,52700000,0.0906,0.71,0.71,74225352,74225352,400000,1200000,1600000,146800000,110200000,27300000,285900000,99500000,28800000,3000000,31800000,,,17500000,148800000,,434700000,28300000,43200000,,,83900000,155400000,17100000,,,30900000,48000000,,,203400000,,12300000,341200000,19600000,,231300000,434700000,,434700000,52700000,20600000,-4900000,,3500000,,-14400000,,130500000,-29800000,42100000,-25000000,,-2000000,7300000,-3000000,-22700000,,1300000,-25300000,-11700000,11200000,-24500000,900000,-24500000,,4600000,17100000
