,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2010,32098000,15866000,16232000,0.5057,,12742000,,12742000,2706000,15448000,31314000,,260000,1137000,1354000,0.0422,285000,0.0089,-259000,26000,0.0008,132000,-175000,-0.0055,-0.03,-0.03,5546400,5546400,3438000,,3438000,16687000,,1615000,21740000,2032000,4496000,3259000,7755000,,,809000,10596000,,32336000,3857000,,,1608000,10120000,15585000,4909000,,27000,2135000,7071000,,,22656000,,22000,-175000,-471000,6018000,5394000,28050000,4286000,32336000,-175000,1137000,-476000,64000,1681000,1991000,,-991000,6155000,344000,2575000,-218000,-2451000,,,,-2669000,-4094000,5507000,-341000,,2550000,3622000,-2000,3622000,3438000,,2357000
2011,63366000,30948000,32418000,0.5116,,24238000,,24238000,5357000,29595000,60543000,,376000,1949000,4180000,0.0660,2728000,0.0431,-376000,2352000,0.0371,436000,1419000,0.0224,0.26,0.26,5546400,5546400,2762000,,2762000,15457000,,393000,18612000,1256000,4336000,2386000,6722000,,378000,1032000,9388000,,28000000,3564000,,,710000,7860000,12134000,3880000,,,1464000,5344000,,,17478000,,27000,985000,-1338000,10848000,10522000,28000000,,28000000,1419000,1949000,-2021000,153000,323000,643000,,-481000,6478000,599000,2422000,-372000,,,,51000,-321000,-1513000,,-677000,,-587000,-2777000,,-676000,2762000,3438000,2050000
2012,60576000,28908000,31668000,0.5228,,24453000,,24453000,4858000,29311000,58219000,,389000,1468000,3825000,0.0631,2357000,0.0389,-389000,1968000,0.0325,675000,1293000,0.0213,0.32,0.32,4000000,4000000,2294000,,2294000,15052000,,854000,18200000,1273000,5857000,2758000,8615000,,619000,1256000,11763000,,29963000,3261000,,,477000,9384000,13122000,3851000,,,1621000,5472000,,,18594000,,26000,2278000,-1773000,10838000,11369000,29963000,,29963000,1293000,1468000,-1474000,217000,-1400000,942000,,-383000,5078000,1432000,1536000,-554000,-1000000,,,,-1554000,-1796000,,-904000,,2250000,-450000,,-468000,2294000,2762000,982000
2013,68232000,33416000,34816000,0.5103,,26081000,,26081000,4839000,30920000,64336000,,263000,1514000,5410000,0.0793,3896000,0.0571,-263000,3633000,0.0532,874000,2759000,0.0404,0.75,0.70,3660289,3967056,13868000,,13868000,16722000,,1513000,32103000,1310000,7106000,2993000,10099000,,724000,639000,12772000,,44875000,3780000,1725000,,512000,5974000,11991000,2502000,,,1573000,4075000,,,16066000,,55000,5037000,-2026000,25743000,28809000,44875000,,44875000,2759000,1514000,-566000,365000,15034000,-426000,,133000,20112000,-15685000,3421000,-533000,-1617000,,,,-2150000,-4139000,9660000,-772000,,5554000,10303000,,11574000,13868000,2294000,2888000
2014,108382000,63201000,45181000,0.4169,,31752000,,31752000,5186000,36938000,100139000,,274000,1988000,10231000,0.0944,8243000,0.0761,-274000,7969000,0.0735,3076000,4893000,0.0451,0.96,0.87,5102058,5592010,6872000,,6872000,27015000,,1582000,35469000,1625000,11142000,5221000,16363000,,1123000,810000,19921000,,55390000,5335000,2878000,,398000,6910000,15521000,3378000,,,886000,4264000,,,19785000,,58000,9930000,-2410000,28027000,35605000,55390000,,55390000,4893000,1988000,248000,752000,-164000,-7592000,,1316000,19948000,-6297000,1420000,-825000,-4650000,,,,-5475000,-1999000,,-687000,,-255000,-2941000,,-6996000,6872000,13868000,595000
2015,154655000,85877000,68778000,0.4447,,46661000,,46661000,8418000,55079000,140956000,,212000,3468000,17167000,0.1110,13699000,0.0886,-212000,13487000,0.0872,4995000,8492000,0.0549,1.25,1.18,6773135,7215898,23476000,,23476000,47747000,,2532000,73755000,3091000,21679000,12367000,34046000,,,877000,38014000,,111769000,6658000,4347000,,403000,10835000,22243000,6360000,,1582000,821000,8763000,,,31006000,,81000,18422000,-2963000,65223000,80763000,111769000,,111769000,8492000,3468000,-666000,1696000,31564000,-4846000,,-3830000,51512000,-38582000,5972000,-601000,-10427000,,,,-11028000,-10797000,32068000,-3584000,,3973000,21660000,,16604000,23476000,6872000,5371000
2016,223910000,116330000,107580000,0.4805,,74937000,,74937000,14240000,89177000,205507000,,257000,6228000,24631000,0.1100,18403000,0.0822,-257000,18146000,0.0810,6539000,11607000,0.0518,1.27,1.22,9125167,9540051,35666000,,35666000,75511000,,4047000,115224000,6683000,59380000,40861000,100241000,,,1511000,108435000,,223659000,13509000,10764000,,334000,19014000,43621000,21632000,,8370000,1875000,31877000,,,75498000,,106000,30029000,-4463000,122489000,148161000,223659000,,223659000,11607000,6228000,-1837000,2343000,20091000,-7681000,,3047000,71603000,-23219000,15213000,-985000,-45811000,,,,-46796000,-4594000,51319000,-4173000,,1221000,43773000,,12190000,35666000,23476000,14228000
2017,333034000,167780000,165254000,0.4962,,125558000,,125558000,13128000,138686000,306466000,,1935000,13128000,39696000,0.1192,26568000,0.0798,-1935000,24633000,0.0740,627000,24006000,0.0721,2.36,2.23,10178901,10777806,18751000,,18751000,110087000,,2555000,131393000,8731000,98899000,65754000,164653000,,10905000,-9902000,174387000,,305780000,18373000,11127000,6102000,665000,26270000,56435000,57430000,,10905000,913000,69248000,,,125683000,,108000,54035000,-6127000,132081000,180097000,305780000,,305780000,24006000,13128000,-11242000,4011000,3355000,-14713000,,-1495000,74958000,-15633000,17625000,-2239000,-60633000,,,,-62872000,-18105000,,,,46437000,28332000,,-16915000,18751000,35666000,15386000
2018,418081000,216677000,201404000,0.4817,,148335000,,148335000,17384000,165719000,382396000,,1966000,17384000,53069000,0.1269,35685000,0.0854,-1966000,33719000,0.0807,6863000,26856000,0.0642,2.44,2.33,10991124,11506466,40739000,,40739000,141735000,,2582000,185056000,11677000,140930000,99756000,240686000,,16224000,-14222000,254365000,,439421000,22588000,17139000,2697000,7625000,25603000,72955000,29847000,,16224000,2853000,48924000,,,121879000,,126000,80891000,-10358000,246883000,317542000,439421000,,439421000,26856000,17384000,-3585000,6697000,37143000,-8662000,,398000,112101000,-49496000,34999000,-2203000,-58155000,,,,-60358000,-46241000,100330000,-6861000,,119000,47347000,,21988000,40739000,18751000,32796000
2019,508938000,263556000,245382000,0.4821,,188359000,,188359000,25816000,214175000,477731000,,2275000,25816000,57023000,0.1120,31207000,0.0613,-2275000,28932000,0.0568,5176000,23756000,0.0467,1.96,1.90,12116185,12513034,31825000,,31825000,210469000,,8906000,251200000,72046000,309216000,255961000,565177000,,53341000,-48627000,641937000,,893137000,36116000,25332000,,53341000,-431000,114358000,332854000,,,89962000,422816000,,47681000,537174000,,129000,104647000,-29257000,280444000,355963000,893137000,,893137000,23756000,25816000,-6634000,10430000,24741000,5140000,,534000,136842000,-38209000,39900000,-2625000,-348375000,,,,-351000000,-23393000,,,,325579000,302186000,,-8914000,31825000,40739000,37275000
