,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1994,846000000,710800000,135200000,0.1598,,,,,99000000,99000000,809800000,,,13800000,37300000,0.0441,36200000,0.0428,-14100000,22100000,0.0261,13100000,10400000,0.0123,0.62,0.62,16774194,16774194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10400000,13800000,4900000,,2300000,,6900000,,,62900000,94300000,-2600000,,-5000000,53900000,64400000,110700000,,,-17100000,,-177600000,-194700000,,-194700000,,61100000,91700000
1995,869100000,736200000,132900000,0.1529,,,,,104700000,104700000,840900000,,,14800000,49100000,0.0565,28200000,0.0324,5200000,33400000,0.0384,17000000,17300000,0.0199,1.13,1.12,15309735,15446429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17300000,14800000,-3600000,,,,-45200000,,,-86600000,-58100000,-3600000,,,23000000,6600000,26000000,,,-2600000,,18700000,16100000,,16100000,,71500000,-61700000
1996,1069900000,899000000,170900000,0.1597,,94700000,,94700000,15400000,110100000,1009100000,,,15400000,64100000,0.0599,60800000,0.0568,-12100000,48700000,0.0455,22900000,25800000,0.0241,1.72,1.72,15000000,15182482,74800000,,74800000,2900000,171700000,,249400000,18800000,,,,,,233000000,251800000,,501200000,62300000,100000,,,85300000,147700000,201500000,,,,201500000,,,349200000,,,47100000,-19300000,124200000,152000000,501200000,,501200000,25800000,15400000,-300000,,101700000,,-17000000,,101700000,-103800000,38800000,-4300000,,,84900000,4300000,84900000,,,-35100000,,-69300000,-104400000,,-104400000,,55600000,34500000
1997,1154000000,990300000,163700000,0.1419,,110800000,,110800000,13300000,124100000,1114400000,,,13300000,67200000,0.0582,39600000,0.0343,14300000,53900000,0.0467,25000000,28900000,0.0250,2.44,2.18,11844262,13256881,45700000,,45700000,3400000,224000000,,273100000,17800000,,10800000,10800000,,,262900000,291500000,,564600000,76900000,108400000,,,94900000,280200000,139700000,,,100000,139800000,,,420000000,,,76000000,-21300000,89900000,144600000,564600000,,564600000,28900000,13300000,-600000,,-108800000,,-31400000,,-7100000,52200000,-15000000,-3100000,,,19300000,3000000,19200000,,,-45500000,,12300000,-33200000,,-33200000,,74800000,-18100000
1998,1559800000,1269000000,290800000,0.1864,,143300000,,143300000,13400000,156700000,1425700000,,,13400000,114400000,0.0733,134100000,0.0860,-23700000,110400000,0.0708,44300000,56700000,0.0364,5.10,4.26,11117647,13309859,68500000,,68500000,1500000,288600000,,358600000,17600000,,9700000,9700000,,,338500000,365800000,,724400000,100000000,165800000,,,138300000,404100000,154500000,,,100000,154600000,,,558700000,,,132700000,-21300000,54300000,165700000,724400000,,724400000,56700000,13400000,-10900000,,-38400000,,-64600000,,-45500000,-32500000,-11700000,-4000000,,,14600000,29000000,39600000,,,-50200000,,45000000,-5200000,,-5200000,,45700000,-15700000
1999,2006600000,1604900000,401700000,0.2002,,180800000,,180800000,14700000,195500000,1800400000,,,14700000,199900000,0.0996,206200000,0.1028,-21000000,185200000,0.0923,76300000,108900000,0.0543,10.69,9.01,10187091,12086570,89100000,,89100000,2200000,323500000,,414800000,13100000,,11300000,11300000,,,328100000,352500000,,767300000,113000000,125800000,,,175500000,414300000,152300000,,,100000,152400000,,,566700000,,200000,241600000,-16000000,,200600000,767300000,,767300000,108900000,14700000,-11900000,,46000000,,-34800000,,500000,57700000,215400000,-9100000,,,1800000,33400000,26100000,,,-101800000,,-119000000,-220800000,,20600000,89100000,68500000,206300000
2000,2317220000,1828725000,488495000,0.2108,,186445000,,186445000,13840000,200285000,2029010000,,,13840000,280694000,0.1211,288210000,0.1244,-21356000,266854000,0.1152,108608000,158246000,0.0683,17.42,14.98,9084156,10563818,137708000,,137708000,6670000,334681000,,479059000,15865000,,7472000,7472000,,,338864000,362201000,,841260000,117824000,53488000,,,237273000,408585000,120167000,,,65028000,185195000,,,593780000,,206000,399810000,-21349000,,247480000,841260000,,841260000,158246000,13840000,-6983000,,69974000,,-11226000,,70474000,-41371000,193706000,-5027000,,,826000,16334000,12133000,,,-55283000,,-101974000,-157257000,,48582000,137708000,89126000,188679000
2001,2623752000,2002290000,621462000,0.2369,,204876000,,204876000,40948000,245824000,2248114000,,,15162000,409820000,0.1562,375638000,0.1432,19020000,394658000,0.1504,157864000,236794000,0.0903,29.87,24.86,7927486,9525101,138611000,,138611000,5745000,402375000,,546731000,16178000,48927000,6379000,55306000,,51283000,325549000,448316000,,995047000,138013000,118711000,,,268946000,525670000,115000000,,,5259000,120259000,,,645929000,,206000,636604000,-22363000,,349118000,995047000,,995047000,236794000,15162000,-6277000,,-49413000,,-67694000,,21061000,-45949000,150317000,-6694000,,,4102000,18468000,15876000,,6213000,-232125000,,60622000,-165290000,,903000,138611000,137708000,143623000
2002,3126125000,2335369000,790756000,0.2530,,250018000,,250018000,38336000,288354000,2623723000,,,7657000,543680000,0.1739,502402000,0.1607,33621000,536023000,0.1715,204553000,331470000,0.1060,45.54,36.05,7278656,9297607,142845000,,142845000,10807000,436674000,,590326000,23067000,48927000,6379000,55306000,,74642000,438947000,591962000,,1182288000,161691000,139257000,,,358192000,659140000,115000000,,,4903000,119903000,,,779043000,,206000,968074000,-22020000,-543015000,403245000,1182288000,,1182288000,331470000,7657000,-21669000,,-89875000,,-34299000,,-68814000,153633000,381216000,-12262000,,,794000,7505000,-3963000,,8784000,-399868000,,18065000,-373019000,,4234000,142845000,138611000,368954000
2003,3677564000,2711861000,965703000,0.2626,,255789000,,255789000,49439000,305228000,3017089000,,,8427000,704599000,0.1916,660475000,0.1796,35697000,696172000,0.1893,276381000,419791000,0.1141,59.28,48.39,7082000,8674000,232219000,,232219000,9550000,536580000,,778349000,25406000,48927000,6379000,55306000,,73985000,430059000,584756000,,1363105000,198079000,53340000,,,412299000,663718000,200000000,,,4519000,204519000,,,868237000,,206000,1387865000,-23547000,-869656000,494868000,1363105000,,1363105000,419791000,8427000,-3429000,,183445000,,-87099000,,114631000,-55449000,552785000,-9456000,,,8333000,12460000,11337000,,9483000,-478330000,,-5901000,-474748000,,89374000,232219000,142845000,543329000
