,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1991,28500000,49400000,-20900000,-0.7333,,17700000,,17700000,49400000,67100000,116500000,,49400000,1200000,61500000,2.1579,10900000,0.3825,,10900000,0.3825,4500000,6400000,0.2246,0.05,0.05,123800000,123800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6400000,1200000,-300000,,6800000,,,,,100000,14200000,-300000,,,,-64900000,-65200000,,,,,41000000,41000000,,-10000000,-10000000,,13900000
1992,40800000,37300000,3500000,0.0858,,21200000,,21200000,37300000,58500000,95800000,,37300000,2100000,58200000,1.4265,19700000,0.4828,,19700000,0.4828,8300000,10500000,0.2574,0.08,0.08,123800000,123800000,,,,,,,,11000000,,,,,,6000000,,951000000,951000000,1000000,15000000,,,,16000000,,,,10000000,,843000000,,859000000,,,92000000,,,92000000,951000000,,951000000,10500000,2100000,-1300000,,,,,,,6700000,18000000,-200000,,,,-58200000,-58400000,,,,,28200000,28200000,,-12300000,-12300000,,17800000
1993,48300000,,,,,16300000,,16300000,,,,75100000,28700000,2000000,52800000,1.0932,,,,22100000,0.4576,10000000,12100000,0.2505,0.12,0.12,100782942,100782942,55000000,,55000000,,,,,11400000,,,,,,,,1089700000,1089700000,,,,,,,10800000,,,,10800000,907700000,,896900000,,,104500000,,88300000,192800000,1089700000,,1089700000,12100000,2000000,,,33000000,,,,,14800000,61900000,-800000,,-177300000,186400000,-127700000,-118600000,-18000000,,,,110400000,92400000,,92400000,,19200000,61100000
1994,56600000,,,,,17700000,,17700000,,,,83100000,28500000,1100000,62000000,1.0954,,,,32400000,0.5724,13600000,18800000,0.3322,0.18,0.17,106612831,111351319,12000000,,12000000,,,,,10800000,,,,,,,,1170800000,1170800000,,,,,,,83300000,,,,83300000,1048800000,,965500000,,,122600000,,82700000,205300000,1170800000,,1170800000,18800000,1100000,-1600000,,-29200000,,,,,4500000,-6400000,-100000,,-67500000,103900000,-157900000,-121500000,,,,-600000,85500000,84900000,,84900000,,55000000,-6500000
1995,54900000,,,,,17800000,,17800000,,,,91500000,39600000,900000,72400000,1.3188,,,,31900000,0.5811,11700000,20200000,0.3679,0.20,0.19,99703358,105567924,39000000,,39000000,,,,,10500000,,,,,,,,1240900000,1240900000,,,,,,,46100000,,,,46100000,1069400000,,1023300000,,,141000000,,76600000,217600000,1240900000,,1240900000,20200000,900000,-500000,,4500000,,,,,4900000,30000000,-400000,,-57500000,73600000,-59600000,-43500000,,,,-1900000,42500000,40600000,,40600000,,12000000,29600000
1996,59900000,,,,,16200000,,16200000,,,,102300000,44800000,1400000,84900000,1.4174,,,,38700000,0.6461,17800000,20900000,0.3489,0.21,0.21,99694662,99694662,21000000,,21000000,,,,,11100000,,,,,,,,1358700000,1358700000,,81400000,,,,81400000,,,,,,1065900000,,1147300000,,,154900000,,56500000,211400000,1358700000,,1358700000,20900000,1400000,2500000,,1500000,,,,,2500000,28800000,-1300000,,-96000000,106100000,-150900000,-140800000,,,,-7000000,101100000,94100000,,94100000,,39000000,27500000
1997,64700000,,,,,18900000,,18900000,,,,117700000,55300000,1300000,94300000,1.4575,,,,37700000,0.5827,14400000,23300000,0.3601,0.29,0.27,81750298,87370631,22800000,,22800000,,,,,10800000,,,,,,,,1603300000,1603300000,,309700000,,,,309700000,,,,,,1123100000,,1432800000,,,166200000,,4300000,170500000,1603300000,,1603300000,23300000,1300000,-2200000,,3600000,,,,,8900000,34900000,-700000,,-83500000,96500000,-249400000,-236400000,,,,-11900000,215100000,203200000,,203200000,,21000000,34200000
1998,71100000,,,,,18500000,,18500000,,,,134300000,65800000,1300000,112200000,1.5781,,,,45100000,0.6343,18200000,26900000,0.3783,0.35,0.34,76308241,80294493,46600000,,46600000,,,,,10400000,,,,,,,,1746900000,1746900000,,439100000,,,,439100000,,,,,,1158400000,,1597500000,,,165400000,,,149400000,1746900000,,1746900000,26900000,1300000,-400000,,900000,,,,,13200000,41900000,-500000,,-197900000,168500000,-92100000,-121500000,,,,-27800000,131200000,103400000,,103400000,,22700000,41400000
1999,71400000,,,,,13500000,,13500000,,,,143100000,74200000,2300000,129000000,1.8067,,,,52500000,0.7353,20800000,31700000,0.4440,0.43,0.42,74148339,75924347,31200000,,31200000,,,,,10100000,,,,,,,,1906800000,1906800000,,636400000,,,,636400000,,,,,,1133300000,,1769700000,,300000,150500000,,,137100000,1906800000,,1906800000,31700000,2300000,400000,,-28600000,,,,,7200000,13000000,-600000,,-54800000,31900000,-114000000,-136900000,,,,-46500000,161000000,114500000,,-9400000,37200000,46600000,12400000
2000,94726000,,,,,44427000,,44427000,,,,174832000,101751000,6763000,153416000,1.6196,,,,44902000,0.4740,20425000,24477000,0.2584,0.33,0.31,75310081,78322484,257715000,,257715000,,,4295809000,4553524000,39191000,,,118070000,,,,157261000,,4710785000,,41239000,,,,41239000,1037505000,,,,1037505000,5399641000,,4403375000,,310000,146514000,,160586000,307410000,4710785000,,4710785000,24477000,6763000,-36864000,,-5058000,,,,,-92434000,-103116000,-30592000,,-763190000,615764000,-2052216000,-2199642000,,,,-28508000,2551757000,2523249000,,220491000,257715000,37224000,-133708000
