,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1996,115009000,,,,,38357000,,38357000,,,53708000,,116160000,19300000,196761000,1.7108,,,-78885000,61301000,0.5330,11159000,50142000,0.4360,14.10,14.10,3558609,3558609,38878000,,38878000,31936000,,,,159356000,,,,,,,,2483685000,2483685000,,400000,,,2054100000,2054500000,225572000,,,28000,225600000,,,2280089000,,267000,180417000,,22912000,203596000,2483685000,,2483685000,50142000,19300000,16403000,,-34810000,-20300000,,-200000,-2054500000,50333000,101368000,-5243000,,-1495364000,420118000,522238000,-558251000,-14050000,12993000,,,455527000,454470000,,-2413000,52219000,54632000,96125000
1997,240110000,,,,,77573000,,77573000,,,140572000,,156289000,74400000,330930000,1.3782,,,-32421000,99538000,0.4146,21309000,78932000,0.3287,21.00,20.85,3745749,3789117,152244000,,152244000,17284000,,2629298000,2798826000,254779000,15560000,,15560000,,,,270339000,,3069165000,38000,,,,2179162000,2179200000,345279000,,,125021000,470300000,,,2648430000,,606000,259349000,,159737000,419692000,3068122000,1043000,3069165000,78932000,74400000,-39288000,,2674126000,-169000000,,24100000,619626000,-2673905000,114265000,-13744000,-11635000,-636716000,646920000,-478558000,-493733000,-399000,148240000,-3200000,,334852000,479493000,,100025000,152244000,52219000,100521000
1998,234116000,,,,,115556000,,115556000,,,266482000,,184893000,82700000,235694000,1.0067,,,-73578000,-32366000,-0.1382,-30699000,-1200000,-0.0051,-0.30,-0.30,4049150,4049150,170179000,,170179000,53326000,,2799634000,3023139000,272234000,12706000,,12706000,,,,284940000,,3308079000,6000,,,,2342394000,2342400000,404285000,,,125015000,529300000,,,2871111000,,608000,257170000,,178598000,436376000,3307487000,592000,3308079000,-1200000,82700000,-21827000,,61113000,-185500000,,-4300000,680739000,277893000,398679000,-23680000,-426096000,-1173138000,942264000,366603000,-314047000,-1975000,7987000,-7772000,,210474000,208714000,,293346000,445179000,151833000,374999000
1999,243401000,,,,,102173000,,102173000,,,228582000,,155542000,39400000,217382000,0.8931,,,-9823000,14819000,0.0609,2608000,19832000,0.0815,4.65,4.65,4203422,4206039,269858000,,269858000,10024000,,2531439000,2811321000,484785000,13207000,,13207000,,,,497992000,,3309313000,-31000,,,,2184531000,2184500000,505439000,,,109961000,615400000,,,2799871000,,686000,277002000,,231754000,509442000,3309313000,,3309313000,19832000,39400000,-53273000,,-53918000,37900000,,-16500000,626821000,-132557000,-180516000,-29285000,92033000,-646091000,864305000,201473000,482435000,-402162000,23000,-45691000,,82590000,-365240000,,-63321000,381858000,445179000,-209801000
2000,193251000,,,,,83086000,,83086000,,,201815000,,169090000,28853000,208092000,1.0768,,,8435000,-8564000,-0.0443,7957000,2192000,0.0113,0.45,0.45,4495199,4497625,153736000,,153736000,30261000,,1678995000,1862992000,335002000,,51426000,51426000,,,,386428000,,2249420000,,,,,1460200000,1460200000,206263000,,,79537000,285800000,,,1666464000,,672000,279194000,,223560000,503426000,2169890000,79530000,2249420000,2192000,28853000,40929000,,-224029000,-17359000,,39012000,402792000,157669000,5614000,-53205000,,-988264000,1178253000,555199000,741762000,-920108000,56000,-27807000,,,-947859000,,-200483000,153736000,354219000,-47591000
2001,159383000,,,,,84914000,,84914000,,,204940000,,93329000,34239000,84373000,0.5294,,,76012000,-45557000,-0.2858,81587000,-124782000,-0.7829,-27.90,-27.90,4481826,4481826,134655000,,134655000,20842000,,1067109000,1222606000,387437000,,101107000,101107000,,,,488544000,,1711150000,,,,,1026200000,1026200000,244609000,,,61191000,305800000,,,1270885000,,673000,154412000,,224021000,379106000,1649991000,61159000,1711150000,-124782000,34239000,87580000,,-206386000,-151640000,,-16226000,196406000,263199000,53850000,-91814000,,-38825000,109245000,369960000,428088000,-56377000,980000,,,-319622000,-375019000,,106919000,260655000,153736000,-37964000
2002,115948000,,,,,77778000,,77778000,,,198005000,,55762000,71509000,61479000,0.5302,,,78713000,-82057000,-0.7077,2983000,-68775000,-0.5932,-15.30,-15.30,4488109,4488109,192247000,,192247000,20841000,,657241000,870329000,180302000,,171611000,171611000,,,,351913000,,1222242000,,,,,695500000,695500000,159721000,,,56279000,216000000,,,909746000,,673000,85637000,,224408000,310718000,1220464000,1778000,1222242000,-68775000,71509000,,,-21577000,18955000,,-5319000,174829000,270193000,251350000,-141693000,,-10729000,195473000,-96002000,75940000,-89489000,312000,,,-306521000,-395698000,,-68408000,192247000,260655000,109657000
2003,162903000,,,,,72221000,,72221000,,,157383000,,38716000,109490000,153726000,0.9437,,,138781000,5520000,0.0339,748000,4772000,0.0293,1.05,1.05,4477814,4537614,216088000,,216088000,88399000,,615839000,920326000,153297000,,166495000,166495000,,,,319792000,,1240118000,,,,,716300000,716300000,206633000,,,-33000,206600000,,,921574000,,675000,90409000,,226174000,317258000,1238832000,1286000,1240118000,4772000,109490000,,,29197000,-11108000,,965000,204026000,-110330000,33129000,-107632000,,,77483000,-77070000,-18777000,-57221000,1334000,-2262000,,67638000,9489000,,23841000,216088000,192247000,-74503000
2004,216339000,,,,,87284000,,87284000,,,191263000,,30364000,108062000,163826000,0.7573,,,192663000,25076000,0.1159,-32324000,57724000,0.2668,13.20,12.30,4387468,4879841,287851000,,287851000,126719000,,719701000,1134271000,61813000,,131409000,131409000,,,,193222000,,1327493000,238154000,,,,477346000,715500000,281861000,,,39000,281900000,,,995855000,,627000,148133000,,181348000,330108000,1325963000,1530000,1327493000,57724000,108062000,,,214745000,-124272000,,5676000,418771000,-403818000,-23287000,-71226000,-2482000,,66426000,-14043000,39625000,-344261000,2427000,-49449000,,432866000,41583000,,57921000,287851000,229930000,-94513000
2005,375376000,,,,,94625000,,94625000,252375000,347000000,354496000,,37261000,12812000,70953000,0.1890,21890000,0.0583,-1010000,20880000,0.0556,5815000,15065000,0.0401,3.60,3.60,4194205,4259050,269611000,,269611000,287982000,,1107769000,1665362000,40108000,,148663000,148663000,,,,188771000,,1854133000,,,,,725900000,725900000,780777000,,,23000,780800000,,,1504873000,,631000,163198000,-1000000,184578000,347407000,1852280000,1853000,1854133000,15065000,12812000,,,520691000,-40694000,,30929000,939462000,-876742000,-328174000,-125229000,9643000,,10067000,-113223000,-104796000,-307696000,927000,,,466459000,159690000,,-273280000,269611000,542891000,-453403000
