,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2006,,,,,,,,664707,,,664707,,14430,,-1392274,-Infinity,-664707,-Infinity,727567,,,,48430,Infinity,6.00,0.70,50255,69370,200,,200,,,,200,,,,,,,4965,4965,,5165,166499,,,,279386,445885,,,,,,,,445885,,353006,-9385744,,8592018,-440720,5165,,5165,48430,,,,548245,,,,-445685,-727567,-130892,,,,,,,,,,,122170,122170,,-8722,200,8922,-130892
2007,,,,,,,,1780172,,,1780172,,7934,,-1890448,-Infinity,-1780172,-Infinity,110276,,,,-1677830,-Infinity,-24.00,-24.00,66565,66565,2333,,2333,,,95833,98166,,,,,,,4965,4965,,103131,186527,,,,172627,359154,,,,,,,,359154,,436912,-11063574,,10370639,-256023,103131,,103131,-1677830,,,,184697,,,,-260988,1434955,-58178,,,,,,,,29200,,,31111,60311,,2133,2333,200,-58178
2008,73081,60460,12621,0.1727,,486160,,486160,,486160,546620,,9236,,-473539,-6.4796,-473539,-6.4796,,,,,-482775,-6.6060,-6.00,-6.00,73657,73657,670,,670,,,,670,,,,,,,4965,4965,,5635,,,,,510833,510833,,,,,,,,510833,,567830,-11546349,,10473321,-505198,5635,,5635,-482775,,,,-249175,,,,-510163,663964,-67986,,,,,,,-23100,,,,89423,66323,,-1663,670,2333,-67986
2009,290159,213142,77017,0.2654,,400850,,400850,,400850,613992,,9236,,-313833,-1.0816,-323833,-1.1161,10000,,,,-323069,-1.1134,-6.00,-6.00,96108,96108,555,,555,,,,555,,,4965,4965,,,,4965,,5520,85769,,,,,85769,,,,,,,,85769,,719434,-11869418,,11069735,-80249,5520,,5520,-323069,,,,424949,,,,-85214,-144962,-43082,,,,,,,-70078,,,,113045,42967,,-115,555,670,-43082
2010,218338,96580,121758,0.5577,,485798,,485798,104008,589806,686386,,,,-381161,-1.7457,-468048,-2.1437,86887,,,,-381161,-1.7457,-2.84,-2.84,134067,134067,3908,,3908,,,,3908,,,551007,551007,,,,551007,,554915,28935,,,,,28935,,,,,,,,28935,,1283968,-12250579,,11492591,525980,554915,,554915,-381161,,,202340,60187,,,,-25027,-13013,-131647,,,,,,,,135000,,,,135000,,3353,3908,555,-131647
2011,184758,63934,120824,0.6540,,441182,,441182,273021,714203,778137,,20025,273021,-386445,-2.0916,-593379,-3.2117,-66087,,,,-679491,-3.6777,-3.00,-3.00,214126,214126,845,,845,,,,845,,,273021,273021,,,4965,277986,,278831,84055,,,,205175,289230,,,,,,,,289230,,715,-12930070,,12918956,-10399,278831,,278831,-679491,273021,,,-263358,,,,-288385,609765,-60063,,,,,,,,,,,57000,57000,,-3063,845,3908,-60063
2012,130508,47430,83078,0.6366,,479257,,479257,273021,752278,799708,,42747,273021,-468088,-3.5867,-669200,-5.1277,-114656,-783856,-6.0062,,-783856,-6.0062,-3.30,-3.30,239104,239104,8883,,8883,,,,8883,,,,,,,4965,4965,,13848,85483,,,,,85483,,,,,,,,85483,,1018,-13713926,,13641273,-71635,13848,,13848,-783856,273021,,,211785,,,,-76600,132088,-166962,,,,,,,,75000,,,100000,175000,,8038,8883,845,-166962
2013,103795,38108,65687,0.6329,,625643,,625643,,625643,663751,,8270,,-543846,-5.2396,-559956,-5.3948,7840,-552116,-5.3193,,-552116,-5.3193,-1.50,-1.50,349167,349167,2819,,2819,,,,2819,,,,,,,4965,4965,,7784,78260,,,,50000,128260,,,,,,,,128260,,1130,-14266042,,14144436,-120476,7784,,7784,-552116,,,,-48841,,,,-125441,469893,-131064,,,,,,,,75000,,,50000,125000,,-6064,2819,8883,-131064
2014,136488,29915,106573,0.7808,,448823,,448823,,448823,478738,,18051,,-342250,-2.5075,-342250,-2.5075,-18051,-360301,-2.6398,,-360301,-2.6398,-0.90,-0.90,376677,376677,,,,,,,,,,,,,,4965,4965,,4965,,,,,21728,21728,,,,,,,,21728,,1130,-14626343,,14608450,-16763,4965,,4965,-360301,,,,103713,,,,-21728,120456,-136132,,,,,,,,,,,133313,133313,,,,2819,-136132
2015,66290,23852,42438,0.6402,,373539,,373539,,373539,397391,,11247,,-331101,-4.9947,-331101,-4.9947,-11247,-342348,-5.1644,,-342348,-5.1644,-0.90,-0.90,376876,376876,2875,,2875,,,,2875,,,4965,4965,,,,4965,,7840,18333,,,,,18333,,,,,,,,18333,,1348,-14968691,,14956850,-10493,7840,,7840,-342348,,,,6270,,,,-15458,136266,-199812,,,,,,,-313,,,,203000,202687,,,2875,,-199812
