,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1985,220900000,131800000,89100000,0.4033,,,,69000000,5800000,74800000,206600000,,,,14900000,0.0675,14300000,0.0647,600000,14900000,0.0675,8800000,6100000,0.0276,0.14,0.14,45185185,45185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,753500000,228600000,524900000,0.6966,,,,441200000,22600000,463800000,692400000,,,,21300000,0.0283,61100000,0.0811,-39800000,21300000,0.0283,25400000,-4100000,-0.0054,-0.03,-0.03,164000000,164000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,811400000,455400000,356000000,0.4387,,,,256000000,25700000,281700000,737100000,,,,69600000,0.0858,74300000,0.0916,-4700000,69600000,0.0858,34800000,34800000,0.0429,0.18,0.18,193333333,193333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,881300000,487200000,394100000,0.4472,,,,280900000,28600000,309500000,796700000,,,,74600000,0.0846,84600000,0.0960,-10000000,74600000,0.0846,35400000,39200000,0.0445,0.20,0.20,196000000,201025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,1007200000,541000000,466200000,0.4629,,,,328000000,35700000,363700000,904700000,,,35700000,123200000,0.1223,102500000,0.1018,-15000000,87500000,0.0869,40700000,46800000,0.0465,0.23,0.21,203478261,217674419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46800000,35700000,-3600000,,38500000,,-6800000,,,7100000,124500000,-283100000,,,39800000,35200000,-208100000,,3700000,-8900000,-29900000,121600000,86500000,-600000,86500000,,84400000,-158600000
1990,1178200000,319800000,858400000,0.7286,,,,685200000,46400000,731600000,1051400000,,,46400000,144300000,0.1225,126800000,0.1076,-28900000,97900000,0.0831,45900000,52000000,0.0441,0.26,0.24,203921569,212244898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52000000,46400000,-6500000,,,,7200000,,,19700000,111600000,-86300000,,,21300000,24800000,-40200000,,3800000,-12800000,-33200000,-4200000,-46400000,500000,-46400000,,86700000,25300000
1991,1236200000,333000000,903200000,0.7306,,,,721800000,46200000,768000000,1101000000,,,46200000,152500000,0.1234,135200000,0.1094,-28900000,106300000,0.0860,49200000,57100000,0.0462,0.26,0.26,219615385,223921569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57100000,46200000,2600000,,,,-1500000,,,37700000,143600000,-32100000,,,8300000,-109700000,-133500000,,44300000,-17500000,-39200000,4300000,-8100000,-500000,-8100000,,112300000,111500000
1992,1385200000,384100000,1001100000,0.7227,,,,804900000,49800000,854700000,1238800000,,,49800000,172400000,0.1245,146400000,0.1057,-27600000,118800000,0.0858,53300000,69300000,0.0500,0.31,0.29,223548387,238965517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69300000,49800000,-900000,,,,-8300000,,,63500000,181700000,-34900000,,-5400000,30500000,-57700000,-67500000,,7600000,-30100000,-41800000,-42800000,-107100000,-8300000,-107100000,,113700000,146800000
1993,1516500000,-60600000,1577100000,1.0400,,,,1347300000,60600000,1407900000,1347300000,,,60600000,205800000,0.1357,169200000,0.1116,-24000000,145200000,0.0957,59900000,85300000,0.0562,0.26,0.26,328076923,334509804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85300000,60600000,2200000,,,,6700000,,,61100000,209200000,-33600000,,-49700000,18000000,-80700000,-146000000,,7500000,-51900000,-35500000,93200000,13300000,-14100000,13300000,,112500000,175600000
1994,1756200000,-72300000,1828500000,1.0412,,1551600000,,1551600000,72300000,1623900000,1551600000,,,72300000,226700000,0.1291,204600000,0.1165,-22200000,182400000,0.1039,74300000,80100000,0.0456,0.29,0.29,273846154,273846154,228300000,,228300000,1168300000,65100000,140200000,1601900000,172200000,,758500000,758500000,,,319600000,1250300000,,2852200000,1425800000,12500000,,,548300000,1986600000,187300000,,,96000000,283300000,,,2269900000,,,325300000,-221500000,437000000,540800000,2810700000,41500000,2852200000,80100000,72300000,-6400000,,-384700000,,2400000,,-384700000,577900000,339200000,-38500000,,-8200000,24100000,-150100000,-172700000,,,-67500000,-41300000,-17600000,-126400000,13300000,53400000,228200000,174800000,300700000
