,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1999,4380000,2200000,2180000,0.4977,1460000,3850000,,3850000,-10000,5300000,7500000,,320000,210000,-2450000,-0.5594,-3120000,-0.7123,70000,-3050000,-0.6963,80000,-3060000,-0.6986,-2.55,-2.55,1200000,1200000,16300000,12300000,28600000,2900000,1900000,,33400000,1900000,,,,,,400000,2300000,,35700000,1400000,,,,3800000,5200000,1300000,,,1800000,3100000,,,8300000,,,-10000000,-700000,38100000,27400000,35700000,,35700000,-3060000,210000,,,-600000,,,,28200000,690000,-2760000,-510000,,,,-10190000,-10700000,,,26770000,,970000,27740000,,14280000,14280000,,-3270000
2000,13080000,6830000,6250000,0.4778,3920000,10690000,,10690000,1060000,15670000,22500000,,820000,1040000,-6500000,-0.4969,-9420000,-0.7202,820000,-8600000,-0.6575,-60000,-8300000,-0.6346,-5.61,-5.61,1480000,1480000,15600000,1900000,17500000,5400000,5300000,900000,29100000,4900000,,3500000,3500000,,,300000,8700000,,37800000,3300000,,,,6900000,10200000,2500000,,,1900000,4400000,,,14600000,,,-18300000,-3000000,44500000,23200000,37800000,,37800000,-8300000,1040000,,,-9300000,-1900000,-3400000,-1900000,18900000,5870000,-10690000,-2540000,,,,9940000,7400000,,,150000,,2440000,2590000,-10000,-720000,15580000,16300000,-13230000
2001,19888000,11238000,8650000,0.4349,6169000,11593000,,11593000,1124000,18886000,30124000,,,2421000,-9310000,-0.4681,10236000,0.5147,-21967000,-11731000,-0.5899,-47000,-11684000,-0.5875,-7.49,-7.49,1559490,1559490,6030000,1946000,7976000,4074000,4998000,,17048000,,,5730000,5730000,,,7184000,12914000,,29962000,3178000,3333000,,,2463000,8974000,4751000,,,1867000,6618000,,,15592000,,47000,-29996000,-3345000,47664000,14370000,29962000,,29962000,-11684000,2421000,,,-10826000,,112000,,8074000,12360000,-7729000,-2639000,-301000,,,14000,-2926000,,,,,1113000,1113000,-26000,-9568000,6030000,15598000,-10368000
2002,17963000,9502000,8461000,0.4710,3356000,9052000,,9052000,161000,12569000,22071000,41000,,2669000,-3372000,-0.1877,4108000,0.2287,-10130000,-6022000,-0.3352,207000,-6248000,-0.3478,-3.76,-3.76,1661702,1661702,2145000,1664000,3809000,2820000,4192000,,10821000,,,5896000,5896000,,,7302000,13198000,,24019000,2176000,2520000,,,2175000,6871000,4175000,,,1932000,6107000,,,12978000,,52000,-36244000,-4218000,51451000,11041000,24019000,,24019000,-6248000,2669000,,,-4124000,,1104000,,3950000,6561000,-1142000,-793000,,,,14000,-779000,,5000,,,-2117000,-2112000,148000,-3885000,2145000,6030000,-1935000
2003,19595000,9478000,10117000,0.5163,2306000,9945000,,9945000,188000,12439000,21917000,,897000,3619000,1053000,0.0537,2322000,0.1185,-5785000,-3463000,-0.1767,104000,-3567000,-0.1820,-1.52,-1.52,2354254,2354254,9712000,999000,10711000,4104000,4069000,,18884000,,,5708000,5708000,,,6676000,12384000,,31268000,3339000,1751000,,,2624000,7714000,3121000,,,1130000,4251000,,,11965000,,119000,-39811000,-5671000,64666000,19303000,31268000,,31268000,-3567000,3619000,,,7220000,,253000,,11170000,-7005000,267000,-502000,,,,,-502000,,9183000,,,-1383000,7800000,2000,7567000,9712000,2145000,-235000
2004,23152000,12799000,10353000,0.4472,3150000,12559000,,12559000,3488000,19197000,31996000,131000,418000,5733000,-2951000,-0.1275,8844000,0.3820,-17946000,-9102000,-0.3931,173000,-9275000,-0.4006,-1.33,-1.33,6972878,6972878,23917000,4559000,28476000,5111000,4765000,1071000,39423000,,,5584000,5584000,,,6996000,12580000,,52003000,4305000,1641000,,,3824000,9770000,2018000,,162000,,2180000,,,11950000,,199000,-49086000,-3582000,91161000,38692000,50642000,1361000,52003000,-9275000,5733000,-20000,,18483000,,-1193000,,29653000,-15251000,-330000,-449000,-67000,-4586000,,24000,-5078000,,19575000,,,-38000,19537000,76000,14205000,23917000,9712000,-779000
2005,35664000,21629000,14035000,0.3935,4787000,17286000,,17286000,2094000,24167000,45796000,897000,228000,10629000,1569000,0.0440,10132000,0.2841,-19679000,-9547000,-0.2677,-175000,-9113000,-0.2555,-0.96,-0.96,9512198,9512198,29657000,20004000,49661000,10736000,6747000,770000,67914000,,,6067000,6067000,3000000,,8077000,17144000,,85058000,4245000,760000,,,5771000,10776000,1535000,,293000,1909000,3737000,,,14513000,,274000,-58199000,-5689000,133849000,70235000,84748000,310000,85058000,-9113000,10629000,13000,,27485000,,-987000,,57138000,-29954000,-940000,-1918000,,-17875000,2431000,-1435000,-18797000,,26760000,,,-1351000,25409000,68000,5740000,29657000,23917000,-2858000
2006,40553000,21871000,18682000,0.4607,7065000,19020000,,19020000,699000,26784000,48655000,2459000,747000,2683000,-3497000,-0.0862,8102000,0.1998,-14567000,-6465000,-0.1594,-323000,-6604000,-0.1628,-0.47,-0.47,13919958,13919958,30049000,18232000,48281000,11966000,10344000,298000,70889000,,23387000,5823000,29210000,2000000,,15075000,46285000,,117174000,6869000,498000,,,3331000,10698000,2117000,,992000,3209000,6318000,,,17016000,,431000,-64803000,-5816000,169342000,99154000,116170000,1004000,117174000,-6604000,2683000,-216000,,3053000,,-3204000,,60191000,-2419000,-3503000,-3107000,-128000,-23643000,25446000,341000,-1091000,,3196000,,,1725000,4921000,65000,392000,30049000,29657000,-6610000
2007,43485000,25918000,17567000,0.4040,12265000,27263000,,27263000,1314000,40842000,66760000,2800000,938000,3894000,-16037000,-0.3688,23275000,0.5352,-44824000,-21549000,-0.4956,-226000,-20643000,-0.4747,-1.09,-1.09,18896214,18896214,35470000,6379000,41849000,11382000,13242000,282000,66755000,,23387000,4509000,27896000,1000000,,22809000,51705000,,118460000,10291000,5336000,,,5344000,20971000,2432000,,728000,3981000,7141000,,,28112000,,454000,-85446000,-8502000,183842000,90348000,118460000,,118460000,-20643000,3894000,-262000,,-14407000,,-2776000,,45784000,25131000,-6287000,-6190000,,-136094000,148049000,837000,6602000,,11000,,,5048000,5059000,47000,5421000,35470000,30049000,-12477000
2008,40217000,24743000,15474000,0.3848,11129000,14274000,11875000,26149000,2794000,40072000,64815000,561000,1089000,5838000,-43743000,-1.0877,48815000,1.2138,-98158000,-49343000,-1.2269,-675000,-49995000,-1.2431,-2.45,-2.45,20413578,20413578,27196000,904000,28100000,7561000,12343000,,48004000,,,2503000,2503000,,,19802000,22305000,,70309000,8071000,4984000,,,3517000,16572000,1762000,,202000,3672000,5636000,,,22208000,,508000,-135441000,-11292000,193911000,47686000,69894000,415000,70309000,-49995000,5838000,-711000,6253000,-14352000,2702000,869000,-1859000,31432000,40791000,-12176000,-1518000,-565000,-29068000,34551000,30000,3430000,-866000,1464000,,,,598000,-126000,-8274000,27196000,35470000,-13694000
