,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2010,4281402,,,,,548693,,548693,,,,,66429,109115,167252,0.0391,3592792,0.8392,-3608116,-15324,-0.0036,,-8292,-0.0019,-0.00,-0.00,34694833,34694833,45765,,45765,1644887,,6094478348,6096169000,90196,,14497,14497,,,-6090069280,-6089964587,,6204413,,2496900,,,9328822100,9331319000,,,,,,,,9331319,,35245,,-681463,-2538176,-3184394,6146925,57488,6204413,-8292,109115,,,-63154,-1644887,,,-3235150000,26656,64325,-2988,,,,,-2988,-22276,250,,,,-22026,,39311,42214,2903,61337
2011,3236513,,,,,547694,,547694,,,,,63700,43508,322499,0.0996,,,,215186,0.0665,,215291,0.0665,0.01,0.01,35248827,35248827,67377,,67377,1250320,,5512303,6830000,88720,,171775,171775,,,6328,266823,,7096823,,2491900,,,7518100,10010000,,,,50000,50000,,,10007608,,35250,,-721869,-2281549,-2968168,7039440,57383,7096823,215291,43508,,935,3231970000,394567,,,-3180000,-3232003812,225922,-199310,,,,,-199310,-5000,,,,,-5000,,21612,63826,42214,26612
2012,6700388,5305359,1395029,0.2082,,760928,,760928,59250,820178,6125537,,62156,59249,1938266,0.2893,574851,0.0858,1233723,1808574,0.2699,,1816861,0.2712,0.05,0.05,36526943,39574970,1872911,,1872911,81333,,5066917,7021161,108938,,326625,326625,,,3551,439114,,7460275,,707400,,5050867,2212312,7970579,169400,,,,169400,,,7970579,,38912,-6012243,-456601,5870532,-559400,7411179,49096,7460275,1816861,59249,,85376,2230582,1165437,,,-949418,-2136916,2055152,-234317,,,,,-234317,-11750,,,,,-11750,,1809085,1872911,63826,1820835
2013,6307891,4103680,2204211,0.3494,,1476381,,1476381,58012,1534393,5638073,,59084,58012,728780,0.1155,669818,0.1062,-59084,610734,0.0968,,611684,0.0970,0.02,0.01,38934053,42394553,1027239,,1027239,391611,,7124630,8543480,121078,,495252,495252,,,4896,621226,,9164706,,720780,,6905680,1431317,9057777,,,,,,,,9057777,,38936,-5400559,-496792,5917198,58783,9116560,48146,9164706,611684,58012,,180249,435121,-310278,,,-514297,-1905339,-620273,-238779,,,,,-238779,-5000,,,,18380,13380,,-845672,1027239,1872911,-859052
2014,10293180,4654715,5638465,0.5478,,2715316,,2715316,171594,2886910,7541625,,141515,171594,2923593,0.2840,2751555,0.2673,-141515,2610040,0.2536,,2610484,0.2536,0.07,0.06,38808085,42405846,3886968,,3886968,86658,,8006757,11980383,206929,,765719,765719,,,4451,977099,,12957482,680159,1025886,,7792255,680000,10178300,100000,,,,100000,,,10178300,,36669,-2790075,-551794,6036680,2731480,12909780,47702,12957482,2610484,171594,,600641,2316380,291055,,,1802083,-2616564,3082535,-527912,,,,,-527912,-512784,,,,817890,305106,,2859729,3886968,1027239,2554623
2015,8107541,4019514,4088027,0.5042,,3734187,,3734187,362712,4096899,8116413,,45683,362712,-2001942,-0.2469,-8872,-0.0011,-2540705,-2549577,-0.3145,,-2410337,-0.2973,-0.06,-0.06,39641175,39641175,1389494,,1389494,16742,,7318170,8724406,271967,,1264151,1264151,,,3551,1539669,,10264075,465318,174098,,7063945,1041462,8744823,,,,339183,339183,,,9084006,,42511,-5200412,-625088,7054596,1271607,10355613,-91538,10264075,-2410337,362712,,202550,-1822500,69916,,-130590,-20417,2948071,-719504,-926182,,,,,-926182,-851788,,,,,-851788,,-2497474,1389494,3886968,-1645686
2016,10416672,5197370,5219302,0.5011,,3288373,,3288373,572320,3860693,9058063,,77107,572320,2050226,0.1968,1358609,0.1304,-60958,1297651,0.1246,,1400799,0.1345,0.03,0.03,42875519,43867228,1631943,,1631943,110269,,10273139,12015351,300761,,1550044,1550044,,,5551,1856356,,13871707,765596,124168,,10002505,326486,11218755,27892,,,,27892,,,11246647,,43186,-3799613,-706159,7282332,2819746,14066393,-194686,13871707,1400799,572320,,92939,817013,-93527,,415507,796596,-1616348,1266723,-887009,,,,,-887009,-182018,,,,44753,-137265,,242449,1631943,1389494,379714
2017,15234091,8534272,6699819,0.4398,,4055836,,4055836,876191,4932027,13466299,,31623,876191,2704955,0.1776,1767792,0.1160,23918,1791710,0.1176,6000,1791141,0.1176,0.04,0.04,43397477,44934977,2748313,,2748313,165523,,14989233,17903069,854402,,1639557,1639557,,,5551,2499510,,20402579,,,,14416444,1145083,15561527,,,,,,,,15561527,,43671,-2008472,-859740,7865710,5041169,20602696,-200117,20402579,1791141,876191,,308696,1544946,-55254,,379487,2341542,2630740,7151714,-1519345,,,,,-1519345,-152060,,,,50000,-102060,,5530309,17164757,11634448,5632369
2018,23423675,12026452,11397223,0.4866,,7835074,,7835074,1089521,8924595,20951047,139738,,1089521,3677575,0.1570,2472628,0.1056,108613,2581241,0.1102,,2588054,0.1105,0.06,0.05,45483693,52347736,5615073,,5615073,337303,,27225909,33178285,883490,,2115933,2115933,,,,2999423,,36177708,,,,25960974,1327497,27288471,,,,,,,,27288471,,46441,579582,-1087308,9557452,9096167,36384638,-206930,36177708,2588054,1089521,,1366944,3548272,-171780,,182414,5889814,7403178,15995969,-1594985,,,,,-1594985,,,,,100000,100000,,14500984,31665741,17164757,14400984
2019,34666653,15425178,19241475,0.5550,,11656681,,11656681,1483140,13139821,28564999,441116,441116,1483140,8468599,0.2443,6101654,0.1760,441116,6542770,0.1887,-909976,7454319,0.2150,0.16,0.14,47436754,54550369,9663746,,9663746,891936,,37321767,47877449,937185,,3816232,3816232,,917480,,5670897,,53548346,,,,32723227,1523604,34246831,,,,,,,,34246831,,48578,8088485,-1507136,12934675,19564602,53811433,-263087,53548346,7454319,1483140,-909976,2528613,6158256,-554633,,,6762253,-1573,16712779,-3237134,,,,-2773420,-3237134,,,,,430919,430919,,13906564,45572305,31665741,13475645
