,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2011,39484000,21745000,17739000,0.4493,1565000,6868000,9293000,16161000,,17726000,39471000,,,3779000,3613000,0.0915,13000,0.0003,-179000,-166000,-0.0042,-36000,-130000,-0.0033,-0.02,-0.02,44191000,44191000,7990000,,7990000,852000,,299966000,308808000,4959000,,2725000,2725000,,,,7684000,,316492000,703000,,,,303617000,304320000,3188000,,71000,1828000,5087000,,,309407000,9339000,38000,-6596000,-5707000,10011000,7085000,316492000,,316492000,-130000,3779000,-42000,177000,1166000,-339000,,252000,4488000,72000,5022000,-4733000,,-176480000,,-2746000,-181213000,-467000,,,,176999000,176532000,,341000,7990000,7649000,289000
2012,55096000,29094000,26002000,0.4719,1788000,8618000,12828000,21446000,,23234000,52328000,,,4624000,7196000,0.1306,2768000,0.0502,-196000,2572000,0.0467,884000,1688000,0.0306,0.02,0.02,44191000,44191000,9031000,,9031000,505000,,264550000,274086000,7143000,,3714000,3714000,,,,10857000,,284943000,1107000,,,,270193000,271300000,1563000,,970000,2183000,4716000,,,276016000,36573000,32000,-27678000,-7371000,7371000,8927000,284943000,,284943000,1688000,4624000,838000,203000,-1702000,287000,,102000,2786000,2913000,8564000,-7162000,,,35724000,-3716000,28562000,-312000,,-27371000,,-8402000,-36085000,,1041000,9031000,7990000,1402000
2013,77294000,39666000,37628000,0.4868,6825000,12079000,18693000,30772000,,37597000,77263000,,,5571000,5586000,0.0723,31000,0.0004,-16000,15000,0.0002,-602000,617000,0.0080,-0.05,-0.05,44191000,44191000,7594000,,7594000,740000,,358382000,366716000,8586000,,2614000,2614000,,,,11200000,,377916000,880000,,,,363531000,364411000,938000,,269000,2317000,3524000,,,367935000,36573000,32000,-27061000,-8255000,8692000,9981000,377916000,,377916000,617000,5571000,-822000,523000,-481000,-295000,,138000,2305000,820000,6228000,-5954000,,-92650000,,-1967000,-98604000,-1625000,,-162000,,92726000,90939000,,-1437000,7594000,9031000,274000
2014,108687000,55094000,53593000,0.4931,10355000,21980000,28276000,50256000,,60611000,115705000,,,6336000,-519000,-0.0048,-7018000,-0.0646,163000,-6855000,-0.0631,255000,-7110000,-0.0654,-0.26,-0.26,36707000,36707000,78848000,,78848000,756000,,420661000,500265000,13125000,3035000,11413000,14448000,,,313000,27886000,,528151000,2133000,,,,430995000,433128000,,,714000,3175000,3889000,,,437017000,,50000,-34171000,-11749000,137004000,91134000,528151000,,528151000,-7110000,6336000,341000,4929000,64832000,-78000,,465000,67137000,-62129000,7199000,-11016000,-6000000,-61356000,,-450000,-78822000,-1563000,82032000,,,62408000,142877000,,71254000,78848000,7594000,-3817000
2015,152698000,70896000,81802000,0.5357,19864000,32824000,43035000,75859000,,95723000,166619000,,,8609000,-5258000,-0.0344,-13921000,-0.0912,54000,-13867000,-0.0908,105000,-13972000,-0.0915,-0.28,-0.28,50127000,50127000,81258000,,81258000,1115000,,596410000,678783000,16061000,6003000,19298000,25301000,,,403000,41765000,,720548000,1327000,,,,608160000,609487000,,,874000,2607000,3481000,,,612968000,,51000,-48143000,-15094000,170766000,107580000,720548000,,720548000,-13972000,8609000,91000,13169000,2159000,-449000,,-186000,69296000,1049000,11105000,-13235000,-12000000,-173958000,,21000,-199172000,,18367000,,,172110000,190477000,,2410000,81258000,78848000,-2130000
2016,230701000,98085000,132616000,0.5748,26736000,47598000,61832000,109430000,,136166000,234251000,,,13873000,10199000,0.0442,-3550000,-0.0154,-124000,-3674000,-0.0159,177000,-3851000,-0.0167,-0.08,-0.08,50913000,50913000,86496000,,86496000,1681000,,1247031000,1335208000,26787000,6003000,21846000,27849000,,,845000,55481000,,1390689000,1621000,,,,1264601000,1266222000,,,249000,4646000,4895000,,,1271117000,,51000,-51994000,-18457000,189972000,119572000,1390689000,,1390689000,-3851000,13873000,150000,17563000,-310000,-725000,,72000,68986000,5568000,32993000,-24474000,,-648403000,,-483000,-673360000,,,,,645605000,645605000,,5238000,86496000,81258000,8519000
2017,300010000,123987000,176023000,0.5867,29098000,62123000,77506000,139629000,,168727000,292714000,,,21027000,28396000,0.0947,7296000,0.0243,73000,7369000,0.0246,651000,6718000,0.0224,0.13,0.12,51415000,54057000,103468000,,103468000,2040000,,957338000,1062846000,40756000,6003000,26301000,32304000,,,1535000,74595000,,1137441000,2046000,,,,972760000,974806000,,,401000,14621000,15022000,,,989828000,,52000,-45276000,-25413000,218250000,147613000,1137441000,,1137441000,6718000,21027000,152000,26734000,19054000,-472000,,219000,88040000,-11705000,61980000,-34979000,,,297163000,-2845000,259339000,,,,,-304347000,-304347000,,16972000,103468000,86496000,27001000
2018,377527000,149197000,228330000,0.6048,37645000,79252000,95484000,174736000,,212381000,361578000,,,30202000,46953000,0.1244,15949000,0.0422,802000,16751000,0.0444,-21847000,38598000,0.1022,0.74,0.70,52425000,54887000,137193000,,137193000,3453000,,1237594000,1378240000,62029000,9590000,34096000,43686000,,22140000,1504000,129359000,,1507599000,2990000,,,,1267855000,1270845000,,,,23930000,23930000,,2143000,1294775000,,53000,-6678000,-28729000,248178000,212824000,1507599000,,1507599000,38598000,30202000,-21870000,30354000,19355000,-1494000,,740000,107395000,1227000,97866000,-37314000,-7000000,-354988000,73044000,-13100000,-339358000,,,,,275217000,275217000,,33725000,137193000,103468000,60552000
2019,467633000,153851000,313782000,0.6710,50329000,94630000,112599000,207229000,,257558000,411409000,,,34564000,92610000,0.1980,56224000,0.1202,1822000,58046000,0.1241,4223000,53823000,0.1151,1.02,0.97,52914000,55414000,132476000,29314000,161790000,4358000,,1430041000,1596189000,70056000,9590000,38237000,47827000,,6472000,83397000,207752000,,1803941000,3954000,,,5572000,1446522000,1456048000,,,6943000,32986000,39929000,,1482000,1495977000,,53000,99817000,-38366000,246460000,307964000,1803941000,,1803941000,53823000,34564000,4134000,38765000,32746000,-1188000,,-75000,140141000,-49000000,115032000,-31422000,,-250685000,246243000,-7480000,-43344000,,,-34991000,,149715000,114724000,,186412000,1426143000,1239731000,83610000
2020,561329000,182010000,379319000,0.6758,62766000,105248000,145134000,250382000,,313148000,495158000,,,37913000,105031000,0.1871,66171000,0.1179,947000,67118000,0.1196,2663000,64455000,0.1148,1.20,1.15,53547000,55807000,250851000,34556000,285407000,4923000,,1372824000,1663154000,115395000,21655000,49861000,71516000,,4955000,130628000,322494000,,1985648000,1755000,,,8777000,1398408000,1408940000,100000000,,8754000,75046000,183800000,,81382000,1592740000,,54000,164272000,1000000,227582000,392908000,1985648000,,1985648000,64455000,37913000,2754000,47493000,114073000,-732000,,-806000,254214000,-154033000,112655000,-42293000,-17000000,-400343000,410593000,286000,-48757000,,,,,2092000,2092000,,65990000,1492133000,1426143000,70362000
