,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,45288000000,32920000000,12368000000,0.2731,,,,4543000000,90000000,4633000000,37553000000,,,527000000,7982000000,0.1762,7735000000,0.1708,-94000000,7641000000,0.1687,1835000000,5620000000,0.1241,2.66,2.66,2109313033,2109313033,1209000000,,1209000000,1898000000,5420000000,1498000000,10025000000,4603000000,5571000000,1399000000,6970000000,,,1537000000,13110000000,,23135000000,669000000,,,,5665000000,6334000000,4141000000,,1024000000,1329000000,6494000000,,,12828000000,,,9042000000,-3515000000,4780000000,10307000000,23135000000,,23135000000,5620000000,527000000,-746000000,,1245000000,,-441000000,,4936000000,-1488000000,5158000000,-736000000,,,,-4886000000,-5622000000,,,,-7682000000,4718000000,-2964000000,-359000000,-3787000000,1209000000,4996000000,4422000000
2006,48260000000,35619000000,12641000000,0.2619,,,,4574000000,-301000000,4273000000,39892000000,,,658000000,8633000000,0.1789,8368000000,0.1734,-142000000,8226000000,0.1705,1829000000,6146000000,0.1274,2.91,2.91,2109313033,2109313033,1676000000,,1676000000,2160000000,7075000000,1014000000,11925000000,5238000000,6197000000,1627000000,7824000000,,,1133000000,14195000000,,26120000000,672000000,,,,6317000000,6989000000,2222000000,,1166000000,1476000000,4864000000,,,11853000000,,,13002000000,-4224000000,5489000000,14267000000,26120000000,,26120000000,6146000000,658000000,226000000,,1565000000,,-1077000000,,6501000000,-2359000000,6236000000,-886000000,,,,447000000,-439000000,,,,-2780000000,-2637000000,-5417000000,87000000,467000000,1676000000,1209000000,5350000000
2007,22798000000,8720000000,14078000000,0.6175,,,,5021000000,28000000,5049000000,13769000000,,,748000000,9338000000,0.4096,8873000000,0.3892,-10000000,8863000000,0.3888,2564000000,6026000000,0.2643,2.87,2.85,2101000000,2116000000,1656000000,,1656000000,3497000000,9332000000,567000000,15052000000,6435000000,7925000000,1906000000,9831000000,,,725000000,16991000000,,32043000000,852000000,729000000,,,6970000000,8551000000,5578000000,,1240000000,1273000000,8091000000,,,16642000000,,,12448000000,1688000000,1265000000,15401000000,32043000000,,32043000000,6026000000,748000000,-21000000,,-1706000000,,-1264000000,38000000,4795000000,542000000,5589000000,-1072000000,-1432000000,,,-82000000,-2586000000,-3381000000,,,-6560000000,6572000000,-3369000000,346000000,-20000000,1656000000,1676000000,4517000000
2008,25705000000,9328000000,16377000000,0.6371,,,,6001000000,44000000,6045000000,15373000000,217000000,528000000,842000000,11047000000,0.4298,10248000000,0.3987,-311000000,9937000000,0.3866,2787000000,6890000000,0.2680,3.33,3.32,2068000000,2078000000,1531000000,,1531000000,2848000000,9664000000,896000000,14939000000,6348000000,8015000000,3084000000,11099000000,,,586000000,18033000000,,32972000000,1013000000,584000000,,,8547000000,10144000000,11377000000,,1401000000,2550000000,15328000000,,,25472000000,,,13354000000,-2281000000,,7500000000,32972000000,,32972000000,6890000000,842000000,5000000,,-1291000000,,-914000000,-90000000,3504000000,1489000000,7935000000,-1099000000,-1663000000,,,-399000000,-3161000000,-5736000000,118000000,-5256000000,-5079000000,11775000000,-4178000000,-566000000,30000000,1531000000,1501000000,6836000000
2009,25035000000,9022000000,16013000000,0.6396,,,,5870000000,74000000,5944000000,14966000000,,797000000,853000000,10683000000,0.4267,10040000000,0.4010,-797000000,9243000000,0.3692,2691000000,6342000000,0.2533,3.25,3.24,1943000000,1950000000,1540000000,,1540000000,3098000000,9207000000,837000000,14682000000,6390000000,9112000000,3546000000,12658000000,,,822000000,19870000000,,34552000000,670000000,1744000000,,,8764000000,11178000000,13672000000,,1688000000,1869000000,17229000000,,,28407000000,,,15358000000,-817000000,,5716000000,34123000000,429000000,34552000000,6342000000,853000000,129000000,,-2552000000,,660000000,-116000000,952000000,3112000000,7884000000,-715000000,-429000000,,,46000000,-1098000000,-101000000,177000000,-5625000000,-4327000000,2965000000,-6911000000,134000000,9000000,1540000000,1531000000,7169000000
2010,27208000000,9713000000,17495000000,0.6430,,,,6160000000,88000000,6248000000,15961000000,98000000,974000000,932000000,11991000000,0.4407,11200000000,0.4116,-876000000,10324000000,0.3794,2826000000,7259000000,0.2668,3.93,3.92,1839000000,1842000000,1703000000,,1703000000,3009000000,8317000000,727000000,13756000000,6499000000,10161000000,3873000000,14034000000,,,761000000,21294000000,,35050000000,835000000,3132000000,,,8837000000,12804000000,13370000000,,2027000000,1728000000,17125000000,,,29929000000,,,18133000000,-1140000000,,3506000000,33435000000,1615000000,35050000000,7259000000,932000000,101000000,,-887000000,,1071000000,-72000000,65000000,2032000000,9437000000,-713000000,-83000000,,,86000000,-710000000,-183000000,229000000,-5030000000,-4423000000,829000000,-8578000000,14000000,163000000,1703000000,1540000000,8724000000
2011,31097000000,10678000000,20419000000,0.6566,,,,6880000000,98000000,6978000000,17656000000,134000000,934000000,993000000,14171000000,0.4557,13332000000,0.4287,-800000000,12532000000,0.4030,3653000000,8591000000,0.2763,4.98,4.98,1725908666,1725908666,2550000000,,2550000000,3201000000,8120000000,988000000,14859000000,6250000000,9928000000,3697000000,13625000000,,,754000000,20629000000,,35488000000,1031000000,3717000000,,,10046000000,14794000000,14828000000,,1976000000,2127000000,18931000000,,,33725000000,,,21757000000,-2863000000,,229000000,33954000000,1534000000,35488000000,8591000000,993000000,15000000,,-491000000,,-36000000,199000000,-426000000,1421000000,10529000000,-897000000,-80000000,,,-55000000,-1032000000,-2630000000,75000000,-5372000000,-4788000000,4377000000,-8338000000,-312000000,847000000,2550000000,1703000000,9632000000
2012,31377000000,10373000000,21004000000,0.6694,,6978000000,,6978000000,97000000,7075000000,17448000000,148000000,1007000000,898000000,14538000000,0.4633,13846000000,0.4413,-859000000,12987000000,0.4139,3833000000,8800000000,0.2805,5.17,5.17,1692000000,1692000000,2983000000,,2983000000,3589000000,8949000000,1069000000,16590000000,6645000000,9900000000,3619000000,13519000000,24000000,,892000000,21080000000,,37670000000,1103000000,5200000000,,,10713000000,17016000000,17639000000,,1875000000,4294000000,23808000000,,,40824000000,,,25076000000,-3604000000,,-3476000000,37348000000,322000000,37670000000,8800000000,898000000,-248000000,,212000000,-398000000,-728000000,10000000,-214000000,-241000000,9421000000,-1056000000,,,,64000000,-992000000,-3457000000,1000000,-6525000000,-5404000000,7285000000,-8100000000,104000000,433000000,2983000000,2550000000,8365000000
2013,31217000000,10410000000,20807000000,0.6665,,6890000000,,6890000000,93000000,6983000000,17393000000,131000000,1104000000,882000000,14232000000,0.4559,13515000000,0.4329,-973000000,12542000000,0.4018,3670000000,8576000000,0.2747,5.26,5.26,1622000000,1622000000,2154000000,,2154000000,3853000000,9846000000,999000000,16852000000,6755000000,8893000000,3193000000,12086000000,1536000000,,939000000,21316000000,,38168000000,1274000000,3655000000,,,12137000000,17066000000,24023000000,,1477000000,1876000000,27376000000,,,44442000000,,,27843000000,-4190000000,,-7766000000,36676000000,1492000000,38168000000,8576000000,882000000,-28000000,,586000000,-449000000,-1413000000,103000000,372000000,119000000,10135000000,-1200000000,,,,-1480000000,-2680000000,-4686000000,,-5963000000,-5720000000,8154000000,-8215000000,-69000000,-829000000,2154000000,2983000000,8935000000
2014,29767000000,10436000000,19331000000,0.6494,,7001000000,,7001000000,93000000,7094000000,17530000000,118000000,1170000000,889000000,12649000000,0.4249,11702000000,0.3931,-1052000000,10650000000,0.3578,3097000000,7493000000,0.2517,4.76,4.76,1566000000,1566000000,1682000000,,1682000000,4004000000,8592000000,1206000000,15484000000,6071000000,8388000000,2985000000,11373000000,1083000000,,1176000000,19703000000,,35187000000,1242000000,2526000000,,,11344000000,15112000000,26929000000,,1549000000,2800000000,31278000000,,,46390000000,,,29249000000,-6826000000,,-12629000000,33761000000,1426000000,35187000000,7493000000,889000000,-62000000,,46000000,-463000000,105000000,177000000,418000000,-627000000,7739000000,-1153000000,-110000000,,,267000000,-996000000,-3327000000,,-3833000000,-6035000000,6356000000,-6839000000,-376000000,-472000000,1682000000,2154000000,6586000000
2015,26794000000,9365000000,17429000000,0.6505,,6656000000,,6656000000,82000000,6738000000,16103000000,124000000,1132000000,754000000,11447000000,0.4272,10623000000,0.3965,-1008000000,9615000000,0.3588,2688000000,6873000000,0.2565,4.42,4.42,1549000000,1549000000,3417000000,,3417000000,2778000000,8473000000,1136000000,15804000000,5721000000,7415000000,2623000000,10038000000,890000000,,1503000000,18152000000,,33956000000,1289000000,3230000000,,,10867000000,15386000000,25250000000,,1543000000,3253000000,30046000000,,,45432000000,,,29842000000,-9402000000,,-13244000000,32188000000,1768000000,33956000000,6873000000,754000000,-18000000,,723000000,647000000,-841000000,310000000,1141000000,-467000000,7865000000,-960000000,,,,252000000,-708000000,-1495000000,,-48000000,-6250000000,3057000000,-4736000000,-686000000,1735000000,3417000000,1682000000,6905000000
2016,26685000000,9391000000,17294000000,0.6481,,6405000000,,6405000000,74000000,6479000000,15870000000,178000000,1069000000,743000000,11547000000,0.4327,10815000000,0.4053,-891000000,9924000000,0.3719,2768000000,6967000000,0.2611,4.48,4.48,1551000000,1551000000,4239000000,,4239000000,3499000000,9017000000,853000000,17608000000,6064000000,7324000000,2470000000,9794000000,1011000000,859000000,1515000000,19243000000,,36851000000,1666000000,3216000000,,,11585000000,16467000000,25851000000,,1897000000,3536000000,31284000000,,,47751000000,,,30397000000,-9559000000,,-12688000000,35063000000,1788000000,36851000000,6967000000,743000000,182000000,,4491000000,-1009000000,-695000000,373000000,5632000000,-4306000000,8077000000,-1172000000,,,,204000000,-968000000,-2405000000,,,-6378000000,3370000000,-5413000000,-874000000,822000000,4239000000,3417000000,6905000000
2017,28748000000,10432000000,18316000000,0.6371,,6725000000,,6725000000,88000000,6813000000,17245000000,182000000,1096000000,875000000,12313000000,0.4283,11503000000,0.4001,-914000000,10589000000,0.3683,4307000000,6035000000,0.2099,3.88,3.88,1552000000,1553000000,8447000000,,8447000000,3738000000,8806000000,603000000,21594000000,7271000000,7666000000,2432000000,10098000000,1074000000,1007000000,1924000000,21374000000,,42968000000,2242000000,3005000000,,,10715000000,15962000000,31334000000,,799000000,5103000000,37236000000,,,53198000000,,,29859000000,-8535000000,,-12086000000,41112000000,1856000000,42968000000,6035000000,875000000,-501000000,,-3381000000,-92000000,730000000,425000000,2251000000,5884000000,8912000000,-1548000000,,,,-1466000000,-3014000000,-4312000000,,,-6520000000,8063000000,-2769000000,1079000000,4208000000,8447000000,4239000000,7364000000
2018,29625000000,10758000000,18867000000,0.6369,,7449000000,,7449000000,82000000,7531000000,18289000000,190000000,855000000,989000000,12200000000,0.4118,11377000000,0.3840,-706000000,10671000000,0.3602,2445000000,7911000000,0.2670,5.08,5.08,1555000000,1555000000,6593000000,,6593000000,3564000000,8804000000,481000000,19442000000,7201000000,7189000000,2278000000,9467000000,1269000000,977000000,1445000000,20359000000,,39801000000,2068000000,4784000000,,,10339000000,17191000000,26975000000,,898000000,5476000000,33349000000,,,50540000000,,,31014000000,-10111000000,,-12459000000,38081000000,1720000000,39801000000,7911000000,989000000,-100000000,,-570000000,53000000,-613000000,-51000000,1681000000,1248000000,9478000000,-1436000000,,,,438000000,-998000000,-2484000000,,,-6885000000,-282000000,-9651000000,-685000000,-1856000000,6620000000,8476000000,8042000000
2019,29805000000,10513000000,19292000000,0.6473,,8784000000,,8784000000,66000000,8850000000,19363000000,226000000,796000000,964000000,11238000000,0.3771,10531000000,0.3533,-659000000,9872000000,0.3312,2293000000,7185000000,0.2411,4.61,4.61,1555000000,1556000000,6861000000,,6861000000,3717000000,9235000000,701000000,20514000000,6631000000,5858000000,2113000000,7971000000,4635000000,1153000000,1971000000,22361000000,,42875000000,2299000000,4389000000,,,12145000000,18833000000,26656000000,,908000000,6077000000,33641000000,,,52474000000,,,30987000000,-9363000000,,-11577000000,40897000000,1978000000,42875000000,7185000000,964000000,-141000000,,196000000,-331000000,-548000000,451000000,1877000000,1886000000,10090000000,-852000000,-1346000000,,,387000000,-1811000000,-5351000000,,,-7161000000,4451000000,-8061000000,27000000,245000000,6865000000,6620000000,9238000000
