,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2000,496057,,,,,1676391,151038,1827429,,,,506423,125347,70367,-2059475,-4.1517,,,,,,,-2255189,-4.5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2255189,70367,,,-699192,,,,,147146,-2736868,-3003768,,-7640960,,-15410876,-23051836,,,,,40977166,40977166,,40977166,15188462,,-5740636
2001,4831111,,,,,4137863,207804,4345667,,,,6069094,2579388,632803,2075526,0.4296,,,,,,,-1136665,-0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1136665,632803,-2065169,,-115376,,,,,1478602,-1205805,-1314861,,-22083058,9387345,-123774446,-136470159,,,,,137069578,137069578,,-606386,14582076,15188462,-2520666
2002,9931246,,,,,5236792,244500,5481292,,,,12560932,4361629,950134,6315947,0.6360,,,,1004184,0.1011,356124,648060,0.0653,,,,,12942129,,12942129,,,,,3611504,,,,73980054,,,,305278974,305278974,,,,,,,21500000,,,,21500000,294375327,,272875327,,3692053,-2743794,772441,30682947,32403647,305278974,,305278974,648060,950134,356124,,622831,,,,,817703,3394852,-677323,,-67909017,14723189,-78743824,-131929652,,,,,126894853,126894853,,-1639947,12942129,14582076,2717529
2003,16186287,,,,,7260982,386905,7647887,,,,18261911,5363104,1812231,11155720,0.6892,,,,3980385,0.2459,1425746,2554639,0.1578,,,,,14948649,,14948649,,,,,6911359,,,,139944238,,,,498420658,498420658,,29000000,,,,29000000,25810000,,,,25810000,460894277,,464084277,,3692053,-189155,150536,30682947,34336381,498420658,,498420658,2554639,1812231,569987,,704427,,,,,-1007547,4633737,-3910748,,-132340115,64762421,-92526647,-160104341,-11500000,,,,201212525,189712525,,34241921,47184050,12942129,722989
2004,25737198,,,,,9540641,606841,10147482,,,,27679029,7414552,2298142,17203887,0.6684,,,,7491193,0.2911,2172283,5318910,0.2067,,,,,15622843,,15622843,2639548,,,,11130671,,,,208169979,,,,727139450,727139450,769300,25000000,,,,25769300,38810000,,,,38810000,682299975,,669259275,,8389232,5127023,-12387,44376307,57880175,727139450,,727139450,5318910,2298142,-922286,,-2257975,,,,,2305281,6742072,-5144869,,-132755709,63633783,-182401704,-251523630,-39000000,,,-2732,263346027,224343295,,-20438263,26745787,47184050,1597203
2005,34431612,,,,,13130779,698232,13829011,,,,46307660,17269622,1944104,30461356,0.8847,,,,11247630,0.3267,3192362,8055268,0.2339,,,,,26775908,,26775908,4870197,,,,12915595,,,,279080345,,,,1016771730,1016771730,1884596,29500000,,,,31384596,42929000,,,,42929000,964879709,,953335305,,8426551,13182291,-3063329,44890912,63436425,1016771730,,1016771730,8055268,1944104,-575755,,-1028883,,,,,-223178,8171556,-3438916,,-116361069,39727082,-181752935,-258386922,-74000000,,,,356123849,282123849,,31908483,58654270,26745787,4732640
2006,76739312,,,,,27469275,1234497,28703772,,,,109696019,48743225,2012035,77138280,1.0052,,,,26383020,0.3438,8455987,17927033,0.2336,,,,,44652707,,44652707,11019173,,1561861553,1617533433,36285796,,,125672646,362694988,,,524653430,2666840293,2142186863,4952422,,,,,,105273833,,,,105273833,1991443675,,1886169842,,15446074,31109324,-2040893,211502516,256017021,2142186863,,2142186863,17927033,2012035,-1164336,,-10076259,,,,,3207688,11906161,-4649676,36230539,-62760686,35568504,-308323067,-299284710,-61540828,,,,382783957,321243129,,33864580,92518850,58654270,7256485
2007,98232939,,,,,36145588,1676455,37822043,,,,150931441,75219429,4302654,112555616,1.1458,,,,33033533,0.3363,9992178,23041355,0.2346,,,,,101648897,,101648897,18383004,,2799531666,2919563567,68385946,,,260899624,545321324,,,874606894,4668777355,3794170461,10374538,,,,,,175280133,,,,175280133,3502840300,,3327560167,,22264817,54150679,-782510,390977308,466610294,3794170461,,3794170461,23041355,4302654,3977708,,-19766993,,,,,4839302,16394026,-6071813,38149471,-78978057,52288509,-397141469,-385681546,-102304513,,,,501577046,399272533,,29985013,122503863,92518850,10322213
2008,148933266,,,,,53752057,1915747,55667804,,,,206081498,91866599,7285781,142393313,0.9561,,,,43240933,0.2903,12367015,30873918,0.2073,,,,,77258641,,77258641,17565141,,3445956801,3540780583,68865221,244160624,16871202,261031826,883397134,,,1213294181,5967368945,4754074764,8326264,,,,,,299442181,,,,299442181,4426218549,273609181,4126776368,88348647,23762124,84380447,7069400,423737778,627298396,4754074764,,4754074764,30873918,7285781,-2619989,2347429,-952906,,,,,-3301359,33632874,-9449780,-3800000,-541448936,216584277,-634157546,-972271985,-29163002,21454758,,,914096247,906388003,,-32251108,90252755,122503863,24183094
2009,170442889,,,,,59639261,2533953,62173214,,,,205716198,74924935,10804664,20836807,0.1223,,,,-64892792,-0.3807,-29392825,-35499967,-0.2083,,,,,74990236,,74990236,19083468,,3718599940,3812673644,80650936,244107086,13686091,257793177,977693247,,,1316137360,6444948364,5128811004,6555801,,,,,,310130782,,,,310130782,4737921605,,4427790823,89462633,33029719,43372743,7440081,527715005,701020181,5128811004,,5128811004,-35499967,10804664,-24645791,3251003,14375221,,,,17695759,122020409,90305539,-19191810,,-721011285,635805828,-336416814,-440814081,-59153299,109027785,,-4393750,381377125,426857861,,76349319,166602074,90252755,71113729
