,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1993,30300000,,,,,3100000,,3100000,,,-14000000,,,5400000,7300000,0.2409,44300000,1.4620,1100000,,,,1900000,0.0627,0.09,0.09,21714286,21714286,,,,,,,,127200000,,,,,,,,182400000,182400000,,,,,,,20300000,,,,20300000,52000000,,31700000,,,-1300000,,152000000,150700000,182400000,,182400000,1900000,5400000,,,-2000000,-2600000,,1600000,,6300000,11600000,-49400000,,,,100000,-49300000,-145000000,162700000,,-2600000,66200000,81300000,,81300000,,1800000,-37800000
1994,46000000,,,,,4400000,,4400000,,,-24300000,,,8800000,20000000,0.4348,70300000,1.5283,,,,,11200000,0.2435,0.33,0.33,21972000,21972000,,,,,,,,274400000,,,,,,,,294800000,294800000,,,,,,,121300000,,,,121300000,268600000,,147300000,,,-2800000,,121000000,118200000,265500000,29300000,294800000,11200000,8800000,,,,-3600000,,1500000,,1300000,21300000,-142400000,,,,-1300000,-143700000,-68900000,,,-13300000,162900000,80700000,,80700000,,45400000,-121100000
1995,68600000,,,,,5100000,,5100000,,,-37800000,,,15300000,26500000,0.3863,106400000,1.5510,,,,,11200000,0.1633,0.34,0.34,25148000,25148000,,,,,,,,294400000,,,,,,,,315100000,315100000,,,,,,,156700000,,,,156700000,329400000,,172700000,,,-6400000,,121200000,114800000,287500000,27600000,315100000,11200000,15300000,,,,2400000,,300000,,5900000,32400000,-43800000,,,,-1000000,-44800000,-100300000,,,-14800000,128900000,13800000,,13800000,,3700000,-11400000
1996,75500000,,,,,5467000,,5467000,40017000,45484000,45484000,,,16458000,27649000,0.3662,30016000,0.3976,159000,,,,11191000,0.1482,0.34,0.34,32674453,32842105,2585000,,2585000,,,,,311454000,,,,,,,,332138000,332138000,,,,,43500000,43500000,178004000,,,-4000,178000000,,,195882000,,66000,-10794000,,121385000,110657000,306539000,25599000,332138000,11191000,16458000,,,-43500000,600000,,4900000,-43500000,53902000,38051000,-36575000,,,,174000,-36401000,-124046000,,,-21825000,141695000,-4176000,,-2526000,2585000,5111000,1476000
1997,85271000,,,,,6145000,,6145000,44708000,50853000,50853000,,,18439000,31266000,0.3667,34418000,0.4036,,,,,12827000,0.1504,0.39,0.39,32680255,33316883,3607000,,3607000,,,,,390531000,,,,,,,,416014000,416014000,,,,,50300000,50300000,229050000,,,50000,229100000,,,255489000,,78000,-14980000,-64177000,215728000,136649000,392138000,23876000,416014000,12827000,18439000,,,-6800000,-1900000,,4000000,-50300000,14748000,39214000,-93636000,,,,,-93636000,-142404000,29944000,,-23596000,191500000,55444000,,1022000,3607000,2585000,-54422000
1998,97766000,,,,,6669000,,6669000,51260000,57929000,57929000,,,22154000,33981000,0.3476,37137000,0.3799,-1060000,,,,11827000,0.1210,0.32,0.31,31479365,31987097,6330000,,6330000,,,,,444562000,,,,,,,,471795000,471795000,,72790000,,,-17490000,55300000,302485000,,,15000,302500000,,,322432000,,79000,-23571000,-84685000,222216000,114039000,436471000,35324000,471795000,11827000,22154000,,,-5000000,-2000000,,-2800000,-55300000,6806000,35787000,-81797000,,,2561000,,-79236000,-78065000,762000,-216000,-20418000,144109000,46172000,,2723000,6330000,3607000,-46010000
1999,104016000,,,,,7298000,,7298000,55409000,62707000,62707000,,,24824000,40412000,0.3885,41309000,0.3971,3785000,,,,15588000,0.1499,0.43,0.43,31427586,31427586,503000,,503000,,,,,461705000,,,,,,,,490069000,490069000,,90652000,,,-37952000,52700000,329647000,,,-47000,329600000,,,349015000,,79000,-28887000,-104511000,241083000,107764000,456779000,33290000,490069000,15588000,24824000,,,2600000,-1200000,,2400000,-52700000,163000,43175000,-51586000,,,,5627000,-45959000,-109255000,12000,-958000,-20904000,128062000,-3043000,,-5827000,503000,6330000,-8411000
2000,108821000,,,,,7366000,,7366000,61641000,69007000,69007000,,,26218000,30530000,0.2806,39814000,0.3659,4065000,,,,4312000,0.0396,0.08,0.08,31112500,32116129,634000,,634000,,,,,462563000,,,,,,,,487408000,487408000,,135313000,,,-85613000,49700000,346843000,,,-43000,346800000,,,369434000,,79000,-45561000,-122365000,258724000,90877000,460311000,27097000,487408000,4312000,26218000,,,3000000,-2138000,,-274000,-49700000,4773000,38303000,-38294000,,,,12596000,-25698000,-153900000,,,-20986000,162412000,-12474000,,131000,634000,503000,9000
2001,111068000,,,,,8231000,,8231000,63211000,71442000,71442000,,,28572000,35684000,0.3213,39626000,0.3568,2772000,,,,7112000,0.0640,0.17,0.17,31886567,31886567,515000,,515000,,,,,450316000,,,,,,,,476272000,476272000,,176736000,,,-135036000,41700000,358195000,,,5000,358200000,,,378395000,,79000,-59534000,-148950000,284776000,76371000,454766000,21506000,476272000,7112000,28572000,,,8000000,2213000,,2698000,-41700000,942000,44626000,-21986000,,,,-1283000,-23269000,-267723000,201000,,-21085000,267131000,-21476000,,-119000,515000,634000,22640000
2002,113167000,,,,,9228000,,9228000,65229000,74457000,74457000,,,28989000,39996000,0.3534,39102000,0.3455,3696000,,,,11007000,0.0973,0.28,0.27,33282883,34207407,1072000,,1072000,,,,,448200000,,,,,,,,477675000,477675000,,174421000,,,-132421000,42000000,345005000,,,-5000,345000000,,,363410000,1000,90000,-70485000,-174199000,335228000,90635000,454045000,23630000,477675000,11007000,28989000,,,-300000,-2168000,,-569000,-42000000,-529000,39167000,-44977000,-37500000,-130000,,56244000,-26363000,-139510000,27960000,,-21958000,121261000,-12247000,,557000,1072000,515000,-5810000
