,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2001,197645000,,197645000,1.0000,,,,,-744980000,-744980000,,,-4542105000,399045000,-3200435000,-16.1928,942625000,4.7693,,942625000,4.7693,373013000,569612000,2.8820,0.47,0.46,1211940425,1238286956,6225038000,,6225038000,,,,6225038000,,,,,,,,,,10000,,,,,,,,,,,,128378913000,,128378913000,,1233167000,476918000,275382000,12093868000,14079335000,142458248000,-142458238000,10000,569612000,399045000,52877000,,,94546000,,,6225038000,379795000,1401329000,,,-8373659000,,-14108658000,-22482317000,388262000,,,-23500000,21812492000,22177254000,,1096266000,8129780000,7033514000,1401329000
2002,7395810,,,,,2630544,,2630544,,,,9702292,3308640,278372,5316026,0.7188,,,,1729014,0.2338,667591,1061423,0.1435,0.21,0.20,5073685,5241772,4928080,,4928080,679598,,,,3953293,,,,22199706,,,,159902221,159902221,121270,,,,,,10000000,,,,10000000,154755471,,144755471,,1233167,1538341,281374,12093868,15146750,159902221,,159902221,1061423,278372,-54873,,-6225038000,,,,,6226953681,3200603,-265739,,-14255030,13284266,-21188187,-22158951,,,,,16216648,16216648,,-2741700,5388080,8129780,2934864
2003,9357492,,,,,3325470,,3325470,,,,11326418,3210799,390383,6672841,0.7131,,,,3071659,0.3283,1189800,1881859,0.2011,0.37,0.34,5100062,5480150,7071075,,7071075,938763,,160686225,168696063,4292566,,,2541476,25466612,,,32300654,233297371,200996717,102163,,,,,,17400000,,,,17400000,201493216,,184093216,,1243167,3295884,180582,12183868,16903501,200996717,,200996717,1881859,390383,-272751,,168696063,,,,168696063,-166001283,4694271,-630746,,-24394458,20861948,-35405656,-38938166,,,,,38986890,38986890,,4742995,10131075,5388080,4063525
2004,11889300,,,,,3900505,,3900505,,,,14058715,3575291,710686,8449560,0.7107,,,,4163583,0.3502,1592500,2571083,0.2163,1.00,0.89,2561534,2879238,6900054,,6900054,1184478,,205159601,213244133,5967735,,,2541476,26861290,,,35370501,283985135,248614634,91595,,,,,,27000000,,,,27000000,250807314,,223807314,,2868823,4340981,-1563420,19160936,24807320,248614634,,248614634,2571083,710686,-120176,,44548070,,,,213244133,-43158965,4550698,-2424228,,-22564473,20693598,-50871892,-52742767,-2900000,,,-124316,47985364,44961048,,-3231021,6900054,10131075,2126470
2005,16499010,,,,,4502910,,4502910,,,,20672082,6077792,764127,13723054,0.8318,,,,6881135,0.4171,2556616,4324519,0.2621,1.38,1.28,3132694,3359225,14590499,,14590499,1739460,,266248238,282578197,7207146,,,3376892,30449666,,,41033704,364645605,323611901,242864,,,,,,30000000,,,,30000000,321145538,,291145538,,3201334,8229552,-165955,21201432,32466363,323611901,,323611901,4324519,764127,-460452,,69334064,,,,282578197,-67276286,6685972,-1978538,-1380000,-16037889,11887903,-60790774,-66320760,-2000000,,,-526476,69851709,67325233,,7690445,14590499,6900054,4707434
2006,20963953,,,,,6018619,,6018619,,,,29158806,10306109,990052,20435284,0.9748,,,,9139123,0.4359,3327523,5811600,0.2772,3.50,3.31,1666716,1757394,17635956,,17635956,2120778,,313415654,333172388,6134009,,,3046287,32589549,,,41769845,416712078,374942233,308392,,,,,,39500000,,,,39500000,376258968,,336758968,,6511848,9881029,-58618,21849006,38183265,374942233,,374942233,5811600,990052,-481466,,50594191,,,,333172388,-51613289,5301088,-1278809,,-7223024,1951207,-43904775,-49176592,-11000000,,,-775138,58696099,46920961,,3045457,17635956,14590499,4022279
2007,22065003,,,,,6608808,,6608808,,,,34783518,14413605,605062,15748704,0.7137,,,,730037,0.0331,-141115,871152,0.0395,0.54,0.51,1656012,1743274,14933349,,14933349,2407977,,382715214,400056540,6470893,,,2941798,34952022,,,44364713,488785966,444421253,216086,,,,,,47100000,,,,47100000,455193903,,408093903,,6369718,9317878,106967,20532787,36327350,444421253,,444421253,871152,605062,-3478707,,66884152,,,,400056540,-53099087,11782572,-840644,,-15596696,13044920,-76295307,-78847083,-27400000,,,-1303577,93065481,64361904,,-2702607,14933349,17635956,10941928
2008,19874131,,,,,7139594,,7139594,,,,30680174,12698074,694499,17200939,0.8655,,,,3808366,0.1916,1296542,2511824,0.1264,1.56,1.52,1625722,1660906,10872390,,10872390,1771091,,403621123,416264604,8471955,,,2840773,44225843,,,55538571,527341746,471803175,469586,,,,,,71250000,,,,71250000,506551666,,435301666,,6319718,10056680,-186527,20311638,36501509,471803175,,471803175,2511824,694499,3302186,,16208064,,,,416264604,-19219272,3497301,-2589553,,-33626355,23627171,-15923894,-25923078,,,,-1773022,31162840,29389818,,6964041,21897390,14933349,907748
2009,15660261,,,,,8169219,,8169219,,,,26308427,11189383,958438,-1366858,-0.0873,,,,-13514679,-0.8630,-5336040,-8178639,-0.5223,-5.04,-5.04,1625099,1625099,38202205,,38202205,1520699,,357453648,397176552,8098059,,,2579211,124550564,,,135227834,667632220,532404386,351360,,,,,,72350000,,,,72350000,576916907,,504566907,,6500396,424854,-250457,21162686,27837479,532404386,,532404386,-8178639,958438,1301148,216600,-19088052,,,-118226,397176552,30838849,6048344,-310113,,-117381805,36885449,22367062,-58439407,,,,-1094651,69790529,68695878,,16304815,38202205,21897390,5738231
2010,19090543,,,,,7482180,,7482180,,,,25211428,9201814,555235,3514231,0.1841,,,,-6242818,-0.3270,-1535297,-4707521,-0.2466,-2.92,-2.92,1625099,1625099,22981952,,22981952,1326480,,,,8047370,,,,108346136,,,,441499414,441499414,176761,,,,,,54715000,,,,54715000,470395261,,415680261,2727424,6500396,-4317130,-328835,21237298,25819153,441499414,,441499414,-4707521,555235,-1012915,74612,-397176552,,,-174599,,412376874,10109733,-835007,,-110217651,127858331,44097916,60903589,-17635000,,,-34463,-68564112,-86233575,,-15220253,22981952,38202205,9274726
