,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1990,22100000,1800000,20300000,0.9186,,,,14000000,1200000,15200000,17000000,,,1200000,7000000,0.3167,5100000,0.2308,300000,5400000,0.2443,1800000,4000000,0.1810,0.09,0.09,44444444,44444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,1200000,,,200000,,,,,600000,6000000,-1100000,,-2000000,,-100000,-3200000,,,,,-800000,-800000,,-800000,,7200000,4900000
1991,40500000,3700000,36800000,0.9086,,,,28000000,3700000,31700000,35400000,,,3700000,9200000,0.2272,5100000,0.1259,400000,5500000,0.1358,2000000,3500000,0.0864,0.07,0.07,50000000,50000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000,3700000,,,,,,,,-1800000,5400000,-3200000,,-4700000,2000000,,-5900000,,4900000,,,-1500000,3400000,,3400000,,9300000,2200000
1992,63000000,6000000,57000000,0.9048,,,,41300000,5200000,46500000,52500000,,,5200000,16300000,0.2587,10500000,0.1667,600000,11100000,0.1762,4000000,7100000,0.1127,0.12,0.12,59166667,59166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7100000,5200000,,,,,,,,4900000,17200000,-4200000,,-21200000,,-2900000,-28300000,,31000000,,,-10900000,20100000,200000,20100000,,12200000,13000000
1993,108000000,8500000,99500000,0.9213,,,,71800000,7700000,79500000,88000000,,,7700000,28600000,0.2648,20000000,0.1852,900000,20900000,0.1935,7700000,13200000,0.1222,0.21,0.21,62857143,62857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200000,7700000,,,,,,,,26200000,47100000,-9600000,,-24700000,,-700000,-35000000,,5700000,,,-1400000,4300000,-100000,4300000,,21400000,37500000
1994,196000000,14400000,181600000,0.9265,,,,138900000,12100000,151000000,165400000,,,12100000,37200000,0.1898,30600000,0.1561,-5500000,25100000,0.1281,9300000,15800000,0.0806,0.15,0.12,74166667,74166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15800000,12100000,,,,,,,,27300000,55200000,-13000000,,,300000,-7000000,-19700000,,9200000,,,-400000,8800000,100000,8800000,,49100000,42200000
1995,265500000,15100000,250400000,0.9431,58700000,,,124200000,15500000,198400000,213500000,,,15500000,63200000,0.2380,52000000,0.1959,-4300000,47700000,0.1797,17400000,30300000,0.1141,0.32,0.29,94687500,94687500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30300000,15500000,,,,,,,,30900000,76700000,-20900000,,-29500000,,-7200000,-57600000,,19800000,,,,19800000,400000,19800000,,51900000,55800000
1996,353500000,20200000,333300000,0.9429,84200000,161800000,,161800000,18700000,264700000,284900000,,,18700000,54600000,0.1545,68600000,0.1941,-32700000,35900000,0.1016,12200000,23700000,0.0670,0.28,0.28,83106000,83333333,33900000,,33900000,61100000,,222600000,317600000,51500000,,,,,,39900000,91400000,,409000000,11500000,11600000,,,137200000,160300000,16000000,,,,16000000,,,176300000,,,72300000,-41000000,201400000,232700000,409000000,,409000000,23700000,18700000,-11900000,,157300000,,,,157300000,-99500000,88300000,-39300000,,-101400000,,-12400000,-153100000,,28000000,-14800000,,-5500000,7700000,-200000,7700000,,91200000,49000000
1997,499100000,30000000,469100000,0.9399,115000000,215200000,,215200000,30400000,360600000,390600000,,,30400000,143800000,0.2881,108500000,0.2174,4900000,113400000,0.2272,41000000,72400000,0.1451,0.67,0.67,108078000,116941176,78300000,,78300000,87900000,,319900000,486100000,76700000,,,,,,66900000,143600000,,629700000,16200000,8900000,,,180600000,205700000,9000000,,,3200000,12200000,,,217900000,,,131400000,-44300000,324700000,411800000,629700000,,629700000,72400000,30400000,-20800000,,,,,,157300000,27600000,109600000,-54500000,,-55500000,,10200000,-99800000,,41300000,-9500000,,-10200000,21600000,-300000,21600000,,47200000,55100000
1998,717900000,49600000,668300000,0.9309,154400000,292600000,,292600000,44200000,491200000,540800000,,,44200000,191700000,0.2670,177100000,0.2467,-58000000,119100000,0.1659,55800000,91700000,0.1277,0.70,0.67,131002000,136854000,159700000,,159700000,126300000,,482600000,768600000,99900000,,,,,,78100000,178000000,,946600000,14900000,7600000,,,245700000,268200000,13100000,,,4900000,18000000,,,286200000,,,243000000,-73400000,490800000,660400000,946600000,,946600000,91700000,44200000,-6600000,,123100000,,,,280400000,-108300000,144100000,-88400000,,-127800000,,62900000,-153300000,,62300000,-12400000,,-7800000,42100000,400000,42100000,,126400000,55700000
1999,806100000,62700000,743400000,0.9222,167100000,,,288700000,52000000,507800000,570500000,,,52000000,303400000,0.3764,235600000,0.2923,15800000,251400000,0.3119,90000000,161400000,0.2002,1.15,1.10,140236000,146844000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161400000,52000000,-5100000,,220000000,,,,500400000,-205000000,223300000,-112300000,,-27600000,,43000000,-96900000,,102700000,-95400000,,-12600000,-5300000,-400000,120800000,285300000,164500000,111000000
