,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1989,12500000,6100000,6400000,0.5120,,,,,5800000,5800000,11900000,,,200000,800000,0.0640,600000,0.0480,,600000,0.0480,200000,400000,0.0320,0.02,0.02,31536000,31536000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,15700000,7300000,8400000,0.5350,,,,,6900000,6900000,14200000,,,300000,1700000,0.1083,1500000,0.0955,-100000,1400000,0.0892,400000,1000000,0.0637,0.03,0.03,33333333,33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,300000,,,-500000,,-100000,,,300000,1100000,-400000,,,,,-400000,,,-200000,,-200000,-400000,,-400000,,1000000,700000
1991,19300000,8900000,10400000,0.5389,,,,,8200000,8200000,17100000,,,500000,2700000,0.1399,2200000,0.1140,,2200000,0.1140,600000,1600000,0.0829,0.05,0.05,32000000,32000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600000,500000,,,,,-300000,,,-300000,1800000,-900000,,,,,-900000,,100000,,,-300000,-200000,,-200000,,1300000,900000
1992,22300000,9600000,12700000,0.5695,,,,,8600000,8600000,18200000,,,1000000,4300000,0.1928,4100000,0.1839,-800000,3300000,0.1480,1300000,2000000,0.0897,0.06,0.06,33333333,33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,1000000,,,,,300000,,,900000,3900000,-600000,,-1900000,500000,1000000,-1000000,,300000,-200000,,-500000,-400000,,-400000,,2000000,3300000
1993,28700000,11800000,16900000,0.5889,,,,,10000000,10000000,21800000,,,1300000,7800000,0.2718,6900000,0.2404,-400000,6500000,0.2265,2100000,4400000,0.1533,0.12,0.12,36666667,36666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400000,1300000,-100000,,,,800000,,,-1100000,4500000,-2600000,,-5500000,3000000,,-5100000,,200000,,,-100000,100000,,100000,,4500000,1900000
1994,40300000,15200000,25100000,0.6228,6500000,,,,11000000,17500000,32700000,,,1800000,9000000,0.2233,7600000,0.1886,-400000,7200000,0.1787,2100000,5100000,0.1266,0.14,0.14,36428571,36428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100000,1800000,-800000,,,,-200000,,,200000,6300000,-1300000,,-4700000,3400000,-1800000,-4400000,,,,,,,,,,4000000,5000000
1995,47700000,16800000,30900000,0.6478,8600000,11200000,,11200000,1700000,21500000,38300000,,,1700000,11300000,0.2369,9400000,0.1971,200000,9600000,0.2013,2900000,6700000,0.1405,0.17,0.17,38087824,38333333,5300000,,5300000,7400000,3300000,11800000,27800000,4300000,,800000,800000,,,1200000,6300000,,34100000,2200000,,,,1900000,4100000,,,,500000,500000,,,4600000,,,20700000,-6300000,15100000,29500000,34100000,,34100000,6700000,1700000,-200000,,23700000,,-700000,,23700000,-24600000,7300000,-1300000,,-10400000,4900000,-600000,-7400000,,200000,-600000,,,-400000,,,,5900000,6000000
1996,54600000,17100000,37500000,0.6868,10400000,13000000,,13000000,1900000,25300000,42400000,,,1900000,14500000,0.2656,12200000,0.2234,400000,12600000,0.2308,4000000,8600000,0.1575,0.22,0.22,38885700,38885700,7400000,,7400000,8400000,3700000,13800000,33300000,9000000,,600000,600000,,,1500000,11100000,,44400000,1700000,,,,3300000,5000000,,,,500000,500000,,,5500000,,,27200000,-7900000,19600000,38900000,44400000,,44400000,8600000,1900000,-1000000,,4600000,,-400000,,28300000,-4300000,9800000,-6400000,,-11900000,10700000,,-7600000,,600000,-700000,,,-100000,,,,5300000,3400000
1997,60900000,17000000,43900000,0.7209,11700000,14600000,,14600000,2300000,28600000,45600000,,,2300000,18300000,0.3005,15300000,0.2512,700000,16000000,0.2627,5100000,10900000,0.1790,0.28,0.28,38925064,38947368,8600000,,8600000,9100000,4100000,18000000,39800000,11300000,,400000,400000,,,2400000,14100000,,53900000,1600000,,,,3300000,4900000,,,,900000,900000,,,5800000,,,34900000,-10000000,23200000,48100000,53900000,,53900000,10900000,2300000,-700000,,6600000,,-400000,,34900000,-6600000,12500000,-4200000,,-16000000,11600000,-200000,-8800000,,600000,-3200000,,,-2600000,200000,,,7400000,8300000
1998,67300000,17800000,49500000,0.7355,10600000,15400000,,15400000,2300000,28300000,46100000,,,2300000,24700000,0.3670,21200000,0.3150,1200000,22400000,0.3328,7200000,15200000,0.2259,0.40,0.39,37905936,39215260,27400000,,27400000,10000000,3800000,17300000,58500000,11700000,,300000,300000,,,2400000,14400000,,72900000,3200000,,,,4200000,7400000,,,,1700000,1700000,,,9100000,,,49400000,-11400000,25800000,63800000,72900000,,72900000,15200000,2300000,-400000,,16200000,,300000,,51100000,-13000000,20300000,-3000000,,-24200000,25000000,,-2200000,,900000,-300000,,,600000,100000,,,8600000,17300000
