,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1990,45700000,18300000,27400000,0.5996,,,,15800000,3700000,19500000,37800000,,,-4700000,-1100000,-0.0241,,,-4300000,3600000,0.0788,1500000,2100000,0.0460,0.15,0.15,14000000,14000000,4000000,,4000000,4300000,200000,1100000,9600000,27800000,,,,,,100000,27900000,,37500000,700000,,,,8300000,9000000,22900000,,600000,-100000,23400000,,,32400000,,,2700000,-6000000,8400000,5100000,37500000,,37500000,2100000,-4700000,200000,,900000,-500000,-100000,1900000,600000,8600000,7100000,-2900000,,,,2700000,-200000,-13300000,,,,10000000,-3300000,,-3300000,,400000,4200000
1991,52500000,14000000,38500000,0.7333,,,,24700000,5000000,29700000,43700000,,,-5900000,-2600000,-0.0495,,,-5500000,3300000,0.0629,1300000,2000000,0.0381,0.14,0.14,14285714,14285714,4500000,,4500000,4700000,200000,1600000,11000000,27500000,,,,,,100000,27600000,,38600000,600000,,,,9500000,10100000,20000000,,1400000,,21400000,,,31500000,,,4700000,-11800000,14200000,7100000,38600000,,38600000,2000000,-5900000,300000,,300000,-400000,,-500000,900000,10400000,7100000,-5700000,,,,,-5700000,-15400000,,,,14400000,-1000000,,-1000000,,4000000,1400000
1992,63000000,18000000,45000000,0.7143,,,,29200000,5700000,34900000,52900000,,,-6800000,,,,,-3300000,6800000,0.1079,2700000,4100000,0.0651,0.23,0.23,9600000,9600000,1100000,,1100000,6400000,100000,1300000,8900000,32600000,,,,,,300000,32900000,,41800000,1700000,,,,6100000,7800000,7000000,,2300000,,9300000,,,17100000,,,8700000,-11600000,27600000,24700000,41800000,,41800000,4100000,-6800000,1300000,,200000,-1600000,,1600000,1100000,13300000,12100000,-13700000,,,,1500000,-12200000,-29900000,13600000,,,13000000,-3300000,,-3300000,,4500000,-1600000
1993,75900000,21500000,54400000,0.7167,,,,35500000,6100000,41600000,63100000,,,-7500000,1900000,0.0250,,,-3400000,9400000,0.1238,3800000,5600000,0.0738,0.56,0.56,10000000,10000000,1000000,,1000000,8400000,200000,1800000,11400000,42700000,,,,,,600000,43300000,,54700000,900000,,,,7700000,8600000,10900000,,4400000,300000,15600000,,,24200000,,,14300000,-13700000,29900000,30500000,54700000,,54700000,5600000,-7500000,1800000,,1700000,-2100000,100000,300000,2800000,11500000,13100000,-15100000,,,,4500000,-10600000,-14000000,200000,,,11200000,-2600000,,-2600000,,1100000,-2000000
1994,92500000,25200000,67300000,0.7276,,,,42700000,7500000,50200000,75400000,,,-9100000,4000000,0.0432,,,-4000000,13100000,0.1416,5000000,8100000,0.0876,0.80,0.80,10125000,10125000,900000,,900000,9600000,200000,1800000,12500000,53200000,,,,,,700000,53900000,,66400000,800000,,,,10000000,10800000,9400000,,7000000,600000,17000000,,,27800000,,,22400000,-18100000,34300000,38600000,66400000,,66400000,8100000,-9100000,2300000,,-1100000,-1200000,200000,2300000,1700000,20800000,21000000,-18600000,,,,4400000,-14200000,-11900000,100000,,,4900000,-6900000,,-6900000,,1000000,2400000
1995,102400000,29700000,72700000,0.7100,,,,49300000,9300000,58600000,88300000,,,-11100000,-1300000,-0.0127,,,-4300000,9800000,0.0957,3800000,6000000,0.0586,0.60,0.60,10000000,10000000,1700000,,1700000,11900000,300000,2100000,16000000,60400000,,,,,,2600000,63000000,,79000000,2000000,,,,11300000,13300000,13400000,,8500000,600000,22500000,,,35800000,,,28400000,-22900000,37700000,43200000,79000000,,79000000,6000000,-11100000,1200000,,1000000,-2300000,-200000,2000000,2700000,20800000,17900000,-18700000,,-2400000,2400000,4400000,-14300000,-10400000,200000,-1700000,,9000000,-2900000,,-2900000,,900000,-800000
1996,108312633,49557539,58755094,0.5425,,31064185,,31064185,70996688,102060873,151618412,,,11839187,17374667,0.1604,6251760,0.0577,-716280,5535480,0.0511,2153302,3382178,0.0312,0.35,0.35,9626127,9735902,1486946,,1486946,12738894,176759,2422646,16825245,66768223,,,,,,2736379,69504602,,86329847,1378551,6018289,,,7796569,15193409,15867365,,9568464,1276614,26712443,,,41905852,,94996,31798704,-28089739,40620034,44423995,86329847,,86329847,3382178,11839187,933309,,-1068164,-964109,11043,-1031939,1631836,-215821,14870689,-16996876,,-138002,,4914554,-12220324,-11880000,272114,-2154749,,10942824,-2819811,,-169446,1486946,1656392,-2126187
1997,129507242,53221160,76286082,0.5890,,34188558,,34188558,81149980,115338538,168559698,,,13607835,26589430,0.2053,14168704,0.1094,-1187109,12981595,0.1002,5078123,7903472,0.0610,0.84,0.83,9408895,9522255,3667311,,3667311,12895721,291691,3437432,20292155,90181908,,,,,,3044107,93226015,,113518170,3125666,6285986,,,11349865,20761517,27056954,,11641824,1684614,40383392,,,61144909,,93749,39702176,-30314193,42891529,52373261,113518170,,113518170,7903472,13607835,1050336,,-2101198,-186827,-106694,5568536,-469362,7812482,28272927,-32777855,,,,7866489,-24911366,-23828208,375047,-597379,,22869344,-1181196,,2180365,3667311,1486946,-4504928
1998,145216121,53482331,91733790,0.6317,,33400982,,33400982,92854948,126255930,179738261,,,16179143,33359420,0.2297,18960191,0.1306,-1779914,17180277,0.1183,6683128,10497149,0.0723,1.12,1.11,9372454,9456891,1779643,,1779643,14228762,236338,4213926,20458669,96139593,,,,,,3012957,99152550,,119611219,3397593,6188241,,,11564854,21150688,19057816,,14576038,2092614,35726468,,,56877156,,94371,50199325,-36769320,49209687,62734063,119611219,,119611219,10497149,16179143,3316964,,-222657,-1363041,-1103891,539981,-692019,-1303382,28467217,-21731600,,,,6426532,-15305068,-22800000,396550,-585962,,7939595,-15049817,,-1887668,1779643,3667311,6735617
1999,166363356,66719365,99643991,0.5990,,42480525,,42480525,108046159,150526684,217246049,,,18591780,32804779,0.1972,15836672,0.0952,-1623673,14212999,0.0854,5571497,8641502,0.0519,0.93,0.92,9291938,9392937,2145707,,2145707,32159101,301907,4842469,39449184,142138056,,,,,,452448,142590504,,182039688,5139164,10956533,,,12182089,28277786,64452648,,17008364,2192714,83653726,,,111931512,,93870,58840827,-43873074,55046553,70108176,182039688,,182039688,8641502,18591780,2797278,,11863417,-17186596,-609527,1103205,11171398,-28343632,13550345,-29492589,-22891055,,968196,9498172,-41917276,-19595310,395494,-1662883,,49595694,28732995,,366064,2145707,1779643,-15942244
