,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1600000,9600000,-8000000,-5.0000,,,,,2500000,2500000,12100000,,,400000,-9500000,-5.9375,-10500000,-6.5625,700000,,,,-9900000,-6.1875,-171.20,-171.20,57827,57827,11000000,,11000000,100000,,400000,11500000,1200000,,,,,,,1200000,,12700000,1200000,,,,400000,1600000,34400000,,,100000,34500000,,,36100000,,,-27000000,-1200000,4800000,-23400000,12700000,,12700000,-9900000,400000,,,500000,,,,15600000,-100000,-9100000,-400000,,,8500000,,8100000,,6000000,,,3300000,9300000,,9300000,,2700000,-9500000
1997,400000,-500000,900000,2.2500,13400000,2000000,,2000000,500000,15900000,15400000,,,500000,-13800000,-34.5000,-15000000,-37.5000,700000,,,,-14300000,-35.7500,-203.20,-203.20,70374,70374,1900000,,1900000,200000,,15300000,17400000,1000000,,,,,,,1000000,,18400000,1500000,100000,,,200000,1800000,100000,,,,100000,,,1800000,,,-41300000,-1700000,59600000,16600000,18400000,,18400000,-14300000,500000,,,-5479000,,,,10121000,5979000,-13300000,-400000,,-19200000,4200000,,-15400000,,19900000,,,-200000,19700000,,19700000,,11000000,-13700000
1998,249000,,,,15498000,2858000,,2858000,,18356000,18356000,,,377000,-16856000,-67.6948,-18107000,-72.7189,,,,,-17233000,-69.2088,-251.20,-251.20,83518,83518,2078000,9134000,11212000,167000,,270000,11649000,725000,,,,,,,725000,,12374000,1313000,65000,,,150000,1528000,,,,,,,,1528000,,59474000,-58897000,-2300000,12569000,10846000,12374000,,12374000,-17233000,377000,,,-2112000,,,,8009000,3329000,-15639000,-234000,,-12326000,18450000,,5890000,,10057000,-49000,,-124000,9884000,,135000,2078000,1943000,-15873000
1999,881000,6000,875000,0.9932,10871000,2836000,,2836000,,13707000,13713000,,,226000,-10802000,-12.2611,-12832000,-14.5653,1237000,,,,-11028000,-12.5176,-120.00,-120.00,95887,95887,7528000,,7528000,113000,1144000,253000,9038000,502000,,,,,,,502000,,9540000,836000,,,,193000,1029000,,,,,,,,1029000,,72257000,-70334000,-2480000,9068000,8511000,9540000,,9540000,-11028000,226000,,,4134000,,-1144000,,12143000,-4530000,-11198000,-73000,,-1000000,10200000,,9127000,,7586000,,,-65000,7521000,,5450000,7528000,2078000,-11271000
2000,1150000,926000,224000,0.1948,6289000,3364000,,3364000,325000,9978000,10904000,,,325000,-9065000,-7.8826,-9754000,-8.4817,,,,,-9390000,-8.1652,-65.60,-65.60,145900,145900,2064000,10681000,12745000,242000,,158000,13145000,292000,,,,,,,292000,,13437000,837000,,,,165000,1002000,,,,,,,,1002000,,92367000,-79932000,-2819000,2819000,12435000,13437000,,13437000,-9390000,325000,,,-1428000,,117000,,10715000,3616000,-6877000,-136000,,-10660000,,,-10796000,,12209000,,,,12209000,,-5464000,2064000,7528000,-7013000
2001,899000,13000,886000,0.9855,4983000,2482000,,2482000,,7465000,7478000,,,102000,-5824000,-6.4783,-6579000,-7.3181,,,,,-5926000,-6.5918,-27.20,-27.20,212687,212687,10659000,,10659000,129000,725000,213000,11726000,179000,,,,,,,179000,,11905000,856000,,,,155000,1011000,,,,,,,,1011000,,96752000,-85858000,-2862000,2862000,10894000,11905000,,11905000,-5926000,102000,,,-118000,,-725000,,10597000,-420000,-6362000,-58000,,-1500000,12250000,,10692000,,4265000,,,,4265000,,8595000,10659000,2064000,-6420000
2002,877000,202000,675000,0.7697,5428000,3528000,,3528000,,8956000,9158000,,,126000,-7813000,-8.9088,-8281000,-9.4424,,,,,-7939000,-9.0525,-30.40,-30.40,263256,263256,8605000,1000000,9605000,120000,1397000,225000,11347000,206000,,,,,,,206000,,11553000,589000,,,,161000,750000,,,,,,,,750000,,104600000,-93797000,-2932000,2932000,10803000,11553000,,11553000,-7939000,126000,,,676000,,-874000,,11273000,-1612000,-8749000,-153000,,-5500000,4500000,,-1153000,,7848000,,,,7848000,,-2054000,8605000,10659000,-8902000
2003,844000,893000,-49000,-0.0581,5647000,4017000,,4017000,,9664000,10557000,,,119000,-9460000,-11.2085,-9713000,-11.5083,,,,,-9579000,-11.3495,-30.40,-30.40,318650,318650,10512000,,10512000,350000,806000,185000,11853000,302000,,,,,,,302000,,12155000,406000,,,,174000,580000,,,,,,,,580000,,114951000,-103376000,-3040000,3040000,11575000,12155000,,12155000,-9579000,119000,,,6001000,,-253000,,17274000,-5531000,-8990000,-119000,,,1000000,,881000,,10016000,,,,10016000,,1907000,10512000,8605000,-9109000
2004,1302000,280000,1022000,0.7849,6289000,5390000,,5390000,,11679000,11959000,,,125000,-10363000,-7.9593,-10657000,-8.1851,,,,,-10488000,-8.0553,-22.40,-22.40,460643,460643,16926000,,16926000,246000,389000,271000,17832000,334000,,,,,,,334000,,18166000,382000,,,,176000,558000,,,,,,,,558000,,131472000,-113864000,-3165000,3165000,17608000,18166000,,18166000,-10488000,125000,,,15001000,,164000,,32275000,-14163000,-9525000,-157000,,,,,-157000,,16096000,,,,16096000,,6414000,16926000,10512000,-9682000
