,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2010,28865000,2396000,26469000,0.9170,7735000,3312000,16608000,19920000,,27655000,30051000,6000,270000,291000,-2074000,-0.0719,-1186000,-0.0411,-1449000,-2635000,-0.0913,126000,-2761000,-0.0957,-0.05,-0.05,56893068,56893068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2761000,291000,,511000,1798000,-4656000,,185000,5544000,1664000,1503000,-633000,,,,-373000,-1006000,-1750000,,,,105000,-1645000,,-1148000,12142000,13290000,870000
2011,39779000,3524000,36255000,0.9114,13049000,4514000,22095000,26609000,,39658000,43182000,62000,666000,453000,-2455000,-0.0617,-3403000,-0.0855,-171000,-3574000,-0.0898,224000,-3798000,-0.0955,-0.07,-0.07,56893068,56893068,12977000,622000,13599000,15665000,,606000,29870000,855000,,,,,,162000,1017000,,30887000,780000,,,14149000,5696000,20625000,,3068000,,41047000,44115000,,,64740000,,4000,-35432000,-1421000,2996000,-33853000,30887000,,30887000,-3798000,453000,,235000,3701000,-3217000,,171000,9245000,688000,1279000,-561000,,,,-445000,-1006000,-458000,48000,-1904000,,2876000,562000,,835000,12977000,12142000,718000
2012,53410000,4928000,48482000,0.9077,15034000,4966000,30036000,35002000,,50036000,54964000,97000,86000,465000,-4048000,-0.0758,-1554000,-0.0291,-3045000,-4599000,-0.0861,247000,-4846000,-0.0907,-0.09,-0.09,56893068,56893068,14470000,343000,14813000,20035000,,1430000,36278000,1298000,,,,,,118000,1416000,,37694000,1896000,,,19024000,7427000,28347000,,2249000,,44546000,46795000,,,75142000,,4000,-40278000,-1886000,4712000,-37448000,37694000,,37694000,-4846000,465000,,848000,-1314000,-4370000,,1116000,7931000,6579000,1732000,-920000,,,,278000,-642000,,1000000,-766000,,169000,403000,,1493000,14470000,12977000,812000
2013,74616000,6476000,68140000,0.9132,20973000,8881000,44131000,53012000,,73985000,80461000,36000,,796000,-6323000,-0.0847,-5845000,-0.0783,-1274000,-7119000,-0.0954,356000,-7475000,-0.1002,-0.13,-0.13,56893068,56893068,9633000,4344000,13977000,28268000,,1528000,43773000,1856000,,,,,,1625000,3481000,,47254000,2163000,,,26591000,11643000,40397000,,2109000,,1115000,3224000,,,43621000,,19000,-47753000,-2661000,54028000,3633000,47254000,,47254000,-7475000,796000,,1788000,-4555000,-8233000,,267000,3376000,9500000,54000,-1349000,,,,-4367000,-5716000,,,,,825000,825000,,-4837000,9633000,14470000,-1295000
2014,101348000,9911000,91437000,0.9022,28086000,11872000,68787000,80659000,,108745000,118656000,188000,,1285000,-17737000,-0.1750,-17308000,-0.1708,-1714000,-19022000,-0.1877,376000,-19398000,-0.1914,-0.30,-0.30,63726939,63726939,76593000,35102000,111695000,37869000,,2962000,152526000,3989000,,,,,,332000,4321000,,156847000,2703000,,,33753000,16754000,53210000,,3464000,,5147000,8611000,,,61821000,,25000,-67151000,-326000,162478000,95026000,156847000,,156847000,-19398000,1285000,,4664000,95940000,-9601000,,540000,99316000,-89601000,-7110000,-2333000,,-30758000,,269000,-32822000,,108447000,,,-1555000,106892000,,66960000,76593000,9633000,-9443000
2015,127210000,12019000,115191000,0.9055,31792000,16106000,86367000,102473000,,134265000,146284000,330000,,1615000,-18982000,-0.1492,-19074000,-0.1499,-1523000,-20597000,-0.1619,686000,-21283000,-0.1673,-0.28,-0.28,75595638,75595638,49241000,57103000,106344000,47436000,,2622000,156402000,8265000,,,,,,477000,8742000,,165144000,2612000,,,45675000,23029000,71316000,,3096000,,7145000,10241000,,,81557000,,26000,-88434000,-331000,172326000,83587000,165144000,,165144000,-21283000,1615000,,7794000,-14230000,-9567000,,-91000,85086000,23375000,-2729000,-4536000,,-22001000,,-141000,-26678000,,,,,2055000,2055000,,-27352000,49241000,76593000,-7265000
2016,164456000,15843000,148613000,0.9037,36660000,19822000,107825000,127647000,,164307000,180150000,520000,,2180000,-14399000,-0.0876,-15694000,-0.0954,-885000,-16579000,-0.1008,1131000,-17710000,-0.1077,-0.22,-0.22,79218936,79218936,48315000,65493000,113808000,53861000,,3650000,171319000,9910000,,,,,,609000,10519000,,181838000,1288000,,,58478000,28479000,88245000,,3562000,,7292000,10854000,,,99099000,,27000,-106144000,-479000,189335000,82739000,181838000,,181838000,-17710000,2180000,,12938000,-2012000,-6425000,,-1324000,83074000,11951000,7347000,-3825000,,-8390000,,-130000,-12345000,,,,,4072000,4072000,,-926000,48315000,49241000,3522000
2017,217364000,20873000,196491000,0.9040,47369000,26823000,135896000,162719000,,210088000,230961000,747000,,3328000,-7907000,-0.0364,-13597000,-0.0626,2362000,-11235000,-0.0517,2459000,-13694000,-0.0630,-0.17,-0.17,82402320,82402320,56689000,79868000,136557000,75596000,,7130000,219283000,11896000,,,,,,973000,12869000,,232152000,635000,,,73891000,42453000,116979000,,7034000,,6561000,13595000,,,130574000,,28000,-122454000,136000,223868000,101578000,232152000,,232152000,-13694000,3328000,,19835000,19230000,-21735000,,-653000,102304000,-12348000,16351000,-5314000,,-14402000,,-285000,-20001000,,,,,12083000,12083000,,8433000,57236000,48803000,11037000
2018,270288000,27683000,242605000,0.8976,69971000,33460000,168309000,201769000,,271740000,299423000,1741000,,4156000,-24009000,-0.0888,-29135000,-0.1078,970000,-28165000,-0.1042,413000,-28578000,-0.1057,-0.33,-0.33,87061935,87061935,48707000,110208000,158915000,83223000,,16952000,259090000,17323000,,,,,,8565000,25888000,,284978000,2620000,,,87729000,55991000,146340000,,6487000,,6781000,13268000,,,159608000,,30000,-137968000,-3633000,266941000,125370000,284978000,,284978000,-28578000,4156000,,34961000,10446000,-7627000,,1985000,112750000,2560000,23545000,-9583000,,-30319000,,-286000,-40188000,,,,,8114000,8114000,,-8529000,48707000,57236000,13962000
2019,254190000,35144000,219046000,0.8617,80764000,44371000,169898000,214269000,,295033000,330177000,2034000,1836000,15344000,-59196000,-0.2329,-75987000,-0.2989,-389000,-76376000,-0.3005,2388000,-78764000,-0.3099,-0.87,-0.87,90772230,90772230,68929000,51531000,120460000,75050000,,13047000,208557000,91395000,,,,,,18360000,109755000,,318312000,997000,,,95975000,62607000,159579000,57040000,5460000,,2701000,65201000,,57040000,224780000,,31000,-216732000,-449000,310682000,93532000,318312000,,318312000,-78764000,15344000,,46139000,-7077000,8173000,,-1623000,-11913000,13675000,-10683000,-25392000,,-1761000,60466000,-10000,33303000,,,,,-2398000,-2398000,,20222000,68929000,48707000,-36075000
2020,292689000,44261000,248428000,0.8488,99363000,47578000,179902000,227480000,,326843000,371104000,674000,6113000,9903000,-69882000,-0.2388,-78415000,-0.2679,-7483000,-85898000,-0.2935,8112000,-94010000,-0.3212,-1.00,-1.00,94336893,94336893,234092000,64170000,298262000,94229000,,27357000,419848000,85087000,23135000,5846000,28981000,,,21566000,135634000,,555482000,850000,,,98588000,83198000,182636000,273000000,2778000,,2997000,278775000,,54540000,461411000,,32000,-310742000,9371000,395410000,94071000,555482000,,555482000,-94010000,9903000,,68585000,-16259000,-19075000,,-328000,-19300000,25939000,-5842000,-10116000,-29369000,,,-15263000,-54748000,,,,,225753000,225753000,,165163000,234092000,68929000,-15958000
2021,390134000,59399000,330735000,0.8477,137882000,61233000,230314000,291547000,,429429000,488828000,164000,10038000,10888000,-89913000,-0.2305,-98694000,-0.2530,-12145000,-110839000,-0.2841,6022000,-116861000,-0.2995,-1.24,-1.24,94336893,94336893,805761000,1850000,807611000,117179000,,34417000,959207000,102047000,23135000,4313000,27448000,,,19835000,149330000,,1108537000,5324000,,,104221000,102226000,211771000,294024000,2566000,,3583000,300173000,,68694000,511944000,,108000,-427603000,6083000,,596593000,1108537000,,1108537000,-116861000,10888000,,109779000,-25877000,-22950000,,4474000,-15730000,29249000,7178000,-10490000,,-50000000,114869000,,54379000,,500034000,,,10078000,510112000,,571669000,805761000,234092000,-3312000
