,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1985,,,,,,,,,,,,,,,,,,,,,,,26400000,Infinity,0.29,0.29,92475506,92475506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,,36300000,Infinity,0.40,0.40,91391799,91391799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,,,48100000,Infinity,0.53,0.53,91181550,91181550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,,,,,,54200000,Infinity,0.59,0.59,91929848,91929848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,101300000,,,,,13000000,,13000000,,,,239600000,157300000,3600000,238100000,2.3504,,,,77200000,0.7621,20000000,57200000,0.5647,1.38,1.38,41330615,41330615,15800000,,15800000,23200000,,,,63700000,,,26100000,,,,,2437600000,2437600000,,,,,,,521000000,,,,521000000,2681300000,,2160300000,,,234300000,,43000000,277300000,2437600000,,2437600000,57200000,3600000,,,4400000,,,,,-11900000,53300000,-200000,,-151000000,103300000,-135700000,-183400000,,,,-16500000,138900000,122400000,,122400000,,23500000,53100000
1990,107300000,,,,,12400000,,12400000,,,,265900000,174400000,3500000,261000000,2.4324,,,,83100000,0.7745,20200000,62900000,0.5862,1.01,1.01,62562849,62562849,14300000,,14300000,26800000,,,,56900000,,,26000000,,,,,2650600000,2650600000,,,,,,,196700000,,,,196700000,2527100000,,2330400000,,,267000000,,53200000,320200000,2650600000,,2650600000,62900000,3500000,,,-10700000,,,,,-11400000,44300000,-1300000,,-120700000,104200000,-91300000,-107800000,,,,-19900000,81900000,62000000,,62000000,,15800000,43000000
1991,121400000,,,,,13400000,,13400000,,,,270800000,160500000,3600000,258300000,2.1277,,,,94200000,0.7759,24900000,69300000,0.5708,1.10,1.10,62732645,62732645,35900000,,35900000,26400000,,,,56300000,,,23500000,,,,,2785100000,2785100000,,,,,,,254600000,,,,254600000,2671300000,,2416700000,,,334200000,,34200000,368400000,2785100000,,2785100000,69300000,3600000,,,-3700000,,,,,-18400000,50800000,-2500000,,-64400000,142300000,-167600000,-89700000,,,,-23500000,83400000,59900000,,59900000,,14900000,48300000
1992,143900000,,,,,13800000,,13800000,,,,271700000,133500000,3900000,253700000,1.7630,,,,116300000,0.8082,34400000,81900000,0.5691,0.87,0.87,94261988,94261988,15200000,,15200000,23900000,,,,49800000,,,22100000,,,,,2791700000,2791700000,,,,,,,412200000,,,,412200000,2779800000,,2367600000,,,389200000,,34900000,424100000,2791700000,,2791700000,81900000,3900000,,,1700000,,,,,-23900000,63600000,-272500000,,-220200000,206500000,115800000,102100000,-688900000,,,-26900000,549400000,-166400000,,-166400000,,15900000,-208900000
1993,172900000,,,,,16000000,,16000000,,,,275400000,116700000,4900000,258600000,1.4957,,,,139100000,0.8045,45800000,91200000,0.5275,0.96,0.96,95423442,95423442,16600000,,16600000,22900000,,,,64100000,,,37500000,,,,,3159300000,3159300000,,,,,,,426800000,,,,426800000,3099900000,,2673100000,,,447400000,,38800000,486200000,3159300000,,3159300000,91200000,4900000,,,-9100000,,,,,-37900000,49100000,-1600000,,-334600000,440100000,-102900000,2600000,-186000000,,,-29700000,165400000,-50300000,,-50300000,,15200000,47500000
1994,176200000,,,,,17700000,,17700000,,,,287600000,121100000,5200000,268700000,1.5250,,,,142400000,0.8082,49600000,92800000,0.5267,0.99,0.98,94044110,94639315,30500000,,30500000,26500000,,,,63200000,,,34300000,,,,,3830100000,3830100000,,,,,,,956900000,,,,956900000,4240200000,,3283300000,,,186600000,,360200000,546800000,3830100000,,3830100000,92800000,5200000,,,-2700000,,,,,-31700000,63600000,-2900000,,-722600000,333600000,-170000000,-559000000,-40000000,,,-32700000,582000000,509300000,,509300000,,16600000,60700000
1995,165400000,,,,,18600000,,18600000,,,,343800000,188300000,5400000,316700000,1.9148,,,,123000000,0.7437,44700000,78300000,0.4734,0.84,0.84,93456382,93456382,23200000,,23200000,31400000,,,,72100000,,,31000000,,,,,4577400000,4577400000,,,,,,,1424100000,,,,1424100000,5425600000,,4001500000,,,229500000,,346400000,575900000,4577400000,,4577400000,78300000,5400000,,,-1600000,,,,,-31100000,51000000,-2900000,,-355500000,243200000,-580100000,-692400000,,,,-35500000,669700000,634200000,,634200000,,30500000,48100000
1996,181300000,,,,,20200000,,20200000,,,,404200000,228800000,5500000,358800000,1.9790,,,,124500000,0.6867,44600000,79900000,0.4407,0.88,0.88,89406992,91774999,19600000,,19600000,34600000,,4957900000,5012100000,75400000,,,27500000,,,,102900000,,5115000000,,,,,4537000000,4537000000,1959500000,,,,1959500000,300000,,4537300000,,,183600000,,394100000,577700000,5115000000,,5115000000,79900000,5500000,,,2900000,,,,,-10700000,77600000,-3900000,,-241200000,425400000,-692900000,-508700000,-370000000,,,-37800000,835300000,427500000,,427500000,,23200000,73700000
1997,208500000,,,,,24100000,,24100000,,,,459000000,257400000,-9100000,411700000,1.9746,,,,163400000,0.7837,58300000,105100000,0.5041,1.13,1.13,92556540,92556540,23400000,,23400000,36400000,,5553400000,5613200000,47600000,,,58800000,,,,106400000,,5719600000,,,,,5002000000,5002000000,1601000000,,,,1601000000,,,5001900000,,,131600000,,586100000,717700000,5719600000,,5719600000,105100000,-9100000,,,21200000,,,,,-7200000,110000000,-4100000,,-54200000,119900000,64000000,129700000,-665400000,,,-42700000,472200000,-235900000,,-235900000,,19600000,105900000
1998,219600000,,,,,24900000,,24900000,,,,460600000,252200000,-20100000,405800000,1.8479,,,,173700000,0.7910,61900000,111800000,0.5091,1.21,1.20,93659335,93659335,22200000,,22200000,35200000,,5477100000,5534500000,48900000,,,53600000,,,,102500000,,5637000000,,778300000,,,4091700000,4870000000,578200000,,,,578200000,,,4869800000,,,53300000,,713900000,767200000,5637000000,,5637000000,111800000,-20100000,,,2900000,,,,,-5600000,89000000,-3600000,,-319200000,367000000,79100000,126900000,-152500000,,,-46800000,-17800000,-217100000,,-217100000,,23400000,85400000
