,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1997,15450150,,,,,4222386,,4222386,16257395,20479781,20479781,,,343305,-4617030,-0.2988,-5029631,-0.3255,,,,,-4960335,-0.3211,-0.77,-0.77,6466168,6466168,3533622,,3533622,2993299,,224801,6751722,556070,,,,,,4849175,5405245,,12156967,2093987,,,,1146752,3240739,,2661129,,,2661129,,,5901868,,71461,-13330725,,19514363,6255099,12156967,,12156967,-4960335,343305,,,1743172,,,,3510983,-1869426,-4743284,-178372,,,,910067,731695,,6000760,,,,6000760,,1989171,3533622,1544451,-4921656
1998,15348179,,,,,4964069,,4964069,18418823,23382892,23382892,,,321280,-8270590,-0.5389,-8034713,-0.5235,,,,,-8591870,-0.5598,-1.09,-1.09,7876509,7876509,4752587,877231,5629818,2356126,,795024,8780968,586007,,,,,,1420268,2006275,,10787243,2191765,,,,657984,2849749,,2246422,,,2246422,,,5096171,,84909,-21922595,,27528758,5691072,10787243,,10787243,-8591870,321280,,,2420236,,,,5931219,-2251180,-8101534,-353713,,,223556,2052503,1922346,,5398153,,,2000000,7398153,,1218965,4752587,3533622,-8455247
1999,17505409,,,,,5291648,,5291648,20716114,26007762,26007762,,,523715,-3668988,-0.2096,-8502353,-0.4857,,,,,-4192703,-0.2395,-0.47,-0.47,9336679,9336679,6437542,,6437542,3019710,,914153,10371405,1653659,,,,,,4232903,5886562,,16257967,3024395,,,,2183880,5208275,,2448591,,938164,3386755,,,8595030,,103539,-26332285,,33891683,7662937,16257967,,16257967,-4192703,523715,,,-768089,,,,5163130,-2704169,-7141246,-1568403,,-753076,5841196,233081,3752798,,5290390,,-216987,,5073403,,1684955,6437542,4752587,-8709649
2000,19778804,,,,,5494521,,5494521,21924543,27419064,27419064,,,557802,-2847987,-0.1440,-7640260,-0.3863,,,,,-3405789,-0.1722,-0.34,-0.34,10439887,11167873,4694476,,4694476,1754200,,1086298,7534974,1479105,,,,,,3692181,5171286,,12706260,2534027,,,,2449867,4983894,,2607407,,532653,3140060,,,8123954,,89729,-29926783,,34419360,4582306,12706260,,12706260,-3405789,557802,,,-2612050,,,,2551080,-2876255,-8336292,-393850,,,,6585819,6191969,,111616,-160302,-188709,638652,401257,,-1743066,4694476,6437542,-8730142
2001,5929994,,,,,2666450,,2666450,6469572,9136022,9136022,,,468159,-4865197,-0.8204,-527408,-0.0889,,,,,-5333356,-0.8994,-0.62,-0.62,8887631,8957109,1291444,,1291444,254310,,154552,1700306,153969,,,,,,1213909,1367878,,3068184,1140953,,,,1409400,2550353,,1667549,,,1667549,,,4217902,,79156,-35417739,,34188865,-1149718,3068184,,3068184,-5333356,468159,,,-3401127,,,,-850047,4537909,-3728415,-561001,,,,2575434,2014433,,,,-157600,-638653,-796253,,-3403032,1291444,4694476,-4289416
2002,,,,,,,,,1101367,1101367,1101367,,,103545,-997822,-Infinity,,,70871,,,,1063933,Infinity,0.11,0.11,7897988,8634202,460798,,460798,,,62218,523016,90961,,,,285942,,299292,676195,,1199211,351647,,,,473560,825207,,624964,,,624964,,,1450171,79,78946,-34511406,,34181421,-250960,1199211,,1199211,1063933,103545,,,547856,,,,-302191,-2766782,-1051448,-40543,,,151980,70871,182308,,,,,,,,-830646,460798,1291444,-1091991
2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,,1100000,1100000,1100000,,,,-1000000,-Infinity,-1100000,-Infinity,,-1100000,-Infinity,,-1000000,-Infinity,-0.05,-0.05,20900000,20900000,7800000,,7800000,,,100000,7900000,,,,,,,100000,100000,,8000000,200000,,,,600000,800000,,,,100000,100000,,,900000,,700000,-36200000,-800000,43400000,7100000,8000000,,8000000,-1000000,,,,7402191,,,200000,7100000,-7202191,-800000,,,,,,,,,8600000,,,8600000,,7700000,8200000,500000,-800000
2005,,,,,,,,,4500000,4500000,4500000,,300000,,-3800000,-Infinity,-4500000,-Infinity,300000,-4200000,-Infinity,,-4100000,-Infinity,-0.05,-0.05,75300000,75300000,300000,9200000,9500000,,,100000,9600000,,,,,3000000,,,3000000,,12600000,700000,,,,500000,1200000,,,,100000,,,,1200000,,800000,-40400000,-14000000,65000000,11400000,12600000,,12600000,-4100000,,,,1300000,,,-500000,8400000,200000,-2600000,,,,,-12200000,-12200000,,,7300000,,,7300000,,-7500000,300000,7800000,-2600000
2006,1700000,3600000,-1900000,-1.1176,,,,,18000000,18000000,21600000,,400000,,-18900000,-11.1176,-19900000,-11.7059,500000,-19400000,-11.4118,,-19300000,-11.3529,-0.25,-0.25,78500000,78500000,57700000,,57700000,500000,,600000,58800000,100000,,,,,,100000,200000,,59000000,5200000,,,,400000,5600000,,,,,,,,5600000,,1000000,-59700000,,112100000,53400000,59000000,,59000000,-19300000,,,,44800000,-500000,,-4500000,53200000,-35500000,-10000000,-200000,,,,12300000,12100000,,,55300000,,,55300000,,57400000,57700000,300000,-10200000
2007,18200000,,,,,44900000,,44900000,1100000,46000000,46000000,,2700000,100000,-22300000,-1.2253,-27800000,-1.5275,2700000,-25100000,-1.3791,,-25100000,-1.3791,-0.25,-0.25,98500000,98500000,15100000,13000000,28100000,2000000,,1400000,31500000,900000,,,,19400000,,500000,20800000,,52300000,,,,,12400000,12400000,,,,600000,600000,,,13000000,,,,78600000,,39300000,52300000,,52300000,-25100000,100000,,,-34100000,-1500000,,,19100000,49400000,-9700000,-800000,,,,-32100000,-32900000,,,,,,,,-42600000,15100000,57700000,-10500000
2008,22100000,,,,,48100000,,48100000,2600000,50700000,50700000,,1500000,700000,-24800000,-1.1222,-28600000,-1.2941,1600000,-27000000,-1.2217,,-27000000,-1.2217,-0.27,-0.27,100200000,100200000,13300000,4600000,17900000,1500000,,900000,20300000,1300000,,,,13200000,,100000,14600000,,34900000,1200000,,,,11000000,12200000,,,,600000,600000,,,12800000,,1100000,-113400000,-500000,134900000,22100000,34900000,,34900000,-27000000,700000,,,-11000000,500000,,,8100000,21700000,-15600000,-700000,,,,14400000,13700000,,,,,,,,-1900000,13200000,15100000,-16300000
2009,22100000,,,,,40500000,,40500000,2800000,43300000,43300000,,,600000,-20600000,-0.9321,-21200000,-0.9593,,-21200000,-0.9593,,-21200000,-0.9593,-0.21,-0.21,103400000,103400000,11500000,2600000,14100000,2900000,,900000,17900000,1000000,,,,6700000,,100000,7800000,,25700000,1600000,,,,7600000,9200000,,,,500000,500000,,,9700000,,1100000,-134600000,-800000,150300000,16000000,25700000,,25700000,-21200000,600000,,,600000,-1400000,,-400000,8700000,5000000,-15000000,-300000,,,,8500000,8200000,,,5000000,,,5000000,,-1800000,11500000,13300000,-15300000
2010,41612000,33479000,8133000,0.1954,,4897000,8747000,13644000,2038000,15682000,49161000,,,314000,-7235000,-0.1739,,,,-7549000,-0.1814,,-7549000,-0.1814,-0.07,-0.07,111981000,111981000,14200000,1300000,15500000,4800000,,700000,21000000,800000,,,,7300000,,,8100000,,29100000,2300000,,,,9300000,11600000,,,,300000,300000,,,11900000,,1200000,-142200000,-1100000,159300000,17200000,29100000,,29100000,-7549000,314000,,8755000,700000,-1941000,,627000,9400000,-92000,2128000,-93000,,-6935000,7656000,,628000,,,,,1000,1000,,2757000,14233000,11476000,2035000
2011,65160000,,65160000,1.0000,,45829000,8078000,53907000,8161000,62068000,62068000,,,267000,3359000,0.0516,,,,3092000,0.0475,,3092000,0.0475,0.03,0.02,114132000,135539000,25630000,,25630000,5625000,,1601000,32856000,597000,,,,9056000,,58000,9711000,,42567000,2360000,,,,14203000,16563000,,,,151000,151000,,,16714000,,1167000,-139061000,-1369000,165116000,25853000,42567000,,42567000,3092000,267000,,7141000,6893000,-800000,,110000,16293000,-3701000,13692000,-108000,,-8114000,7542000,,-680000,,,-2153000,,538000,-1615000,,11397000,25630000,14233000,13584000
2012,84798000,46253000,38545000,0.4546,,6022000,14417000,20439000,3283000,23722000,69975000,,,307000,11337000,0.1337,,,-3793000,11030000,0.1301,,11030000,0.1301,0.09,0.08,122138000,137968000,41246000,,41246000,9348000,,1273000,51867000,480000,,,,11036000,,42000,11558000,,63425000,3272000,,,,9080000,12352000,,,,13000,13000,,,12365000,,1265000,-128031000,-1676000,179502000,51060000,63425000,,63425000,11030000,307000,,7437000,23222000,-3723000,,915000,39515000,-30762000,11234000,-190000,,-10004000,7836000,,-2358000,,4329000,-2261000,,4672000,6740000,,15616000,41246000,25630000,11044000
2013,149468000,71286000,78182000,0.5231,,5532000,16151000,21683000,4962000,26645000,97931000,,,439000,51976000,0.3477,,,,51537000,0.3448,,51537000,0.3448,0.41,0.37,126651000,139797000,104316000,,104316000,18100000,,1320000,123736000,6252000,,,,11748000,,55000,18055000,,141791000,4384000,,,,24672000,29056000,,,,3706000,3706000,,,32762000,,1322000,-76494000,-151000,184352000,109029000,141791000,,141791000,51537000,439000,,6459000,55165000,-5529000,,874000,94680000,-43476000,70124000,-6211000,,-3597000,2781000,,-7027000,,,-1613000,,1586000,-27000,,63070000,104316000,41246000,63913000
2014,183762000,75378000,108384000,0.5898,,11156000,18329000,29485000,5351000,34836000,110214000,,,821000,74369000,0.4047,,,,73548000,0.4002,12497000,61051000,0.3322,0.46,0.44,131770000,138551000,165284000,,165284000,18176000,,5580000,189040000,10356000,1676000,,1676000,13990000,5618000,71000,31711000,,220751000,5115000,,,,24316000,29431000,,,,7035000,7035000,,,36466000,,1350000,-26228000,-53000,209216000,184285000,220751000,,220751000,61051000,821000,12403000,8137000,64929000,-369000,,-381000,159609000,-64711000,82630000,-4894000,1349000,-3225000,939000,,-5831000,,,-6531000,-10785000,1544000,-15772000,-59000,60968000,165284000,104316000,77736000
2015,298942000,116010000,182932000,0.6119,,11366000,25003000,36369000,7193000,43562000,159572000,,,1006000,138191000,0.4623,,,-2185000,137185000,0.4589,57133000,80052000,0.2678,0.59,0.58,135841000,137934000,210070000,,210070000,27576000,,2899000,240545000,11974000,1676000,,1676000,23689000,14071000,738000,52148000,,292693000,8063000,,,,41031000,49094000,,,,9097000,9097000,,,58191000,,1384000,-24716000,-126000,257960000,234502000,292693000,,292693000,80052000,1006000,53018000,10900000,31842000,-9321000,,2950000,191451000,-21707000,155111000,-2616000,,-14467000,4764000,,-12319000,,,-24116000,-78540000,4520000,-98136000,130000,44786000,210070000,165284000,152495000
2016,219446000,104346000,115100000,0.5245,,11903000,31007000,42910000,8214000,51124000,155470000,,,1305000,56867000,0.2591,,,-8414000,55562000,0.2532,29407000,26155000,0.1192,0.19,0.19,134401000,135539000,92722000,62901000,155623000,17668000,,3901000,177192000,11748000,1799000,9953000,11752000,38502000,9826000,747000,72575000,,249767000,5806000,,4700000,,37721000,43527000,,,,4896000,4896000,,,48423000,,1365000,-24716000,-44000,224739000,201344000,249767000,,249767000,26155000,1305000,12900000,14892000,-57786000,9778000,,-8034000,133665000,57445000,54911000,-1070000,-11818000,-99121000,22744000,,-89265000,,,-39379000,-43660000,195000,-82844000,-150000,-117348000,92722000,210070000,53841000
2017,237399000,123637000,113762000,0.4792,,15501000,31606000,47107000,8463000,55570000,179207000,,,1395000,59587000,0.2510,,,,58192000,0.2451,30993000,27199000,0.1146,0.20,0.20,134614000,136003000,54193000,67294000,121487000,28287000,,4557000,154331000,10693000,1799000,12085000,13884000,55486000,1050000,19541000,100654000,,254985000,8246000,,,,49102000,57348000,,,,4686000,4686000,,,62034000,,1370000,-24716000,291000,216006000,192951000,254985000,,254985000,27199000,1395000,8838000,14717000,-36682000,-3532000,,2354000,96983000,33041000,48508000,-2427000,,-111135000,95289000,-20880000,-37021000,,,-7891000,-43777000,532000,-51136000,1120000,-38529000,54193000,92722000,46081000
2018,274116000,131201000,142915000,0.5214,,14187000,37648000,51835000,18347000,70182000,201383000,3093000,7962000,1301000,60302000,0.2200,61279000,0.2236,-10240000,51039000,0.1862,14406000,36633000,0.1336,0.23,0.23,146645000,158415000,77784000,8873000,86657000,27015000,,4604000,118276000,9122000,85856000,603209000,689065000,48260000,7042000,65753000,819242000,,937518000,8377000,,,,54424000,62801000,194592000,,,321790000,516382000,,,579183000,,1532000,-7319000,467000,363655000,358335000,937518000,,937518000,36633000,1301000,-6083000,13255000,-41508000,3804000,,-4251000,55475000,33870000,37468000,-71000,-239313000,,65605000,-8000000,-181779000,,,-2885000,-19236000,191320000,169199000,-1297000,23591000,77784000,54193000,37397000
