,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2009,4790575,4225109,565467,0.1180,1844906,4815180,725104,5540283,,7385189,11610298,6737,,389866,-6453290,-1.3471,-6819723,-1.4236,4540,-6815183,-1.4226,57264,-6900420,-1.4404,-1.07,-1.07,45097271,48635139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6900420,389866,,5343007,468366,-1144993,,132250,967488,43644,-655537,-900118,,-146456,,351055,-660370,,,-828355,,11758219,10929864,-2050,9611906,15586871,5974965,-1555655
2010,19349518,16594046,2755472,0.1424,7420748,28981308,1863969,30845277,0,38266025,54860070,8443,,801192,-34861186,-1.8017,-35510552,-1.8352,-74631,-35585184,-1.8391,350088,-36012466,-1.8612,-6.85,-6.85,45097271,48635139,12616884,,12616884,4108030,,960405,17685319,3848404,106444,1844822,1951265,452310,,0,6251979,,23937298,1591076,,1211738,2740546,33813335,38144956,,,,340328709,340328709,,,378473665,,4825,-354377003,-164189,0,-354536367,23937298,-0,23937298,-36012466,801192,-247715,35722837,1934530,-1949757,,313752,1626205,248318,2446695,-4249603,,-452310,,-2393926,-5062253,,,-84733,,-388383,-473116,-340439,-3429112,12616884,16045997,-1802907
2011,50859984,29069053,21790931,0.4284,16993477,18813206,2129037,20942243,-0,37935720,67004773,778043,,2243278,-10773906,-0.2118,-15829435,-0.3112,3028321,-12801114,-0.2517,213683,-13230867,-0.2601,-0.31,-0.31,42265408,42265408,20507717,,20507717,7799841,,78740493,107048051,8525378,112331,1720605,1832936,834368,52347,310899,11555927,,118603978,2563882,,3802705,6811456,10630549,20005887,,71281,,,71281,,,20077168,,9706,-387208274,-1944153,487669531,98526810,118603978,0,118603978,-13230867,2243278,-1777725,21479873,8903421,-3385044,,1781384,3783930,-1736197,15881782,-7514718,,-875099,,-75720127,-84066348,,77799364,,,-1764041,76035322,-657757,7192999,20507717,13314718,8367064
2012,131377117,66668643,64708474,0.4925,28313101,17589129,2716199,20305328,-394917,48223512,114892155,2613985,,5197691,24137390,0.1837,16484962,0.1255,2429584,18914546,0.1440,4652657,14287042,0.1087,4.79,0.29,30235191,49623442,80858277,143820142,224678419,19015157,,9083583,252777159,14466797,256977,3121050,3378027,472619,93402,558332,18969177,,271746336,4509750,,10276026,27095346,27098550,58703645,,1039282,,,1039282,2078564,,59742927,,11375,-210158111,-2150498,424300644,212003409,271746336,0,271746336,14287042,5197691,-3094615,16077228,23279946,-12412746,,1155755,20923899,1423946,57171237,-10061344,-1557561,-166666720,98570607,-457880,-79865295,,88204383,,,-4456239,83748144,-845428,60208657,80858277,20649619,47109893
2013,300890394,145538626,155351768,0.5163,44058486,33093409,4117824,37211233,-4468140,76801579,222340204,9937065,,8196045,101868573,0.3386,78550189,0.2611,14813935,93364124,0.3103,14842812,78829716,0.2620,1.40,1.33,56123784,59056065,120390942,236436676,356827617,16529708,,22186250,395543576,16935963,260221,4806245,5066466,10235403,103131,802608,33143572,,428687148,9305077,,16112563,51716599,54701959,115723635,,1555219,,,1555219,,,117278854,,11881,-144333723,-623738,456353874,311408294,428687148,,428687148,78829716,8196045,-5843663,19322007,46306912,-2388024,,4346693,24583020,241410,147052427,-11589805,-1320080,-260088709,164349267,-2606002,-108841069,,,,,-938412,-938412,-162865,37110081,120390942,83280860,135462622
2014,592989623,298101269,294888354,0.4973,69511808,35952888,16528375,52481263,-1018686,120974385,419075654,26594649,9125613,12998844,218599924,0.3686,173913969,0.2933,21872325,195786294,0.3302,24871959,171603507,0.2894,2.98,2.86,57657035,59927174,76579253,679431703,756010956,72764703,232948,45576962,874585569,37759891,48424575,24831818,73256393,30090487,224404,90434122,231765298,,1106350867,16366843,,17268007,64178176,95263812,175808831,394638801,3930783,4305757,29501426,432376767,,,608185598,,11768,28044571,2526160,467582769,498165269,1106350867,,1106350867,171603507,12998844,-7375518,21704022,9846061,-29586384,,3734590,11110753,1013850,209790766,-32278590,-29725024,-873328615,411094954,-116703288,-637433118,,,,,387349208,387349208,-746080,-41039224,76579253,117618477,177512175
2015,908412279,551423792,356988487,0.3930,84537002,55219338,48194497,103413835,-12677493,175273344,726697136,21240885,14961136,28697499,230288887,0.2535,178995875,0.1970,77482,179073357,0.1971,27469492,159160759,0.1752,2.83,2.77,56259499,57541558,143093000,291897496,434990496,27759242,2215866,94181139,559146742,129924890,23358319,309152441,332510760,87426484,518037,19284114,569664285,,1128811027,19997320,,21224094,67837063,125420760,213255143,400103977,3196638,2590491,9524756,415415862,,,628671004,,10783,185952167,3099593,309897533,498960076,1127631080,1179946,1128811027,159160759,28697499,-3857008,28554704,56006328,19044582,-1706763,-3489622,7159471,12320736,280883019,-41710029,778364,-343155848,655842121,-441037336,-161437316,-69626083,,-160461319,,178153892,-51933510,2407491,69919684,143093000,73173317,239172990
2016,1181492843,734962124,446530718,0.3779,97242144,69477376,55771768,125249143,-18650307,203840980,938803105,9676690,11677324,39534117,311073764,0.2633,255117371,0.2159,1775253,256892624,0.2174,40397765,219464558,0.1858,3.89,3.80,56367166,60805566,227504104,540268873,767772977,60058181,326334,31657738,859815231,120791209,2059391,278135891,280195282,132290965,1512428,14679714,549469599,,1409284830,19745240,398696535,28432703,70110746,186934676,675487197,,3666436,1160460,1335292,6162188,12324376,,681649385,,10081,392974452,21878942,311899248,726762724,1408412109,872721,1409284830,219464558,39534117,-1118696,22651286,68489876,-4938650,97929,5312365,13291857,-345344,348675797,-33472162,-16464472,-1169036983,914125551,37967251,-256795703,,,,,1533886,1533886,311213,93725194,227504104,133778911,315203635
2017,1775975272,1076234589,699740683,0.3940,119761545,83422708,105883569,189306277,-17336862,291730960,1367965549,27629433,4920129,36628175,487127127,0.2743,413441441,0.2328,29400538,442841979,0.2494,63689806,381889016,0.2150,6.44,6.33,59323007,60831887,400912281,938113772,1339026053,38506040,48249,173952049,1551532390,155773670,1794541,286461756,288256296,176608018,17310823,25162016,663110823,,2214643213,11694689,90100005,25962636,128425457,251622148,481842299,1001120,8840671,1655769,80413835,91911394,,,573753693,,12254,799258350,8136548,817904358,1625311510,2199065203,15578010,2214643213,381889016,36628175,600274,39465957,114201624,2815726,219646,-5982824,59872348,-3229438,569555608,-63577226,13648067,-1556346526,1150757503,-165627101,-618426668,-421773740,451944724,,,183122188,213293172,-5479200,158942912,400912281,241969369,505978382
2018,2291547754,1456190435,835357319,0.3645,173288559,128394389,167076028,295470417,-17133304,451625672,1907816107,70584678,1252508,31993894,423813926,0.1849,383731647,0.1675,-15295683,368435965,0.1608,69444251,321123274,0.1401,3.72,3.69,64042390,64704470,872834860,1207450065,2080284925,276737462,,40074429,2397096816,188445850,1709987,270289868,271999855,667469690,10297136,210590493,1348803024,,3745899840,16657799,997674,50094636,153119058,389339730,560114261,,13331880,3998401,60862480,78192761,,,638307021,,11630,1005010757,63654165,1623617677,2692294229,3330601250,415298590,3745899840,321123274,31993894,7217037,94203373,121908562,-6640791,45792,1264573,36175025,72603721,649049862,-57105975,,-2387073703,1749569850,-229103503,-915160052,-190157290,174920192,-30000000,,651032999,605795901,7283181,346968891,872834860,525865969,591943887
