,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2005,,,,,,,,87059.0,,87059,87059.0,,,9617.0,-77442.0,-inf,87059.0,inf,,,,,-87059,-inf,-0.0,-0.0,46656400,46656400,7693,,7693,,,,7693,308.0,,112940.0,112940.0,,,,113248.0,,120941,,,,,202000.0,202000.0,,,,,,,,202000.0,,46656.0,-618459,-1192.0,491936,-81059,120941.0,,120941,-87059,9617.0,,,-237342.0,,,,-194307,237917,-76867,,,,,,,,,,,40000.0,40000.0,,-36867,7693,44560,-76867,0.63,1.255,0.625,0.76,0.76,14300.0,0,0,0.76
2006,,,,,,,,40009.0,103528.0,143537,143537.0,,,9576.0,-30465.0,-inf,143537.0,inf,-103496.0,,,,-143505,-inf,-0.0,-0.0,46506300,46506300,1357,,1357,,,,1357,144.0,,,,,,,144.0,,1501,,,,,226065.0,226065.0,,,,,,,,226065.0,,46506.0,-761964,-1356.0,492250,-224564,1501.0,,1501,-143505,9576.0,,,-30401.0,,,,-224708,137994,-26336,,,,,,,,,,,20000.0,20000.0,,-6336,1357,7693,-26336,0.1,0.1,0.1,0.1,0.1,20000.0,0,0,0.1
2007,,,,,,,,16000.0,,16000,16000.0,,,144.0,-15856.0,-inf,16000.0,inf,,,,,-16000,-inf,-0.0,-0.0,46506300,46506300,5575,,5575,,,1837.0,7412,,,,,,,,,,7412,,,,,247976.0,247976.0,,,,,,,,247976.0,,,-777964,-1500.0,538900,-240564,7412.0,,7412,-16000,144.0,,,-15856.0,,,,-240564,17530,-14182,,,,,,,,,,,18400.0,18400.0,,4218,5575,1357,-14182,0.06,0.07,0.05,0.06,0.06,27950.0,0,0,0.06
2008,,,,,,,,12699.0,,12699,12699.0,,1264.0,,-12699.0,-inf,12699.0,inf,,,,,-13963,-inf,-0.0,-0.0,46506300,46506300,1877,,1877,,,,1877,,,,,,,,,,1877,,,,,256404.0,256404.0,,,,,,,,256404.0,,46506.0,-791927,,490894,-254527,1877.0,,1877,-13963,,,,-13963.0,,,,-254527,23928,-3998,,,,,,,,,,,300.0,300.0,,-3698,1877,5575,-3998,0.03,0.03,0.02,0.03,0.03,15000.0,0,0,0.03
2009,,,,,,,,128436.0,,128436,128436.0,,,,-128436.0,-inf,128436.0,inf,,,,,-128436,-inf,-0.0,-0.0,46706300,46706300,2118,,2118,,,17346.0,19464,,,158554.0,158554.0,,,,158554.0,,178018,3750.0,364590.0,1951.0,,161946.0,530286.0,,,,,,,,530286.0,,46706.0,-1228696,-13488.0,844687,-350791,179495.0,-1477.0,178018,-128436,,,,-256295.0,819.0,,39977.0,-510822,364556,-20175,,,,,,,,,,,15764.0,15764.0,113.0,-55,2118,2173,-20175,0.011,0.0155,0.011,0.011,0.011,7000.0,0,0,0.011
2010,,,,,,,,128436.0,,128436,128436.0,,,,-128436.0,-inf,128436.0,inf,,,,,-126629,-inf,-0.0,-0.0,46706300,46706300,2118,,2118,,,17346.0,19464,,,158554.0,158554.0,,,,158554.0,,178018,3750.0,364590.0,1951.0,,161946.0,530286.0,,,,,,,,530286.0,,46706.0,-1228696,-13488.0,844687,-350791,179495.0,-1477.0,178018,-126629,,,,,819.0,,39977.0,-510822,106454,-20175,,,,,,,,,,,15764.0,15764.0,113.0,-55,2118,2173,-20175,0.01,0.0104999999999999,0.01,0.01,0.01,11833.0,0,0,0.01
2011,,,,,,,,90190.0,,90190,90190.0,,13573.0,,-90190.0,-inf,,,,,,,-102282,-inf,-0.0,-0.0,46706300,46706300,1948,,1948,,,,1948,,,,,,,244.0,244.0,,2192,,258398.0,6977.0,99900.0,488539.0,846837.0,,,,,,,,846837.0,,46706.0,-1669193,-69484.0,854687,-837284,9553.0,-7361.0,2192,-102282,,,,-334067.0,,,,-844889,380461,-55888,,,,,,,,,,,57616.0,57616.0,7.0,1735,1948,213,-55888,0.012,0.012,0.012,0.012,0.012,1160.0,0,0,0.012
2012,,,,,,14756.0,,15641.0,,15641,15641.0,,9525.0,,-15641.0,-inf,15641.0,inf,-40807.0,-25166.0,-inf,,-34400,-inf,-0.0,-0.0,46706300,46706300,3981,,3981,,,,3981,,,,,,,,,,3981,,,,,357727.0,357727.0,,,,,,,,357727.0,,46706.0,-1703593,,1303141,-353746,3981.0,,3981,-34400,,,,491143.0,,,,-353746,-491450,-34707,,10000.0,,,,10000.0,,,,,26740.0,26740.0,,2033,3981,1948,-34707,0.012,0.012,0.012,0.012,0.012,5300.0,0,0,0.012
2013,,,,,,,,27523.0,,27523,27523.0,,9934.0,,-27523.0,-inf,27523.0,inf,-64980.0,-37457.0,-inf,,-37457,-inf,-0.0,-0.0,46733834,46733834,18441,,18441,,,,18441,,,,,,,6800.0,6800.0,,25241,,,,,366444.0,366444.0,,,,,,,,366444.0,,46756.0,-1741050,,1353091,-341203,25241.0,,25241,-37457,,,,5743.0,,,,-348003,7974,-23740,,,,,-6800.0,-6800.0,,50000.0,,,-5000.0,45000.0,,14460,18441,3981,-23740,0.007,0.007,0.007,0.007,0.007,140773.5,0,0,0.007
2014,,,,,,,,87196.0,,87196,87196.0,,12357.0,,-87196.0,-inf,87196.0,inf,-186749.0,-99553.0,-inf,,-99553,-inf,-0.0,-0.0,46926163,46926163,16410,,16410,,,,16410,,,,,,,13870.0,13870.0,,30280,,233450.0,,,37587.0,271037.0,,,,,,,,271037.0,,46956.0,-1840603,,1552890,-240757,30280.0,,30280,-99553,,,,93376.0,,,,-254627,-101498,-107675,,,,,-7071.0,-7071.0,-87285.0,200000.0,,,,112715.0,,-2031,16410,18441,-107675,0.1295,0.13,0.05005,0.1295,0.1295,70246.5,0,0,0.1295
