,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2000,42296000,,,,,13631000,578000.0,14209000,,,,71018000,33468000,2423000,42833000,1.0127,,,,6942000,0.1641,2360000,4582000,0.1083,0.7,0.7,6545714,6545714,26891000,,26891000,6310000.0,,959459000.0,992660000.0,12420000,,,6260000.0,,,,18680000.0,,1011340000,,49000000.0,,,,49000000.0,60126000,,,,60126000,861144000,,850018000,,77000.0,74554000.0,,86691000.0,161322000,1011340000,,1011340000,4582000,2423000,-2785000.0,,-11116000.0,,,,,9110000,2214000,-2528000.0,,-126420000,106725000,-131163000,-150858000,-97542000,,,-707000.0,265863000,167614000,,18970000,43612000,24642000,-314000,13.38,15.0,13.0,14.38,8.34,844600.0,0.1,0.1,8.44
2001,50611000,,,,,17590000,629000.0,18219000,,,,75796000,33560000,3178000,49998000,0.9879,,,,13260000,0.262,4349000,8911000,0.1761,1.42,1.35,6275352,6600741,22652000,,22652000,5873000.0,,977371000.0,1005896000.0,14213000,,,10592000.0,,,,24805000.0,,1030701000,,61484000.0,,,,61484000.0,72480000,,,,72480000,899251000,,888255000,,77000.0,80657000.0,,61712000.0,142446000,1030701000,,1030701000,8911000,3178000,608000.0,,-1030000.0,,,,,8229000,19896000,-2344000.0,-4700000.0,-94441000,85396000,-15424000,-29169000,-127161000,,,-2808000.0,137753000,7784000,,-1489000,42123000,43612000,17552000,18.125,18.92,17.3,18.37,10.855,275050.0,0.43,0.53,11.385
2002,54118000,,,,,28488000,648000.0,29136000,,,,64128000,23428000,4171000,29730000,0.5494,,,,2131000,0.0394,362000,1769000,0.0327,0.33,0.3,5360606,5896667,17258000,,17258000,5125000.0,,739197000.0,761580000.0,13267000,,,9938000.0,260833000.0,,,284038000.0,1329656000.0,1045618000,,133002000.0,,,,133002000.0,1201000,,,,1201000,791139000,,922940000,,77000.0,79682000.0,-3993000.0,44474000.0,120240000,1043180000,2438000.0,1045618000,1769000,4171000,-431000.0,,5950000.0,,,,,8081000,19540000,-1468000.0,,-258483000,172089000,56316000,-30078000,121373000,,,-2737000.0,-89566000,29070000,,18532000,60655000,42123000,18072000,23.34,25.35,22.575,23.525,14.23,259250.0,0.48,1.01,15.24
2003,51276000,,,,,21219000,678000.0,21897000,,,,56308000,18742000,4105000,36877000,0.7192,,,,14030000,0.2736,5065000,8965000,0.1748,1.7,1.57,5273529,5710191,15583000,,15583000,5080000.0,,828839000.0,849502000.0,12626000,,,10233000.0,346187000.0,,,369046000.0,1587594000.0,1218548000,,125000000.0,,,,125000000.0,126465000,,,,126465000,1094586000,,1093121000,,77000.0,86276000.0,-2948000.0,39770000.0,123175000,1216296000,2252000.0,1218548000,8965000,4105000,1088000.0,,-1310000.0,,,,,2240000,15088000,-1466000.0,,-356739000,239693000,-97638000,-214684000,-133537000,,,-2628000.0,292548000,156383000,,-43213000,17442000,60655000,13622000,27.450000000000003,29.65,27.06,29.35,18.09,191750.0,0.48,1.49,19.58
2004,48121000,,,,,16882000,991000.0,17873000,,,,61081000,20724000,3185000,41057000,0.8532,,,,17579000,0.3653,5639000,11509000,0.2392,2.18,2.01,5284000,5731000,15237000,,15237000,5472000.0,,869361000.0,890070000.0,14780000,,,7254000.0,398011000.0,,,420045000.0,1730160000.0,1310115000,,,,,,,327926000,,,,327926000,1506305000,,1178379000,,77000.0,94996000.0,-3200000.0,39863000.0,131736000,1310115000,,1310115000,11509000,3185000,1521000.0,,2945000.0,,,,,458000,19618000,-4659000.0,-1415000.0,-152682000,136196000,-88770000,-106671000,-599512000,,,-2614000.0,689639000,87513000,,460000,17902000,17442000,14959000,37.05,38.05,35.2,37.1,23.18,164200.0,0.48,1.97,25.15
2005,66540000,,,,,20281000,,20281000,,,,87732000,36115000,4757000,57101000,0.8581,,,,16229000,0.2439,8003000,8226000,0.1236,1.16,1.1,7091379,7478182,31087000,,31087000,8508000.0,,1449322000.0,1488917000.0,26236000,,,99616000.0,420784000.0,,,546636000.0,2582189000.0,2035553000,,,,,,,412917000,,,,412917000,2202404000,,1789487000,,106000.0,99429000.0,-3674000.0,150205000.0,246066000,2035553000,,2035553000,8226000,4757000,1689000.0,,-158000.0,,,,,5471000,19985000,-4133000.0,-26640000.0,-69366000,237869000,-63956000,77907000,-1063248000,,,-3707000.0,982248000,-84707000,,13185000,31087000,17902000,15852000,33.85,35.09,31.975,33.625,21.36,246650.0,0.52,2.49,23.85
2006,72288000,,,,,24708000,,24708000,,,,118051000,57811000,8790000,82532000,1.1417,,,,15560000,0.2153,4668000,11263000,0.1558,1.32,1.29,8538000,8730000,30985000,,30985000,9165000.0,,1724847000.0,1764997000.0,29130000,,,121341000.0,234174000.0,,,384645000.0,2534287000.0,2149642000,,,,,,,360469000,,,,360469000,2251950000,,1891481000,,106000.0,105731000.0,-1804000.0,154128000.0,258161000,2149642000,,2149642000,11263000,8790000,-1762000.0,,-3540000.0,,,,,10269000,25020000,-6095000.0,-22541000.0,-66534000,252466000,-285553000,-122162000,-324462000,,,-4834000.0,426336000,97040000,,-102000,30985000,31087000,18925000,34.555,35.995,33.31,34.645,22.245,625200.0,0.56,3.0500000000000003,25.295
2007,89748000,,,,,34018000,,34018000,,,,131944000,68019000,7782000,94575000,1.0538,,,,18774000,0.2092,5239000,13535000,0.1508,1.47,1.44,9223000,9370000,41142000,,41142000,10077000.0,,1975371000.0,2026590000.0,38806000,,,183655000.0,264381000.0,,,486842000.0,3000274000.0,2513432000,,,,,,,349938000,,,,349938000,2536533000,,2186595000,,125000.0,113387000.0,-792000.0,214117000.0,326837000,2513432000,,2513432000,13535000,7782000,986000.0,,-1078000.0,,,,,2206000,23431000,-5571000.0,-8050000.0,-60154000,105143000,-27638000,9301000,-231127000,,,-5398000.0,213950000,-22575000,,10157000,41142000,30985000,17860000,31.87,33.145,29.91,30.87,20.275,602200.0,0.5800000000000001,3.63,23.905
2008,107335000,,,,,38282000,,38282000,,,,133211000,57471000,7665000,96192000,0.8962,,,,31056000,0.2893,8812000,22244000,0.2072,2.08,2.06,10700000,10791000,44798000,,44798000,,,2064137000.0,2108935000.0,37448000,,,178830000.0,341516000.0,,,557794000.0,3224523000.0,2666729000,,23200000.0,,,,23200000.0,351421000,,,,351421000,2586525000,,2258304000,36822000.0,142000.0,127773000.0,-13479000.0,257167000.0,408425000,2666729000,,2666729000,22244000,7665000,905000.0,,,,,,,8376000,39190000,-2477000.0,-1090000.0,-130399000,65430000,-73221000,-139280000,-120317000,,,-6837000.0,230900000,103746000,,3656000,44798000,41142000,36713000,25.665,26.99,22.74,25.81,17.314999999999998,1072600.0,0.63,4.260000000000001,21.575
2009,98585000,,,,,38280000,10674000.0,48954000,,,,115476000,45880000,7136000,25300000,0.2566,,,,-27716000,-0.2811,-11649000,-16067000,-0.163,-1.52,-1.52,13189000,13189000,25770000,6838000.0,32608000,,,2049642000.0,2082250000.0,37390000,161725000.0,14375000.0,176100000.0,404684000.0,,,618174000.0,3318598000.0,2700424000,,83860000.0,,,,83860000.0,222808000,,,,222808000,2454791000,,2315843000,,158000.0,99033000.0,-2968000.0,288358000.0,384581000,2700424000,,2700424000,-16067000,7136000,-5166000.0,1405000.0,-23203000.0,,,,-371000.0,49505000,13610000,,,-193846000,94214000,2130000,-97502000,-276813000,32709000.0,-40000000.0,-9196000.0,365002000,71702000,,-12190000,32608000,44798000,13610000,22.205,24.04,20.28,21.675,14.920000000000002,899350.0,0.64,4.9,19.82
