,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2012,,,,,,930950.0,,930950.0,,,959490,14.0,,28540.0,-615552,-inf,-959490.0,-inf,-315384.0,-1274874.0,-inf,,-1274874,-inf,-1.53,-1.53,830002,830002,2682.0,1.0,2683,31680.0,,3156.0,37519,94508.0,,,30000.0,,,,124508,,162027,133159.0,,,,177769,310928,51781.0,,,,51781.0,,,362709,,,-3431953.0,-49571,3276237.0,-200682,162027,,162027,-1274874,28540.0,,,-205896,-30676.0,,,-273409,1124927.0,-327303,-53095.0,,,,,-53095.0,,349640.0,,,2560.0,352200.0,-7604,-35802.0,2682.0,38484.0,-380398,0.9,0.9,0.4,0.9,0.9,615.0,0,0,0.9
2013,,,,,,319656.0,,319656.0,,,359564,,,39908.0,-246037,-inf,,,-75325.0,-434889.0,-inf,,-434889,-inf,-0.57,-0.57,744314,744314,1913.0,1.0,1914,11108.0,,,13022,69666.0,,37687.0,37687.0,,,,107353,,120375,164754.0,,,,459984,624738,91100.0,,,,91100.0,,,715838,2900.0,1103.0,-3894643.0,14946,3280231.0,-595463,120375,,120375,-434889,39908.0,,,-338307,20572.0,,132747.0,-611716,679989.0,-53299,-24571.0,,,,-7687.0,-24571.0,,25439.0,,,36993.0,62432.0,14669,-769.0,1913.0,2682.0,-77870,1.2,1.25,1.2,1.25,1.25,1330.0,0,0,1.25
2014,,,,,,278055.0,,278055.0,,,313550,76.0,,35495.0,-329624,-inf,,,46582.0,-266968.0,-inf,,-266968,-inf,-0.36,-0.36,764683,764683,525.0,1.0,526,6321.0,,,6847,36362.0,,36976.0,36976.0,,,,73338,,80185,262146.0,78358.0,,,555071,895575,,,,,,,,895575,290.0,119.0,-4161611.0,-13213,3359025.0,-815390,80185,,80185,-266968,35495.0,,,-277012,4787.0,,-3760.0,-888728,479022.0,-29463,-4986.0,,,,,-4986.0,,50200.0,,,11020.0,61220.0,-28159,-1388.0,525.0,1913.0,-34449,0.4,0.5,0.4,0.4,0.4,4300.0,0,0,0.4
2015,,,,,,127217.0,,127217.0,,,154266,,,27049.0,-18160,-inf,,,-113253.0,-267519.0,-inf,,-267519,-inf,-0.18,-0.18,1542471,1542471,,1.0,1,5782.0,,,5783,11177.0,,,,,,,11177,,16960,231860.0,69092.0,,,593240,894192,,,,,,,,894192,248.0,544.0,-4429130.0,192464,3358642.0,-877232,16960,,16960,-267519,27049.0,,,319,539.0,,-30286.0,-888409,33984.0,-206167,-35.0,,,,,-35.0,,,,,,,205677,,,525.0,-206202,0.16,0.16,0.095,0.105,0.105,63500.0,0,0,0.105
2016,,,,,,122759.0,,122759.0,,,129312,,,6553.0,-707213,-inf,,,585403.0,456091.0,inf,,456091,inf,0.21,0.21,2185988,2185988,,1.0,1,7355.0,,,7356,5099.0,,,,,,,5099,,12455,242109.0,76048.0,,,41714,359871,,,,,,,,359871,248.0,544.0,-3973039.0,266749,3358082.0,-347416,12455,,12455,456091,6553.0,,,535894,-1573.0,,9689.0,-352515,-1072823.0,-74285,,,,,,,,,,,,,74285,,,,-74285,0.04,0.135,0.035,0.04,0.04,51000.0,0,0,0.04
2017,,,,,,350694.0,,350694.0,,,352284,,,1590.0,-345910,-inf,,,-4784.0,-357068.0,-inf,,-357068,-inf,-0.05,-0.05,6628958,6628958,366584.0,1.0,366585,45825.0,,,412410,,,,,103495.0,,,103495,,515905,188677.0,,,,4805,193482,,,,,,,,193482,,5632.0,-4330107.0,356828,4290070.0,322423,515905,,515905,-357068,1590.0,,,571443,-39309.0,,-33765.0,218928,-746770.0,-530805,,,-95622.0,,,-95622.0,-53799.0,936828.0,,,19903.0,902932.0,90079,,366584.0,,-530805,0.175,0.24,0.12,0.21,0.21,58300.0,0,0,0.21
2018,2413048.0,1216851.0,1196197.0,0.4957,,2360927.0,,2360927.0,804616.0,3165543.0,4382394,5615.0,,8811.0,-2676971,-1.1094,,,-716436.0,-2685782.0,-1.113,-904722.0,-1781060,-0.7381,-0.05,-0.05,38934166,38934166,324837.0,,324837,632477.0,953417.0,99014.0,2009745,2615898.0,2635721.0,8172000.0,10807721.0,77600.0,,,13501219,,15510964,447703.0,2175000.0,239358.0,,385920,3008623,,,1716120.0,,1716120.0,,,4724743,,4778.0,-6772311.0,532405,17021349.0,10786221,15510964,,15510964,-1781060,8811.0,-1144080.0,789679.0,-1217806,-361854.0,-454737.0,-371586.0,-998878,1205129.0,-2139327,-564305.0,-2048158.0,-77600.0,,,-2690063.0,,4806025.0,,,,4806025.0,-18382,-41747.0,324837.0,366584.0,-2703632,0.44,0.645,0.345,0.4,0.4,375200.0,0,0,0.4
2019,4612218.0,2831642.0,1780576.0,0.3861,,4610309.0,,4610309.0,12870.0,4623179.0,7454821,719865.0,1242808.0,289560.0,-2220383,-0.4814,,,-910148.0,-3752751.0,-0.8137,,-3752751,-0.8137,-0.05,-0.05,69548041,69548041,9004716.0,,9004716,966909.0,1390419.0,227843.0,11589887,2694500.0,2635721.0,8172000.0,10807721.0,11094918.0,,52225.0,24649364,,36239251,979384.0,,239358.0,,347544,1326928,,,1716120.0,,1716120.0,,,3043048,,9728.0,-10525062.0,827314,42884223.0,33196203,36239251,,36239251,-3752751,289560.0,,880595.0,11261837,-373241.0,-437002.0,531434.0,10262959,-11235051.0,-2555810,-368162.0,-1854883.0,-6906621.0,,-52225.0,-9181891.0,-1438897.0,21561568.0,,,,20122671.0,294909,8679879.0,9004716.0,324837.0,-2923972,0.705,0.98,0.5700000000000001,0.705,0.705,1804700.0,0,0,0.705
2020,,3778898.0,-3778898.0,-inf,,,,6889127.0,112025.0,7001152.0,3778898,1119503.0,132718.0,78025.0,-4386196,-inf,,,,-4464221.0,-inf,-134168.0,-4598389,-inf,-0.04,-0.04,102644757,102644757,1352130.0,3161240.0,4513370,,1769837.0,-682256.0,5600951,6733019.0,2635721.0,,2635721.0,12072094.0,,-12072094.0,9368740,,14969691,753846.0,362688.0,1609479.0,,1693128,2809662,,,,,,2685157.0,2168900.0,5494819,,,,731768,33304449.0,33562292,39057111,-24087420.0,14969691,-4598389,78025.0,-1303670.0,1278282.0,-7471670,1008.0,208096.0,-290060.0,2791289,13369552.0,1352130,-871720.0,-2893609.0,,,-1572386.0,-5337715.0,,,,,90839.0,90839.0,-95546,-7652586.0,1352130.0,9004716.0,480410,0.32,0.42,0.2299999999999999,0.315,0.315,1727250.0,0,0,0.315
2021,25700024.0,13709815.0,11990209.0,0.4665,,9945332.0,,9945332.0,1457550.0,11402882.0,25112697,163558.0,53394.0,2319699.0,2278900,0.0887,587327.0,0.0229,-397079.0,190248.0,0.0074,2166709.0,-2260902,-0.088,-0.02,-0.02,108463019,108463019,7374194.0,,7374194,3583607.0,2936156.0,413246.0,14307203,7432813.0,5168902.0,19855068.0,25023970.0,,,1361825.0,33818608,,48125811,1686376.0,778289.0,3832078.0,,3989690,6454355,7122396.0,,198339.0,,7320735.0,,3084940.0,13775090,,10907.0,-17126510.0,1127713,,34324123,48099213,26598.0,48125811,-2260902,2319699.0,-214110.0,975555.0,5061559,-528364.0,-809491.0,-194328.0,7852848,-5586836.0,294965,-402459.0,-70985.0,,,-358553.0,-831997.0,,313415.0,,,5852311.0,6165726.0,393370,6022064.0,7374194.0,1352130.0,-107494,0.43,0.565,0.335,0.42,0.42,2653200.0,0,0,0.42
