,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1989,40800000,,,,,,,,-200000.0,-200000,-200000,,,,40600000,0.9951,,,,,,,40600000,0.9951,1.9,1.9,21368421,21368421,,,,,,,,,,,,,,,,514700000.0,514700000,,,,,,,,,,,,,,,,,,,514700000.0,514700000,,514700000.0,514700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.88,27.94,26.065,27.125,0.66,390050.0,1.0510000000000002,1.0510000000000002,1.7110000000000003
1990,76800000,,,,,,,,-500000.0,-500000,-500000,,,,76300000,0.9935,,,,,,,76300000,0.9935,3.57,3.57,21372549,21372549,,,,,,,,,,,,,,,,491000000.0,491000000,,,,,,,,,,,,,,,,,,,491000000.0,491000000,,491000000.0,491000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.13,30.44,28.125,29.565,0.795,730650.0,3.567,4.618,5.413
1991,87000000,,,,,,,,-400000.0,-400000,-400000,,,,86600000,0.9954,,,,,,,86600000,0.9954,4.05,4.05,21382716,21382716,,,,,,,,,,,,,,,,467200000.0,467200000,,,,,,,,,,,,,,,,,,,467200000.0,467200000,,467200000.0,467200000,86600000.0,,,,,,,,,,86600000.0,,,,,,,,,,-86600000.0,-23800000.0,-110400000.0,,,,490900000.0,86600000.0,30.75,31.565,29.565,30.75,0.95,798100.0,4.045999999999999,8.664,9.614
1992,65300000,,,,,,,,-400000.0,-400000,-400000,,,,64800000,0.9923,,,,,,,64800000,0.9923,3.03,3.03,21386139,21386139,,,,,,,,,,,,,,,,437800000.0,437800000,,,,,,,,,,,,100000.0,,100000.0,,,,,437700000.0,437700000,437800000.0,,437800000,64800000.0,,,,,,,,,,64800000.0,,,,,,,,,,-64800000.0,-29500000.0,-94300000.0,,,,467200000.0,64800000.0,30.13,31.315,29.69,30.505,1.04,682500.0,3.226,11.89,12.93
1993,51700000,,,,,,,,-600000.0,-600000,-600000,,,,51200000,0.9903,,,,,,,51200000,0.9903,2.39,2.39,21422594,21422594,,,,,,,,,,,,,,,,407100000.0,407100000,,,,,,,,,,,,,,,,,,,407100000.0,407100000,,407100000.0,407100000,51200000.0,,,,,,,,,,51200000.0,,,,,,,,,,-51200000.0,-30600000.0,-81800000.0,,,,437700000.0,51200000.0,29.625,29.815,27.94,29.44,1.12,527050.0,2.709,14.599,15.719
1994,32401000,,,,,658000.0,,658000.0,66130000.0,66788000,66788000,,,-66830000.0,-35087000,-1.0829,,,,,,,31743000,0.9797,1.48,1.48,21400000,21401869,,,,,,,,,,340311000.0,340311000.0,,,,,340311000.0,340311000,,,,,,,,,,,,118000.0,,118000.0,,,,,340193000.0,340193000,340311000.0,,340311000,31743000.0,-66830000.0,,,,,,,,-34000.0,-35121000.0,,,,,,,,,,-31743000.0,,-31743000.0,,,,407100000.0,-35121000.0,22.44,23.75,21.25,21.815,0.905,585050.0,1.409,16.008,16.913
1995,34886000,,,,,688000.0,,688000.0,34941000.0,35629000,35629000,,,-35641000.0,-1443000,-0.0414,,,,,,,34198000,0.9803,1.6,1.6,21400000,21475410,,,,,,,,,,304670000.0,304670000.0,,,,,304670000.0,304670000,,,,,,,,,,,,126000.0,,126000.0,,,,,304544000.0,304544000,304670000.0,,304670000,34198000.0,-35641000.0,,,,,,,,-8000.0,-1451000.0,,,,,,,,,,-34198000.0,,-34198000.0,,,,340200000.0,-1451000.0,17.005,17.314999999999998,16.005,16.689999999999998,0.725,801450.0,1.609,17.616999999999997,18.342
1996,42263000,,,,,750000.0,,750000.0,,750000,750000,,,-35640000.0,5873000,0.139,41513000.0,0.9823,,,,,41513000,0.9823,1.94,1.94,21400000,21400000,,,,,,,,,,269030000.0,269030000.0,,,,,269030000.0,269030000,,,,,,,,,,,,90000.0,,90000.0,,268940000.0,,,,268940000,269030000.0,,269030000,41513000.0,-35640000.0,,,,,,,,36000.0,5909000.0,,,,,,,,,,-41513000.0,,-41513000.0,,,,304500000.0,5909000.0,15.815,16.625,15.25,16.314999999999998,0.79,804900.0,1.925,19.542,20.332
1997,44582000,,,,,845000.0,,845000.0,,845000,845000,,,-26006000.0,17752000,0.3982,43737000.0,0.981,,,,,43758000,0.9815,2.04,2.04,21400000,21454545,,,,,,,,,,,243024000.0,,,,,243024000.0,243024000,,,,,,,,,,,,195000.0,,195000.0,,242829000.0,,,,242829000,243024000.0,,243024000,43758000.0,-26006000.0,,,,,,,,-105000.0,17647000.0,,,,,,,,,,-43758000.0,,-43758000.0,,,,269000000.0,17647000.0,16.875,17.5,16.064999999999998,16.595,0.94,1241950.0,2.162,21.704,22.644
1998,15163000,,,,,614000.0,,614000.0,,614000,614000,17000.0,,-44408000.0,-29842000,-1.9681,14549000.0,0.9595,,,,,14566000,0.9606,0.68,0.68,21400000,21400000,13000.0,,13000.0,,,,,,,25098000.0,25098000.0,,,,,25111000.0,25111000,,,,,,,,,,,,103000.0,,103000.0,,25008000.0,,,,25008000,25111000.0,,25111000,14566000.0,-44408000.0,,,,,,,,-173413000.0,-203255000.0,,,,,,,,,,-14566000.0,,-14566000.0,,,,242800000.0,-203255000.0,10.72,11.315,8.655,9.97,0.615,1507250.0,0.708,22.411999999999995,23.026999999999997
