,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2007,1330084.0,313004.0,1017080.0,0.7647,,208395.0,,208395,153903.0,362298,675302,,,153903.0,603371,0.4536,654782,0.4923,-205314.0,449468.0,0.3379,127340.0,322128,0.2422,322128.0,322128.0,1,1,710018,,710018,131485.0,,70823,912326,9457541.0,,,,,,56123.0,9513664.0,,10425990,386004.0,,,,52766.0,438770,2300000.0,,132185.0,111022.0,2543207.0,,,2981977,,29792,384444,-166204.0,7195981.0,7444013,10425990,,10425990,322128,153903.0,,,334735,,,,-25857.0,,810766,-4859477.0,,,,741508.0,-4117969.0,,1936000.0,,,2021989.0,3957989.0,,650786,710018,59232,-4048711,164453128.0,189843752.0,132812504.0,154296872.0,154296872.0,,0,0,154296872.0
2008,3080668.0,727968.0,2352700.0,0.7637,,1597412.0,,1597412,697599.0,2295011,3022979,,,697599.0,788890,0.2561,57689,0.0187,33602.0,91291.0,0.0296,68689.0,22602,0.0073,43465.38,43465.38,1,1,1142386,2388355.0,3530741,559886.0,,38849,4129476,18134484.0,,,,,,51766.0,18186250.0,,22315726,1174737.0,,,,,1174737,,,834126.0,141512.0,975638.0,,,2150375,,10246,407046,1229253.0,18518806.0,20165351,22315726,,22315726,22602,697599.0,68689.0,,268466,,,,4357.0,105000.0,1162356,-9749471.0,,-10000.0,365000.0,-400000.0,-9794471.0,,11364483.0,,,-2300000.0,9064483.0,,432368,1142386,710018,-8587115,61035156.0,73144532.0,47949220.0,56250000.0,56250000.0,,0,0,56250000.0
2009,3382060.0,1345928.0,2036132.0,0.602,,1594598.0,,1594598,1071637.0,2666235,4012163,1970.0,89193.0,,-2844425,-0.841,-630103,-0.1863,-2303515.0,-2933618.0,-0.8674,-834127.0,-2099491,-0.6208,-4037482.69,-4037482.69,1,1,136841,293336.0,430177,138283.0,,179370,747830,21099346.0,,,,,,307750.0,21407096.0,,22154926,808598.0,300000.0,,,152472.0,1261070,2350000.0,,,181599.0,2531599.0,,,3792669,,10383,-463192,,18815066.0,18362257,22154926,,22154926,-2099491,,-834126.0,320928.0,29154,421603.0,,,-5062.0,3165464.0,581929,-3988596.0,,-121273.0,,188500.0,-3921369.0,,,-49159.0,,2383054.0,2333895.0,,-1005545,136841,1142386,-3406667,12304687.0,17089844.0,9570312.5,12597656.0,12597656.0,,0,0,12597656.0
2010,1777736.0,1048333.0,729403.0,0.4103,,1690170.0,,1690170,916772.0,2606942,3655275,,301787.0,,-2018930,-1.1357,-1877539,-1.0561,-443168.0,-2320707.0,-1.3054,,-2320717,-1.3054,-3626120.31,-3626120.31,1,1,1822780,21450.0,1844230,244164.0,,414602,2502996,22238186.0,,,,,,57525.0,22295711.0,,24798707,1391446.0,2150000.0,,,3110833.0,6652279,,,,327412.0,327412.0,,,6979691,,12837,-2783909,-2497505.0,23087593.0,17819016,24798707,,24798707,-2320717,,,128472.0,385939,,,,-25195.0,1088339.0,-717967,-1986677.0,,,92495.0,1595208.0,-298974.0,-500000.0,277500.0,,,2925380.0,2702880.0,,1685939,1822780,136841,-2704644,32714844.0,44824220.0,27343750.0,35742188.0,35742188.0,,0,0,35742188.0
2011,3022085.0,1903285.0,1118800.0,0.3702,,4064001.0,,4064001,1291581.0,5355582,7258867,,262144.0,,-4258138,-1.409,-4236782,-1.4019,-283500.0,-4520282.0,-1.4957,,-4520282,-1.4957,-5381288.1,-5381288.1,1,1,2471108,,2471108,806098.0,,152793,3429999,20990764.0,,,,,,557112.0,21547876.0,,24977875,2236917.0,30727.0,,,1116388.0,3384032,60114.0,,,409112.0,469226.0,,,3853258,,16728,-7304191,-3753275.0,32165355.0,21124617,24977875,,24977875,-4520282,,,1130070.0,-2351430,-590085.0,,,403.0,896834.0,-4844808,-13500381.0,,,,14321004.0,820623.0,-2150000.0,6777513.0,,,45000.0,4672513.0,,648328,2471108,1822780,-18345189,46093750.0,54199220.0,38867188.0,44824218.0,44824218.0,4.0,0,0,44824218.0
2012,5258461.0,4605979.0,652482.0,0.1241,,5630016.0,,5630016,2008235.0,7638251,12244230,,633182.0,,-6968300,-1.3252,-6985769,-1.3285,-615713.0,-7601482.0,-1.4456,,-7601482,-1.4456,-7601482.0,-7601482.0,1,1,683979,,683979,1476976.0,63868.0,199677,2424500,61169997.0,,,,,,426570.0,61596567.0,,64021067,8605490.0,22076894.0,,,3209593.0,33891977,25489.0,,,985152.0,1010641.0,,,34902618,8262354.0,19582,-14905673,-5716989.0,41459175.0,29118449,64021067,,64021067,-7601482,,,423992.0,8121736,-610721.0,-63868.0,,57112.0,-4305226.0,-3360980,-14448407.0,,,13273.0,10562069.0,-3873065.0,-313458.0,5760374.0,,,,5446916.0,,-1787129,683979,2471108,-17809387,35253908.0,43066406.0,31250000.0,33398438.0,33398438.0,,0,0,33398438.0
2013,8247084.0,7777897.0,469187.0,0.0569,,6098773.0,,6098773,,6098773,13876670,,1367844.0,,-5388474,-0.6534,-5629586,-0.6826,-1126732.0,-6756318.0,-0.8192,39161.0,-6795479,-0.824,-6795479.0,-6795479.0,1,1,450691,,450691,832801.0,64630.0,337860,1685982,36057305.0,,,,,,,36057305.0,,37743287,3696848.0,2259085.0,,,592932.0,6548865,,,,851873.0,851873.0,,,7400738,3095600.0,26751,-21701152,-9204649.0,58125999.0,30342549,37743287,,37743287,-6795479,,,761210.0,852706,584018.0,-762.0,,36231.0,3366923.0,-1814640,-9209320.0,,,,3834651.0,-5374669.0,-283220.0,6826740.0,,,412501.0,6956021.0,,-233288,450691,683979,-11023960,25000000.0,27343750.0,23730468.0,25097656.0,25097656.0,,0,0,25097656.0
2014,5219752.0,4801122.0,418630.0,0.0802,,3958314.0,,3958314,,3958314,8759436,,1169440.0,,-3518174,-0.674,-3539684,-0.6781,-1147930.0,-4687614.0,-0.8981,,-4687614,-0.8981,-4687614.0,-4687614.0,1,1,522155,,522155,609097.0,112677.0,342787,1586716,38808488.0,,,,,,343273.0,39151761.0,,40738477,2554977.0,1793367.0,,,297879.0,4646223,5430144.0,,,978430.0,6408574.0,,,11054797,3095600.0,30018,-26388766,-11190505.0,64137333.0,29683680,40738477,,40738477,-4687614,,,413711.0,-1915884,223704.0,-48047.0,,-1384085.0,2505323.0,-3684464,-5892543.0,,,,482935.0,-5409608.0,-4316183.0,3303057.0,,,10178662.0,9165536.0,,71464,522155,450691,-9577007,11816406.0,13574218.5,9667968.5,11035156.5,11035156.5,,0,0,11035156.5
2015,3000886.0,3290515.0,-289629.0,-0.0965,,3312689.0,,3312689,,3312689,6603204,,1365672.0,,-3749102,-1.2493,-3602318,-1.2004,-1512456.0,-5114774.0,-1.7044,13500.0,-5128274,-1.7089,-5128274.0,-5128274.0,1,1,166597,,166597,170542.0,194519.0,165800,697458,37115915.0,,,,,,125145.0,37241060.0,,37938518,2436543.0,7599411.0,,,246338.0,10282292,,,,1051694.0,1051694.0,,,11333986,773900.0,35057,-31517040,-12604570.0,69917185.0,26604532,37938518,,37938518,-5128274,,,211572.0,1575169,438555.0,-81842.0,,,1865013.0,-1476520,-2015763.0,,,,1275446.0,-740317.0,-249853.0,1802090.0,,,309042.0,1861279.0,,-355558,166597,522155,-3492283,2308593.75,3789062.5,1503906.25,2531250.0,2531250.0,3.0,0,0,2531250.0
2016,968146.0,1743485.0,-775339.0,-0.8008,,2500814.0,,2500814,,2500814,4244299,,696506.0,,-24753249,-25.5677,-24667643,-25.4793,-782112.0,-25449755.0,-26.2871,,-25449755,-26.2871,-12724877.5,-12724877.5,2,2,197662,,197662,93523.0,194997.0,56805,542987,14190429.0,,,,,,58716.0,14249145.0,,14792132,2423949.0,8095551.0,,,565804.0,11085304,,,,1306130.0,1306130.0,,,12391434,773900.0,1605,-56966795,-34748434.0,93340422.0,2400698,14792132,,14792132,-25449755,,,159318.0,554700,77019.0,-478.0,,,22666418.0,-2069319,-221763.0,54021.0,,,352384.0,184642.0,-117000.0,104754.0,,,1927988.0,1915742.0,,31065,197662,166597,-2291082,2628906.25,3527343.75,2281250.0,2511718.75,2511718.75,12.0,0,0,2511718.75
2017,5302024.0,6216083.0,-914059.0,-0.1724,,4044148.0,,4044148,,4044148,10260231,,3165151.0,,-85973088,-16.2151,-84100320,-15.8619,-5037919.0,-89138239.0,-16.8121,-15000.0,-89123239,-16.8093,-2621271.74,-2621271.74,34,34,705234,,705234,1218251.0,202677.0,1804522,3930684,35781159.0,,,,,,146369.0,35927528.0,,39858212,3094131.0,44281649.0,,,838207.0,48213987,145695.0,,,2067509.0,2213204.0,,,50427191,553.0,27116,-146090034,598650.0,134894736.0,-10568979,39858212,,39858212,-89123239,,,114874.0,-1440641,-1268667.0,-7680.0,,,84055798.0,-6393208,-20850.0,-4975000.0,,,-3855997.0,-8851847.0,-35425766.0,,,,51178393.0,15752627.0,,507572,705234,197662,-6414058,207031.25,296875.0,140625.0,171875.0,171875.0,36.0,0,0,171875.0
2018,6859767.0,6655573.0,204194.0,0.0298,,7173829.0,,7173829,,7173829,13829402,,6018829.0,,-18752759,-2.7337,-18666705,-2.7212,-6104883.0,-24771588.0,-3.6111,,-24771588,-3.6111,-134628.2,-134628.2,184,184,760317,,760317,646891.0,,257567,1664775,12545579.0,,,,,,57510.0,12603089.0,,14267864,2972261.0,35691567.0,,,1340730.0,40004558,247403.0,,,979164.0,1226567.0,,,41231125,410.0,5759,-170861622,2467910.0,141424282.0,-26963261,14267864,,14267864,-24771588,,,1194243.0,3272303,312766.0,,,,14538938.0,-5766104,-1570.0,,,,-121542.0,-123112.0,-2861394.0,,,,8805693.0,5944299.0,,55083,760317,705234,-5767674,13281.25,24218.75,7812.5,11718.75,11718.75,3382.5,0,0,11718.75
2019,2742102.0,3482671.0,-740569.0,-0.2701,,5152766.0,,5152766,,5152766,8635437,,2438097.0,,19084250,6.9597,18610126,6.7868,-1963973.0,16646153.0,6.0706,3000.0,16643153,6.0695,2775.0,262.5,3950,41805,7778723,,7778723,129037.0,,263205,8170965,213188.0,,,,,,198519.0,411707.0,,8582672,1521329.0,,3000.0,,582473.0,2103802,,,,303814.0,303814.0,,,2407616,46.0,16803,-154218469,8141843.0,152234833.0,6175056,8582672,,8582672,16643153,,,343631.0,-425533,327489.0,,,,-22334679.0,-5773428,,,,,-2237000.0,-2237000.0,,,,,15000000.0,15000000.0,,6989572,7778723,789151,-5773428,250.0,412.5,111.25,111.5,111.5,966719.0,0,0,111.5
2020,397118.0,514516.0,-117398.0,-0.2956,,4909871.0,,4909871,,4909871,5424387,,14771.0,,-3841528,-9.6735,-5027269,-12.6594,1170970.0,-3856299.0,-9.7107,,-3856299,-9.7107,-5.5,-5.5,2109622,2109622,656615,,656615,255363.0,,220682,1132660,110617.0,,,,957169.0,,7494772.0,8562558.0,,9695218,1474221.0,,3000.0,,554687.0,2028908,,,,5041523.0,5041523.0,,,7070431,2.0,5000,-158074768,15878926.0,144815627.0,2624787,9695218,,9695218,-3856299,,,200690.0,-431028,-144020.0,,,,498173.0,-3588464,,-1652116.0,,,-7988903.0,-9641019.0,,,,-25000.0,6132375.0,6107375.0,,-7122108,656615,7778723,-3588464,1.08,1.435,0.8049999999999999,0.97,0.97,48844700.0,0,0,0.97
