,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2012,1169808000.0,713058000,456750000.0,0.3904,,182794000.0,30865000,213659000,10167000.0,223826000.0,936884000,22768000,15747000.0,47954000,296449000.0,0.2534,230524000,0.1971,-1181000,229343000,0.1961,73743000.0,159005000.0,0.1359,1.4,1.4,114014400,114014400,473785000.0,,473785000.0,68605000.0,278149000.0,32870000,853409000,1444321000.0,,,,34887000.0,13438000,37269000.0,1529915000.0,,2383324000,80263000.0,22884000.0,15466000.0,2899000.0,73706000.0,179752000,192571000,,100308000.0,16578000.0,309457000,,,489209000.0,,531461000,570878000.0,105221000.0,625692000.0,1833252000.0,2322461000.0,60863000.0,2383324000,159005000.0,47954000.0,,5529000.0,-50570000,,-71218000,,,-62187000,99731000.0,-270232000.0,,-403950000.0,,6828000.0,-667354000.0,-388394000.0,672302000.0,,-52016000.0,41812000,273704000,475000.0,-293444000,69835000,363279000.0,-170501000.0,0.3914,11.45,11.85,10.87,11.45,6.76,844000.0,0.173,0.173,6.933
2013,1239688000.0,716239000,523449000.0,0.4222,,188910000.0,29817000,218727000,2464000.0,221191000.0,937430000,26904000,34779000.0,55871000,328679000.0,0.2651,292998000,0.2363,-58320000,234678000,0.1893,82395000.0,155634000.0,0.1255,1.35,1.35,116392800,116392800,976952000.0,,976952000.0,67743000.0,334471000.0,40205000,1419371000,1596441000.0,,,,36058000.0,15155000,47512000.0,1695166000.0,,3114537000,62618000.0,,13084000.0,7303000.0,87740000.0,157661000,824022000,,102887000.0,20497000.0,947406000,,,1105067000.0,,531461000,653704000.0,119833000.0,625842000.0,1930840000.0,3035907000.0,78630000.0,3114537000,155634000.0,55871000.0,,6701000.0,-98871000,,-57490000,,,72419000,191754000.0,-210443000.0,,-662000000.0,1065950000.0,1010000.0,194517000.0,-235369000.0,,,-58093000.0,800839000,507377000,13469000.0,907117000,976952000,69835000.0,-18689000.0,0.3575,12.93,13.99,11.925,12.71,7.609999999999999,664400.0,0.181,0.354,7.963999999999999
2014,1242579000.0,724148000,518431000.0,0.4172,,173424000.0,30534000,203958000,12618000.0,216576000.0,940724000,7712000,27163000.0,64759000,362217000.0,0.2915,300539000,0.2419,-34282000,266257000,0.2143,77468000.0,192827000.0,0.1552,1.65,1.65,116392800,116392800,580499000.0,,580499000.0,107765000.0,324070000.0,22487000,1034821000,2118716000.0,,,,744000.0,17175000,69448000.0,2206083000.0,,3240904000,70826000.0,,15938000.0,5336000.0,123953000.0,200115000,883564000,,85883000.0,657000.0,970104000,,,1170219000.0,,531461000,696736000.0,160049000.0,604294000.0,1992540000.0,3162759000.0,78145000.0,3240904000,192827000.0,64759000.0,,5944000.0,-34518000,,9785000,,,11374000,240386000.0,-575492000.0,,,18936000.0,3061000.0,-553495000.0,,,,-115824000.0,1050000,-114774000,31430000.0,-396453000,580499000,976952000.0,-335106000.0,0.3333,9.06,9.575,8.525,8.98,5.484999999999999,629700.0,0.35,0.704,6.188999999999999
2015,1231015000.0,695757000,535258000.0,0.4348,,168089000.0,31481000,199570000,8717000.0,208287000.0,904044000,3141000,8896000.0,70810000,381480000.0,0.3099,318887000,0.259,-20978000,297909000,0.242,86242000.0,215532000.0,0.1751,1.9,1.88,114799600,114799600,158007000.0,,158007000.0,108707000.0,307478000.0,54288000,628480000,2572677000.0,,,,436000.0,21077000,191124000.0,2785314000.0,,3413794000,86067000.0,,11917000.0,7428000.0,110052000.0,203547000,1012406000,,119069000.0,32638000.0,1164113000,,,1367660000.0,,531461000,727765000.0,188107000.0,495721000.0,1943054000.0,3310714000.0,103080000.0,3413794000,215532000.0,70810000.0,,14159000.0,-2563000,,5135000,,,-22294000,275644000.0,-483366000.0,,,,7499000.0,-475867000.0,,,-108218000.0,-162168000.0,12577000,-257809000,35540000.0,-422492000,158007000,580499000.0,-207722000.0,0.2922,7.689999999999999,8.195,6.94,7.625,4.885,650250.0,0.434,1.138,6.023
2016,1240169000.0,736530000,503639000.0,0.4061,,171922000.0,39899000,211821000,13005000.0,224826000.0,961356000,2591000,45859000.0,111266000,351926000.0,0.2838,272808000,0.22,-74698000,198110000,0.1597,78627000.0,116174000.0,0.0937,1.05,1.05,108937400,108937400,80215000.0,,80215000.0,80768000.0,346535000.0,393219000,900737000,2316076000.0,,,,657000.0,6350000,96803000.0,2419886000.0,,3320623000,64098000.0,,18467000.0,1181000.0,115373000.0,180652000,998148000,,139752000.0,22042000.0,1159942000,,,1340594000.0,,531461000,677086000.0,171473000.0,487420000.0,1867440000.0,3208034000.0,112589000.0,3320623000,116174000.0,111266000.0,,16088000.0,-58825000,,-49967000,,,56976000,241679000.0,-137068000.0,,,,1441000.0,-135627000.0,,,,-154401000.0,-23136000,-177537000,1268000.0,-77792000,80215000,158007000.0,104611000.0,0.2979,8.905,9.475,8.515,8.96,6.154999999999999,520500.0,0.424,1.5619999999999998,7.716999999999999
2017,1225639000.0,732956000,492683000.0,0.402,,169607000.0,46567000,216174000,14098000.0,230272000.0,963228000,2296000,45880000.0,124206000,310900000.0,0.2537,198560000,0.162,-70143000,128417000,0.1048,47032000.0,93782000.0,0.0765,1.05,1.05,89212400,89212400,49216000.0,,49216000.0,99445000.0,373020000.0,31674000,553355000,2221969000.0,,,,21206000.0,142000,17443000.0,2260760000.0,,2814115000,76478000.0,,13335000.0,4276000.0,124247000.0,205001000,965290000,,108823000.0,28293000.0,1102406000,,,1307407000.0,,423868000,611652000.0,116987000.0,354053000.0,1506560000.0,2813967000.0,148000.0,2814115000,93782000.0,124206000.0,,11401000.0,-44296000,,-31863000,,,65315000,250408000.0,-77686000.0,,,694000.0,6353000.0,-70639000.0,,,-34216000.0,-124993000.0,-26217000,-185426000,-185000.0,-30999000,49216000,80215000.0,172722000.0,0.3088,11.38,11.995,10.81,11.47,8.18,238750.0,0.539,2.101,10.281
2018,1262251000.0,796206000,466045000.0,0.3692,,149786000.0,43434000,193220000,24350000.0,217570000.0,1013776000,1856000,48652000.0,129779000,296125000.0,0.2346,241773000,0.1915,-125632000,116141000,0.092,40995000.0,76699000.0,0.0608,0.9,0.9,85621400,85621400,49067000.0,,49067000.0,99393000.0,424783000.0,42844000,616087000,2152724000.0,6325000.0,40881000.0,47206000.0,26883000.0,3098000,17247000.0,2247158000.0,,2863245000,69567000.0,60822000.0,8715000.0,790000.0,127416000.0,258595000,1022555000,,125355000.0,5377000.0,1153287000,,,1411882000.0,,423868000,519285000.0,156410000.0,351800000.0,1451363000.0,2863245000.0,,2863245000,76699000.0,129779000.0,,9495000.0,-71190000,,-59637000,,,58845000,203628000.0,-111266000.0,,,,12441000.0,-98825000.0,-588150000.0,,,-171790000.0,654596000,-105344000,392000.0,-149000,49067000,49216000.0,92362000.0,0.2968,11.845,12.18,11.06,11.52,8.585,111850.0,0.571,2.672,11.257
2019,1392701000.0,905806000,486895000.0,0.3496,,146133000.0,44533000,190666000,15427000.0,206093000.0,1111899000,1729000,62076000.0,129818000,386247000.0,0.2773,270525000,0.1942,-76172000,194353000,0.1396,62306000.0,132047000.0,0.0948,1.55,1.55,85621400,85621400,68266000.0,,68266000.0,120530000.0,519004000.0,40530000,748330000,2108888000.0,4459000.0,39160000.0,43619000.0,18224000.0,7419000,5078000.0,2183228000.0,,2931558000,84894000.0,98774000.0,12047000.0,11775000.0,157233000.0,352676000,1003187000,,145099000.0,8945000.0,1157231000,,57000.0,1509907000.0,,423868000,497200000.0,148783000.0,351800000.0,1421651000.0,2931558000.0,,2931558000,132047000.0,129818000.0,,6523000.0,-129651000,,-97657000,,,66400000,205137000.0,-83015000.0,,,,-1899000.0,-79579000.0,-610999000.0,,,-120647000.0,624804000,-106842000,483000.0,19199000,68266000,49067000.0,122122000.0,0.3017,9.5,9.785,8.485,9.365,7.37,54150.0,0.532,3.204,10.574
2020,1296334000.0,921048000,375286000.0,0.2895,,132293000.0,40153000,172446000,19350000.0,191796000.0,1112844000,2447000,70798000.0,139167000,295863000.0,0.2282,176110000,0.1359,-90212000,85898000,0.0663,28004000.0,57894000.0,0.0447,0.7,0.7,82705714,82705714,308912000.0,,308912000.0,84066000.0,460610000.0,24151000,877739000,2028490000.0,4459000.0,41664000.0,46123000.0,692000.0,15618000,47622000.0,2138545000.0,,3016284000,83754000.0,66763000.0,11529000.0,14880000.0,99673000.0,265070000,1208454000,,149864000.0,25341000.0,1383659000,,6633000.0,1648729000.0,,423868000,456629000.0,135258000.0,351800000.0,1367555000.0,3016284000.0,,3016284000,57894000.0,139167000.0,,5759000.0,100252000,,54140000,,,28293000,331365000.0,-52549000.0,,-208990000.0,208990000.0,-1096000.0,-48421000.0,-747053000.0,,,-143623000.0,846827000,-43849000,1551000.0,240646000,308912000,68266000.0,278816000.0,0.2762,7.970000000000001,8.780000000000001,7.24,7.755,6.455,102900.0,0.319,3.523,9.978
2021,,1378336000,,,,,51520000,247589000,,,1619517000,2891000,,135567000,,,318250000,inf,-94140000,224110000,inf,,,,,,82705714,82705714,,,,,,1009390000,1009390000,,,41680000.0,46139000.0,,9446000,,,2192382000.0,3201772000,,452820000.0,,,,452820000,1098364000,,,,1098364000,,5829000.0,,,423868000,,,,,,3201772000.0,3201772000,,,,,-163365000,,-151530000,,,163365000,,,,,,,,,,,,-130094000,-130094000,,-130094000,273402000,,,0.2501,6.75,7.57,6.04,6.51,6.205,270550.0,1.055,4.577999999999999,10.783
