,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2009,650000,,,,,2220000,,2220000,830000.0,3050000,3050000,,-90000.0,50000,-2520000,-3.8769,-2390000,-3.6769,-90000,-2480000.0,-3.8154,,-2480000,-3.8154,-35.43,-35.43,70000,70000,550000,,550000,30000,,70000,650000,10000,,,,,,100000,110000,,760000,830000,2110000.0,,,270000,3210000,,,,1340000.0,1340000,,,4550000,,,-35830000,-200000.0,32240000,-3790000,760000,,760000,-2480000,50000,,,-360000,,,,-2560000.0,1560000,-1230000,-10000,,,,,-10000,,,1470000.0,,180000.0,1650000,,410000,410000,,-1240000,170.64,194.4,164.16,172.8,172.8,398.0,0,0,172.8
2010,265665,,265665.0,1.0,3691028.0,1953925,,1953925,,5644953,5644953,182.0,115585.0,8388,-5325165,-20.0447,-5379288,-20.2484,45553,,,,-5449138,-20.5113,-56.16,-56.16,99427,99427,58703,,58703,75000,,151032,284735,31260,,,,,,196229,227489,,512224,637863,2335050.0,,,448738,3421651,,,,2085938.0,2085938,,,5507589,96.0,5261.0,-41320979,-211514.0,36531771,-4995365,512224,,512224,-5449138,8388,,325930.0,-576916,-47035.0,,,-3136916.0,3603020,-2088716,-27747,-104700.0,,,-27747.0,-132447,,1734700.0,,,,1734700,,-486463,58703,545166.0,-2116463,218.16,222.48,211.68,218.16,218.16,280.0,0,0,218.16
2011,257696,,257696.0,1.0,910685.0,2323814,,2323814,,3234499,3234499,171.0,56636.0,10285,-2172291,-8.4297,-2976803,-11.5516,794056,,,,-2239212,-8.6894,-17.28,-17.28,134882,134882,700374,,700374,99140,,42658,842172,22504,,,,,,174581,197085,,1039257,928364,,,,501517,1429881,,,,3840644.0,3840644,,,5270525,96.0,6442.0,-43598431,-221799.0,39582424,-4231268,1039257,,1039257,-2239212,10285,,250978.0,2549207,-24140.0,,,-587709.0,-2501559,-1930301,-1528,,,,-1528.0,-1528,,2573500.0,,,,2573500,,641671,700374,58703.0,-1931829,181.44,244.08,129.6,205.2,205.2,620.5,0,0,205.2
2012,450404,,,,1920298.0,3379262,,3379262,,5299560,5299560,,,37842,-11528119,-25.5951,-4849156,-10.7662,-6716805,-11565961.0,-25.6791,,-11565961,-25.6791,-64.08,-64.08,181485,181485,10819781,,10819781,168381,,60041,11048203,254742,,,,,,362081,616823,,11665026,175679,,,,554691,730370,,,,8765628.0,8765628,,,9495998,96.0,1547.0,-55202632,-259641.0,57629658,2169028,11665026,,11665026,-11565961,37842,,532140.0,10905542,-69241.0,,,10317833.0,-4844224,-4934661,-270080,,,,-270080.0,-270080,,15323548.0,,,600.0,15324148,,10119407,10819781,700374.0,-5204741,284.4,340.20000000000005,231.12,284.4,284.4,8768.5,0,0,284.4
2013,259246,,259246.0,1.0,3947589.0,6756732,245466.0,7002198,,10949787,10949787,3663.0,17005.0,130520,-11663413,-44.9898,-10690541,-41.2371,-1120397,-11810938.0,-45.5588,,-11810938,-45.5588,-50.4,-50.4,235808,235808,25836937,,25836937,78994,,152789,26068720,750565,,,,,,336450,1087015,,27155735,286608,198166.0,,,1524092,2008866,322998.0,,,4431871.0,4754869,,,6763735,60.0,1890.0,-67043410,-348602.0,87782062,20392000,27155735,,27155735,-11810938,130520,,1979364.0,13742021,89387.0,,,24059854.0,-11358215,-7317248,-649284,,,,-649284.0,-649284,,18829644.0,,,4154044.0,22983688,,15017156,25836937,10819781.0,-7966532,499.32,526.68,411.48,477.72,477.72,37385.0,0,0,477.72
2014,280178,15441.0,264737.0,0.9449,6664906.0,5810087,2734903.0,8544990,,15209896,15225337,12239.0,843259.0,234813,-13247412,-47.2821,-14945159,-53.3417,619675,-14325484.0,-51.1299,,-14325484,-51.1299,-54.72,-63.36,262555,264874,27293798,,27293798,56694,,369259,27719751,840387,,,,,,336708,1177095,,28896846,747799,1898548.0,,,1841808,4488155,13053117.0,,,3006021.0,16059138,,,20547293,60.0,1891.0,-81391909,-533870.0,90273381,8349553,28896846,,28896846,-14325484,234813,,2070194.0,-828258,22300.0,,,23231596.0,121350,-12727385,-363290,,,,-299790.0,-299790,,,,,14484036.0,14484036,,1456861,27293798,25836937.0,-13090675,383.76,424.8,289.44,345.6,345.6,19365.5,0,0,345.6
2015,312812,629191.0,-316379.0,-1.0114,10593869.0,7919826,6443578.0,14363404,,24957273,25586464,57261.0,1525482.0,378711,-25566901,-81.7325,-25273652,-80.795,-2197442,-27471094.0,-87.8198,,-27471094,-87.8198,-75.6,-87.12,363915,367388,67493047,,67493047,98736,,789285,68381068,2690579,,,,,,374004,3064583,,71445651,1040868,5225818.0,,,1934411,8201097,11246188.0,,,3297077.0,14543265,,,22744362,60.0,2974.0,-108887243,-854782.0,158440280,48701289,71445651,,71445651,-27471094,378711,,3946027.0,36948375,-42042.0,,,60179971.0,-35921044,-22119025,-2241066,,,,-2233466.0,-2233466,,61215399.0,,,3336341.0,64551740,,40199249,67493047,27293798.0,-24360091,466.2000000000001,562.3199999999999,357.48,466.56,466.56,134294.5,0,0,466.56
2016,381072,1730512.0,-1349440.0,-3.5412,15006642.0,11475947,11523144.0,22999091,,38005733,39736245,,,1069547,-38134172,-100.0708,-40145611,-105.3491,941892,-39203719.0,-102.8775,,-39203719,-102.8775,-93.6,-98.64,419096,420568,13915094,23978022.0,37893116,100460,,956616,38950192,3826915,,,,,,1173304,5000219,,43950411,1130536,2360109.0,,,4306611,7797256,14176359.0,,,2208657.0,16385016,,,24182272,60.0,3070.0,-148115202,-10773.0,167890984,19768139,43950411,,43950411,-39203719,1069547,,7504316.0,-29027035,-1724.0,,,31152936.0,28617036,-31039855,-823483,,-37760166.0,13750000.0,-823483.0,-24833649,-8948341.0,2285415.0,,,8964302.0,2301376,-5825.0,-53577953,13915094,67493047.0,-31863338,326.88,399.6,266.04,324.72,324.72,125449.0,0,0,324.72
2017,505404,1811424.0,-1306020.0,-2.5841,7882650.0,11497466,2735410.0,14232876,,22115526,23926950,147883.0,1033939.0,1247576,-22625229,-44.7666,-25595797,-50.6442,689053,-24906744.0,-49.2809,,-24906744,-49.2809,-51.84,-51.84,481665,481665,8225764,,8225764,77095,,1165828,9468687,2426312,,,,,,389942,2816254,,12284941,825244,1331515.0,,,1789011,3945770,,,,1833064.0,1833064,,,5778834,60.0,5279.0,-173046186,-2071492.0,181618446,6506107,12284941,,12284941,-24906744,1247576,,4012585.0,-25630019,23365.0,,,5522917.0,21995535,-23281067,-101101,,-8804604.0,32866390.0,-99561.0,23962225,-17239171.0,11727153.0,,,-866039.0,-6378057,7569.0,-5689330,8225764,13915094.0,-23382168,63.0,82.80000000000001,47.16,55.44,55.44,114690.0,0,0,55.44
2018,378325,597457.0,-219132.0,-0.5792,8164011.0,8005583,,8005583,,16169594,16767051,219430.0,25409.0,859487,-15576282,-41.1717,-17053412,-45.0761,592234,-16461178.0,-43.5107,,-16461178,-43.5107,-8.26,-8.26,2329538,2329538,11453133,,11453133,167755,,1144377,12765265,1304433,,,,,,102798,1407231,,14172496,664840,,,,2300478,2965318,,,,1122986.0,1122986,,,4088304,60.0,7742.0,-192191215,-2110061.0,204377666,10084192,14172496,,14172496,-16461178,859487,,2174627.0,4277030,,,,9799947.0,-4048979,-13199013,-5100,,-31500.0,31500.0,22842.0,22842,-1375414.0,13115648.0,,,4663306.0,16403540,,3227369,11453133,8225764.0,-13204113,11.1,13.98,4.5600000000000005,4.92,4.92,1064458.5,0,0,4.92
