,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2006,15988000.0,,,,38295000.0,12187000.0,,12187000.0,,50482000.0,50482000.0,,,683000.0,-28566000.0,-1.7867,-34494000.0,-2.1575,5259000.0,,,,-29249000.0,-1.8294,-24.9,-24.9,1390814.0,1390814.0,24091000.0,101476000.0,125567000.0,4634000.0,,2079000.0,132280000.0,3170000.0,,,,,,111000.0,3281000.0,,135561000.0,7957000.0,,,56176000.0,,64133000.0,,,,56000.0,56000.0,,,64189000.0,,27000.0,-116980000.0,-7000.0,188332000.0,71372000.0,135561000.0,,135561000.0,-29249000.0,683000.0,,,17392000.0,,,,68147000.0,33346000.0,22172000.0,-1214000.0,,-230681000.0,184420000.0,45000.0,-47430000.0,,45036000.0,,,-40000.0,44996000.0,,19738000.0,24091000.0,4353000.0,20958000.0,94.6,105.0,84.0,94.1,94.1,169220.0,0,0,94.1
2007,58571000.0,,,,43313000.0,13020000.0,,13020000.0,,56333000.0,56333000.0,,,2253000.0,9945000.0,0.1698,2238000.0,0.0382,5454000.0,,,,7692000.0,0.1313,2.9,2.8,2673000.0,2766600.0,43969000.0,46297000.0,90266000.0,,,2429000.0,92695000.0,1905000.0,,,,,,90000.0,1995000.0,,94690000.0,4553000.0,,,,7702000.0,12255000.0,,,,31000.0,31000.0,,,12286000.0,,27000.0,-109288000.0,96000.0,191569000.0,82404000.0,94690000.0,,94690000.0,7692000.0,2253000.0,,,12293000.0,,,,80440000.0,-56953000.0,-34715000.0,-232000.0,,-101673000.0,156175000.0,7000.0,54277000.0,,346000.0,,,-30000.0,316000.0,,19878000.0,43969000.0,24091000.0,-34947000.0,56.8,60.35,51.25,55.85,55.85,108790.0,0,0,55.85
2008,,,,,27442000.0,15509000.0,,15509000.0,,42951000.0,42951000.0,,,917000.0,-42034000.0,-inf,-42951000.0,-inf,1826000.0,,,,-41125000.0,-inf,-15.2,-15.2,2706100.0,2706100.0,33738000.0,11750000.0,45488000.0,,,1315000.0,46803000.0,,,,,22000000.0,,-21964000.0,36000.0,,46839000.0,635000.0,,,,4063000.0,4698000.0,,,,,,,,4698000.0,,27000.0,-150413000.0,288000.0,192239000.0,42141000.0,46839000.0,,46839000.0,-41125000.0,917000.0,,488000.0,45205000.0,,,,42105000.0,-50121000.0,-44636000.0,-14000.0,,-9376000.0,43769000.0,7000.0,34386000.0,,,,,19000.0,19000.0,,-10231000.0,33738000.0,43969000.0,-44650000.0,13.45,14.65,12.65,13.35,13.35,69190.0,0,0,13.35
2009,56461000.0,16194000.0,40267000.0,0.7132,14678000.0,59822000.0,,59822000.0,,74500000.0,90694000.0,3380000.0,2350000.0,470000.0,-6294000.0,-0.1115,-34233000.0,-0.6063,1308000.0,,,,-9114000.0,-0.1614,-1.13,-1.13,8068689.0,8068689.0,33411000.0,,33411000.0,8474000.0,3369000.0,798000.0,46052000.0,1719000.0,,1363000.0,1363000.0,20000000.0,,3236000.0,26318000.0,,72370000.0,4751000.0,25823000.0,,,5600000.0,36174000.0,4379000.0,,,1485000.0,5864000.0,,1485000.0,42038000.0,,14000.0,-127419000.0,-871000.0,158608000.0,30332000.0,72370000.0,,72370000.0,-9114000.0,470000.0,,6771000.0,-32227000.0,-3672000.0,407000.0,-1100000.0,9878000.0,4390000.0,-29710000.0,-957000.0,37369000.0,,50000.0,-436000.0,36026000.0,-945000.0,,,,20445000.0,19500000.0,,25816000.0,33411000.0,7595000.0,-30667000.0,7.05,8.935,6.26,7.18,7.18,952900.0,0,0,7.18
2010,64829000.0,15003000.0,49826000.0,0.7686,10278000.0,62447000.0,,62447000.0,,72725000.0,87728000.0,402000.0,1435000.0,600000.0,-21869000.0,-0.3373,-22899000.0,-0.3532,28000.0,,,,-23904000.0,-0.3687,-1.62,-1.62,14748293.0,14748293.0,23717000.0,,23717000.0,9394000.0,4319000.0,1048000.0,38478000.0,1964000.0,,1712000.0,1712000.0,,,180000.0,3856000.0,,42334000.0,3353000.0,3613000.0,,,7750000.0,14716000.0,7286000.0,,,2617000.0,9903000.0,,,24619000.0,,15000.0,-151323000.0,-1420000.0,170443000.0,17715000.0,42334000.0,,42334000.0,-23904000.0,600000.0,,9094000.0,13884000.0,-1057000.0,-950000.0,-1398000.0,23762000.0,-13240000.0,-13566000.0,-1194000.0,,,22950000.0,-400000.0,21756000.0,-25277000.0,,,,7393000.0,-17884000.0,,-9694000.0,23717000.0,33411000.0,-14760000.0,5.0,5.5,4.550000000000001,5.125,5.125,1070050.0,0,0,5.125
2011,78780000.0,16277000.0,62503000.0,0.7934,8940000.0,62372000.0,,62372000.0,,71312000.0,87589000.0,12000.0,1417000.0,716000.0,-8992000.0,-0.1141,-8809000.0,-0.1118,,,,,-11125000.0,-0.1412,-0.7,-0.7,15915800.0,15915800.0,21159000.0,,21159000.0,13254000.0,5818000.0,797000.0,41028000.0,2383000.0,,2314000.0,2314000.0,,,1033000.0,5730000.0,,46758000.0,5181000.0,3813000.0,,,6192000.0,15186000.0,8331000.0,,,1606000.0,9937000.0,,,25123000.0,,17000.0,-162448000.0,-2083000.0,186149000.0,21635000.0,46758000.0,,46758000.0,-11125000.0,716000.0,,6468000.0,2080000.0,-3718000.0,-1499000.0,1828000.0,25842000.0,-6500000.0,-8361000.0,-1737000.0,,,,-656000.0,-1737000.0,-2448000.0,965000.0,,,9023000.0,7540000.0,,-2558000.0,21159000.0,23717000.0,-10098000.0,11.705,12.81,10.485,11.52,11.52,2243950.0,0,0,11.52
2012,82490000.0,19216000.0,63274000.0,0.7671,11374000.0,,,66366000.0,,77740000.0,96956000.0,5000.0,1356000.0,872000.0,-14562000.0,-0.1765,-14466000.0,-0.1754,-973000.0,,,,-16790000.0,-0.2035,-0.93,-0.93,18035635.0,18035635.0,35529000.0,,35529000.0,13644000.0,7061000.0,1536000.0,57770000.0,2163000.0,,2635000.0,2635000.0,,,556000.0,5354000.0,,63124000.0,5610000.0,4678000.0,,,7564000.0,17852000.0,12842000.0,,,241000.0,13083000.0,,,30935000.0,,20000.0,-179238000.0,,,32189000.0,63124000.0,,63124000.0,-16790000.0,872000.0,,5165000.0,14076000.0,-391000.0,-1243000.0,269000.0,39918000.0,-14663000.0,-11340000.0,-975000.0,,,,-538000.0,-975000.0,-1935000.0,14889000.0,,,13731000.0,26685000.0,,14370000.0,35529000.0,21159000.0,-12315000.0,9.53,10.375,8.835,9.555,9.555,1289200.0,0,0,9.555
2013,103897000.0,24382000.0,79515000.0,0.7653,15216000.0,,86718000.0,86718000.0,,101934000.0,126316000.0,28000.0,1345000.0,973000.0,-21719000.0,-0.209,-22419000.0,-0.2158,-1618000.0,-24037000.0,-0.2314,,-24037000.0,-0.2314,-1.11,-1.11,21685932.0,21685932.0,67897000.0,,67897000.0,14730000.0,6243000.0,959000.0,89829000.0,2999000.0,,3219000.0,3219000.0,,,850000.0,7068000.0,,96897000.0,7230000.0,5095000.0,,156000.0,9932000.0,22413000.0,7472000.0,,,180000.0,7652000.0,,,30065000.0,,24000.0,-203275000.0,-3622000.0,273705000.0,66832000.0,96897000.0,,96897000.0,-24037000.0,973000.0,,7442000.0,27498000.0,-1281000.0,818000.0,1484000.0,67416000.0,-22641000.0,-10765000.0,-2455000.0,,,,-783000.0,-2455000.0,-4800000.0,38209000.0,,,12179000.0,45588000.0,,32368000.0,67897000.0,35529000.0,-13220000.0,20.66,21.99,18.915,20.535,20.535,3797450.0,0,0,20.535
2014,136612000.0,31041000.0,105571000.0,0.7728,21066000.0,,117994000.0,117994000.0,,139060000.0,170101000.0,,1034000.0,1367000.0,-32889000.0,-0.2407,-33489000.0,-0.2451,-1801000.0,-35290000.0,-0.2583,,-35290000.0,-0.2583,-1.25,-1.25,28295758.0,28295758.0,126592000.0,,126592000.0,21383000.0,12890000.0,1846000.0,162711000.0,15297000.0,,3823000.0,3823000.0,,,70000.0,19190000.0,,181901000.0,12699000.0,2400000.0,,59000.0,14571000.0,29729000.0,,,,117000.0,117000.0,,,29846000.0,,31000.0,-238565000.0,-3997000.0,394586000.0,152055000.0,181901000.0,,181901000.0,-35290000.0,1367000.0,,10928000.0,65566000.0,-6718000.0,-6647000.0,4624000.0,132982000.0,-69409000.0,-26838000.0,-13419000.0,,,,-702000.0,-13419000.0,-9850000.0,84369000.0,,,24433000.0,98952000.0,,58695000.0,126592000.0,67897000.0,-40257000.0,30.9,32.02,26.915,30.37,30.37,4861450.0,0,0,30.37
2015,181544000.0,39520000.0,142024000.0,0.7823,30977000.0,,143684000.0,143684000.0,,174661000.0,214181000.0,,23000.0,2321000.0,-30478000.0,-0.1679,-32637000.0,-0.1798,-185000.0,-32822000.0,-0.1808,,-32822000.0,-0.1808,-1.04,-1.04,31547711.0,31547711.0,83842000.0,1876000.0,85718000.0,30830000.0,13966000.0,3380000.0,133894000.0,32883000.0,,4511000.0,4511000.0,,,40000.0,37434000.0,,171328000.0,9763000.0,,3217000.0,,20125000.0,29888000.0,,,,2005000.0,2005000.0,,,31893000.0,,32000.0,-271387000.0,90000.0,410700000.0,139435000.0,171328000.0,,171328000.0,-32822000.0,2321000.0,,14718000.0,-28976000.0,-10568000.0,-1076000.0,581000.0,104006000.0,22402000.0,-22357000.0,-21280000.0,,-2112000.0,365000.0,-955000.0,-23027000.0,-2400000.0,,,,5034000.0,2634000.0,,-42750000.0,83842000.0,126592000.0,-43637000.0,29.095,31.71,25.715,27.215,27.215,6806400.0,0,0,27.215
