,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2008,30231329000,8216821000,22014508000,0.7282,,7770035000.0,,7770035000.0,5853655000,13623690000,21840511000,2077126000.0,,3729214000,15720400000,0.52,6223021000,0.2058,5780999000,12004020000,0.3971,3423739000,8567447000,0.2834,9.17,9.17,1132968875,1132968875,13033078000,,13033078000,8196320000,767283000.0,4058980000,26055661000,78635566000,,,,6650040000,,39030816000,124316422000,,150372083000,1925416000.0,2821674000,2075726000,296134000.0,19118889000,24162113000,32876583000,40050000.0,,22745059000,55661692000,,,79823805000,,26156567000,16082057000.0,-1627328000,29587464000.0,70198760000,150022565000,349518000,150372083000,8567447000,3729214000,-657233000.0,,3654047000,594877000.0,-119508000.0,2355705000.0,-1339379000.0,-24022000,15269453000,-5154081000,,-850694000.0,95679000.0,,,-2453511000,,,-741651000.0,-777821000,,,5387374000,13033078000,7645704000,10115372000,0.432,11.225,13.035,9.885,11.355,5.015,4023700.0,0.0,0.0,5.015
2009,24831764000,4701232000,20130532000,0.8107,,1806482000.0,,1806482000.0,14514208000,16320690000,21021922000,1963731000.0,2311580000.0,3476954000,2206670000,0.0889,4648116000,0.1872,-7160864000,-2512748000,-0.1012,-1948379000,-1633485000,-0.0658,0.15,0.15,1137601808,1137601808,8183224000,7662640000.0,15845864000,7120051000,865187000.0,4499161000,28330263000,74434654000,,1842309000.0,1842309000.0,10143763000,4581036000.0,27676969000,118678731000,,147008994000,4471306000.0,1546445000,1257182000,40050000.0,7318073000,13375874000,28644311000,228020000.0,,34963035000,63835366000,,1748275000.0,77211240000,,26156567000,15219062000.0,2483744000,25750918000.0,69610291000,146821531000,187463000,147008994000,-1633485000,3476954000,-974190000.0,,-3244389000,1352053000.0,-97904000.0,993482000.0,-3970214000.0,8436083000,6060973000,-5175120000,-1161036000.0,-1161036000.0,1359579000.0,-338732000.0,,-1898668000,,,-1132677000.0,1186098000,,3603064000.0,2589655000,8183224000,5593569000,885853000,0.5737,14.03,15.295,13.28,14.365,6.71,8471150.0,0.762,0.762,7.471999999999999
2010,26749402000,6412684000,20336718000,0.7603,,,,,16595101000,16595101000,23007785000,44856000.0,2008270000.0,1592476000,6923264000,0.2588,3741617000,0.1399,305632000,4047249000,0.1513,1074605000,2247913000,0.084,1.66,1.66,1353699648,1353699648,9220169000,7235897000.0,16456066000,5841911000,,10507969000,32805946000,46682498000,,2263972000.0,2263972000.0,5494552000,4338682000.0,55315350000,114095054000,,146901000000,,16925000,1102672000,341462000.0,18011122000,18369509000,141425000,928653000.0,,56931003000,58001081000,,,76370590000,,26156567000,,163335000,43984212000.0,70304114000,146674704000,226296000,146901000000,2247913000,1592476000,828000.0,,961090000,278062000.0,,,-2464214000.0,2841603000,7643910000,-6615416000,-894601000.0,,3163175000.0,-2788081000.0,,-1202294000,,,,-3582113000,,,602875000,9220169000,8617294000,1028494000,0.6025,13.39,14.535,12.575,13.37,8.995000000000001,16142050.0,6.486,7.247999999999999,16.243000000000002
2011,29532744000,4969896000,24562848000,0.8317,,14541607000.0,,14541607000.0,4572634000,19114241000,24084137000,915921000.0,2848884000.0,1723959000,9101660000,0.3082,4142842000,0.1403,717238000,4860080000,0.1646,796252000,3732565000,0.1264,2.78,2.78,1343159487,1343159487,4959787000,11448040000.0,16407827000,8381422000,388663000.0,11484760000,36662672000,53214861000,,2371367000.0,2371367000.0,5154348000,5774286000.0,59964898000,126479760000,,163142432000,,5012941000,1032521000,,21111868000,26124809000,40830536000,,,18984766000,59815302000,,1918541000.0,85940111000,,31305331000,18571011000.0,212807000,26754360000.0,76843509000,162783620000,358812000,163142432000,3732565000,1723959000,,,-2995487000,-263695000.0,-2367000.0,,-3577000.0,1825830000,4286867000,-8157386000,,-347796000.0,1123886000.0,-2746726000.0,,-2258040000,,,,-4035459000,,-1029290000.0,-4260382000,4959787000,9220169000,-3870519000,0.5366,13.625,13.99,12.185,12.78,8.77,18721000.0,0.538,7.786,16.555999999999997
2012,34064477000,12073459000,21991018000,0.6456,,10091026000.0,,10091026000.0,8792790000,18883816000,30957275000,998131000.0,412152000.0,1775214000,-5082023000,-0.1492,1668161000,0.049,-8984287000,-7316126000,-0.2148,-390474000,-6878915000,-0.2019,-5.09,-5.09,1353148000,1353148000,4429375000,7201906000.0,11631281000,10895086000,815386000.0,21000790000,44342543000,47407102000,,2300740000.0,2300740000.0,50637513000,,27507680000,127853035000,,172195578000,7490802000.0,4939301000,1257016000,469892000.0,17949652000,30849647000,47795251000,830234000.0,,25439853000,74065338000,,2023033000.0,104914985000,,31305331000,,35135980000,642634000.0,67083945000,171998930000,196648000,172195578000,-6878915000,1775214000,,,5896312000,-46612000.0,-113861000.0,1045106000.0,4305278000.0,13033980000,13826591000,-10531004000,,,,-2924408000.0,,-4156422000,,,-5032645000.0,664091000,,,-530412000,4429375000,4959787000,3295587000,0.4879,7.029999999999999,7.605,6.335,6.695,5.095,23031450.0,0.654,8.44,13.535
2013,23835644000,12116320000,11719324000,0.4917,,9650395000.0,,9650395000.0,10106654000,19757049000,31873369000,1451459000.0,379771000.0,1500540000,-3039674000,-0.1275,-5368411000,-0.2252,443714000,-4924697000,-0.2066,1366678000,-6286663000,-0.2638,-4.65,-4.65,1352484286,1352484286,3597583000,7263910000.0,10861493000,10609962000,958337000.0,16650042000,39079834000,30038514000,,788582000.0,788582000.0,41311611000,,27166860000,99305567000,,138385401000,7740578000.0,2172100000,854688000,511582000.0,15273629000,25697889000,32962933000,776252000.0,,18259419000,51998604000,,2073224000.0,77696493000,,31305331000,4334565000.0,28686049000,-3832235000.0,60493710000,138190203000,195198000,138385401000,-6286663000,1500540000,,,1972915000,413625000.0,-177422000.0,2686542000.0,2794665000.0,12142563000,9329355000,-2298346000,-3555414000.0,-6969133000.0,,-2301648000.0,,-2480439000,,,-4189709000.0,541711000,,-1674124000.0,1096068000,3597583000,2501515000,7031009000,0.4233,2.755,3.09,2.4450000000000003,2.64,2.125,24064350.0,0.198,8.638,10.763
2014,30137807000,16327359000,13810448000,0.4582,,8872197000.0,,8872197000.0,12974215000,21846412000,38173771000,1394407000.0,279716000.0,1777296000,-2468676000,-0.0819,-3843457000,-0.1275,-613678000,-4457135000,-0.1479,1700518000,-6226206000,-0.2066,-2.24,-2.24,1353663750,1353663750,1407078000,7167866000.0,8574944000,11321258000,852933000.0,9802058000,30551193000,31105548000,,1365371000.0,1365371000.0,49173049000,,32282389000,113926357000,,144477550000,7489134000.0,5381985000,1186306000,501572000.0,5911317000,19284008000,36763398000,718451000.0,,34058344000,71540193000,,1326661000.0,90824201000,,31305331000,-3195151000.0,25191273000,42947000.0,53344400000,144168601000,308949000,144477550000,-6226206000,1777296000,,,4225498000,-441152000.0,-17361000.0,7669536000.0,-7601766000.0,5415874000,5192462000,-2918904000,-3744208000.0,,,-3973890000.0,,-3238117000,,,-814993000.0,-103736000,,,-2190505000,1407078000,3597583000,2273558000,0.3762,2.7,3.16,2.395,2.74,2.345,19448300.0,0.177,8.815,11.16
2015,32588838000,16991559000,15597279000,0.4786,,9844291000.0,,9844291000.0,27164084000,37008375000,53999934000,1837810000.0,273391000.0,1842600000,-8578982000,-0.2632,-10039445000,-0.3081,-1167579000,-11207024000,-0.3439,710112000,-11405085000,-0.35,-10.67,-10.67,1353052855,1353052855,1393973000,7807986000.0,9201959000,9826336000,1034122000.0,9374979000,29437396000,29479479000,,935151000.0,935151000.0,50474489000,,39160264000,120049383000,,149486779000,10128507000.0,4772276000,2137922000,648236000.0,12550624000,28099643000,43964248000,659082000.0,,35183213000,79806543000,,1252155000.0,107906186000,,31305331000,-12339801000.0,22928403000,39452000.0,41933385000,149839571000,-352792000,149486779000,-11405085000,1842600000,,,2868404000,130905000.0,-98125000.0,3094034000.0,-72015000.0,13674555000,6980474000,-4524198000,-2433066000.0,,,-2055288000.0,,-5381995000,,,-23056000.0,-119489000,,863808000.0,-13105000,1393973000,1407078000,2456276000,0.2524,1.88,1.965,1.505,1.74,1.51,11859200.0,0.0,8.815,10.325
2016,60748853000,16210934000,44537919000,0.7331,,10725913000.0,,10725913000.0,26393909000,37119822000,53330756000,1474846000.0,303381000.0,1843785000,14242514000,0.2344,14906525000,0.2454,-2723800000,12182725000,0.2005,8510819000,3584529000,0.059,2.53,2.53,1354624839,1354624839,679668000,7835491000.0,8515159000,9918558000,996632000.0,9842303000,29272652000,26812925000,,761739000.0,761739000.0,79528315000,,34123798000,141226777000,,170499429000,9659301000.0,6030844000,1942937000,620781000.0,14827584000,31138510000,41469596000,592215000.0,,53234181000,95295992000,,1169504000.0,126434502000,,31305331000,,12864878000,33261000.0,44203470000,170637972000,-138543000,170499429000,3584529000,1843785000,,,2352230000,-583469000.0,-59354000.0,-156294000.0,-971515000.0,-5891806000,1888738000,-1770165000,-3272685000.0,,,-430956000.0,,-4543612000,,,-5790000.0,3781604000,,-137562000.0,-714305000,679668000,1393973000,118573000,0.3071,3.035,4.715,2.91,4.64,4.035,7575000.0,0.0,8.815,12.85
2017,37876024000,15373638000,22502386000,0.5941,,10930333000.0,,10930333000.0,14548788000,25479121000,40852759000,1206539000.0,320060000.0,1751303000,1832851000,0.0484,3825414000,0.101,-4025812000,-200398000,-0.0053,1525293000,-1763805000,-0.0466,-1.3,-1.3,1353148000,1353148000,792252000,14148712000.0,14940964000,10320587000,944395000.0,11152781000,37358727000,27965837000,,749762000.0,749762000.0,79700995000,1010810000.0,26189228000,135616632000,,172975359000,10443752000.0,6257157000,2671537000,654853000.0,16831190000,34186952000,40914367000,519391000.0,,54602117000,96035875000,,1077820000.0,130222827000,,31305331000,,11011612000,22434000.0,42339377000,172562204000,413155000,172975359000,-1763805000,1751303000,,,-362895000,1457899000.0,-103502000.0,-1286587000.0,-674257000.0,2543384000,2167987000,-1300498000,-560653000.0,,,1930942000.0,,-5646953000,,,-381436000.0,966318000,,118973000.0,296397000,792252000,495855000,867489000,0.3019,5.715,6.685,5.26,5.635,4.9,7034100.0,0.0,8.815,13.715
