,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1991,657200000,,,,,,,,,,147500000,,147500000,,142700000,0.2171,,,202000000.0,,,12100000,-16900000,-0.0257,-0.53,-0.53,4583333,4583333,,,,33800000.0,,,,,,177200000.0,177200000,,,,,2695400000.0,2695400000,,,,,,,143900000,,,,143900000,2534800000.0,,2390900000,,,-17800000,,322300000.0,304500000,2695400000,,2695400000,-16900000,,,,,466100000.0,,-43700000.0,,185400000,168500000.0,,,-800900000,666400000,-100000.0,-134600000,-247200000.0,247200000.0,,,-34900000,-34900000,,-34900000,,5800000.0,168500000,8.875,10.16,8.69,10.005,5.045,5191500.0,0.0,0.0,5.045
1992,704300000,,,,,,,,,,145900000,,111900000,20400000.0,212000000,0.301,,,222500000.0,,,21600000,58100000,0.0825,1.0,1.0,58100000,58100000,,,,38500000.0,,,,,,154700000.0,154700000,,,,,2889500000.0,2889500000,,,,,,,128700000,,,,128700000,2661100000.0,,2532400000,,,34500000,,322600000.0,357100000,2889500000,,2889500000,58100000,20400000.0,8800000.0,,,-4600000.0,,131500000.0,,111300000,198600000.0,,,-1148000000,998500000,21800000.0,-127700000,-155900000.0,98100000.0,,-5800000.0,1200000,-62400000,,-62400000,,4900000.0,198600000,10.97,11.94,10.5,11.285,5.71,1759300.0,0.1,0.1,5.81
1993,707600000,,,,,,,,,,123900000,,88100000,,201600000,0.2849,,,211800000.0,,,36300000,77200000,0.1091,1.33,1.27,58045113,60787402,,,,40900000.0,,,,,,131900000.0,131900000,,,,,3147600000.0,3147600000,,,,,,,111700000,,,,111700000,2829400000.0,,2717700000,,,104800000,,325100000.0,429900000,3147600000,,3147600000,77200000,,-34500000.0,,,517600000.0,,,,122800000,165500000.0,,,-946300000,871000000,-43600000.0,-118900000,-17000000.0,,,-6900000.0,-7400000,-31300000,,-31300000,,13400000.0,165500000,13.5,14.125,13.065,13.285,6.8,1333800.0,0.12,0.22,7.02
1994,711900000,,,,,,,,,,51100000,,9500000,19700000.0,113700000,0.1597,,,185100000.0,,,21600000,62900000,0.0884,1.08,1.04,58240741,60480769,,,,41500000.0,,,,,,141500000.0,141500000,,,,,3285500000.0,3285500000,,,,,,,100600000,,,,100600000,2974100000.0,,2873500000,,,159300000,,252700000.0,412000000,3285500000,,3285500000,62900000,19700000.0,,,,-600000.0,,87800000.0,,75700000,158300000.0,,,-1129400000,951800000,84600000.0,-93000000,-50600000.0,,,-8400000.0,-29000000,-88000000,,-88000000,,28700000.0,158300000,12.5,13.25,11.94,12.125,6.255,1543700.0,0.144,0.364,6.619
1995,740600000,,,,,,,,,,54100000,,11600000,15600000.0,128900000,0.174,,,207800000.0,,,27800000,73900000,0.0998,1.48,1.39,49932432,53165468,,,,51100000.0,,,,,,129800000.0,129800000,,,,,3662300000.0,3662300000,,,,,,,100600000,,,,100600000,3292700000.0,,3192100000,,,224400000,,245800000.0,470200000,3662300000,,3662300000,73900000,15600000.0,,,,-9700000.0,,79700000.0,,64200000,153700000.0,,,-983100000,906200000,41400000.0,-35500000,,20600000.0,-174900000.0,-8800000.0,48400000,-114700000,,-114700000,,6000000.0,153700000,11.72,12.625,11.25,12.405,6.475,1541700.0,0.18,0.544,7.019
1996,703757000,,,,,,,,,,603138000,,105839000,13100000.0,210395000,0.299,,,,100619000.0,0.143,26817000,64639000,0.0918,1.38,1.38,46957842,46957842,13704000.0,,13704000.0,,,,,,,118600000.0,118600000,,,,,3861026000.0,3861026000,,34000000.0,,,3242000000.0,3276000000.0,99564000,,,436000.0,100000000,200054000.0,,3376054000,,29000.0,278669000,,205697000.0,484395000,3860449000,577000.0,3861026000,64639000,13100000.0,,,-3276000000.0,-14400000.0,,74600000.0,-3276000000.0,3337475000,139214000.0,,,-989009000,956283000,,-32726000,-143890000.0,6343000.0,,-10336000.0,45581000,-102302000,,4186000,13704000.0,9518000.0,139214000,16.41,17.155,15.655,16.44,8.715,2350000.0,0.22,0.764,9.479
1997,746980000,,,,,,,,,,627342000,,106643000,10600000.0,233400000,0.3125,,,,119638000.0,0.1602,32581000,83576000,0.1119,1.82,1.8,45825410,46524532,353000.0,,353000.0,,,,,,,108000000.0,108000000,,,,,4131912000.0,4131912000,,42000000.0,,,3483000000.0,3525000000.0,99599000,,,401000.0,100000000,200363000.0,,3625363000,,59000.0,349274000,,156639000.0,505972000,4131335000,577000.0,4131912000,83576000,10600000.0,,,-249000000.0,4100000.0,,61800000.0,-3525000000.0,259260000,104436000.0,,,-1050081000,1116201000,,66120000,,11581000.0,-91790000.0,-12971000.0,-90727000,-183907000,,-13351000,353000.0,13704000.0,104436000,24.375,26.265,24.155,25.75,13.835,2138400.0,0.2825,1.0465,14.8815
1998,779443000,,,,,,,,,,662662000,,104263000,5300000.0,226344000,0.2904,,,,116781000.0,0.1498,31469000,85312000,0.1095,1.97,1.95,43238656,43838434,12044000.0,87392000.0,99436000.0,102661000.0,,,,,,101100000.0,101100000,,,,,4395480000.0,4395480000,,50000000.0,,,3749000000.0,3799000000.0,99637000,,,363000.0,100000000,,,3898637000,,59000.0,420274000,,76290000.0,496623000,4395260000,220000.0,4395480000,85312000,5300000.0,,,-274000000.0,-2300000.0,,74900000.0,-3799000000.0,312154000,128766000.0,,,-842375000,865353000,,22978000,,2200000.0,-76590000.0,-14312000.0,-51351000,-140053000,,11691000,12044000.0,353000.0,128766000,31.44,33.875,28.065,31.69,17.155,3127000.0,0.333,1.3795,18.5345
1999,775426000,,,,,,,,,,682072000,,101351000,-1000000.0,173705000,0.224,,,,93354000.0,0.1204,28849000,44505000,0.0574,1.08,1.07,41245633,41708439,22848000.0,,22848000.0,,,,,,,102100000.0,102100000,,,,,4253846000.0,4253846000,,49000000.0,,,3705000000.0,3754000000.0,99677000,,,323000.0,100000000,,,3853704000,,59000.0,449023000,,,400142000,4253846000,,4253846000,44505000,-1000000.0,,,45000000.0,11400000.0,,76400000.0,-3754000000.0,59641000,148146000.0,,,-698847000,675402000,-18524000.0,-41969000,-1000000.0,362000.0,-27519000.0,-15756000.0,-51460000,-95373000,,10804000,22848000.0,12044000.0,148146000,25.815,28.16,23.25,24.595,13.475,4633000.0,0.358,1.7374999999999998,15.2125
2000,781204000,,,,,,,,,,771483000,,102765000,6761000.0,127929000,0.1638,,,,9721000.0,0.0124,-2438000,20841000,0.0267,0.51,0.51,40782173,40966774,21141000.0,,21141000.0,,,,,,,92260000.0,92260000,,,,,4420580000.0,4420580000,,49000000.0,,,3844000000.0,3893000000.0,99721000,,,279000.0,100000000,,,3992587000,,60000.0,452624000,,,427993000,4420580000,,4420580000,20841000,6761000.0,,,-139000000.0,-7357000.0,,123535000.0,-3893000000.0,235646000,124248000.0,,,-750928000,707923000,26814000.0,-16191000,,5302000.0,-15143000.0,-17240000.0,-82683000,-109764000,,-1707000,21141000.0,22848000.0,124248000,16.375,17.47,14.0,16.439999999999998,9.29,2654250.0,0.42,2.1575,11.447499999999998
