,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2007,,,,,,,,,2859388.0,2859388.0,2859388.0,48438.0,1563504.0,201252.0,-2748050.0,-inf,-2859388.0,-inf,89914.0,,,,-4284540.0,-inf,-19.2,-19.2,221170.0,221170.0,3706369.0,,3706369.0,,,534352.0,4240721.0,,,,,,,,,,4240721.0,696340.0,,,,53901.0,750241.0,,,,,,,,750241.0,,13727.0,-7077545.0,,,3490480.0,4240721.0,,4240721.0,-4284540.0,201252.0,,,3469128.0,,,,3490480.0,-1149461.0,-1763621.0,,,,,,,,3863541.0,,,1605907.0,5469448.0,,3705827.0,3706369.0,542.0,-1763621.0,114.8,128.0,100.0,110.0,110.0,1079.5,0,0,110.0
2008,,,,,1990665.0,,,,1755731.0,3746396.0,3746396.0,67008.0,,704.0,-3745692.0,-inf,-3746396.0,-inf,375000.0,,,,-3304388.0,-inf,-8.8,-8.8,370551.0,370551.0,5111031.0,,5111031.0,,,222354.0,5333385.0,2450.0,,,,,,,2450.0,,5335835.0,698342.0,,,,65651.0,763993.0,,,,,,,,763993.0,,15556.0,-10381933.0,,14938219.0,4571842.0,5335835.0,,5335835.0,-3304388.0,704.0,,562442.0,1078912.0,,,2001.0,4569392.0,-871155.0,-2533485.0,-3154.0,,,,,-3154.0,,3941301.0,,,,3941301.0,,1404662.0,5111031.0,3706369.0,-2536639.0,59.2,69.0,45.0,64.0,64.0,2213.0,0,0,64.0
2009,,,,,2965707.0,,,,1598369.0,4564076.0,4564076.0,10440.0,,1056.0,-4563020.0,-inf,-4564076.0,-inf,,,,,-4553636.0,-inf,-11.6,-11.6,390324.0,390324.0,1589773.0,,1589773.0,,,80917.0,1670690.0,1394.0,,,,,,,1394.0,,1672084.0,681014.0,,,,413859.0,1094873.0,,,,,,,,1094873.0,,15652.0,-14935569.0,,15497128.0,577211.0,1672084.0,,1672084.0,-4553636.0,1056.0,,509505.0,-3993575.0,,,124624.0,575817.0,4465892.0,-3570758.0,,,,,,,,49500.0,,,,49500.0,,-3521258.0,1589773.0,5111031.0,-3570758.0,45.0,62.0,30.2,55.6,55.6,2979.0,0,0,55.6
2010,,,,,194588.0,,,,2307972.0,2502560.0,2502560.0,512.0,55479.0,1056.0,-2501504.0,-inf,-2502560.0,-inf,-28668.0,-2531228.0,-inf,,-2531228.0,-inf,-6.4,-6.4,394630.0,394630.0,291462.0,,291462.0,,,60492.0,351954.0,338.0,,,,,,,338.0,,352292.0,73632.0,,,80000.0,181403.0,335035.0,1055479.0,,,,1055479.0,,,1390514.0,,15932.0,-17466797.0,,16412643.0,-1038222.0,352292.0,,352292.0,-2531228.0,1056.0,,680195.0,-558898.0,,,-607382.0,16919.0,110564.0,-2298311.0,,,,,,,,,,,1000000.0,1000000.0,,-1298311.0,291462.0,1589773.0,-2298311.0,40.0,40.2,26.2,40.0,40.0,1408.0,0,0,40.0
2011,,,,,111554.0,,,,827674.0,939228.0,939228.0,,75000.0,338.0,-938890.0,-inf,-939228.0,-inf,-14708.0,-953936.0,-inf,,-953936.0,-inf,-2.8,-2.8,397802.0,397802.0,146160.0,,146160.0,,,14797.0,160957.0,,,,,,,,,,160957.0,218612.0,1430479.0,,100000.0,111871.0,1860962.0,,,,,,,,1860962.0,,15901.0,-18520733.0,,16804827.0,-1700005.0,160957.0,,160957.0,-953936.0,338.0,,192153.0,-1716924.0,,,144980.0,-1700005.0,2187209.0,-291160.0,,,,,,,,,,,145858.0,145858.0,,-145302.0,146160.0,291462.0,-291160.0,5.8,8.2,2.0,4.8,4.8,3093.5,0,0,4.8
2012,100000.0,,100000.0,1.0,1298503.0,,,,2980374.0,4278877.0,4278877.0,15410.0,24658.0,2944.0,-5355933.0,-53.5593,-4178877.0,-41.7888,-1204658.0,-5383535.0,-53.8353,,-5383535.0,-53.8353,-1.24,-1.24,4493535.0,4493535.0,10035615.0,,10035615.0,,,657833.0,10693448.0,12548.0,,,,,,,12548.0,,10705996.0,286686.0,,,,422873.0,709559.0,,,,,,,,709559.0,,6772.0,-24104268.0,-2944.0,34096877.0,9996437.0,10705996.0,,10705996.0,-5383535.0,2944.0,,2156612.0,11683894.0,,,231435.0,9983889.0,-10360755.0,-1900840.0,-15492.0,,,,,-15492.0,,11916731.0,,-200000.0,89056.0,11805787.0,,9889455.0,10035615.0,146160.0,-1916332.0,3.825,6.85,2.875,4.375,4.375,11108.5,0,0,4.375
2013,10000.0,,10000.0,1.0,1616082.0,,,,6080797.0,7696879.0,7696879.0,43755.0,,5659.0,-7637465.0,-763.7465,-7686879.0,-768.6879,43755.0,-7643124.0,-764.3124,,-7643124.0,-764.3124,-0.88,-0.88,8656822.0,8656822.0,15579309.0,,15579309.0,,,155164.0,15734473.0,26892.0,,,,,,,26892.0,,15761365.0,261924.0,,,,388703.0,650627.0,,,,,,,,650627.0,,8970.0,-31747392.0,-5659.0,46854819.0,15110738.0,15761365.0,,15761365.0,-7643124.0,5659.0,,3134973.0,5099957.0,,,-239800.0,15083846.0,-5036409.0,-4438944.0,-20003.0,,-50000.0,,,-70003.0,,10052832.0,-191.0,,,10052641.0,,5543694.0,15579309.0,10035615.0,-4458947.0,6.8,8.254999999999999,5.175,5.965,5.965,457210.0,0,0,5.965
2014,1660246.0,1092839.0,567407.0,0.3418,236660.0,8087316.0,2390180.0,10477496.0,,10714156.0,11806995.0,32446.0,3800.0,85349.0,-10028954.0,-6.0406,-10146749.0,-6.1116,28646.0,-10118103.0,-6.0943,,-10118103.0,-6.0943,-1.11,-1.11,9132989.0,9132989.0,8211492.0,,8211492.0,81322.0,372735.0,390665.0,9056214.0,243395.0,331621.0,610994.0,942615.0,,,,1186010.0,,10242224.0,786675.0,24112.0,,1683.0,747798.0,1560268.0,483156.0,,,48626.0,531782.0,,43080.0,2092050.0,,9258.0,-41865495.0,-45436.0,50051847.0,8150174.0,10242224.0,,10242224.0,-10118103.0,85349.0,,2614619.0,-7587900.0,-22902.0,-159545.0,345360.0,7495946.0,7950607.0,-7055428.0,-173986.0,-636374.0,-100167.0,,,-910527.0,-10431.0,621678.0,-13109.0,,,598138.0,,-7367817.0,8211492.0,15579309.0,-7229414.0,7.4,8.655000000000001,6.475,7.46,7.46,425150.0,0,0,7.46
2015,9716000.0,5206000.0,4510000.0,0.4642,332000.0,12504000.0,6496000.0,19000000.0,,19332000.0,24538000.0,,,610000.0,-15289000.0,-1.5736,-14822000.0,-1.5255,-1077000.0,-15899000.0,-1.6364,,-15899000.0,-1.6364,-1.66,-1.66,9576142.0,9576142.0,2685000.0,,2685000.0,840000.0,1412000.0,936000.0,5873000.0,2657000.0,2466000.0,3135000.0,5601000.0,,,,8258000.0,,14131000.0,3407000.0,21000.0,,65000.0,1881000.0,5374000.0,8336000.0,,1047000.0,759000.0,10142000.0,,22000.0,15516000.0,,10000.0,-57764000.0,-300000.0,56669000.0,-1385000.0,14131000.0,,14131000.0,-15899000.0,610000.0,,3441000.0,-6996946.0,-360000.0,-314000.0,1028000.0,499000.0,7701946.0,-11143000.0,-1180000.0,-3426000.0,,,-709000.0,-5130000.0,-25000.0,1642000.0,,,9130000.0,10747000.0,,-5526000.0,2685000.0,8211000.0,-12323000.0,7.67,8.184999999999999,6.98,7.745,7.745,445650.0,0,0,7.745
2016,19942000.0,9831000.0,10111000.0,0.507,739000.0,17569000.0,7382000.0,24951000.0,,25690000.0,35521000.0,,,1406000.0,-17792000.0,-0.8922,-15882000.0,-0.7964,-3316000.0,-19198000.0,-0.9627,-111000.0,-19087000.0,-0.9571,-1.5,-1.5,12743184.0,12743184.0,8853000.0,,8853000.0,2921000.0,1841000.0,1138000.0,14753000.0,7295000.0,2227000.0,2972000.0,5199000.0,,,,12494000.0,,27247000.0,3538000.0,4431000.0,,91000.0,1845000.0,9905000.0,7937000.0,,936000.0,2037000.0,10910000.0,,1776000.0,20815000.0,,19000.0,-76851000.0,-1355000.0,84619000.0,6432000.0,27247000.0,,27247000.0,-19087000.0,1406000.0,-111000.0,3673000.0,4349000.0,-2081000.0,-429000.0,1515000.0,4848000.0,-1445000.0,-11215000.0,-7139000.0,,-50000.0,,-352000.0,-7289000.0,-267000.0,20517000.0,,,4422000.0,24672000.0,,6168000.0,8853000.0,2685000.0,-18354000.0,3.925,4.21,3.615,3.885,3.885,865050.0,0,0,3.885
