,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1999,,,,,,,,,2392416074.0,2392416074.0,,,,1614880850.0,,,,,,12902881823,inf,3294421593.0,8742017652.0,inf,4.58,4.58,1903981776,1903981776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8742017652.0,1614880850.0,,,22052256807.0,,,,,2416663534.0,34825818843.0,-1514658014.0,1018393329.0,-175189516475.0,147723610052.0,-37179439.0,-27999350547.0,,4991743807.0,,,2427979015.0,7419722823.0,-494648188.0,5660973709.0,6194250969.0,533277260.0,33311160829.0,61.345,64.285,57.03,61.905,21.96,1355450.0,0.739,0.739,22.699
2000,,,,,,,,,2449517854.0,2449517854.0,,,,1290477470.0,,,,,,14600011909,inf,3342694323.0,9899628932.0,inf,4.95,4.88,2014374162,2034570690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9899628932.0,1290477470.0,,,2071632326.0,,,,,9475447028.0,22737185757.0,-1987990950.0,-12888344508.0,-130822080743.0,268915035306.0,-130745907028.0,-7529287922.0,,5660772860.0,-830445437.0,,358465592.0,5188793015.0,,11157234860.0,7496068320.0,-3661166540.0,20749194807.0,63.375,70.5,57.75,64.265,23.33,1984300.0,1.983,2.722,26.052
2001,26826000000.0,,,,,37936446.0,,37936446.0,16751063554.0,16789000000.0,,35261000000.0,20536000000.0,1293000000.0,28809000000.0,1.0739,,,,6980000000,0.2602,1574000000.0,5406000000.0,0.2015,2.35,2.31,2146943254,2212893180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5406000000.0,1293000000.0,,,4167000000.0,,,,,2049000000.0,12915000000.0,-1873000000.0,-883000000.0,-148826000000.0,145361000000.0,-4144460834.0,-9984000000.0,-965000000.0,111815817.0,-823640353.0,-3528000000.0,567824535.0,-4637000000.0,,-1706000000.0,4479000000.0,6185000000.0,11042000000.0,60.135000000000005,64.39500000000001,57.67,59.805,22.795,2672450.0,2.639,5.361000000000001,28.156
2002,27238000000.0,,,,,39019087.0,,39019087.0,16227980913.0,16267000000.0,,28595000000.0,13135000000.0,2036000000.0,23944000000.0,0.8791,,,,8773000000,0.3221,2534000000.0,6239000000.0,0.2291,2.92,2.88,2175905304,2247138688,7659000000.0,,7659000000.0,5651000000.0,,530649000000.0,543959000000.0,14181000000.0,,17163000000.0,17163000000.0,183943000000.0,,,215287000000.0,974533000000.0,759246000000.0,,,,,,,53336000000.0,,,,53336000000.0,753623000000.0,,700287000000.0,,4741000000.0,33335000000.0,,14330000000.0,52406000000.0,752693000000.0,6553000000.0,759246000000.0,6239000000.0,2036000000.0,,,7272000000.0,,,,,-2114000000.0,13433000000.0,-1723000000.0,-649000000.0,-130171000000.0,122559000000.0,696734316.0,-9051000000.0,-1923000000.0,337166787.0,-50024966.0,-3609000000.0,4104858178.0,-1140000000.0,,3242000000.0,7659000000.0,4417000000.0,11710000000.0,57.39,59.755,54.53,57.49,22.495,4126750.0,1.75,7.111000000000001,29.606
2003,41707000000.0,,,,,,,,22798000000.0,22798000000.0,,39968000000.0,14370000000.0,3185000000.0,29449000000.0,0.7061,,,,11894000000,0.2852,3120000000.0,8774000000.0,0.2104,4.32,4.32,2391682026,2418763734,7661000000.0,,7661000000.0,6628000000.0,,756938000000.0,771227000000.0,15748000000.0,,28640000000.0,28640000000.0,218601000000.0,,,262989000000.0,1297205000000.0,1034216000000.0,,,,,,,174759000000.0,,,,174759000000.0,1123621000000.0,,948862000000.0,,5481000000.0,42351000000.0,,26641000000.0,74473000000.0,1023335000000.0,10881000000.0,1034216000000.0,8774000000.0,3185000000.0,,,10141000000.0,,,,,-3773000000.0,18327000000.0,-1981000000.0,-2184000000.0,-218196000000.0,206099000000.0,906175000.0,-15444000000.0,-1464000000.0,845480357.0,-258146429.0,-4242000000.0,6255666071.0,1137000000.0,,4020000000.0,7661000000.0,3641000000.0,16346000000.0,59.18,62.415,58.375,60.41,24.735,15750450.0,3.606,10.717,35.452
2004,51681000000.0,,,,,9739000000.0,,9739000000.0,17977000000.0,27716000000.0,,50203000000.0,19179000000.0,3506000000.0,39032000000.0,0.7552,,,,16347000000,0.3163,4507000000.0,11840000000.0,0.2291,5.14,5.1,2503221942,2536959324,9872000000.0,,9872000000.0,6352000000.0,,952025000000.0,968249000000.0,18829000000.0,,29382000000.0,29382000000.0,260318000000.0,,,308529000000.0,1585307000000.0,1276778000000.0,,,,,,,235079000000.0,,,,235079000000.0,1412040000000.0,,1176961000000.0,,5587000000.0,52038000000.0,38701000000.0,-9703000000.0,86623000000.0,1263584000000.0,13194000000.0,1276778000000.0,11840000000.0,3506000000.0,,,17126000000.0,,,,,-1105000000.0,31367000000.0,-2830000000.0,-4732000000.0,-330917000000.0,315437000000.0,602000000.0,-22548000000.0,-1740000000.0,581000000.0,-345000000.0,-4425000000.0,7758000000.0,1829000000.0,5245000000.0,10648000000.0,9872000000.0,-776000000.0,28537000000.0,77.17500000000001,80.75,75.08000000000001,77.74,33.105000000000004,8886750.0,3.15,13.867,46.97200000000001
2005,62348000000.0,,,,,11183000000.0,,11183000000.0,22398000000.0,33581000000.0,,60094000000.0,28760000000.0,2213000000.0,51147000000.0,0.8203,,,,20174000000,0.3236,5093000000.0,15081000000.0,0.2419,5.93,5.88,2533287228,2563811526,25012000000.0,,25012000000.0,,,1006052000000.0,1031064000000.0,15206000000.0,33200000000.0,33200000000.0,33200000000.0,422500000000.0,,,470906000000.0,1972876000000.0,1501970000000.0,,,,,,,217163000000.0,,,,217163000000.0,1620907000000.0,,1403744000000.0,,5667000000.0,56223000000.0,,30542000000.0,92432000000.0,1496176000000.0,5794000000.0,1501970000000.0,15081000000.0,2213000000.0,,540000000.0,-11777000000.0,,,,,964000000.0,7021000000.0,-3116000000.0,-3104000000.0,-378103000000.0,368696000000.0,620000000.0,-15627000000.0,-1121000000.0,2265000000.0,-821000000.0,-6443000000.0,2093000000.0,-4027000000.0,-7016000000.0,-19649000000.0,141307000000.0,160956000000.0,3905000000.0,80.955,81.88499999999999,79.03,80.25999999999999,36.290000000000006,8074450.0,3.45,17.317,53.607000000000006
2006,69261000000.0,,,,,12823000000.0,,12823000000.0,25434000000.0,38257000000.0,,78482000000.0,41393000000.0,2528000000.0,64925000000.0,0.9374,,,,22086000000,0.3189,5215000000.0,15789000000.0,0.228,6.1,6.06,2572762260,2598007920,30021000000.0,,30021000000.0,,,1235535000000.0,1265556000000.0,16424000000.0,32472000000.0,4863000000.0,37335000000.0,541443000000.0,,,595202000000.0,2455960000000.0,1860758000000.0,,,1805000000.0,,,,299998000000.0,,,,299998000000.0,2045828000000.0,,1745830000000.0,,5786000000.0,65397000000.0,-9042000000.0,46211000000.0,108352000000.0,1854182000000.0,6576000000.0,1860758000000.0,15789000000.0,2528000000.0,,854000000.0,64109000000.0,,,,,-2499000000.0,80781000000.0,-3252000000.0,-834000000.0,-286316000000.0,273774000000.0,1652000000.0,-14124000000.0,-903000000.0,1229000000.0,-575000000.0,-5927000000.0,5612000000.0,-564000000.0,8086000000.0,74179000000.0,215486000000.0,141307000000.0,77529000000.0,87.355,91.675,85.84,89.645,42.09,9389600.0,3.8,21.117,63.20700000000001
2007,84434000000.0,,,,,15294000000.0,,15294000000.0,32751000000.0,48045000000.0,,97735000000.0,54564000000.0,2522000000.0,79976000000.0,0.9472,,,,24212000000,0.2868,3757000000.0,19133000000.0,0.2266,7.19,7.1,2649646770,2676269466,40786000000.0,,40786000000.0,,,1488732000000.0,1529518000000.0,15694000000.0,34253000000.0,5436000000.0,39689000000.0,769365000000.0,,,824748000000.0,3179014000000.0,2354266000000.0,,,2559000000.0,,,,328008000000.0,,,,328008000000.0,2546858000000.0,,2218850000000.0,,5915000000.0,81097000000.0,-10312000000.0,51460000000.0,128160000000.0,2347010000000.0,7256000000.0,2354266000000.0,19133000000.0,2522000000.0,,870000000.0,73557000000.0,,,,,-5044000000.0,91038000000.0,-3670000000.0,882000000.0,-260980000000.0,238647000000.0,3893000000.0,-20278000000.0,-689000000.0,704000000.0,-636000000.0,-6003000000.0,4987000000.0,-1637000000.0,12400000000.0,81523000000.0,297009000000.0,215486000000.0,87368000000.0,92.28,93.815,87.975,91.8,44.7,16074400.0,4.35,25.467,70.167
2008,81222000000.0,,,,,15260000000.0,,15260000000.0,30362000000.0,45622000000.0,,97014000000.0,48738000000.0,13367000000.0,70642000000.0,0.8697,,,,9307000000,0.1146,2809000000.0,5728000000.0,0.0705,1.79,1.79,2710924872,2710924872,64494000000.0,,64494000000.0,,,1333409000000.0,1397903000000.0,14025000000.0,21855000000.0,5502000000.0,27357000000.0,1088180000000.0,,,1129562000000.0,3657027000000.0,2527465000000.0,,,1822000000.0,,,,260159000000.0,,,,260159000000.0,2687395000000.0,,2427236000000.0,,6053000000.0,80689000000.0,-9628000000.0,16477000000.0,93591000000.0,2520827000000.0,6638000000.0,2527465000000.0,5728000000.0,13367000000.0,,819000000.0,-45290000000.0,,,,,55796000000.0,30420000000.0,-4154000000.0,20538000000.0,-277023000000.0,223138000000.0,11239000000.0,-25093000000.0,-350000000.0,2627000000.0,-1002000000.0,-7303000000.0,6380000000.0,352000000.0,-23816000000.0,-18137000000.0,278872000000.0,297009000000.0,26266000000.0,80.19999999999999,84.08500000000001,70.77000000000001,77.705,40.355,41547900.0,4.65,30.117,70.47200000000001
