,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1986,,,,,,,,,,,,,,,,,,,,,,,1400000,inf,0.23,0.2,790331,790331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.715,18.450000000000003,16.06,16.5,9.9,10656.0,0.32413,0.3434799999999999,10.243479999999998
1987,,,,,,,,,,,,,,,,,,,,,,,1500000,inf,0.24,0.21,798135,798135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76,16.06,14.32,14.54,8.905000000000001,9936.5,0.32413,0.6676099999999999,9.57261
1988,,,,,,,,,,,,,,,,,,,,,,,1800000,inf,0.24,0.22,1122958,1122958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.81,13.675,12.15,12.485,7.865,32916.0,0.42391,1.09152,8.956520000000001
1989,15700000.0,,,,,5200000.0,,5200000.0,,,,32400000.0,18600000.0,700000.0,22700000.0,1.4459,,,,3400000.0,0.2166,700000.0,2700000,0.172,0.35,0.29,1141308,1141308,15800000.0,,15800000.0,,,,,5800000.0,,,,,,,,328300000.0,328300000.0,,,,,,,,,,,,305500000.0,,305500000.0,,,5400000.0,,17400000.0,22800000.0,328300000.0,,328300000.0,2700000.0,700000.0,,,-300000.0,,,,,1500000.0,4600000.0,-1700000.0,,-58200000.0,42400000.0,-1700000.0,-17500000.0,,,,-1100000.0,13500000.0,12400000.0,,12400000.0,,16400000.0,2900000.0,14.76,15.525,14.12,15.085,9.7,23701.5,0.43784,1.52936,11.22936
1990,17000000.0,,,,,5600000.0,,5600000.0,,,,34000000.0,19400000.0,400000.0,23800000.0,1.4,,,,4000000.0,0.2353,1100000.0,2900000,0.1706,0.4,0.33,1152487,1152487,20800000.0,,20800000.0,9700000.0,,,,6300000.0,,,,,,,,362500000.0,362500000.0,,,,,,,,,,,,337800000.0,,337800000.0,,,7200000.0,,17500000.0,24700000.0,362500000.0,,362500000.0,2900000.0,400000.0,,,-800000.0,,,,,800000.0,3300000.0,-600000.0,,-36200000.0,31500000.0,-600000.0,-5300000.0,-2400000.0,,,-1100000.0,10500000.0,7000000.0,,7000000.0,,15800000.0,2700000.0,13.24,14.0,12.59,12.805,8.485,24390.5,0.43784,1.9672,10.4522
1991,19400000.0,,,,,6300000.0,,6300000.0,,,,35900000.0,18800000.0,400000.0,24500000.0,1.2629,,,,5400000.0,0.2784,1500000.0,3800000,0.1959,0.49,0.43,1419517,1419517,26600000.0,,26600000.0,,,,,6000000.0,,,,,,,,371700000.0,371700000.0,,,,,,,7500000.0,,,,7500000.0,351200000.0,,343700000.0,,,9700000.0,,18300000.0,28000000.0,371700000.0,,371700000.0,3800000.0,400000.0,-300000.0,,1400000.0,,,,,1200000.0,6500000.0,-400000.0,,-35000000.0,34000000.0,-18900000.0,-19900000.0,-2200000.0,,,-1200000.0,17900000.0,14500000.0,,14500000.0,,20800000.0,6100000.0,15.41,16.93,15.19,16.065,11.02,43367.5,0.4596,2.4268,13.4468
1992,22200000.0,,,,,7400000.0,,7400000.0,,,,33400000.0,13800000.0,1000000.0,21500000.0,0.9685,,,,6700000.0,0.3018,1900000.0,4800000,0.2162,0.55,0.55,1432805,1432805,23700000.0,,23700000.0,,,,,6000000.0,,,,,,,,367500000.0,367500000.0,,,,,,,,,,,,335700000.0,,335700000.0,,,13300000.0,,18500000.0,31800000.0,367500000.0,,367500000.0,4800000.0,1000000.0,-400000.0,,-1100000.0,,,,,-2300000.0,2000000.0,-700000.0,,-43700000.0,31000000.0,20400000.0,7700000.0,-1800000.0,,,-1200000.0,-5200000.0,-8200000.0,,-8200000.0,,21900000.0,1300000.0,26.59,28.435,25.61,27.130000000000003,19.055,42388.0,0.51524,2.94204,21.99704
1993,24000000.0,,,,,8500000.0,,8500000.0,,,,31500000.0,11300000.0,1600000.0,20400000.0,0.85,,,,7500000.0,0.3125,2100000.0,5400000,0.225,0.58,0.58,1432805,1432805,34200000.0,,34200000.0,,,,,8800000.0,,,,,,,,444300000.0,444300000.0,,,,,,,,,,,,408100000.0,,408100000.0,,,17200000.0,,19000000.0,36200000.0,444300000.0,,444300000.0,5400000.0,1600000.0,,,300000.0,,,,,,7300000.0,-2000000.0,,-69900000.0,52600000.0,11600000.0,-5700000.0,-300000.0,,,-1400000.0,10600000.0,8900000.0,,8900000.0,,23300000.0,5300000.0,34.29,35.375,32.775000000000006,34.51,24.82,29172.0,0.59988,3.54192,28.36192
1994,28300000.0,,,,,10600000.0,,10600000.0,,,,37800000.0,12600000.0,500000.0,21400000.0,0.7562,,,,8300000.0,0.2933,2300000.0,6000000,0.212,0.63,0.63,1569694,1569694,23900000.0,,23900000.0,,,,,9500000.0,,,,,,,,516200000.0,516200000.0,,,,,,,47700000.0,,,,47700000.0,523600000.0,,475900000.0,,,22900000.0,,17400000.0,40300000.0,516200000.0,,516200000.0,6000000.0,500000.0,500000.0,,2300000.0,,,,,800000.0,10100000.0,-1300000.0,,-60900000.0,62600000.0,-56000000.0,-54300000.0,-2800000.0,,,-1900000.0,35200000.0,30500000.0,,30500000.0,,37400000.0,8800000.0,37.765,39.065,36.245000000000005,38.63,28.14,23901.0,0.80429,4.34621,32.48621
1995,31900000.0,,,,,12200000.0,,12200000.0,,,,46000000.0,17900000.0,2200000.0,29600000.0,0.9279,,,,9500000.0,0.2978,2700000.0,6800000,0.2132,4.34,4.34,1566531,1566531,17200000.0,,17200000.0,,,,,9900000.0,,,,,,,,590100000.0,590100000.0,,,,,543100000.0,543100000.0,110900000.0,,,,110900000.0,,,543100000.0,,,23700000.0,,23300000.0,47000000.0,590100000.0,,590100000.0,6800000.0,2200000.0,-1200000.0,,2900000.0,,,,,-2100000.0,8600000.0,-1600000.0,,-20200000.0,34400000.0,-76500000.0,-62300000.0,,,,-2400000.0,49600000.0,47200000.0,,47200000.0,,23700000.0,7000000.0,44.06,45.795,43.195,45.36,33.650000000000006,17941.0,0.72945,5.07566,38.725660000000005
