,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1986,8900000,,,,,,,,,,,,,,3200000,0.3596,,,,,,1400000,1800000,0.2022,0.26,0.26,8789062,8789062,,,,,,,,,,,,,,,,9900000.0,9900000,,,,,,,200000.0,,,,200000.0,2500000,,2300000,,,6000000.0,,1600000.0,7600000,9900000,,9900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.8,8.0,8.0,5.13,41500.0,0.0,0.0,5.13
1987,10000000,,,,,,,,,,,,,,3000000,0.3,,,,,,500000,2500000,0.25,0.89,0.89,2808989,2808989,,,,,,,,,,,,,,,,11700000.0,11700000,,,,,,,,,,,,1700000,,1700000,,,8400000.0,,1600000.0,10000000,11700000,,11700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55,11.2,10.1,10.775,6.92,49750.0,0.04,0.04,6.96
1988,9100000,,,,,,,,,,300000.0,,300000.0,,2600000,0.2857,,,,,,600000,1700000,0.1868,0.59,0.59,2881356,2881356,,,,,,,,,,,,,,,,13700000.0,13700000,,,,,,,,,,,,2100000,,2100000,,,9900000.0,,1700000.0,11600000,13700000,,13700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.375,8.125,6.75,7.0,4.51,28050.0,0.04,0.08,4.59
1989,8900000,,,,,1100000.0,,1100000.0,,,1100000.0,,,100000.0,1800000,0.2022,,,900000.0,,,300000,1400000,0.1573,0.5,0.5,2800000,2800000,,,,,,,,700000.0,,,,,,,,15100000.0,15100000,,,,,,,,,,,,2200000,,2200000,,,11200000.0,,1700000.0,12900000,15100000,,15100000,1400000.0,100000.0,100000.0,,-800000.0,-300000.0,,-100000.0,,300000.0,1100000.0,-100000.0,,-2700000.0,1100000.0,100000.0,-1600000.0,,,,-100000.0,,-100000.0,,-100000.0,,3000000.0,1000000.0,6.5,7.25,6.25,6.5,4.2,61450.0,0.04,0.12,4.32
1990,9800000,,,,,1500000.0,,1500000.0,,,1500000.0,,,200000.0,2000000,0.2041,,,1100000.0,,,300000,1500000,0.1531,0.51,0.51,2941176,2941176,,,,,,,,2400000.0,,,,,,,,16500000.0,16500000,,,,,,,,,,,,2300000,,2300000,,,12600000.0,,1600000.0,14200000,16500000,,16500000,1500000.0,200000.0,100000.0,,,,,,,200000.0,2000000.0,-1800000.0,,-1700000.0,800000.0,,-2700000.0,,,,-100000.0,,-100000.0,,-100000.0,,2300000.0,200000.0,6.125,6.25,5.5,5.75,3.74,40400.0,0.04,0.16,3.9
1991,10300000,,,,,6000000.0,,6000000.0,,,6400000.0,,,100000.0,1100000,0.1068,,,900000.0,,,200000,800000,0.0777,0.28,0.28,2857143,2857143,,,,1400000.0,,,,2200000.0,,,,,,,,17700000.0,17700000,,,,,,,,,,,,2700000,,2700000,,,,,15000000.0,15000000,17700000,,17700000,800000.0,100000.0,,,,-300000.0,,100000.0,,300000.0,1200000.0,-100000.0,,-1200000.0,1100000.0,,-200000.0,,,,-100000.0,,-100000.0,,-100000.0,,1600000.0,1100000.0,5.0,5.529999999999999,4.625,5.0,3.295,68800.0,0.04,0.2,3.495
1992,14300000,,,,,2600000.0,,2600000.0,,,2700000.0,,100000.0,200000.0,-300000,-0.021,,,1000000.0,,,500000,-1100000,-0.0769,-0.37,-0.37,2972973,2972973,,,,300000.0,,,,2300000.0,,,,,,,,21300000.0,21300000,,,,,,,3000000.0,,,,3000000.0,10400000,,7400000,,,12100000.0,,1800000.0,13900000,21300000,,21300000,-1100000.0,200000.0,-700000.0,,,-600000.0,,100000.0,,1100000.0,-500000.0,-100000.0,,-4300000.0,1200000.0,-100000.0,-3300000.0,,,,-100000.0,3000000.0,2900000.0,,2900000.0,,2500000.0,-600000.0,5.125,6.065,4.5,5.44,3.615,91350.0,0.04,0.24,3.855
1993,2600000,,,,,,,,,,100000.0,,100000.0,,2300000,0.8846,,,,,,-100000,2300000,0.8846,0.81,0.81,2839506,2839506,,,,,,,,1900000.0,,,,,,,,17900000.0,17900000,,,,,,,,,,,,2000000,,2000000,,,14300000.0,,1600000.0,15900000,17900000,,17900000,2300000.0,,100000.0,,,-100000.0,,900000.0,,-600000.0,1800000.0,,,,,,,,,,-200000.0,-1500000.0,-1700000.0,,-1700000.0,,200000.0,1800000.0,7.75,8.375,7.375,7.75,5.175,47800.0,0.055,0.295,5.47
1994,16900000,,,,,7900000.0,,7900000.0,,,8000000.0,,100000.0,300000.0,4800000,0.284,,,1300000.0,,,1300000,3100000,0.1834,1.1,1.1,2818182,2818182,,,,1400000.0,,,,2900000.0,,,,,,,,24200000.0,24200000,,,,,,,500000.0,,,,500000.0,6100000,,5600000,,,17200000.0,,1400000.0,18600000,24200000,,24200000,3100000.0,300000.0,300000.0,,,700000.0,,-200000.0,,800000.0,4500000.0,-300000.0,,-3400000.0,1700000.0,,-2000000.0,-1000000.0,,-400000.0,-200000.0,,-1600000.0,,-1600000.0,,1700000.0,4200000.0,8.5,8.75,8.125,8.5,5.7,23500.0,0.08,0.375,6.075
1995,17365950,,,,,3669995.0,,3669995.0,,,12962292.0,,11098.0,307649.0,4722405,0.2719,,,-964260.0,4403658.0,0.2536,1153000,3250658,0.1872,1.16,1.16,2804632,2839506,2527008.0,,2527008.0,2462769.0,,,,3113669.0,,,,,,,,28224276.0,28224276,1072264.0,,,,,,,,,,,6014462,,6014462,,1038414.0,20173755.0,,997645.0,22209814,28224276,,28224276,3250658.0,307649.0,74654.0,,,-500000.0,,,,-375103.0,3257858.0,-315763.0,,-4834434.0,2748512.0,34128.0,-2367557.0,-500000.0,,-224904.0,-228460.0,,-953364.0,,-63063.0,2527008.0,2590071.0,2942095.0,8.375,9.375,8.125,8.75,5.949999999999999,54150.0,0.08,0.455,6.404999999999999
1996,22991182,,,,,5780048.0,,5780048.0,,,17569645.0,,,328682.0,5750219,0.2501,,,-1051143.0,5421537.0,0.2358,1578000,3843537,0.1672,1.39,1.39,2772286,2800000,4244570.0,,4244570.0,2442753.0,,,,2929570.0,,,,,,,,33642528.0,33642528,1160427.0,,,,,,,,,,,7654351,,7654351,,722321.0,23745995.0,,1519861.0,25988177,33642528,,33642528,3843537.0,328682.0,-22940.0,,,,,100000.0,,1248022.0,5397301.0,-303417.0,,-5368139.0,2555478.0,23729.0,-3092349.0,,,-316093.0,-271297.0,,-587390.0,,1717562.0,4244570.0,2527008.0,5093884.0,12.065,13.0,11.625,12.25,8.39,53100.0,0.12,0.5750000000000001,8.965
1997,32390516,,,,,10065249.0,,10065249.0,,,25939734.0,,,346547.0,6797329,0.2099,,,-982418.0,6450782.0,0.1992,1920400,4530382,0.1399,1.63,1.6,2782449,2826730,2823177.0,,2823177.0,429064.0,,,,3080804.0,,,,,,,,41293007.0,41293007,1319470.0,,,,,,,,1197408.0,,,10164099,,10164099,,879612.0,27933688.0,,2315608.0,31128908,41293007,,41293007,4530382.0,346547.0,-445238.0,,,-1600000.0,,,,801637.0,5233328.0,-422111.0,,-9333990.0,3254549.0,32229.0,-6469323.0,,200000.0,,-342689.0,-42709.0,-185398.0,,-1421393.0,2823177.0,4244570.0,4811217.0,15.75,16.875,15.125,16.625,11.52,48700.0,0.12,0.6950000000000001,12.215
1998,48476263,,,,,17399629.0,,17399629.0,,,40780754.0,,,393026.0,8088535,0.1669,,,-936992.0,7695509.0,0.1587,2236000,5459509,0.1126,1.95,1.92,2806267,2841035,8141354.0,,8141354.0,5838741.0,,,,3407815.0,,,,,,,,51597812.0,51597812,1621287.0,,,,,,,,77845.0,,,15269147,,15269147,,732453.0,33050508.0,,2545704.0,36328665,51597812,,51597812,5459509.0,393026.0,-1238097.0,,,-2200000.0,,200000.0,,4273000.0,8887438.0,-1187008.0,,-5379329.0,3455996.0,30928.0,-3079413.0,,,-100000.0,-342689.0,-47159.0,-489848.0,,5318177.0,8141354.0,2823177.0,7700430.0,25.0,26.125,22.875,25.125,17.485,35200.0,0.12,0.8150000000000001,18.3
1999,47366559,,,,,17045552.0,,17045552.0,,,40905165.0,,,470843.0,6932237,0.1464,,,-1247072.0,6461394.0,0.1364,2041000,4420394,0.0933,1.59,1.59,2776878,2786282,7554297.0,,7554297.0,3813625.0,,,,6028083.0,,,,,,,,55156564.0,55156564,1790159.0,,,,,,,,,,,17654824,,17654824,,1.0,36311613.0,,1190126.0,37501740,55156564,,55156564,4420394.0,470843.0,6390.0,,,1400000.0,,-800000.0,,2840897.0,7738524.0,-3077730.0,,-6137907.0,2757277.0,24520.0,-6433840.0,,,-1500000.0,-342689.0,-49052.0,-1891741.0,,-587057.0,7554297.0,8141354.0,4660794.0,19.815,19.815,17.0,18.41,12.905,48700.0,0.12,0.935,13.840000000000002
