,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2007,39707431.0,33098875.0,6608556.0,0.1664,,273941.0,,273941.0,,273941.0,33372816.0,,272204.0,2953201.0,9287816.0,0.2339,6334615.0,0.1595,-272204.0,6062411.0,0.1527,2000596.0,4061815.0,0.1023,0.4,0.4,10025496.0,10025496.0,622661.0,,622661.0,1111157.0,400689.0,2249.0,2136756.0,34593532.0,,,,,,,34593532.0,,36730288.0,6611735.0,2530368.0,851279.0,,851279.0,9993382.0,3223817.0,,,,3223817.0,,,13217199.0,,40102.0,10958055.0,2291187.0,,23513089.0,36730288.0,,36730288.0,4061815.0,2953201.0,,,-7856626.0,514705.0,2280991.0,,-7856626.0,8573337.0,7731727.0,-3272572.0,,,,,-3272572.0,,,,,-5336799.0,-5336799.0,1419335.0,541691.0,622661.0,80970.0,4459155.0,3.0,3.0,3.0,3.0,2.9165,2187.5,0.0,0.0,2.9165
2008,65200000.0,52600000.0,12600000.0,0.1933,,,,327825.0,,327825.0,53000000.0,65316.0,598471.0,3837353.0,16135824.0,0.2475,12232376.0,0.1876,-532376.0,11700000.0,0.1794,2900000.0,8800000.0,0.135,0.8,0.8,10769895.0,10769895.0,3200000.0,,3200000.0,1400000.0,2800000.0,100000.0,7500000.0,45300000.0,,,,,,,45300000.0,,52800000.0,740846.0,6858652.0,1047678.0,,1000502.0,8600000.0,10100000.0,,,,10100000.0,,,18700000.0,,,20900000.0,3592839.0,9189156.0,34089156.0,52789156.0,10844.0,52800000.0,8800000.0,3837353.0,,,6756626.0,-312493.0,-2420374.0,168256.0,-1100000.0,-8650423.0,10743556.0,-14584502.0,,,,,-14584502.0,,,,,5151052.0,5151052.0,1301652.0,2611758.0,3234419.0,622661.0,-3840946.0,0.86,1.18,0.42,0.7,0.68055,57762.5,0.0,0.0,0.68055
2009,102100000.0,82100000.0,20000000.0,0.1959,,,,2029201.0,,2029201.0,84100000.0,108610.0,728429.0,3510082.0,21638511.0,0.2119,18006096.0,0.1764,-606096.0,17400000.0,0.1704,4700000.0,12700000.0,0.1244,1.04,1.04,12221782.0,12232878.0,6900000.0,,6900000.0,2100000.0,6900000.0,500000.0,16400000.0,55300000.0,,,,,,,55300000.0,,71700000.0,1800000.0,4273750.0,1345069.0,,3326250.0,9400000.0,6100000.0,,,-100000.0,6000000.0,,,15400000.0,,14876.0,33100000.0,8426755.0,14733325.0,56274956.0,71674956.0,25044.0,71700000.0,12700000.0,3510082.0,,,8100000.0,-676861.0,-4111602.0,1818470.0,7000000.0,-9271412.0,15038670.0,-13604113.0,,,,,-13604113.0,-2562891.0,4898849.0,,,-29105.0,2306853.0,-25876.0,3715534.0,6949953.0,3234419.0,1434557.0,2.16,2.92,1.64,2.74,2.6638,434962.5,0.0,0.0,2.6638
2010,124000000.0,97800000.0,26200000.0,0.2113,,,,3074256.0,1115362.0,4189618.0,102000000.0,163183.0,633010.0,4147777.0,26380787.0,0.2127,21985984.0,0.1773,-485984.0,21500000.0,0.1734,6000000.0,15600000.0,0.1258,0.89,0.89,17435218.0,17436246.0,11300000.0,,11300000.0,2100000.0,7400000.0,300000.0,21100000.0,87400000.0,,,,,,7000000.0,94400000.0,,115500000.0,400000.0,6923984.0,2601906.0,,4476016.0,11800000.0,2200000.0,,,,2200000.0,,,14000000.0,,18345.0,48700000.0,12799820.0,40023911.0,101542076.0,115542076.0,-42076.0,115500000.0,15600000.0,4147777.0,,,2300000.0,,-253598.0,-1431851.0,9300000.0,-1688039.0,20359738.0,-41560741.0,,,,,-41560741.0,-2592843.0,26570161.0,,,1114224.0,25091542.0,507616.0,4398155.0,11348108.0,6949953.0,-21201003.0,7.78,8.71,6.19,6.949999999999999,6.7566500000000005,6199850.0,0.0,0.0,6.7566500000000005
2011,150700000.0,117800000.0,32900000.0,0.2183,,,,2517530.0,,2517530.0,120600000.0,36437.0,699892.0,4424531.0,34524423.0,0.2291,30111345.0,0.1998,-711345.0,29400000.0,0.1951,7800000.0,21600000.0,0.1433,1.18,1.18,18349332.0,18349332.0,4200000.0,,4200000.0,3800000.0,10000000.0,5100000.0,23100000.0,114700000.0,,,,,,7200000.0,121900000.0,,145000000.0,2800000.0,2833619.0,1744253.0,,6066381.0,11700000.0,5700000.0,,,,5700000.0,,,17400000.0,,18350.0,70300000.0,11442567.0,45764526.0,127525443.0,144925443.0,74557.0,145000000.0,21600000.0,4424531.0,,30369.0,2100000.0,,-2246090.0,2299240.0,11400000.0,-9524851.0,18630049.0,-27722913.0,,,,271508.0,-27451405.0,-7092835.0,,,,8589626.0,1496791.0,141903.0,-7182662.0,4165446.0,11348108.0,-9092864.0,3.875,4.26,3.23,3.765,3.66025,1660250.0,0.0,0.0,3.66025
2012,151100000.0,124100000.0,27000000.0,0.1787,,,,3360520.0,,3360520.0,130100000.0,30674.0,871834.0,8382859.0,29454693.0,0.1949,20978666.0,0.1388,-878666.0,20100000.0,0.133,5500000.0,14700000.0,0.0973,0.79,0.79,18456781.0,18456781.0,13100000.0,,13100000.0,2800000.0,15100000.0,7100000.0,38100000.0,122400000.0,,,,,,2300000.0,124700000.0,,162800000.0,1000000.0,11302032.0,1255457.0,,3897968.0,16200000.0,3900000.0,,941656.0,-941656.0,3900000.0,,,20100000.0,,18460.0,84300000.0,18291399.0,40158942.0,142768801.0,162868801.0,-68801.0,162800000.0,14700000.0,8382859.0,-941207.0,378065.0,10500000.0,1029978.0,-5024459.0,-1771968.0,21900000.0,-10787751.0,22231966.0,-16278952.0,,,1075095.0,3288164.0,-11915693.0,-6062469.0,,,-692242.0,5387154.0,-1367557.0,26126.0,8974842.0,13140288.0,4165446.0,5953014.0,2.425,2.73,1.985,2.17,2.1216,854150.0,0.039,0.039,2.1606
2013,125700000.0,102400000.0,23300000.0,0.1854,,,,4567079.0,-171125.0,4395954.0,106900000.0,90260.0,995694.0,7794743.0,26890437.0,0.2139,18843492.0,0.1499,-743492.0,18100000.0,0.144,5100000.0,13000000.0,0.1034,0.71,0.71,18458446.0,18458446.0,3100000.0,,3100000.0,3300000.0,11400000.0,8200000.0,26000000.0,178500000.0,,,,,,5000000.0,183500000.0,,209500000.0,900000.0,21377912.0,2158540.0,,6122088.0,28400000.0,18900000.0,,268329.0,931671.0,20100000.0,,20561434.0,48500000.0,,18754.0,97000000.0,23184714.0,40849680.0,161053148.0,209553148.0,-53148.0,209500000.0,13000000.0,7794743.0,409665.0,773862.0,-24300000.0,-402709.0,4105876.0,-117308.0,-2400000.0,32243671.0,29921941.0,-64566785.0,,,1614387.0,2589919.0,-60362479.0,-15079090.0,,,-323032.0,35502808.0,20100686.0,330727.0,-10009125.0,3131163.0,13140288.0,-34644844.0,1.79,2.355,1.6549999999999998,1.79,1.7732,1073250.0,0.018,0.0569999999999999,1.8302
2014,137041450.0,114263300.0,22778150.0,0.1662,,,,4859215.0,-22614.0,4836601.0,119628540.0,149783.0,1446439.0,8289320.0,25874619.0,0.1888,17412906.0,0.1271,-1274046.0,16138860.0,0.1178,4432500.0,11706360.0,0.0854,0.61,0.61,19270394.0,19270394.0,3891470.0,,3891470.0,3730120.0,7139600.0,11793670.0,26554860.0,208213200.0,,,,,,4999530.0,213212730.0,,239767590.0,,40711817.0,1478699.0,,3758333.0,44470150.0,19656680.0,,281010.0,414380.0,20352070.0,,16348901.0,64822220.0,,20320.0,108684900.0,23101739.0,43138407.0,174945366.0,239767586.0,4.0,239767590.0,11706360.0,8289320.0,398385.0,,-15515290.0,-413159.0,4257805.0,-921580.0,-17915290.0,27434398.0,32313173.0,-39207768.0,,,,2926417.0,-36281351.0,-13105079.0,2311002.0,,,15528339.0,4734262.0,-5774.0,760310.0,3891473.0,3131163.0,-6894595.0,2.26,2.385,2.06,2.19,2.19,1042600.0,0.0,0.0569999999999999,2.247
2015,135303170.0,107442570.0,27860600.0,0.2059,,,,9663835.0,-555605.0,9108230.0,117106400.0,70319.0,3157524.0,13398990.0,32221694.0,0.2381,18196770.0,0.1345,-2531600.0,15665170.0,0.1158,4122970.0,11542210.0,0.0853,0.57,0.57,20316400.0,20316400.0,2641920.0,,2641920.0,1904400.0,9205420.0,12592250.0,26343990.0,206191160.0,,,,,,6091770.0,212282930.0,,238626920.0,253430.0,34580012.0,600876.0,,5404508.0,40237950.0,22251910.0,,1420854.0,-1093224.0,22579540.0,,10078197.0,62817490.0,,20320.0,120227110.0,12423593.0,43138402.0,175809425.0,238626915.0,5.0,238626920.0,11542210.0,13398990.0,-1203019.0,,4021330.0,1710176.0,-2578342.0,263720.0,-13893960.0,-6554926.0,21204585.0,-19331000.0,,,,,-19331000.0,-19902674.0,,,,17104475.0,-2798199.0,-324942.0,-1249556.0,2641917.0,3891473.0,1873585.0,1.6150000000000002,1.81,1.47,1.62,1.62,449800.0,0.0,0.0569999999999999,1.677
2016,134744600.0,109212720.0,25531880.0,0.1895,,,,12401858.0,,12401858.0,121792880.0,96976.0,2621147.0,15287509.0,28336206.0,0.2103,12951719.0,0.0961,-2524169.0,10427550.0,0.0774,3114570.0,7312980.0,0.0543,0.34,0.34,21416143.0,21416143.0,2332650.0,,2332650.0,3894440.0,5632030.0,2618200.0,14477320.0,187689880.0,,,,,,6210420.0,193900300.0,,208377620.0,559950.0,15994255.0,2391022.0,28831.0,4002554.0,20585590.0,14934410.0,,3264841.0,-3162611.0,15036640.0,,8786528.0,35622230.0,,21450.0,127540080.0,639183.0,44554673.0,172755386.0,208377616.0,4.0,208377620.0,7312980.0,15287509.0,-1959494.0,1417395.0,7785690.0,-2246882.0,3112465.0,336507.0,-6108270.0,-14566558.0,15277522.0,-11586214.0,,,,41185.0,-11545029.0,-21431973.0,,,,17750627.0,-3681346.0,-360418.0,-309271.0,2332646.0,2641917.0,3691308.0,1.185,1.3050000000000002,1.04,1.14,1.14,265950.0,0.0,0.0569999999999999,1.197
