,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1985,14700000,11400000,3300000,0.2245,,,,3000000.0,200000.0,3200000,14600000,,,200000.0,500000,0.034,100000.0,0.0068,200000.0,300000.0,0.0204,200000.0,100000.0,0.0068,0.4,0.4,398700,398700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.04525,14.72695,10.6121,12.77785,9.2388,9638.0,0.18268,0.38268,9.621480000000002
1986,13200000,10900000,2300000,0.1742,,,,2700000.0,300000.0,3000000,13900000,,,300000.0,-200000,-0.0152,-700000.0,-0.053,200000.0,-500000.0,-0.0379,-200000.0,-300000.0,-0.0227,-0.6,-0.6,500000,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8795,10.17895,8.446349999999999,8.446349999999999,6.18075,8614.5,0.0,0.38268,6.563429999999999
1987,14600000,11800000,2800000,0.1918,,,,2600000.0,300000.0,2900000,14700000,,,300000.0,200000,0.0137,-100000.0,-0.0068,100000.0,,,,-100000.0,-0.0068,-0.2,-0.2,500000,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31265,9.7458,8.0132,8.8795,6.4977,7719.0,0.0,0.38268,6.88038
1988,15700000,12800000,2900000,0.1847,,,,2600000.0,,2600000,15400000,,,,500000,0.0318,300000.0,0.0191,200000.0,500000.0,0.0318,200000.0,300000.0,0.0191,0.8,0.8,375000,375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4972,6.9303,6.28065,6.4972,4.7544,3752.5,0.0,0.38268,5.13708
1989,17900000,16600000,1300000,0.0726,,,,,300000.0,300000,16900000,,,300000.0,1400000,0.0782,1000000.0,0.0559,100000.0,1100000.0,0.0615,400000.0,700000.0,0.0391,1.7,1.7,411765,411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,300000.0,-200000.0,,-100000.0,,,,,200000.0,900000.0,-200000.0,,,,-100000.0,-300000.0,,,,-300000.0,100000.0,-200000.0,,-200000.0,,2000000.0,700000.0,13.427499999999998,14.72695,11.69495,13.21095,9.7811,14082.0,1.03955,1.42223,11.203329999999998
1990,17800000,14200000,3600000,0.2022,,,,3300000.0,300000.0,3600000,17800000,,,300000.0,300000,0.0169,,,,,,,,,-0.1,-0.1,333333,333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,-200000.0,,,,,,,200000.0,300000.0,-200000.0,,,,-100000.0,-300000.0,,,,,,,,,,2300000.0,100000.0,12.1281,13.6441,9.5292,12.7778,10.0949,20446.5,0.0,1.42223,11.517129999999998
1991,12900000,11600000,1300000,0.1008,,,,3200000.0,200000.0,3400000,15000000,,,200000.0,-1700000,-0.1318,-2100000.0,-0.1628,200000.0,-1900000.0,-0.1473,-400000.0,-1500000.0,-0.1163,-3.7,-3.7,405405,405405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1500000.0,200000.0,100000.0,,,,,,,-400000.0,-1600000.0,-100000.0,,,100000.0,,,,,,,,,,,,2300000.0,-1700000.0,10.6121,11.26185,9.7458,10.17895,8.041699999999999,5657.5,0.0,1.42223,9.463929999999998
1992,10200000,8500000,1700000,0.1667,,,,2100000.0,200000.0,2300000,10800000,,,200000.0,-400000,-0.0392,-600000.0,-0.0588,,,,,-600000.0,-0.0588,-1.5,-1.5,400000,400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-600000.0,200000.0,300000.0,,,,,,,100000.0,,,,,,200000.0,200000.0,,,,,,,,,,700000.0,,5.6309,6.28065,4.981199999999999,5.6309,4.4486,2165.5,0.0,1.42223,5.87083
1993,10900000,8500000,2400000,0.2202,,,,2100000.0,200000.0,2300000,10800000,,,200000.0,300000,0.0275,100000.0,0.0092,,,,,100000.0,0.0092,0.2,0.2,500000,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,200000.0,,,,,,,,-100000.0,200000.0,,,,,-100000.0,-100000.0,,,,,,,,,,900000.0,200000.0,9.20435,9.6375,8.2298,9.09605,7.1862,3954.5,0.0,1.42223,8.60843
1994,14200000,10900000,3300000,0.2324,,,,2500000.0,200000.0,2700000,13600000,,,200000.0,900000,0.0634,600000.0,0.0423,,,,,700000.0,0.0493,1.3,1.3,538462,538462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000.0,200000.0,,,,,,,,100000.0,1000000.0,-100000.0,,,,,-100000.0,,,,,,,,,,1000000.0,900000.0,14.18555,16.67615,13.21095,14.6187,11.54915,10619.5,0.0,1.42223,12.97138
