,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2012,159359.0,58522.0,100837.0,0.6328,894157.0,,,1493233.0,,2387390.0,2445912,,141930.0,717384.0,-1569169,-9.8468,-2286553,-14.3484,-141930.0,-2428483.0,-15.2391,,-2428483,-15.2391,-7.07,-7.07,347043,347043,13724.0,,13724.0,1615.0,,,15339.0,52727.0,,650948.0,650948.0,,,60305.0,763980.0,,779319.0,619304.0,49024.0,,34174.0,203996,906498,776007.0,,,,776007.0,,,1682505,,36131,-9336500.0,-8299.0,,-903186,779319.0,,779319.0,-2428483,717384.0,,122107.0,-796668,1185.0,,145456.0,-891159,937235.0,-1448425,-564372.0,,,,,-564372.0,,1323534.0,,,579852.0,1903386.0,,-109411.0,13724.0,123135.0,-2012797,303.0,303.0,303.0,303.0,303.0,84.5,0,0,303.0
2013,176437.0,78358.0,98079.0,0.5559,838925.0,,,,2268031.0,3106956.0,3185314,,392645.0,493123.0,-2515754,-14.2587,-3008877,-17.0535,-392645.0,-3401522.0,-19.279,,-3401522,-19.279,-8.08,-8.08,423879,423879,812064.0,,812064.0,2729.0,,41636.0,856429.0,45946.0,,716163.0,716163.0,,,32022.0,794131.0,,1650560.0,394325.0,,,315850.0,1271218,1981393,,,,2515.0,2515.0,,,1983908,,4670,-12738022.0,-164226.0,12564230.0,-333348,1650560.0,,1650560.0,-3401522,493123.0,,227129.0,-233805,-1114.0,,-167476.0,-1124964,806123.0,-2108952,-561558.0,,,,-10000.0,-561558.0,-265237.0,3573100.0,,,160987.0,3468850.0,,798340.0,812064.0,13724.0,-2670510,47.975,65.14500000000001,32.825,49.995000000000005,49.995000000000005,1136.5,0,0,49.995000000000005
2014,227655.0,172966.0,54689.0,0.2402,892092.0,,,,2235012.0,3127104.0,3300070,,,565160.0,-3204984,-14.0782,-3072415,-13.4959,-697729.0,-3770144.0,-16.5608,,-3770144,-16.5608,-7.07,-7.07,498723,498723,14119.0,,14119.0,3020.0,,107487.0,124626.0,19716.0,,774406.0,774406.0,,,45899.0,840021.0,,964647.0,984841.0,,,324169.0,1920083,3229093,,,,,,,,3229093,,5480,-16508167.0,-56379.0,14294620.0,-2264446,964647.0,,964647.0,-3770144,565160.0,,450736.0,-1979503,-291.0,,590516.0,-3104467,3289676.0,-1444075,-598285.0,,,,6804.0,-591481.0,-252.0,,,,1237863.0,1237611.0,,-797945.0,14119.0,812064.0,-2042360,20.2,20.2,11.614999999999998,19.19,19.19,2911.0,0,0,19.19
2015,,,,,,,,,,,64756,,896.0,,-64756,-inf,-64756,-inf,-896.0,-65652.0,-inf,,-403014,-inf,-0.66,-0.66,612114,612114,28185.0,,28185.0,,,17000.0,45185.0,,,,,,,,,,45185.0,414463.0,,,,150410,564873,,,,,,,,564873,,117650,-641255.0,,3917.0,-519688,45185.0,,45185.0,-403014,,,3917.0,2584779,,,-4316.0,-519688,-2552122.0,-366440,,,,,-108812.0,-108812.0,,,,,505738.0,505738.0,,14066.0,28185.0,14119.0,-366440,5.05,5.555,2.02,3.03,3.03,4480.0,0,0,3.03
2016,,,,,,,,,,,4405163,,269367.0,,-4405163,-inf,-4405163,-inf,-475696.0,-4880859.0,-inf,,-4880859,-inf,-0.35,-0.35,13760888,13760888,,,,,,1875.0,1875.0,,,,,,,,,,1875.0,589229.0,,,,478645,1067874,,,,,,,,1067874,,174367,-5522114.0,,4281748.0,-1065999,1875.0,,1875.0,-4880859,,,3377736.0,-546311,,,564766.0,-1065999,1779926.0,-269508,,,,,,,-67677.0,51000.0,,,258000.0,241323.0,,,,28185.0,-269508,0.7050000000000001,1.15,0.4599999999999999,0.62,0.62,319800.0,0,0,0.62
2017,,,,,,,,,,,699957,,54088.0,,-699957,-inf,-699957,-inf,-54088.0,-754045.0,-inf,,-754045,-inf,-0.04,-0.04,17766522,17766522,,,,,,,,,,,,,,,,,,766356.0,,,,620895,1387251,,,,,,,,1387251,,189309,-6276159.0,,4699599.0,-1387251,,,,-754045,,,261534.0,-321252,,,345313.0,-1387251,766763.0,-47000,,,,,,,,47000.0,,,,47000.0,,,,,-47000,0.22,0.31,0.09,0.2,0.2,1135900.0,0,0,0.2
2018,,,,,,1315663.0,,1315663.0,,,1315663,,66630.0,,-1348523,-inf,-1315663,-inf,-99490.0,-1415153.0,-inf,,-1415153,-inf,-0.06,-0.06,25101167,25101167,1304.0,,1304.0,,,2500.0,3804.0,,,,,,,,,,3804.0,794466.0,,,,740274,1534740,123000.0,,,,123000.0,,,1657740,,315982,-7691312.0,,5721394.0,-1653936,3804.0,,3804.0,-1415153,,,455537.0,-143685,,,452487.0,-1530936,856369.0,-246932,,,,,,,-27764.0,,,,276000.0,248236.0,,,1304.0,,-246932,0.0849999999999999,0.12,0.06,0.1,0.1,430750.0,0,0,0.1
2019,3500.0,,,,,1447582.0,,1447582.0,,1447582.0,1447582,,1609727.0,,-2275535,-650.1529,-1444082,-412.5949,-2441180.0,-3885262.0,-1110.0749,,-3885262,-1110.0749,-0.09,-0.09,45248520,45248520,83245.0,,83245.0,,,9721.0,92966.0,,,,,,,7854.0,7854.0,,100820.0,529866.0,199278.0,,,1690141,2419285,,,,,,,,2419285,262.0,812684,-11576574.0,,8445163.0,-2318465,100820.0,,100820.0,-3885262,,,234192.0,-795383,,,216704.0,-2326319,3661984.0,-784469,-7854.0,,,,,-7854.0,-174236.0,,,,1048500.0,874264.0,,81941.0,83245.0,1304.0,-792323,0.065,0.095,0.05,0.065,0.065,7014800.0,0,0,0.065
2020,,,,,,2533569.0,,2533569.0,-3000.0,2530569.0,2530569,,1396000.0,5890.0,-2147832,-inf,-2533569,-inf,-327025.0,-2860594.0,-inf,,-2860594,-inf,-0.03,-0.03,105177272,105177272,64789.0,,64789.0,,,,64789.0,733725.0,,,,,,,733725.0,,798514.0,824405.0,899977.0,,,1304258,3028640,,,,312099.0,312099.0,,321004.0,3340739,310.0,1553812,-14437168.0,,10340821.0,-2542225,798514.0,,798514.0,-2860594,5890.0,,568363.0,-637532,,,522758.0,-2963851,1403011.0,-1520862,,,,,,,-171000.0,,,65568.0,1607838.0,1502406.0,,-18456.0,64789.0,83245.0,-1520862,0.03,0.05,0.02,0.03,0.03,22245100.0,0,0,0.03
2021,115994.0,455587.0,-339593.0,-2.9277,,6058996.0,,6058996.0,,6058996.0,6514583,,968471.0,182426.0,-6771737,-58.3801,-6398589,-55.1631,-1524045.0,-7922634.0,-68.3021,,-7922634,-68.3021,-0.07,-0.07,105177272,105177272,1164483.0,,1164483.0,44313.0,25314.0,72985.0,1307095.0,3476164.0,,,,,,5871567.0,9347731.0,,10654826.0,,750270.0,,,4808718,5558988,3972964.0,,,,3972964.0,,,9531952,,132163,-25478332.0,,26469043.0,1122874,10654826.0,,10654826.0,-7922634,182426.0,,1039843.0,-1288042,-44313.0,-25314.0,,-4251893,2992461.0,-4995946,,,,,-1928192.0,-1928192.0,,1668000.0,,,6355832.0,8023832.0,,1099694.0,1164483.0,64789.0,-4995946,0.27,0.33,0.225,0.27,0.27,15581350.0,0,0,0.27
