,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2011,36783.0,,36783.0,1.0,,339361.0,,339361.0,2784.0,342145.0,342145.0,,,1220.0,-300225.0,-8.1621,-305363.0,-8.3017,3917.0,,,,-301445.0,-8.1952,-0.2,-0.2,1186385.0,1186385.0,16.0,,16.0,,,,16.0,,,,,,,950.0,950.0,,966.0,18215.0,,,,247272.0,265487.0,,,,,,,,265487.0,500.0,25524.0,-15731157.0,,15440612.0,-264521.0,966.0,,966.0,-301445.0,1220.0,,,272325.0,12416.0,,-277625.0,-265471.0,27544.0,-356.0,,,,,,,,,,,,,,-356.0,16.0,372.0,-356.0,0.9,1.0,0.33,0.47,0.47,5925.0,0,0,0.47
2012,1248.0,,1248.0,1.0,,191632.0,,191632.0,,191632.0,191632.0,,980.0,,-190384.0,-152.5513,-190384.0,-152.5513,-980.0,-191364.0,-153.3365,,-191364.0,-153.3365,-0.16,-0.16,1209719.0,1209719.0,55.0,,55.0,,,950.0,1005.0,,,,,,,,,,1005.0,138655.0,,,16077.0,302658.0,457390.0,,,,,,,,457390.0,500.0,24124.0,-15922521.0,,15441512.0,-456385.0,1005.0,,1005.0,-191364.0,,,,-190914.0,,,-1517.0,-456385.0,383817.0,1539.0,,,,,,,,,-1500.0,,,-1500.0,,39.0,55.0,16.0,1539.0,0.3,0.5,0.24,0.3,0.3,2657.5,0,0,0.3
2013,4069.0,,4069.0,1.0,,996512.0,,996512.0,,996512.0,996512.0,16266.0,278700.0,,-842584.0,-207.074,-992443.0,-243.9034,-128841.0,-1121284.0,-275.5675,,-1121284.0,-275.5675,-0.8,-0.8,1319802.0,1319802.0,13302.0,,13302.0,103554.0,,76032.0,192888.0,,,2212400.0,2212400.0,,,950.0,2213350.0,,2406238.0,278010.0,142491.0,,,119442.0,539943.0,1975000.0,,,,1975000.0,,,2514943.0,3500.0,34935.0,-17043805.0,,16896665.0,-108705.0,2406238.0,,2406238.0,-1121284.0,,,500368.0,109330.0,-1559.0,,,-347055.0,502638.0,-8948.0,,,,,-88810.0,-88810.0,-12500.0,,,,123505.0,111005.0,,13247.0,13302.0,55.0,-8948.0,1.4500000000000002,2.7,1.1,1.7000000000000002,1.7000000000000002,24175.0,0,0,1.7000000000000002
2014,37309973.0,29976811.0,7333162.0,0.1965,,7465267.0,,7465267.0,25598.0,7490865.0,37467676.0,,871971.0,25598.0,-100199.0,-0.0027,-157703.0,-0.0042,-840065.0,-997768.0,-0.0267,-1299417.0,301649.0,0.0081,0.2,0.2,1679818.0,2273871.0,233741.0,,233741.0,9099229.0,606231.0,568558.0,10507759.0,,14101306.0,7556870.0,21658176.0,,1299417.0,523966.0,23481559.0,,33989318.0,7406146.0,6330995.0,,,1864212.0,15601353.0,17007175.0,,29783.0,157495.0,17194453.0,,,32795806.0,500.0,35029.0,-16742156.0,-1781086.0,19681225.0,1193512.0,33989318.0,,33989318.0,301649.0,25598.0,-1299417.0,44100.0,-4746539.0,-2789824.0,373061.0,,-5093594.0,6293370.0,618761.0,-182641.0,,,,2333362.0,2333362.0,-4658529.0,25000.0,,,1901845.0,-2731684.0,,220439.0,233741.0,13302.0,436120.0,10.17,12.5,7.7,10.6,10.6,38645.0,0,0,10.6
2015,63854132.0,50696771.0,13157361.0,0.2061,,12387582.0,,12387582.0,2703038.0,15090620.0,65787391.0,,1610237.0,2703308.0,812941.0,0.0127,-1933259.0,-0.0303,-1567345.0,-3500604.0,-0.0548,-1785524.0,-1715080.0,-0.0269,-1.0,-1.0,1809753.0,1809753.0,842715.0,,842715.0,11409258.0,2731612.0,1978761.0,16962346.0,,21252024.0,11082083.0,32334107.0,,433997.0,2140007.0,34908111.0,,51870457.0,19849978.0,13852954.0,,742976.0,2609895.0,37055803.0,14480245.0,533874.0,,271902.0,15286021.0,,,52341824.0,5200.0,36871.0,-18457236.0,-1962497.0,19906295.0,-471367.0,51870457.0,,51870457.0,-1715080.0,2703308.0,-1785524.0,261828.0,-14999863.0,-146527.0,-538109.0,,-20093457.0,22593085.0,7057754.0,,,,,-1117134.0,-1117134.0,-7133325.0,200000.0,-342000.0,,1943679.0,-5331646.0,,608974.0,842715.0,233741.0,7057754.0,7.75,8.8,5.890000000000001,7.35,7.35,35597.5,0,0,7.35
2016,60047124.0,47952579.0,12094545.0,0.2014,,11491523.0,,11491523.0,1792326.0,13283849.0,61236428.0,,4531263.0,1792326.0,-6953204.0,-0.1158,-1189304.0,-0.0198,-5235614.0,-6424918.0,-0.107,1068352.0,-14345145.0,-0.2389,-8.17,-8.17,1754788.0,1754788.0,289480.0,,289480.0,10589677.0,531593.0,1711112.0,13121862.0,,10114164.0,9372133.0,19486297.0,,,184398.0,19670695.0,,32792557.0,10566066.0,14842217.0,,879026.0,2157866.0,28445175.0,17645639.0,565423.0,,961508.0,19172570.0,,,47617745.0,3144.0,35095.0,-32935199.0,-3224023.0,21295795.0,-14825188.0,32792557.0,,32792557.0,-14345145.0,1792326.0,769633.0,374451.0,4770144.0,-2686339.0,-60114.0,,-15323313.0,12291270.0,5652679.0,-17314.0,,,,602222.0,584908.0,-3610222.0,20058.0,-750000.0,,2163740.0,-2176424.0,,-533911.0,289480.0,823391.0,5635365.0,2.96,3.54,2.01,2.49,2.49,46955.0,0,0,2.49
2017,54458845.0,43089210.0,11369635.0,0.2088,,10485191.0,,10485191.0,1762937.0,12248128.0,55337338.0,,1555350.0,1762937.0,887112.0,0.0163,-878493.0,-0.0161,-1552682.0,-2431175.0,-0.0446,,-2431175.0,-0.0446,-1.2,-1.2,1790737.0,1790737.0,24634.0,,24634.0,6387734.0,439720.0,1287637.0,8139725.0,,10114164.0,7670419.0,17784583.0,,,132315.0,17916898.0,,26056623.0,13239810.0,7202942.0,,761194.0,1690780.0,22894726.0,3353194.0,452024.0,,604847.0,4410065.0,,,27304791.0,4829.0,36828.0,-35554994.0,-3285245.0,37550414.0,-1248168.0,26056623.0,,26056623.0,-2431175.0,1762937.0,,750745.0,568312.0,4201943.0,-25653.0,2673744.0,-14755001.0,6839485.0,7490304.0,-17191.0,,,,-19390.0,-36581.0,-7745775.0,27206.0,,,1.0,-7718568.0,,-264846.0,24634.0,289480.0,7473113.0,1.7,2.4,1.53,1.84,1.84,16040.0,0,0,1.84
2018,56202332.0,43139895.0,13062437.0,0.2324,,14244844.0,,14244844.0,1841363.0,16086207.0,59226102.0,,1570003.0,1841363.0,-2315817.0,-0.0412,-3023770.0,-0.0538,-2703413.0,-5727183.0,-0.1019,-505138.0,-5222045.0,-0.0929,-2.2,-2.2,2481529.0,2481529.0,377892.0,,377892.0,12261628.0,1803523.0,247235.0,14690278.0,,13920508.0,10586029.0,24506537.0,,,951656.0,25458193.0,,40148471.0,17484212.0,15247726.0,,,2438523.0,35170461.0,2042267.0,,,643141.0,2685408.0,,,37855869.0,4829.0,71933.0,-39752433.0,-2036713.0,44004986.0,2292602.0,40148471.0,,40148471.0,-5222045.0,1841363.0,-552489.0,2387397.0,-5725182.0,-5853450.0,-428730.0,8114282.0,-20480183.0,9966513.0,2695557.0,-28848.0,,,,180185.0,151337.0,-3819111.0,11212.0,,,1252800.0,-2555099.0,61463.0,353258.0,377892.0,24634.0,2666709.0,4.92,6.2,3.51,5.0,5.0,31012.5,0,0,5.0
2019,57199000.0,43165000.0,14034000.0,0.2454,,14744000.0,,14744000.0,2154000.0,16898000.0,60063000.0,,2555000.0,2247000.0,-640000.0,-0.0112,-2864000.0,-0.0501,-2578000.0,-5442000.0,-0.0951,14000.0,-5456000.0,-0.0954,-1.37,-1.37,3889478.0,3889478.0,1615000.0,,1615000.0,6694000.0,1889000.0,427000.0,10625000.0,594000.0,13921000.0,8608000.0,22529000.0,,,705000.0,23828000.0,,34453000.0,18694000.0,8941000.0,,,3155000.0,30790000.0,1395000.0,,,460000.0,1855000.0,,134000.0,32645000.0,5000.0,4000.0,-45063000.0,1000.0,46861000.0,1808000.0,34453000.0,,34453000.0,-5456000.0,2247000.0,,1267000.0,315183.0,5568000.0,-178000.0,2011000.0,-20165000.0,5881817.0,4255000.0,-134000.0,,,,-117000.0,-251000.0,-6538000.0,3770000.0,,,1000.0,-2767000.0,,1237000.0,1615000.0,378000.0,4121000.0,5.7,9.1,4.24,5.5,5.5,55817.5,0,0,5.5
2020,55209000.0,44293000.0,10916000.0,0.1977,1805000.0,,,15802000.0,2292000.0,19899000.0,64192000.0,,2628000.0,2347000.0,-6524000.0,-0.1182,-8983000.0,-0.1627,-2516000.0,-11499000.0,-0.2083,5000.0,-11504000.0,-0.2084,-2.46,-2.66,4322303.0,4322303.0,4594000.0,,4594000.0,9661000.0,1507000.0,680000.0,16442000.0,365000.0,14695000.0,6549000.0,21244000.0,,,607000.0,22216000.0,,38658000.0,26811000.0,11827000.0,,,3129000.0,41767000.0,732000.0,,,1202000.0,1934000.0,,79000.0,43701000.0,2000.0,5000.0,-56726000.0,-166000.0,51842000.0,-5043000.0,38658000.0,,38658000.0,-11504000.0,2347000.0,,2012000.0,-5160000.0,-2953000.0,381000.0,8062000.0,-25325000.0,11885000.0,-420000.0,-4000.0,,,,98000.0,94000.0,-1023000.0,,,,4448000.0,3425000.0,-120000.0,2979000.0,4594000.0,1615000.0,-424000.0,5.45,5.91,4.375,5.4,5.4,78300.0,0,0,5.4
