,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1993,34600000.0,7500000.0,27100000,0.7832,,,,17900000.0,4800000.0,22700000.0,30200000,,2700000.0,4800000,9200000,0.2659,4400000,0.1272,-2700000,1700000,0.0491,900000.0,800000.0,0.0231,0.12,0.12,6666650,6666650,1600000,,1600000,6800000.0,,1600000.0,10000000.0,18400000.0,,27200000.0,27200000.0,,,2000000.0,47600000.0,,57600000,300000.0,3800000.0,,,3300000.0,7400000.0,24200000.0,,2000000.0,,26200000.0,,,33600000,,,-10900000.0,-23000000.0,57900000.0,24000000,57600000,,57600000,800000.0,4800000,-200000.0,,-1700000,,,,2600000,900000,4600000.0,-2100000.0,,,,-4500000.0,-6600000.0,,8800000.0,-400000.0,,-7200000.0,1200000.0,,,,2400000,2500000.0,14.055,15.19,12.93,14.055,10.47,196711.5,0.0,0.0,10.47
1994,44400000.0,9400000.0,35000000,0.7883,,,,22100000.0,5800000.0,27900000.0,37300000,,2900000.0,5800000,12900000,0.2905,7100000,0.1599,-2900000,4200000,0.0946,1900000.0,2300000.0,0.0518,0.34,0.34,6845221,6845221,2300000,,2300000,9300000.0,,2000000.0,13600000.0,28600000.0,,34000000.0,34000000.0,,,2000000.0,64600000.0,,78200000,1000000.0,4000000.0,,,4800000.0,9800000.0,40000000.0,,2100000.0,,42100000.0,,,51900000,,,-8600000.0,-26600000.0,61500000.0,26300000,78200000,,78200000,2300000.0,5800000,,,1200000,,,,3800000,-2300000,7000000.0,-2100000.0,,,,-20300000.0,-22400000.0,,,,,16000000.0,16000000.0,,,,1600000,4900000.0,11.75,12.19,10.765,11.55,8.6,199889.5,0.0,0.0,8.6
1995,49700000.0,25400000.0,24300000,0.4889,,,,9900000.0,6600000.0,16500000.0,41900000,,3300000.0,6600000,14700000,0.2958,7800000,0.1569,-3000000,4800000,0.0966,2100000.0,2700000.0,0.0543,0.43,0.41,6249984,6617631,3200000,,3200000,8900000.0,,2000000.0,14100000.0,26400000.0,,24300000.0,24300000.0,,,10100000.0,60800000.0,,74900000,900000.0,5100000.0,,,4600000.0,10600000.0,32100000.0,,2700000.0,600000.0,35400000.0,,,46000000,,,-6000000.0,-30200000.0,65100000.0,28900000,74900000,,74900000,2700000.0,6600000,600000.0,,-300000,,,,3500000,-100000,9500000.0,-2300000.0,,-100000.0,100000.0,500000.0,-1800000.0,,,-100000.0,,-6700000.0,-6800000.0,,,,2300000,7200000.0,14.945,16.27,13.885,15.21,11.33,203017.5,0.0,0.0,11.33
1996,56200000.0,36700000.0,19500000,0.347,,,,3300000.0,5500000.0,8800000.0,45500000,,3900000.0,5500000,16300000,0.29,10700000,0.1904,-3800000,6900000,0.1228,3000000.0,3900000.0,0.0694,0.58,0.58,6681727,6770816,4300000,,4300000,11600000.0,,2200000.0,18100000.0,29700000.0,,47600000.0,47600000.0,,,1000000.0,78300000.0,,96400000,1000000.0,1400000.0,,,4700000.0,7100000.0,52400000.0,,3400000.0,400000.0,56200000.0,,,63300000,,,-2100000.0,-33300000.0,68500000.0,33100000,96400000,,96400000,3900000.0,5500000,700000.0,,7500000,,,,11000000,-9900000,7700000.0,-2100000.0,,,,-21100000.0,-23200000.0,,100000.0,,,16500000.0,16600000.0,,,,3200000,5600000.0,24.27,25.73,23.270000000000003,24.195,18.015,201129.5,0.0,0.0,18.015
1997,66300000.0,15200000.0,51100000,0.7707,,,,32600000.0,5900000.0,38500000.0,53700000,,,5900000,13800000,0.2081,12600000,0.19,-4700000,7900000,0.1192,3400000.0,4500000.0,0.0679,0.68,0.68,6582014,6712873,2200000,,2200000,12800000.0,,2500000.0,17500000.0,34000000.0,,60100000.0,60100000.0,,,800000.0,94900000.0,,112400000,1000000.0,8100000.0,,,6800000.0,15900000.0,53500000.0,,4300000.0,400000.0,58200000.0,,,74100000,,,2400000.0,-36500000.0,72400000.0,38300000,112400000,,112400000,4500000.0,5900000,700000.0,,-9400000,,,,1600000,10000000,11700000.0,-21400000.0,,,,-100000.0,-21500000.0,,400000.0,,,7300000.0,7700000.0,,,,4300000,-9700000.0,28.57,31.1,27.645000000000003,29.165,21.715,100098.0,0.0,0.0,21.715
1998,75900000.0,16900000.0,59000000,0.7773,,,,36200000.0,6400000.0,42600000.0,59500000,,4600000.0,6400000,22300000,0.2938,16400000,0.2161,-5100000,11300000,0.1489,4900000.0,6400000.0,0.0843,0.96,0.94,6623420,6765608,6700000,,6700000,14400000.0,,2800000.0,23900000.0,35600000.0,,70500000.0,70500000.0,,,,106100000.0,,130000000,1900000.0,200000.0,,,6600000.0,8700000.0,70700000.0,,5400000.0,500000.0,76600000.0,,,85300000,,,8800000.0,-40000000.0,75900000.0,44700000,130000000,,130000000,6400000.0,6400000,1000000.0,,13600000,,,,15200000,-14500000,12900000.0,-13200000.0,,,,-4100000.0,-17300000.0,,400000.0,-900000.0,,9300000.0,8800000.0,,,,2200000,-300000.0,31.835,34.32,29.475,31.775,23.66,81261.5,0.0,0.0,23.66
1999,90000000.0,20300000.0,69700000,0.7744,,,,41400000.0,8000000.0,49400000.0,69700000,,,8000000,22100000,0.2456,20300000,0.2256,-6200000,14100000,0.1567,5500000.0,8600000.0,0.0956,1.25,1.22,6797899,6943732,11300000,,11300000,18100000.0,,3700000.0,33100000.0,44500000.0,,84300000.0,84300000.0,,,600000.0,129400000.0,,162500000,1400000.0,400000.0,,,8600000.0,10400000.0,85400000.0,,6800000.0,800000.0,93000000.0,,,103400000,,200000.0,17300000.0,-44500000.0,86100000.0,59100000,162500000,,162500000,8600000.0,8000000,700000.0,,7500000,,,,22700000,-8300000,16500000.0,-26100000.0,,,,-1700000.0,-27800000.0,,1700000.0,,,14200000.0,15900000.0,,4600000.0,11300000.0,6700000,-9600000.0,39.0,41.16,36.84,39.3,29.26,125856.5,0.0,0.0,29.26
2000,101746000.0,22211000.0,79535000,0.7817,,,,44918000.0,9478000.0,54396000.0,76607000,,6793000.0,9478000,32513000,0.3196,25139000,0.2471,-8897000,16242000,0.1596,7592000.0,8650000.0,0.085,1.27,1.25,6847482,6996649,8670000,,8670000,19747000.0,,2945000.0,31362000.0,47672000.0,,100872000.0,100872000.0,,,,148544000.0,,179906000,933000.0,390000.0,,,9246000.0,10569000.0,94251000.0,,8569000.0,899000.0,103719000.0,,,114288000,,165000.0,25918000.0,-49343000.0,88878000.0,65618000,179906000,,179906000,8650000.0,9478000,1742000.0,,-1907000,,,,20793000,3111000,21074000.0,-30546000.0,,,,507000.0,-30039000.0,,,-2574000.0,,8867000.0,6293000.0,,-2672000.0,8670000.0,11342000,-9472000.0,48.900000000000006,52.725,43.650000000000006,48.900000000000006,36.41,124416.5,0.0,0.0,36.41
2001,103956000.0,24459000.0,79497000,0.7647,,,,47602000.0,10110000.0,57712000.0,82171000,,7037000.0,10110000,31912000,0.307,21785000,0.2096,-7020000,14765000,0.142,6200000.0,8565000.0,0.0824,1.25,1.22,6824149,6962482,11843000,,11843000,19185000.0,,4491000.0,35519000.0,55169000.0,,112033000.0,112033000.0,,,,167202000.0,,202721000,944000.0,275000.0,,,10217000.0,11436000.0,105226000.0,,9990000.0,1007000.0,116223000.0,,,127659000,,166000.0,34483000.0,-55003000.0,95416000.0,75062000,202721000,,202721000,8565000.0,10110000,2342000.0,,3290000,,,,24083000,-3049000,21258000.0,-26837000.0,,,,-1754000.0,-28591000.0,,633000.0,-987000.0,,10860000.0,10506000.0,,3173000.0,11843000.0,8670000,-5579000.0,45.77,48.35,41.94,46.32,34.489999999999995,177208.0,0.0,0.0,34.489999999999995
2002,114782000.0,26732000.0,88050000,0.7671,,,,52640000.0,6533000.0,59173000.0,85905000,,5487000.0,6899000,35617000,0.3103,28877000,0.2516,-5646000,23231000,0.2024,9276000.0,13955000.0,0.1216,2.04,1.98,6876982,7069648,5874000,,5874000,21355000.0,,4219000.0,31448000.0,60161000.0,,134713000.0,134713000.0,,,,194874000.0,,226322000,1265000.0,13308000.0,,,11358000.0,25931000.0,91920000.0,,14064000.0,1348000.0,107332000.0,,,133263000,,209000.0,48393000.0,-60813000.0,105270000.0,93059000,226322000,,226322000,13955000.0,6899000,3770000.0,,-18566000,,,,5517000,19424000,25482000.0,-7559000.0,,,,-24878000.0,-32437000.0,,1262000.0,-3000.0,,-273000.0,986000.0,,-5969000.0,5874000.0,11843000,17923000.0,60.015,62.835,52.05,59.865,44.575,135800.5,0.0,0.0,44.575
