,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1985,119100000,34000000,85100000,0.7145,,,,39100000.0,20800000.0,59900000.0,93900000,,,20800000,32900000,0.2762,25200000,0.2116,-12400000,12800000,0.1075,3500000,8600000,0.0722,0.17,0.17,49201053,49201053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.3200000000000003,2.1100000000000003,2.215,1.25,973050.5,0.1492,0.1492,1.3992
1986,155000000,50500000,104500000,0.6742,,,,36200000.0,41300000.0,77500000.0,128000000,,,34000000,52400000,0.3381,27000000,0.1742,-13300000,13700000,0.0884,3900000,14500000,0.0935,0.29,0.29,46197500,46197500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.02,3.64,3.835,2.3,1506104.5,0.1628,0.312,2.612
1987,174600000,52700000,121900000,0.6982,,,,45700000.0,45500000.0,91200000.0,143900000,,,38600000,59300000,0.3396,30700000,0.1758,-11200000,19500000,0.1117,8200000,12500000,0.0716,0.24,0.24,48496923,48496923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.065,4.74,5.24,3.24,1695798.0,0.10792,0.41992,3.65992
1988,196300000,122200000,74100000,0.3775,,,,,44100000.0,44100000.0,166300000,,,44100000,62700000,0.3194,30000000,0.1528,-12100000,17900000,0.0912,7300000,11300000,0.0576,0.2,0.2,52580465,52580465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.29,8.469999999999999,8.940000000000001,5.595,1122419.0,0.0943,0.51422,6.10922
1989,239700000,158300000,81400000,0.3396,,,,,53300000.0,53300000.0,211600000,,,53300000,72300000,0.3016,28100000,0.1172,-9100000,19000000,0.0793,7900000,11100000,0.0463,0.16,0.16,60872000,60872000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100000.0,53300000.0,2300000.0,,1000000.0,,,,,-4800000.0,62900000.0,-138700000.0,,-21300000.0,,-3000000.0,-163000000.0,,151500000.0,-1000000.0,-7200000.0,-30600000.0,112700000.0,,112700000.0,,21100000.0,-75800000.0,0.0,19.3,17.325,18.77,11.885,2513885.0,0.1226,0.63682,12.52182
1990,294600000,184600000,110000000,0.3734,,,,,62900000.0,62900000.0,247500000,,,62900000,106500000,0.3615,47100000,0.1599,-3500000,43600000,0.148,16400000,27200000,0.0923,0.4,0.4,65725581,65725581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27200000.0,62900000.0,6000000.0,,,,,,,-3500000.0,92600000.0,-136700000.0,,-15900000.0,18500000.0,-800000.0,-134900000.0,,3500000.0,-3100000.0,-11700000.0,63300000.0,52000000.0,,52000000.0,,33700000.0,-44100000.0,0.0,17.855,14.855,16.15,10.285,1789147.0,0.132,0.7688200000000001,11.05382
1991,354000000,236700000,117300000,0.3314,,,,,76800000.0,76800000.0,313500000,,,76800000,112800000,0.3186,40500000,0.1144,-4500000,36000000,0.1017,14900000,21100000,0.0596,0.27,0.27,71484068,71484068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21100000.0,76800000.0,2800000.0,,,,,,,-22900000.0,77800000.0,-151800000.0,,,8600000.0,-49400000.0,-192600000.0,,40700000.0,1900000.0,-11300000.0,77100000.0,108400000.0,,108400000.0,,43400000.0,-74000000.0,0.0,16.65,14.67,16.06,10.31,2320561.5,0.14144,0.91026,11.22026
1992,456100000,303100000,153000000,0.3355,,,,,99000000.0,99000000.0,402100000,,,99000000,159600000,0.3499,54000000,0.1184,14300000,68300000,0.1497,29800000,30800000,0.0675,0.33,0.33,86356111,86356111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30800000.0,99000000.0,7000000.0,,,,,,,-21400000.0,115400000.0,-148600000.0,,,7300000.0,-53500000.0,-194800000.0,,72600000.0,-400000.0,-13900000.0,24900000.0,83200000.0,,83200000.0,,37100000.0,-33200000.0,16.415,17.06,15.68,16.47,10.685,3076792.0,0.15088,1.06114,11.74614
1993,590700000,393500000,197200000,0.3338,,,,,127500000.0,127500000.0,521000000,,,127500000,187900000,0.3181,69700000,0.118,-9300000,60400000,0.1023,26500000,33900000,0.0574,0.31,0.31,102210448,102210448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33900000.0,127500000.0,5800000.0,,,,,,,-7000000.0,160200000.0,-198700000.0,,-49600000.0,11700000.0,-39700000.0,-276300000.0,,106800000.0,-200000.0,-17800000.0,42200000.0,131000000.0,,131000000.0,,40800000.0,-38500000.0,20.36,21.745,20.125,21.335,13.945,3960815.0,0.16032,1.22146,15.16646
1994,730800000,460200000,270600000,0.3703,,,,,161800000.0,161800000.0,622000000,,,161800000,262300000,0.3589,108800000,0.1489,-7600000,101200000,0.1385,40700000,59800000,0.0818,0.49,0.49,118954717,118954717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59800000.0,161800000.0,14500000.0,,,,,,,-11400000.0,224700000.0,-321400000.0,,-66400000.0,8300000.0,-20100000.0,-399600000.0,,56900000.0,,-20900000.0,108000000.0,144000000.0,,144000000.0,,55500000.0,-96700000.0,20.450000000000003,21.925,18.885,20.48,13.515,4329019.0,0.16972,1.39118,14.90618
1995,954400000,621300000,333100000,0.349,,,,,201100000.0,201100000.0,822400000,,,201100000,386100000,0.4045,132000000,0.1383,53000000,185000000,0.1938,81000000,104000000,0.109,0.8,0.8,127566322,127566322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104000000.0,201100000.0,19600000.0,,,,,,,-113100000.0,211600000.0,-336200000.0,,-346500000.0,206800000.0,-74800000.0,-550700000.0,,8700000.0,-600000.0,-24000000.0,385400000.0,369500000.0,,369500000.0,,24700000.0,-124600000.0,18.685,19.625,17.354999999999997,18.62,12.375,5768523.5,0.17916,1.57034,13.94534
1996,1214600000,828900000,385700000,0.3176,,,,,231600000.0,231600000.0,1060500000,,,231600000,483300000,0.3979,154100000,0.1269,97600000,251700000,0.2072,123600000,128100000,0.1055,0.96,0.96,131376172,132007788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128100000.0,231600000.0,75000000.0,,,,,,,-139700000.0,295000000.0,-550200000.0,,-60000000.0,,192800000.0,-417400000.0,,201300000.0,-600000.0,-26200000.0,-49600000.0,124900000.0,,124900000.0,,55100000.0,-255200000.0,19.595,20.86,18.565,19.625,13.155,3987116.0,0.1886,1.75894,14.91394
1997,1471500000,1173600000,297900000,0.2024,,,,,301600000.0,301600000.0,1475200000,,,301600000,320700000,0.2179,-3700000,-0.0025,22800000,19100000,0.013,28600000,-9500000,-0.0065,-0.09,-0.09,130440000,130440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9500000.0,301600000.0,17200000.0,,,,-25800000.0,,,-102800000.0,206500000.0,-915300000.0,,-25100000.0,120600000.0,59100000.0,-760700000.0,,144800000.0,-69900000.0,-27200000.0,499900000.0,547600000.0,,547600000.0,,57600000.0,-708800000.0,18.255,19.21,17.77,18.46,12.510000000000002,6067686.5,0.19804,1.95698,14.46698
1998,1805700000,1417100000,388600000,0.2152,,,,,409500000.0,409500000.0,1826600000,,,409500000,543200000,0.3008,-20900000,-0.0116,154600000,133700000,0.074,69300000,64400000,0.0357,0.47,0.47,132574868,132574868,50100000.0,,50100000.0,284600000.0,36600000.0,34100000.0,405400000.0,2672600000.0,,1694100000.0,1694100000.0,,,755400000.0,5122100000.0,,5527500000.0,288400000.0,186800000.0,,,148200000.0,623400000.0,1553100000.0,,314900000.0,32000000.0,1900000000.0,,,2523400000.0,,,308400000.0,-1222800000.0,3478300000.0,2563900000.0,5087300000.0,440200000.0,5527500000.0,64400000.0,409500000.0,49300000.0,,-218000000.0,,10700000.0,,-218000000.0,51000000.0,356200000.0,-676100000.0,,-2800000.0,166600000.0,18000000.0,-494300000.0,,344900000.0,,-28500000.0,-179200000.0,137200000.0,,137200000.0,,51000000.0,-319900000.0,20.335,21.64,18.975,20.35,13.93,7108342.5,0.20744,2.16442,16.09442
1999,1963100000,1252300000,710800000,0.3621,,,,,353300000.0,353300000.0,1605600000,,,353300000,811500000,0.4134,357500000,0.1821,184900000,542400000,0.2763,228200000,230000000,0.1172,1.71,1.69,133561864,135593624,111000000.0,5000000.0,116000000.0,317000000.0,39900000.0,35100000.0,508000000.0,2095900000.0,,1333900000.0,1333900000.0,,,1438000000.0,4867800000.0,,5375800000.0,206900000.0,15000000.0,,,147800000.0,369700000.0,1579900000.0,,382500000.0,41900000.0,2004300000.0,,,2374000000.0,,600000.0,509000000.0,-1227300000.0,3209800000.0,2492100000.0,4866100000.0,509700000.0,5375800000.0,230000000.0,353300000.0,152200000.0,,356300000.0,,-13400000.0,,138300000.0,-468100000.0,623700000.0,-431000000.0,,,135000000.0,10600000.0,-285400000.0,,,-69000000.0,-29400000.0,-174100000.0,-272500000.0,,65900000.0,111000000.0,45100000.0,192700000.0,32.225,35.155,30.955,33.655,23.26,9192413.5,0.21688,2.3813,25.6413
2000,2326856000,1507647000,819209000,0.3521,,,,,399143000.0,399143000.0,1906790000,,,399143000,2785626000,1.1972,420066000,0.1805,-125058000,295008000,0.1268,149481000,2237002000,0.9614,17.17,16.96,130270428,131822664,99019000.0,3616000.0,102635000.0,337485000.0,61450000.0,25530000.0,527100000.0,2186025000.0,,1371308000.0,1371308000.0,,,4550176000.0,8107509000.0,,8634609000.0,275901000.0,514639000.0,,,193871000.0,984411000.0,1172987000.0,,,2102207000.0,3275194000.0,,,4259605000.0,,624000.0,2680669000.0,-1561942000.0,2824543000.0,3943894000.0,8203499000.0,431110000.0,8634609000.0,2237002000.0,399143000.0,-370000.0,,-595611000.0,,-18786000.0,,-457311000.0,-1291305000.0,748859000.0,-456019000.0,-149618000.0,,,-22000.0,-605659000.0,,,-513916000.0,-30472000.0,389197000.0,-155191000.0,,-11991000.0,99019000.0,111010000.0,292840000.0,50.39,53.72,46.15,49.74,34.56,9880353.0,0.23576,2.61706,37.17706
2001,2588542000,2152387000,436155000,0.1685,,,,,1263000.0,1263000.0,2153650000,,,450019000,207056000,0.08,434892000,0.168,-606892000,-172000000,-0.0664,-44908000,-198055000,-0.0765,-1.55,-1.55,127529014,127529014,140744000.0,,140744000.0,435221000.0,71370000.0,27021000.0,674356000.0,2558031000.0,,1683219000.0,1683219000.0,,,3131186000.0,7372436000.0,,8046792000.0,270005000.0,332761000.0,,,213450000.0,816216000.0,1507764000.0,,,1736190000.0,3243954000.0,,,4060170000.0,,625000.0,2450473000.0,-1030257000.0,2098083000.0,3518924000.0,7579094000.0,467698000.0,8046792000.0,-198055000.0,450019000.0,-266406000.0,,315451000.0,,-7100000.0,,-141860000.0,244796000.0,545805000.0,-700150000.0,-392842000.0,,,573134000.0,-519858000.0,,,-80303000.0,-32141000.0,128222000.0,15778000.0,,41725000.0,140744000.0,99019000.0,-154345000.0,46.39,50.26,41.965,46.57,32.545,8094067.5,0.3896,3.00666,35.55166
