,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1985,605500000,,,,,,,,,,,,,,-27200000,-0.0449,,,,,,,-27200000,-0.0449,-0.39,-0.39,69510699,69510699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.605,2.36,2.545,0.18,3099150.0,2.0424,2.5530000000000004,2.7330000000000005
1986,443100000,,,,,,,,,,,,,,21500000,0.0485,,,,,,,21500000,0.0485,0.22,0.22,97678434,97678434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.02,2.79,2.905,0.49,4922100.0,1.58847,4.14147,4.63147
1987,419400000,,,,,,,,,,,,,,30600000,0.073,,,,,,,30600000,0.073,0.32,0.32,84922574,84922574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.275,3.015,3.11,0.645,2689650.0,0.22668,4.36815,5.01315
1988,433400000,,,,,,,,,,,,,,33300000,0.0768,,,,,,,33300000,0.0768,0.34,0.34,88191199,88191199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.015,3.11,2.95,3.04,0.69,2389050.0,0.23499,4.60314,5.293139999999999
1989,323700000,,,,,,,,,,,,,,36400000,0.1124,,,,,,,36400000,0.1124,0.37,0.37,89955022,89955022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,4.0,3.72,3.95,0.96,4322700.0,0.24676,4.8499,5.8099
1990,432600000,,,,,,,,,,,,,,19400000,0.0448,,,,,,,19400000,0.0448,0.18,0.18,91065578,91065578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,4.029999999999999,3.82,3.855,1.0,1928700.0,0.2591199999999999,5.10902,6.10902
1991,709200000,,,,,,,,,,,,,,26300000,0.0371,,,,,,,26300000,0.0371,0.22,0.22,108213220,108213220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.985,4.109999999999999,3.835,4.04,1.13,2767725.0,0.27223,5.3812500000000005,6.51125
1992,708100000,,,,,,,,,,,,,,35400000,0.05,,,,,,,35400000,0.05,0.28,0.28,115957646,115957646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,4.635,4.04,4.415,1.31,4652100.0,0.28555,5.6668,6.976800000000001
1993,730800000,,,,,,,,,,,,,,31500000,0.0431,,,,,,,31500000,0.0431,0.21,0.21,137324955,137324955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.365,5.555,4.955,5.28,1.665,5064750.0,0.29554,5.96234,7.62734
1994,762200000,381900000.0,380300000.0,0.499,,,,,305800000.0,305800000.0,687700000.0,,,,78900000,0.1035,74500000.0,0.0977,-3200000.0,71300000.0,0.0935,33600000.0,45300000,0.0594,0.31,0.31,146581386,146581386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45300000.0,,-6400000.0,,2700000.0,,-5100000.0,,11200000.0,39900000.0,81500000.0,-48600000.0,-4600000.0,,,-34200000.0,-87400000.0,,29400000.0,-18800000.0,-42800000.0,-9800000.0,-42000000.0,,-47900000.0,77400000.0,125300000.0,32900000.0,4.705,4.89,4.35,4.6,1.56,3337200.0,0.30445,6.26679,7.826790000000001
