,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1998,17000000,,,,,4600000,700000.0,5300000,,,,20900000,7300000,900000,14700000,0.8647,,,,6500000,0.3824,2400000,4100000,0.2412,0.56,0.55,7321429,7454545,37000000,,37000000,2100000.0,,,,7200000,,,,,,,,318900000.0,318900000,400000.0,,,,,,25200000,,,,25200000,308000000.0,,282800000,,,9100000,,27000000.0,36100000,318900000,,318900000,4100000,900000.0,300000.0,,-1200000,,,,,200000,4300000.0,-500000.0,,-34400000.0,17900000,-32100000.0,-48600000.0,,,,-900000,58000000,57100000,,57100000,,24100000,3800000.0,11.5,11.88,8.0,9.75,5.12,173500.0,0.09,0.09,5.21
1999,20648614,,,,,5730972,941618.0,6672590,,,,24680330,8455948,941274,16951953,0.821,,,,7554731,0.3659,2680790,4873941,0.236,0.64,0.63,7615533,7736414,45689094,,45689094,2422829.0,,326920634.0,375032557.0,9419744,,,2284415.0,,,,11704159.0,,386736716,543424.0,,,,580456576.0,581000000.0,46158000,,,-158000.0,46000000,,,350020494,,25778259.0,12708368,,,36716222,386736716,,386736716,4873941,941274.0,34339.0,,-20544,,,,,2971309,8800319.0,-2885697.0,-2828182.0,-11693947.0,15374274,-65786612.0,-64934467.0,,,,-1220904,66076603,64855699,,8721551,45689094.0,36967543,5914622.0,9.75,10.44,8.88,9.815,5.205,98200.0,0.16,0.25,5.455
2000,48169252,,,,,17074982,1004723.0,18079705,,,,55073907,19744408,2478304,37215589,0.7726,,,,14992877,0.3113,6121483,8871394,0.1842,0.62,0.61,14308700,14543269,53202434,,53202434,7979686.0,,694674267.0,755856387.0,18678617,,,11113258.0,,,,29791875.0,,785648262,6410511.0,7500000.0,,,1007089489.0,1021000000.0,7118000,,,19882000.0,27000000,,,706847729,,44618852.0,34523533,,,78800533,785648262,,785648262,8871394,2478304.0,248590.0,,1233978,,,,,916516,13748782.0,-2874102.0,-1797170.0,,13494909,-85597388.0,-73899649.0,-31540000.0,,,-3484516,108617761,73593245,,13442378,76952434.0,63510056,10874680.0,7.970000000000001,8.595,7.38,7.94,4.315,112800.0,0.16,0.41,4.725
2001,79027000,,,,,30260000,1580000.0,31840000,,,,88038000,32409000,4891000,52256000,0.6612,,,,14956000,0.1893,6406000,8550000,0.1082,0.46,0.45,18586957,19000000,107988000,,107988000,,,1294882000.0,1402870000.0,38871000,,,25841000.0,,,-38871000.0,25841000.0,,1428711000,24261000.0,,,,1237739000.0,1262000000.0,31041000,,,-41000.0,31000000,62410000.0,,1293410000,,92268000.0,41041000,,1992000.0,135301000,1428711000,,1428711000,8550000,4891000.0,88000.0,,3909000,,,,,-9090000,8348000.0,-5444000.0,,-78764000.0,130878000,-175524000.0,-123410000.0,-916000.0,,,-2525000,131330000,127889000,,12827000,107988000.0,95161000,2904000.0,12.2,13.235,10.955,12.345,6.83,578100.0,0.16,0.5700000000000001,7.4
2002,104871000,,,,,37117000,1837000.0,38954000,,,,100325000,23797000,4576000,62642000,0.5973,,,,34269000,0.3268,12301000,21968000,0.2095,1.04,1.03,21123077,21328155,108493000,,108493000,32512000.0,,1834571000.0,1975576000.0,58585000,,,170283000.0,351520000.0,,,580388000.0,3136352000.0,2555964000,28564000.0,,,,,,24219000,,,,24219000,2217024000.0,,2192805000,,225380000.0,59475000,3304000.0,,288159000,2480964000,75000000.0,2555964000,21968000,4576000.0,-2304000.0,,-8154000,,,,,-41378000,-25292000.0,-8767000.0,-15074000.0,-158987000.0,123994000,-140543000.0,-190610000.0,-46970000.0,,,-3534000,278960000,228456000,,12554000,120542000.0,107988000,-34059000.0,15.765,17.105,14.745,16.0,8.934999999999999,1395700.0,0.16,0.7300000000000001,9.665
2003,152315000,,,,,53090000,3567000.0,56657000,,,,142132000,28860000,9579000,90935000,0.597,,,,52496000,0.3447,18377000,34119000,0.224,1.21,1.19,28197521,28671429,109506000,,109506000,55306000.0,,2047701000.0,2212513000.0,63328000,,,170193000.0,517781000.0,,,751302000.0,3715117000.0,2963815000,30182000.0,40000000.0,,,,70182000.0,55000000,,,,55000000,2531723000.0,,2546905000,,,89058000,-862000.0,,318969000,2865874000,97941000.0,2963815000,34119000,9579000.0,4074000.0,,-14213000,,,,,24336000,57895000.0,-13911000.0,,-399507000.0,223990000,-243739000.0,-419256000.0,-19038000.0,,,-4536000,398399000,374825000,,13464000,134006000.0,120542000,43984000.0,18.95,20.16,18.135,19.285,10.84,1269600.0,0.16,0.8900000000000001,11.73
2004,199060000,,,,,67351000,4228000.0,71579000,,,,198058000,40371000,8714000,119521000,0.6004,,,,66560000,0.3344,23270000,47166000,0.2369,1.32,1.3,35731818,36281538,94561000,,94561000,,,3560165000.0,3654726000.0,85681000,,,419614000.0,713014000.0,,,1218309000.0,6091344000.0,4873035000,,,,,,,254707000,,,,254707000,4440129000.0,,4185422000,,,128112000,-1110000.0,,687613000,4873035000,,4873035000,47166000,8714000.0,6910000.0,,3892000,,,,,19230000,85912000.0,-20141000.0,,-136127000.0,180732000,-362715000.0,-318110000.0,-13340000.0,,,-8112000,237851000,216399000,,-15799000,118207000.0,134006000,65771000.0,20.96,22.245,20.465,21.775,12.365,2634750.0,0.22,1.11,13.475
2005,257064000,,,,,82467000,4564000.0,87031000,,,,282276000,72994000,12142000,192676000,0.7495,,,,107540000,0.4183,37805000,69735000,0.2713,1.57,1.55,44417197,44990323,151521000,,151521000,,,4009481000.0,4161002000.0,88865000,,,419393000.0,691379000.0,,,1199637000.0,6560276000.0,5360639000,,,,,,,168909000,,,,168909000,4791287000.0,,4622378000,,,183591000,-9909000.0,,738261000,5360639000,,5360639000,69735000,12142000.0,7575000.0,,-373000,,,,,11112000,100191000.0,-12051000.0,,-175546000.0,169300000,-467711000.0,-473957000.0,-85188000.0,,,-11557000,514058000,417313000,,43547000,161754000.0,118207000,88140000.0,24.145,25.065,23.15,24.3,13.925,2934900.0,0.32,1.4300000000000002,15.355
2006,315721000,,,,,98840000,5760000.0,104600000,,,,405941000,143817000,14514000,289551000,0.9171,,,,131220000,0.4156,46773000,84447000,0.2675,1.61,1.59,52451553,53111321,169769000,,169769000,,,5489160000.0,5658929000.0,101830000,,,689445000.0,894032000.0,,,1685307000.0,9029543000.0,7344236000,,,,,,,213201000,,,,213201000,6401226000.0,,6188025000,,,234783000,-9439000.0,,1156211000,7344236000,,7344236000,84447000,14514000.0,-6143000.0,,25439000,,,,,-262000,117995000.0,-13350000.0,36950000.0,-60651000.0,102927000,-426263000.0,-347037000.0,-652634000.0,,,-28131000,1083701000,402936000,,173894000,335648000.0,161754000,104645000.0,27.71,28.75,26.28,27.775,16.15,3929050.0,0.6,2.03,18.18
2007,350779000,,,,,112864000,5554000.0,118418000,,,,488392000,202438000,12765000,310134000,0.8841,,,,94931000,0.2706,31663000,63268000,0.1804,1.06,1.05,59686792,60255238,188782000,,188782000,,,6191851000.0,6380633000.0,106267000,,,774994000.0,1078159000.0,,,1959420000.0,10299473000.0,8340053000,,,,,,,310293000,,,,310293000,7410408000.0,,7100115000,,,251545000,-387000.0,,1239938000,8340053000,,8340053000,63268000,12765000.0,-5080000.0,,-30773000,,,,,39458000,79638000.0,,78729000.0,-372223000.0,145837000,-278406000.0,-426063000.0,-70769000.0,,,-43461000,317077000,202847000,,-143578000,192070000.0,335648000,79638000.0,24.22,25.1,21.605,22.605,13.51,9737900.0,0.74,2.7700000000000005,16.28
