,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,High,Low,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2001,11803.0,,11803.0,1.0,173412,,,,1221175.0,1394587,1394587,20485.0,,33988.0,-1328311,-112.5401,-1382784.0,-117.1553,20485,-1362299,-115.4197,-310000.0,-1052299,-89.1552,-297.49,-297.49,3318,3318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1052299,33988.0,,,17242,,,,124465.0,323250,-677819,,,,,-35000.0,-35000.0,,325000.0,,,,325000.0,,-387819.0,268984.0,656803.0,-677819,1763.75,2125.0,1275.0,1806.25,1806.25,27.0,0,0,1806.25
2002,126299.0,,126299.0,1.0,141748,,,,1037082.0,1178830,1178830,1778.0,,278988.0,-771765,-6.1106,-1052531.0,-8.3336,1778,-1050753,-8.3196,145000.0,-1195753,-9.4676,-254.99,-254.99,4320,4320,122593.0,,122593.0,27358.0,,11250.0,161201.0,7556.0,,137993.0,137993.0,,,,145549.0,,306750.0,36736.0,,,,,36736.0,,,,,,,,36736.0,,19335.0,-2669994.0,-1889.0,2922562.0,270014.0,306750.0,,306750.0,-1195753,278988.0,,,579496,,,,703961.0,-480879,-818148,-9445.0,,,,-9398.0,-18843.0,,690600.0,,,,690600.0,,-146391.0,122593.0,268984.0,-827593,1572.5,1806.25,1338.75,1657.5,1657.5,24.0,0,0,1657.5
2003,62121.0,,62121.0,1.0,93977,,,,1052161.0,1146138,1146138,1445.0,29270.0,119700.0,-958150,-15.4239,-1084017.0,-17.4501,-23103,-1107120,-17.822,,-1107120,-17.822,-170.0,-170.0,6625,6625,810264.0,,810264.0,994.0,,10197.0,821455.0,3022.0,,53097.0,53097.0,,,,56119.0,,877574.0,104994.0,,,12500.0,,117494.0,,,,,,,,117494.0,,41990.0,-3777114.0,-3275.0,4498479.0,760080.0,877574.0,,877574.0,-1107120,119700.0,,,-25019,,,,678942.0,371042,-641397,,,,,-25549.0,-25549.0,,1354352.0,,,265.0,1354617.0,,687671.0,810264.0,122593.0,-641397,807.5,966.875,637.5,850.0,850.0,48.5,0,0,850.0
2004,108187.0,,108187.0,1.0,310615,,,,1210000.0,1520615,1520615,5922.0,,9469.0,-1397037,-12.9132,-1412428.0,-13.0554,5922,-1406506,-13.0007,,-1406506,-13.0007,-127.5,-127.5,12576,12576,676593.0,,676593.0,27943.0,20423.0,9811.0,734770.0,21416.0,,80297.0,80297.0,,,,101713.0,,836483.0,43328.0,,,12500.0,,55828.0,,,,,,,,55828.0,,60590.0,-5183620.0,-7965.0,5911650.0,780655.0,836483.0,,836483.0,-1406506,9469.0,,,-924926,,-20423.0,,-245984.0,1309874,-1012089,-23084.0,,,,-31979.0,-55063.0,,958481.0,,,-25000.0,933481.0,,-133671.0,676593.0,810264.0,-1035173,435.625,563.125,350.625,414.375,414.375,175.5,0,0,414.375
2005,209158.0,,209158.0,1.0,148552,,,,1327418.0,1475970,1475970,5376.0,,13105.0,-1253706,-5.9941,-1266812.0,-6.0567,1,-1266811,-6.0567,,-1266811,-6.0567,-85.0,-85.0,14258,14258,6705.0,,6705.0,21778.0,58820.0,,87303.0,19401.0,,132189.0,132189.0,,,,151590.0,,238893.0,333287.0,,,,,333287.0,,,,,,,,333287.0,,63590.0,-6450431.0,-13203.0,6305650.0,-94394.0,238893.0,,238893.0,-1266811,13105.0,,,-754016,,-38397.0,,-1000000.0,1400815,-606907,-3220.0,,,,-59761.0,-62981.0,,,,,,,,-669888.0,6705.0,676593.0,-610127,276.25,308.125,246.5,276.25,276.25,55.5,0,0,276.25
2006,120000.0,20000.0,100000.0,0.8333,30000,1170000.0,,1170000.0,224753.0,1424753,1430000,3604.0,308360.0,264535.0,-1037105,-8.6425,-1301649.0,-10.8471,-308351,-1610000,-13.4167,,-1610000,-13.4167,-85.0,-85.0,16152,16152,,,,10000.0,40000.0,140000.0,190000.0,10000.0,,140000.0,140000.0,,,10000.0,160000.0,,350000.0,,805000.0,,,385000.0,1190000.0,,,,,,,,1190000.0,,70000.0,-8060000.0,-20000.0,7162336.0,-847664.0,342336.0,7664.0,350000.0,-1610000,264535.0,,,-860000,,15595.0,,-1860000.0,1355149,-850316,-15141.0,,,,5000.0,-10141.0,,55810.0,,,800000.0,855810.0,,-4647.0,2058.0,6705.0,-865457,233.75,325.125,159.375,233.75,233.75,109.5,0,0,233.75
2007,300000.0,200000.0,100000.0,0.3333,20000,660000.0,,660000.0,126810.0,806810,1010000,1027.0,258926.0,157263.0,-553811,-1.846,-707263.0,-2.3575,-262737,-970000,-3.2333,,-970000,-3.2333,-42.5,-42.5,17280,17280,,,,,30000.0,,30000.0,10000.0,,150000.0,150000.0,,,,160000.0,,190000.0,,1245000.0,,,645000.0,1890000.0,,,,,,,,1890000.0,,70000.0,-9020000.0,-20000.0,7272517.0,-1697483.0,192517.0,-2517.0,190000.0,-970000,157263.0,,,1000000,,14499.0,,-860000.0,-608619,-421356,-20354.0,,,,-5000.0,-25354.0,,,,,445000.0,445000.0,,-1710.0,348.0,2058.0,-441710,70.125,102.0,51.0,53.125,53.125,44.0,0,0,53.125
2008,60000.0,20000.0,40000.0,0.6667,20000,460000.0,,460000.0,90000.0,570000,590000,,-410000.0,,-1340000,-22.3333,-520000.0,-8.6667,-410000,-930000,-15.5,,-930000,-15.5,-1.08,-1.08,860000,860000,,,,,20000.0,10000.0,30000.0,10000.0,,140000.0,140000.0,,,,150000.0,,180000.0,,,,,890000.0,890000.0,1620000.0,,,,1620000.0,,,2510000.0,,70000.0,-10110000.0,-30000.0,7740000.0,-2330000.0,180000.0,,180000.0,-930000,,,,-280000,,10000.0,,-1140000.0,840000,-370000,-10000.0,,,,,-10000.0,,,,,370000.0,370000.0,,,,,-380000,38.25,63.75,29.75,38.25,38.25,25.0,0,0,38.25
2009,20000.0,,20000.0,1.0,20000,450000.0,,450000.0,60000.0,530000,530000,,-190000.0,,-880000,-44.0,-510000.0,-25.5,-180000,-690000,-34.5,,-690000,-34.5,-0.64,-0.64,1080000,1080000,20000.0,,20000.0,,20000.0,10000.0,50000.0,,,130000.0,130000.0,,,20000.0,150000.0,,200000.0,,,,,1190000.0,1190000.0,1660000.0,,,,1660000.0,,,2850000.0,,130000.0,-10800000.0,-30000.0,8050000.0,-2650000.0,200000.0,,200000.0,-690000,,,,-70000,,,,-1210000.0,490000,-270000,,,,,,,,,,,300000.0,300000.0,,20000.0,20000.0,,-270000,14.875,42.5,8.5,29.325,29.325,25.0,0,0,29.325
2010,50000.0,,50000.0,1.0,10000,480000.0,,480000.0,36695.0,526695,530000,17.0,248077.0,13614.0,-458309,-9.1662,-473781.0,-9.4756,-246219,-720000,-14.4,,-720000,-14.4,-42.5,-42.5,31991,31991,80000.0,,80000.0,10000.0,20000.0,170000.0,280000.0,,,130000.0,130000.0,,,10000.0,140000.0,,420000.0,,50000.0,,,1440000.0,1490000.0,2080000.0,,,-10000.0,2070000.0,,,3560000.0,,160000.0,-11520000.0,-30000.0,8246550.0,-3143450.0,416550.0,3450.0,420000.0,-720000,13614.0,,,-200000,,-4662.0,,-1410000.0,536891,-369495,-2500.0,,,,-2500.0,-2500.0,-20000.0,,,,444500.0,424500.0,,52505.0,77330.0,24825.0,-371995,42.5,63.75,38.25,42.5,42.5,19.0,0,0,42.5
