,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1997,2870798400,1706364000,1164434400,0.4056,0.0,0.0,676630800.0,676630800,2382994800,0.0,0.0,57920400,577753200,0.2013,487803600,0.1699,32029200,519832800,0.1811,51001200,468831600,0.1633,0.04,0.04,10551264802,10551264802,11941200,872265600,884206800,334800000,322970400,147758400,1689735600,2443816800,0.0,0.0,0.0,0.0,0.0,496508400,2940325200,0.0,4630060800,291164400.0,710334000,0.0,0.0,463140000,1464638400,871930800,0.0,162601200.0,511351200,1545883200,0.0,0.0,3010521600,0.0,0.0,0.0,-1401026400,3020565600.0,1619539200,4630060800,0.0,4630060800,468801378.72,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.896,0.4688,0.47085,0.12995,897000.0,0.00523,0.00523,0.13518000000000002
1998,3172491560,1810850160,1361641400,0.4292,0.0,0.0,910499520.0,910499520,2721349680,0.0,0.0,85298920,450658600,0.1421,451141880,0.1422,-85782200,365359680,0.1152,34554520,330805160,0.1043,0.03,0.03,10332351903,10332351903,20539400,1066357320,1086896720,306761980,374662820,201406940,1969728460,2127277740,0.0,0.0,0.0,0.0,0.0,597213260,2724491000,0.0,4694219460,256500860.0,903491960,0.0,0.0,421540980,1581533800,986374480,0.0,0.0,639500260,1625874740,0.0,0.0,3207408540,0.0,0.0,409700620.0,-1404049220,2481159520.0,1486810920,4694219460,0.0,4694219460,330890869.708,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.8276,0.3874999999999999,0.375,0.10585,147000.0,0.00884,0.014070000000000001,0.11992
1999,3248302512,1905069279,1343233233,0.4135,0.0,0.0,878591755.0,878591755,2783661034,0.0,0.0,95408259,400120333,0.1232,464641479,0.143,-159929406,304712073,0.0938,-17586046,322298120,0.0992,0.03,0.03,10377210119,10377210119,33643028,1663786420,1697429448,428575333,383336596,213792069,2723133445,1898596837,0.0,23955951.0,23955951.0,0.0,0.0,780222506,2702775294,0.0,5425908739,315777107.0,1042937460,0.0,0.0,530423654,1889138221,938671417,1.0,176644784.0,757345894,1872662096,0.0,0.0,3761800316,0.0,0.0,554514523.0,-1705060382,2814654282.0,1664108423,5425908739,0.0,5425908739,322231609.1904,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.5539,0.2771,0.2771,0.0817,127500.0,0.01396,0.02803,0.10973
2000,5249838989,2843473890,2406365099,0.4584,0.0,0.0,2079807271.0,2079807271,4923281161,373944055.0,0.0,202267939,267029636,0.0509,326555878,0.0622,-261794181,64761697,0.0123,-405374331,470136028,0.0896,0.02,0.02,54338489402,56411937446,44701228,983530366,1028231594,794985752,591064306,273099644,2687381296,3203950054,0.0,614695023.0,614695023.0,0.0,995992113.0,1136801469,5951438659,-1.0,8638819954,579144628.0,1265211475,0.0,1.0,855005316,2699361420,927484677,0.0,523161337.0,899737743,2350383757,0.0,0.0,5049745177,0.0,0.0,522170793.0,-3122273062,6189177047.0,3589074778,8638819954,0.0,8638819954,470136028.0,202267939.0,0.0,0.0,,0.0,0.0,0.0,0.0,-672403967.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.5128,0.3875,0.45415,0.1364,252000.0,0.01247,0.0405,0.1769
2001,6525470249,3366164561,3159305688,0.4841,0.0,0.0,2273325015.0,2273325015,5639489576,0.0,0.0,708008890,1544536185,0.2367,885978351,0.1358,-49451056,836527295,0.1282,51973074,784554221,0.1202,0.01,0.01,57695357288,57695357288,2412061540,126925307,2538986846,802540434,806664839,536669596,4684861715,3143579073,0.0,617562272.0,617562272.0,0.0,1160253592.0,1422359982,6343754919,0.0,11028616634,571158074.0,1719958082,0.0,-1.0,1120825583,3411941738,2849301861,1.0,31578635.0,1283491086,4164371583,0.0,0.0,7576313321,0.0,0.0,913706613.0,-3571195783,6109792483.0,3452303312,11028616634,0.0,11028616634,784554221.0,708008890.0,-146012290.0,0.0,-160385005.0,0.0,-149110238.0,0.0,0.0,295312957.0,1481478773.0,-446822132.0,-220114561.0,0.0,0.0,-362327568.0,-1029264261.0,1.0,85639457.0,-246663095.0,-313359551.0,1858794465.0,1384411277.0,1.0,1836625790.0,2412061540.0,575435750.0,1034656641.0,0.4327,0.6667,0.6617,0.2027499999999999,277500.0,0.0,0.0405,0.2432499999999999
2002,7325292889,3341696275,3983596614,0.5438,0.0,0.0,2604096902.0,2604096902,5945793176,0.0,0.0,749999363,1979697432,0.2703,1379499712,0.1883,-149801643,1229698070,0.1679,-280601531,1510299601,0.2062,0.03,0.03,57433260952,57433260952,2769498531,735401145,3504899676,768102002,859698384,460895183,5593595245,3289098089,0.0,626898582.0,626898582.0,1.0,1558299560.0,1313499768,6787796000,1.0,12381391246,789100214.0,607401254,0.0,-1.0,1437096124,2833597591,3879295818,0.0,25699093.0,1434002321,5338997232,0.0,0.0,8172594823,0.0,0.0,,1263899811,,4129596490,12302191313,79199933.0,12381391246,1510299601.0,749999363.0,-403999657.0,0.0,145904301.0,0.0,37801738.0,0.0,0.0,740894945.0,2743098553.0,-522300441.0,0.0,0.0,0.0,-22799981.0,-545100422.0,0.0,29001745.0,-337100598.0,-335599715.0,-2268500727.0,-2912199295.0,1007199144.0,293001521.0,2769498531.0,2476497010.0,2220798112.0,0.2825,0.49335,0.44165,0.13535,70500.0,0.0,0.0405,0.17585
2003,8683800000,4044200000,4639600000,0.5343,0.0,1913600000.0,420000000.0,2333600000,6377800000,0.0,0.0,1018700000,2856400000,0.3289,2457500000,0.283,-593300000,1864200000,0.2147,426100000,1411600000,0.1626,0.03,0.03,45912421434,46283329307,1196100000,1493900000,2690000000,1497100000,954600000,358800000,5500500000,4166300000,1687300000.0,0.0,1687300000.0,25400000.0,1831800000.0,1618800000,9329600000,0.0,14830100000,,1976100000,1301500000.0,,2743900000,4720000000,4004300000,0.0,235200000.0,1366000000,5605500000,0.0,0.0,10325500000,0.0,3124100000.0,0.0,1522600000,-338500000.0,4308200000,14633700000,196400000.0,14830100000,1411600000.0,1018700000.0,-198300000.0,0.0,-339300000.0,-12800000.0,-48600000.0,0.0,-411200000.0,634900000.0,2527600000.0,-862200000.0,-1745300000.0,0.0,0.0,592800000.0,-2014700000.0,-2510100000.0,0.0,-308500000.0,-1026900000.0,3498800000.0,-346700000.0,-101700000.0,64500000.0,1196100000.0,1131600000.0,1665400000.0,0.3458,0.5700000000000001,0.5798000000000001,0.18075,36000.0,0.0222699999999999,0.06276999999999991,0.2435199999999999
2004,12006800000,4780500000,7226300000,0.6019,0.0,3069600000.0,1183200000.0,4252800000,9033300000,11600000.0,646500000.0,1725800000,4045600000,0.3369,2163300000,0.1802,-333900000,1829400000,0.1524,511800000,1161500000,0.0967,0.01,0.01,82033077817,82033077817,1290900000,214500000,1505400000,2153500000,1380900000,339800000,5379600000,5531700000,18170400000.0,0.0,18170400000.0,147400000.0,2216600000.0,1570800000,27636900000,0.0,33016500000,352500000.0,3443100000,1633900000.0,12700000.0,4963400000,8771700000,4367600000,90300000.0,414200000.0,2178500000,7050600000,0.0,0.0,15822300000,0.0,4742800000.0,0.0,12583000000,-329900000.0,16995900000,32818200000,198300000.0,33016500000,1161500000.0,1725800000.0,-228800000.0,0.0,-270400000.0,-141400000.0,-199100000.0,0.0,224600000.0,1030500000.0,3418600000.0,-1273700000.0,263400000.0,0.0,1349900000.0,-228800000.0,110800000.0,-7466500000.0,0.0,-1609600000.0,-602900000.0,6245100000.0,-3433900000.0,-700000.0,94800000.0,1290900000.0,1196100000.0,2144900000.0,0.3765,1.246,1.2748499999999998,0.4072,1204500.0,0.0081999999999999,0.07096999999999981,0.4781699999999998
2005,15948637832,5738714263,10209923569,0.6402,0.0,0.0,7400575681.0,7400575681,13139289944,95540786.0,0.0,2603973843,4993282715,0.3131,2809345553,0.1761,-234155132,2575190421,0.1615,844572888,1544735984,0.0969,0.02,0.02,81774444863,81774444863,836776356,258838311,1095614668,1670057233,1177365003,985183651,4928220554,5401226483,16716658073.0,1.0,16716658073.0,0.0,2040725220.0,4385059850,28543669627,0.0,33471890181,1064734425.0,1208644529,0.0,0.0,2775766062,5049145016,5990458875,-1.0,0.0,2454866052,8445324926,0.0,0.0,13494469943,0.0,0.0,,14560203743,,19854896308,33349366251,122523930.0,33471890181,1544735984.0,2603973843.0,87945063.0,0.0,-473101664.0,0.0,93142751.0,0.0,-12791075.0,383456728.0,4147009955.0,-1368645049.0,1.0,-52366821.0,0.0,-197276300.0,-1618288169.0,0.0,0.0,-362873791.0,-2270581636.0,-338587560.0,-2972042987.0,-9993757.0,-453317294.0,836776356.0,1290093650.0,2778364906.0,0.4277,1.3763999999999998,1.3170000000000002,0.4507,27817500.0,0.15813,0.2290999999999998,0.6797999999999997
2006,17571136793,5934325265,11636811528,0.6623,0.0,4637900000.0,2654533480.0,7292433480,13226758745,0.0,0.0,2465428033,6577067163,0.3743,4325622710,0.2462,-28731173,4296891538,0.2445,1312120853,2799518278,0.1593,0.04,0.04,79738636267,79738636267,1535180353,225554525,1760734878,2577356560,1360603240,1102231673,6800926350,5710067300,17942735580.0,0.0,17942735580.0,0.0,3558080515.0,1547154340,28758037735,0.0,35558964085,1384047945.0,2099514490,1605300000.0,0.0,3344297390,6827859825,7443968930,149900000.0,405700000.0,1287835360,9287404290,0.0,0.0,16115264115,0.0,0.0,1618179385.0,-10510141405,28113500273.0,19221538253,35336802368,222161718.0,35558964085,2799518278.0,2465428033.0,0.0,0.0,-469064700.0,-166200000.0,-142455265.0,286800000.0,-489914153.0,1174954188.0,5970835798.0,-1422253815.0,-2639200000.0,-2632822885.0,180164263.0,2737960340.0,-3776152098.0,-7386300000.0,3392808.0,-1760835105.0,-1786472020.0,9465263588.0,-1464950730.0,-29727050.0,700003788.0,1535280580.0,835276793.0,4548581983.0,0.4681,1.4916,1.5346000000000002,0.56995,18453750.0,0.69276,0.9218599999999999,1.4918099999999999
