,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1986,42000000,16100000,25900000,0.6167,0.0,20500000,3200000.0,23700000,39800000,0.0,1000000.0,3200000.0,3600000,0.0857,2200000,0.0524,-2800000.0,-600000.0,-0.0143,-700000.0,100000,0.0024,0.01,0.01,5761500,5761500,500000,0.0,500000,8600000,4800000,700000,14600000,4400000,0.0,3200000.0,3200000.0,0.0,0.0,13500000.0,21100000,0.0,35700000,,3600000.0,0.0,,4800000.0,8400000,9400000.0,0.0,200000.0,4300000.0,13900000.0,0.0,0.0,22300000,0.0,0.0,8000000,-4200000,9600000.0,13400000,35700000,0.0,35700000,100000.0,3200000.0,0.0,0.0,,0.0,0.0,0.0,12600000.0,-3300000.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,3.875,3.06,130425.0,0.0,0.0,3.06
1987,45800000,11500000,34300000,0.7489,0.0,27600000,3000000.0,30600000,42100000,0.0,0.0,3000000.0,4900000,0.107,3700000,0.0808,-1800000.0,1900000.0,0.0415,600000.0,1300000,0.0284,0.23,0.23,5735294,5735294,3800000,0.0,3800000,11200000,4900000,1400000,21300000,4600000,0.0,2900000.0,2900000.0,0.0,0.0,13100000.0,20600000,0.0,41900000,,1700000.0,0.0,,7000000.0,8700000,13000000.0,0.0,1600000.0,4100000.0,18700000.0,0.0,0.0,27400000,0.0,0.0,8600000,-4900000,10800000.0,14500000,41900000,0.0,41900000,1300720.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,3.375,4.46,3.52,159975.0,0.13334,0.13334,3.65334
1988,46000000,14500000,31500000,0.6848,0.0,29600000,3900000.0,33500000,48000000,0.0,1400000.0,3900000.0,100000,0.0022,-2000000,-0.0435,-3200000.0,-5200000.0,-0.113,-1600000.0,-3600000,-0.0783,-0.6,-0.6,6000000,6000000,4300000,0.0,4300000,9100000,3700000,900000,18000000,4000000,0.0,2800000.0,2800000.0,0.0,0.0,12000000.0,18800000,0.0,36800000,,2600000.0,0.0,,7000000.0,9600000,11100000.0,0.0,0.0,5200000.0,16300000.0,0.0,0.0,25900000,0.0,0.0,4400000,-6300000,12800000.0,10900000,36800000,0.0,36800000,-3600000.0,3900000.0,0.0,0.0,-4200000.0,0.0,0.0,0.0,8400000.0,3900000.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,1.54,1.79,1.455,115800.0,0.0,0.13334,1.58834
1990,51300000,13300000,38000000,0.7407,0.0,33100000,4000000.0,37100000,50400000,0.0,1200000.0,4000000.0,4800000,0.0936,900000,0.0175,-800000.0,100000.0,0.0019,100000.0,-500000,-0.0097,-0.07,-0.07,6818182,6818182,8200000,0.0,8200000,7600000,2300000,900000,19000000,2900000,0.0,2200000.0,2200000.0,0.0,0.0,6800000.0,11900000,0.0,30900000,1900000.0,800000.0,0.0,0.0,3800000.0,6500000,8600000.0,0.0,0.0,6900000.0,15500000.0,0.0,0.0,22000000,0.0,0.0,2500000,-5800000,12200000.0,8900000,30900000,0.0,30900000,-500000.0,4000000.0,0.0,0.0,1700000.0,0.0,900000.0,0.0,12500000.0,-500000.0,4700000.0,-700000.0,0.0,-300000.0,0.0,-900000.0,-1900000.0,0.0,300000.0,-500000.0,0.0,-2200000.0,-2400000.0,-2800000.0,-2400000.0,5300000.0,7700000.0,4000000.0,1.79,1.79,1.455,100275.0,0.0,0.13334,1.58834
1991,51600000,15600000,36000000,0.6977,0.0,35300000,3900000.0,39200000,54800000,0.0,1100000.0,3900000.0,7100000,0.1376,-3200000,-0.062,5300000.0,2100000.0,0.0407,1000000.0,1100000,0.0213,0.17,0.17,6600000,6600000,10500000,0.0,10500000,11700000,5000000,800000,28000000,2700000,0.0,1200000.0,1200000.0,0.0,0.0,3500000.0,7400000,0.0,35400000,2900000.0,2000000.0,0.0,0.0,6100000.0,11000000,8100000.0,0.0,0.0,6100000.0,14200000.0,0.0,0.0,25200000,0.0,0.0,3600000,-7100000,13700000.0,10200000,35400000,0.0,35400000,1100000.0,3900000.0,0.0,0.0,4500000.0,0.0,-1000000.0,0.0,17000000.0,-9500000.0,-3100000.0,-900000.0,0.0,-200000.0,0.0,4200000.0,3100000.0,0.0,200000.0,-100000.0,0.0,-800000.0,-700000.0,0.0,-700000.0,7400000.0,8100000.0,-900000.0,1.58,1.58,1.29,53475.0,0.0,0.13334,1.42334
1992,69200000,25300000,43900000,0.6344,0.0,38200000,3200000.0,41400000,66700000,0.0,1100000.0,3200000.0,6600000,0.0954,2500000,0.0361,-200000.0,2300000.0,0.0332,600000.0,1700000,0.0246,0.26,0.25,6538462,6710526,8800000,0.0,8800000,12500000,5200000,900000,27400000,2600000,0.0,3000000.0,3000000.0,0.0,0.0,600000.0,6200000,0.0,33600000,2600000.0,1300000.0,0.0,0.0,5500000.0,9400000,7300000.0,0.0,0.0,6500000.0,13800000.0,0.0,0.0,23200000,0.0,0.0,3500000,-7100000,14000000.0,10400000,33600000,0.0,33600000,1700000.0,3200000.0,0.0,0.0,1000000.0,0.0,700000.0,0.0,18000000.0,-3200000.0,2700000.0,-800000.0,0.0,0.0,0.0,-2200000.0,-3000000.0,0.0,300000.0,-100000.0,0.0,-1700000.0,-1500000.0,100000.0,-1500000.0,9000000.0,10500000.0,1900000.0,2.875,2.83,2.3,170625.0,0.0,0.13334,2.43334
1993,45700000,23500000,22200000,0.4858,0.0,18200000,2200000.0,20400000,43900000,0.0,500000.0,2200000.0,4100000,0.0897,1800000,0.0394,-1400000.0,400000.0,0.0088,300000.0,1100000,0.0241,0.14,0.14,7857143,7857143,10300000,0.0,10300000,7300000,4200000,3700000,25500000,1600000,0.0,1200000.0,1200000.0,0.0,0.0,0.0,2800000,0.0,28300000,1500000.0,1100000.0,0.0,0.0,4800000.0,7400000,5800000.0,0.0,0.0,2800000.0,8600000.0,0.0,0.0,16000000,0.0,0.0,4500000,-5900000,13700000.0,12300000,28300000,0.0,28300000,1100000.0,2200000.0,0.0,0.0,100000.0,0.0,600000.0,0.0,18100000.0,400000.0,3800000.0,-1300000.0,0.0,0.0,0.0,-700000.0,-2000000.0,0.0,400000.0,0.0,0.0,-1100000.0,-700000.0,400000.0,-700000.0,8100000.0,8800000.0,2500000.0,1.83,1.9,1.5750000000000002,121875.0,0.07,0.20334,1.7783400000000003
1994,43000000,22000000,21000000,0.4884,0.0,17800000,1600000.0,19400000,41400000,0.0,700000.0,1600000.0,8500000,0.1977,1600000,0.0372,-300000.0,1300000.0,0.0302,300000.0,5900000,0.1372,0.8,0.79,7375000,7500000,7500000,0.0,7500000,6900000,4700000,1100000,20200000,1600000,0.0,1000000.0,1000000.0,0.0,0.0,1600000.0,4200000,0.0,24400000,1400000.0,0.0,0.0,0.0,4100000.0,5500000,2300000.0,0.0,0.0,0.0,2300000.0,0.0,0.0,7800000,0.0,0.0,9400000,-5900000,13100000.0,16600000,24400000,0.0,24400000,5900000.0,1600000.0,0.0,0.0,-3400000.0,0.0,-500000.0,0.0,14700000.0,-2000000.0,2100000.0,-1000000.0,0.0,-1300000.0,0.0,3500000.0,1200000.0,0.0,600000.0,-1300000.0,-1000000.0,-5000000.0,-6700000.0,100000.0,-6700000.0,4200000.0,10900000.0,1100000.0,2.17,2.125,1.845,183750.0,0.14667,0.35001,2.19501
1995,39800000,22000000,17800000,0.4472,3600000.0,11900000,1000000.0,16500000,38500000,0.0,200000.0,1000000.0,2500000,0.0628,1300000,0.0327,0.0,1300000.0,0.0327,500000.0,800000,0.0201,0.13,0.13,6315789,6315789,5900000,0.0,5900000,7500000,4500000,2300000,20200000,1800000,0.0,800000.0,800000.0,0.0,0.0,500000.0,3100000,0.0,23300000,1300000.0,0.0,0.0,0.0,4000000.0,5300000,2100000.0,0.0,0.0,0.0,2100000.0,0.0,0.0,7400000,0.0,0.0,9700000,-6000000,12200000.0,15900000,23300000,0.0,23300000,800000.0,1000000.0,0.0,0.0,200000.0,0.0,200000.0,0.0,14900000.0,-600000.0,1400000.0,-900000.0,0.0,0.0,0.0,-100000.0,-1000000.0,0.0,0.0,-1200000.0,-500000.0,-400000.0,-2100000.0,-400000.0,-2100000.0,5400000.0,7500000.0,500000.0,1.77,1.75,1.57,156000.0,0.06667,0.41668,1.98668
1996,35400000,21100000,14300000,0.404,3700000.0,11000000,1000000.0,15700000,36800000,0.0,200000.0,1000000.0,-200000,-0.0056,-1400000,-0.0395,0.0,-1400000.0,-0.0395,-400000.0,-1000000,-0.0282,-0.16,-0.16,6250000,6250000,5200000,0.0,5200000,6300000,5000000,2000000,18500000,1700000,0.0,600000.0,600000.0,0.0,0.0,300000.0,2600000,0.0,21100000,1300000.0,0.0,0.0,0.0,3800000.0,5100000,1800000.0,0.0,0.0,-100000.0,1700000.0,0.0,0.0,6800000,0.0,0.0,8200000,-6100000,12200000.0,14300000,21100000,0.0,21100000,-1000000.0,1000000.0,0.0,0.0,-1500000.0,0.0,-500000.0,0.0,13400000.0,1300000.0,-200000.0,-700000.0,0.0,0.0,1000000.0,100000.0,400000.0,0.0,0.0,0.0,-400000.0,-400000.0,-800000.0,-100000.0,-700000.0,5200000.0,5900000.0,-900000.0,1.875,2.19,2.045,282300.0,0.0,0.41668,2.46168
