,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1992,959900000,868200000.0,91700000.0,0.0955,0.0,0.0,34500000,34500000,902700000,0.0,0.0,-34500000,-18200000,-0.019,37800000.0,0.0393791019897906,-21500000,35700000,0.0372,16900000,-600000,-0.0006,-0.03,-0.03,20000000,20000000,5600000,0.0,5600000,89100000,21400000.0,8400000,124500000,181700000,0.0,108100000.0,108100000.0,0.0,0.0,14000000,303800000,0.0,428300000,32700000,35100000,0.0,0.0,83200000,151000000,107100000,0.0,26300000,1700000,135100000,0.0,0.0,286100000,0.0,0.0,-5100000,-139600000,286900000.0,142200000,428300000,0.0,428300000,-600000,-34500000,1200000,0.0,4900000,-12200000.0,-3400000.0,15800000.0,-26500000,88400000,59400000,-21100000,0.0,0.0,0.0,10400000,-10700000,-224100000,140900000.0,-55800000.0,-900000.0,89300000,-50600000,-48700000.0,-50600000,-43100000.0,7500000,38300000,12.38,12.25,8.945,3196300.0,0.02,0.02,8.965
1993,1009900000,930300000.0,79600000.0,0.0788,0.0,0.0,28300000,28300000,958600000,0.0,0.0,-28300000,11300000,0.0112,50600000.0,0.050103970690167345,-11000000,40300000,0.0399,19300000,20300000,0.0201,0.84,0.84,24166667,24166667,7000000,0.0,7000000,104600000,29100000.0,9900000,150600000,178200000,0.0,106100000.0,106100000.0,0.0,0.0,12800000,297100000,0.0,447700000,36100000,22900000,0.0,0.0,81200000,140200000,43700000,0.0,26200000,3900000,73800000,0.0,0.0,214000000,0.0,0.0,10500000,-147800000,371000000.0,233700000,447700000,0.0,447700000,20300000,-28300000,-2100000,0.0,36900000,-14200000.0,-6000000.0,-200000.0,10400000,8800000,35600000,-13700000,0.0,0.0,0.0,8300000,-5400000,-131200000,71900000.0,0.0,-4600000.0,35000000,-28900000,-30200000.0,-28900000,-23300000.0,5600000,21900000,12.0,11.875,8.705,3371900.0,0.04,0.06,8.765
1994,1098421000,1018200000.0,80221000.0,0.073,0.0,0.0,1050306000,1050306000,2068506000,0.0,0.0,32115000,68754000,0.0626,48115000.0,0.0438,-11476000,36639000,0.0334,17932000,18707000,0.017,0.74,0.74,19351796,24347826,3458000,0.0,3458000,136144000,32463000.0,13734000,185799000,215581000,151960000.0,0.0,151960000.0,0.0,0.0,15705000,383246000,0.0,569045000,49368000,71150000,0.0,0.0,102881000,223399000,59295000,0.0,28842000,5915000,94052000,0.0,0.0,317451000,0.0,195000.0,24130000,-166436000,393705000.0,251594000,569045000,0.0,569045000,18707000,32115000,3189000,0.0,-48000000,-15300000.0,-6400000.0,14400000.0,-37600000,42742000,48753000,-47298000,0.0,0.0,0.0,-41715000,-89013000,-57616000,37000.0,0.0,-5069000.0,99404000,36756000,0.0,-3504000,3458000.0,6962000,1455000,12.94,12.785,9.395,1899900.0,0.04,0.1,9.495
1995,1437279000,527900000.0,909379000.0,0.6327,0.0,81300000.0,1379438000,1460738000,1988638000,0.0,0.0,52806000,5819000,0.004,-23459000.0,-0.0163,-23528000,-46987000,-0.0327,-14195000,-32792000,-0.0228,-1.9,-1.9,19520756,24285714,16945000,0.0,16945000,205196000,36850000.0,63496000,322487000,407283000,145478000.0,0.0,145478000.0,0.0,0.0,110589000,663350000,0.0,985837000,74998000,26634000,0.0,0.0,201707000,303339000,399144000,0.0,48560000,18665000,466369000,0.0,0.0,769708000,0.0,195000.0,-14782000,-190906000,421622000.0,216129000,985837000,0.0,985837000,-32792000,52806000,-8995000,0.0,56748000,-23800000.0,3500000.0,-47500000.0,19148000,-133991000,-66224000,-49690000,0.0,0.0,0.0,-65818000,-115508000,-62119000,171000.0,0.0,-5079000.0,262246000,195219000,0.0,13487000,16945000.0,3458000,-115914000,11.13,10.38,7.645,1826750.0,0.04,0.14,7.784999999999999
1996,1659184000,649000000.0,1010184000.0,0.6088,0.0,103200000.0,1578312000,1681512000,2330512000,0.0,0.0,64738000,8000000,0.0048,-22328000.0,-0.0135,-34410000,-56738000,-0.0342,-20135000,-36603000,-0.0221,-2.1,-2.1,19510589,19510589,1806000,0.0,1806000,186065000,33831000.0,37403000,259105000,367633000,150154000.0,0.0,150154000.0,0.0,0.0,66308000,584095000,0.0,843200000,79140000,39082000,0.0,0.0,182657000,300879000,326950000,0.0,22505000,21416000,370871000,0.0,0.0,671750000,0.0,195000.0,-55108000,-222308000,448671000.0,171450000,843200000,0.0,843200000,-36603000,64738000,-3735000,0.0,-60922000,13500000.0,3200000.0,-24500000.0,-41774000,66718000,30196000,-27747000,0.0,0.0,0.0,65313000,37566000,-347041000,0.0,0.0,-4493000.0,268633000,-82901000,0.0,-15139000,1806000.0,16945000,2449000,6.44,6.315,4.665,2098100.0,0.01,0.15000000000000002,4.815
1997,1643678000,593228000.0,1050450000.0,0.6391,0.0,101400000.0,1488370000,1589770000,2182998000,0.0,0.0,53084000,87820000,0.0534,62908000.0,0.0383,-22550000,40358000,0.0246,19389000,15347000,0.0093,0.56,0.56,19730357,19730357,7203000,0.0,7203000,175693000,30685000.0,23315000,236896000,285355000,130747000.0,0.0,130747000.0,0.0,0.0,45341000,461443000,0.0,698339000,77403000,30285000,0.0,0.0,160016000,267704000,202604000,0.0,24448000,21921000,248973000,0.0,0.0,516677000,0.0,196000.0,-44059000,-225733000,451258000.0,181662000,698339000,0.0,698339000,15347000,53084000,16310000,0.0,10966000,-7600000.0,0.0,10900000.0,-30808000,-19508000,76199000,-11645000,39031000.0,0.0,0.0,37340000,64726000,-605235000,0.0,0.0,-4298000.0,473384000,-136149000,0.0,4776000,7203000.0,2427000,64554000,7.564999999999999,9.255,6.845000000000001,3294200.0,0.0,0.15000000000000002,6.995000000000001
1998,1651453000,607100000.0,1044353000.0,0.6324,0.0,94800000.0,1499343000,1594143000,2201243000,0.0,0.0,47609000,98189000,0.0595,66410000.0,0.0402,-15830000,50580000,0.0306,21905000,28675000,0.0174,1.24,1.21,19658871,20146281,4543000,0.0,4543000,172476000,33150000.0,19531000,229700000,320102000,124975000.0,0.0,124975000.0,0.0,0.0,35827000,480904000,0.0,710604000,72583000,36020000,0.0,0.0,155592000,264195000,196079000,0.0,22197000,20706000,238982000,0.0,0.0,503177000,0.0,196000.0,-19413000,-256510000,483154000.0,207427000,710604000,0.0,710604000,28675000,47609000,1962000,0.0,-3687000,-2900000.0,-1800000.0,-10500000.0,-34495000,-2287000,72272000,-60866000,0.0,0.0,0.0,15283000,-45583000,-587100000,0.0,0.0,-4298000.0,562049000,-29349000,0.0,-2660000,4543000.0,7203000,11406000,9.345,8.595,6.36,2248150.0,0.0,0.15000000000000002,6.510000000000001
1999,1721586000,592200000.0,1129386000.0,0.656,0.0,86600000.0,1525279000,1611879000,2204079000,0.0,0.0,49761000,136612000,0.0794,109707000.0,0.0637,-22070000,87637000,0.0509,36455000,50396000,0.0293,2.34,2.11,19700000,21847393,4319000,0.0,4319000,187837000,33050000.0,17893000,243099000,337094000,109385000.0,0.0,109385000.0,0.0,0.0,42351000,488830000,0.0,731929000,76597000,20452000,0.0,0.0,185090000,282139000,173702000,0.0,25191000,29845000,228738000,0.0,0.0,510877000,0.0,197000.0,26685000,-286699000,480869000.0,221052000,731929000,0.0,731929000,50396000,49761000,3128000,0.0,-4545000,-24300000.0,5500000.0,32000000.0,-39040000,15660000,114400000,-52590000,2505000.0,0.0,0.0,-11708000,-61793000,-474416000,0.0,0.0,-4298000.0,425883000,-52831000,0.0,-224000,4319000.0,4543000,61810000,9.66,10.41,8.379999999999999,2697250.0,0.719,0.869,9.248999999999999
2000,1839567000,764765000.0,1074802000.0,0.5843,0.0,225065000.0,1621844000,1846909000,2611674000,0.0,0.0,56454000,185577000,0.1009,140152000.0,0.0762,-11029000,129123000,0.0702,52968000,76155000,0.0414,3.62,3.17,19898619,22723344,36742000,0.0,36742000,173485000,2928000.0,21298000,234453000,346019000,105418000.0,0.0,105418000.0,0.0,0.0,111234000,562671000,0.0,797124000,59999000,23948000,0.0,0.0,197419000,281366000,152997000,0.0,39519000,31052000,223568000,0.0,0.0,504934000,0.0,202000.0,98718000,-296679000,489949000.0,292190000,797124000,0.0,797124000,76155000,56454000,10117000,0.0,-7873000,-12568000.0,-1102000.0,10996000.0,-46913000,-7115000,127738000,-97245000,3660000.0,0.0,0.0,6285000,-87300000,-117659000,0.0,-3924000.0,-4122000.0,117690000,-8015000,0.0,32423000,36742000.0,4319000,30493000,12.625,13.565,10.925,2469850.0,0.0,0.869,11.794
2001,1526206000,564988000.0,961218000.0,0.6298,0.0,134982000.0,1422834000,1557816000,2122804000,0.0,0.0,54548000,121267000,0.0795,75934000.0,0.0498,-9215000,66719000,0.0437,25315000,41404000,0.0271,1.79,1.66,21741341,23443976,14860000,0.0,14860000,116430000,0.0,35670000,166960000,334177000,101324000.0,0.0,101324000.0,0.0,0.0,120692000,556193000,0.0,723153000,50366000,14834000,0.0,0.0,127938000,193138000,115003000,0.0,31736000,45480000,192219000,0.0,0.0,385357000,0.0,245000.0,137635000,-306928000,506844000.0,337796000,723153000,0.0,723153000,41404000,54548000,-52000,0.0,20735000,35236000.0,0.0,-51263000.0,-26178000,-51788000,64847000,-74670000,40455000.0,0.0,0.0,7315000,-26900000,-116034000,0.0,-828000.0,-2487000.0,59520000,-59829000,0.0,-21882000,14860000.0,36742000,-9823000,21.045,22.275,17.939999999999998,4031750.0,0.0,0.869,18.808999999999997
