,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
2004,202569,0.0,202569,1.0,21358802.0,5178539,0.0,26537341,26537341,489013.0,928878.0,1701270.0,-24144489,-119.1914,-26334772,-130.004,-439865.0,-26774637.0,-132.1754,99000.0,-26873637,-132.6641,-3.12,-3.12,8657206,8657206,953295.0,17151544.0,18104839.0,,,442349.0,18547188.0,3941127.0,0.0,0.0,0.0,0.0,0.0,380268.0,4321395.0,0.0,22868583.0,1733474.0,105420.0,0.0,75000.0,1559880.0,3473774.0,10280591.0,0.0,0.0,710920.0,10991511.0,0.0,0.0,14465285.0,12015000.0,117070946.0,-119984625.0,-698023.0,0.0,8403298.0,22868583.0,0.0,22868583.0,-26873637,1701270.0,0.0,0.0,-26533839.0,0.0,0.0,0.0,15073414.0,28438052,-23268154.0,-2672635.0,0.0,-21557673.0,28315848.0,0.0,4085540.0,0.0,419311.0,0.0,0.0,-328100.0,91211.0,0.0,-19091403.0,953295.0,20044698.0,-25940789.0,24.5,21.24,21.24,677287.5,0,0,21.24
2006,9551218,1600744.0,7950474,0.8324,26891139.0,22666797,0.0,49557936,51158680,2030674.0,0.0,1380466.0,-38196322,-3.9991,-41607462,-4.3562,2030674.0,-39576788.0,-4.1436,82500.0,-39659288,-4.1523,-3.88,-3.88,10379415,10379415,14574110.0,16984503.0,31558613.0,9081799.0,4483157.0,2756174.0,47879743.0,2541463.0,0.0,0.0,0.0,0.0,0.0,2195978.0,4737441.0,0.0,52617184.0,4886222.0,0.0,0.0,4599947.0,12852664.0,22338833.0,0.0,0.0,0.0,57566811.0,57566811.0,0.0,0.0,79905644.0,12015000.0,0.0,-184111185.0,-12809.0,163042789.0,-27288460.0,52617184.0,0.0,52617184.0,-39659288,1380466.0,0.0,0.0,-29389914.0,0.0,-3581809.0,0.0,25540910.0,39968524,-27700212.0,-774224.0,-20072113.0,0.0,52610549.0,0.0,31764212.0,0.0,2944554.0,0.0,0.0,0.0,2944554.0,0.0,7008554.0,14574110.0,7565556.0,-28474436.0,23.2,21.12,21.12,1458775.0,0,0,21.12
2007,65582000,2597000.0,62985000,0.9604,23337000.0,26694000,-34584000.0,15447000,18044000,2273000.0,0.0,865000.0,50676000,0.7727,47538000,0.7249,2273000.0,49811000.0,0.7595,592000.0,49219000,0.7505,4.24,4.2,11487781,11588301,14374000.0,39091000.0,53465000.0,3623000.0,3263000.0,2418000.0,62769000.0,1621000.0,0.0,0.0,0.0,0.0,0.0,16255000.0,17876000.0,0.0,80645000.0,1134000.0,0.0,0.0,1453000.0,11747000.0,14334000.0,0.0,0.0,0.0,20791000.0,20791000.0,0.0,0.0,35125000.0,12015000.0,0.0,-134892000.0,110000.0,187582000.0,45520000.0,80645000.0,0.0,80645000.0,49219000,865000.0,0.0,0.0,22894090.0,0.0,1220000.0,0.0,48435000.0,-58317090,14661000.0,-156000.0,0.0,-67476000.0,31646000.0,0.0,-35986000.0,0.0,0.0,0.0,0.0,21125000.0,21125000.0,0.0,-200000.0,14374000.0,14574000.0,14505000.0,13.76,13.4,13.4,2080887.5,0,0,13.4
2008,34842000,5772000.0,29070000,0.8343,27268000.0,26397000,-7500000.0,46165000,51937000,2349000.0,555000.0,1148000.0,-13598000,-0.3903,-17095000,-0.4906,1794000.0,-15301000.0,-0.4392,1000.0,-15302000,-0.4392,-1.28,-1.28,12194691,12194691,22127000.0,59932000.0,82059000.0,3675000.0,2849000.0,5404000.0,93987000.0,900000.0,0.0,0.0,0.0,0.0,0.0,197000.0,1097000.0,0.0,95084000.0,559000.0,3356000.0,0.0,4362000.0,14101000.0,22378000.0,5775000.0,0.0,0.0,33778000.0,39553000.0,0.0,0.0,61931000.0,0.0,0.0,150194000.0,151000.0,-117192000.0,33153000.0,95084000.0,0.0,95084000.0,-15302000,1148000.0,0.0,0.0,23174000.0,0.0,415000.0,0.0,71609000.0,-5669000,3351000.0,-257000.0,0.0,-101607000.0,96741000.0,0.0,-5123000.0,0.0,441000.0,0.0,0.0,9084000.0,9525000.0,0.0,7753000.0,22127000.0,14374000.0,3094000.0,13.7,13.6,13.6,1662200.0,0,0,13.6
2009,57728000,5257000.0,52471000,0.9089,34298000.0,40245000,0.0,74543000,79800000,1050000.0,1001000.0,808000.0,-20214000,-0.3502,-22072000,-0.3823,49000.0,-22023000.0,-0.3815,-15000.0,-22008000,-0.3812,-1.72,-1.72,12879978,12879978,26821000.0,42922000.0,69743000.0,4933000.0,2565000.0,1185000.0,78426000.0,942000.0,0.0,0.0,0.0,12016000.0,0.0,197000.0,13155000.0,0.0,91581000.0,709000.0,3747000.0,0.0,12819000.0,14927000.0,32202000.0,2170000.0,41306000.0,0.0,177000.0,43653000.0,0.0,0.0,75855000.0,0.0,0.0,-172202000.0,33000.0,195960000.0,15726000.0,91581000.0,0.0,91581000.0,-22008000,808000.0,0.0,2656000.0,-25385000.0,-1259000.0,283000.0,0.0,46224000.0,45767000,1838000.0,-629000.0,0.0,-144567000.0,149322000.0,0.0,4126000.0,-3312000.0,2042000.0,0.0,0.0,0.0,-1270000.0,0.0,4694000.0,26821000.0,22127000.0,1209000.0,10.84,12.46,12.46,1383925.0,0,0,12.46
2010,80764000,8097000.0,72667000,0.8997,20111000.0,48931000,0.0,69042000,77139000,839000.0,572000.0,439000.0,4903000,0.0607,3625000,0.0449,267000.0,3892000.0,0.0482,-4000.0,3896000,0.0482,0.28,0.28,13133314,13340196,22526000.0,47825000.0,70351000.0,6347000.0,1571000.0,1330000.0,79599000.0,698000.0,0.0,0.0,0.0,6537000.0,0.0,197000.0,7432000.0,0.0,87031000.0,0.0,2170000.0,0.0,11706000.0,19108000.0,32984000.0,0.0,30926000.0,0.0,15000.0,30941000.0,0.0,0.0,63925000.0,0.0,0.0,-168306000.0,69000.0,199540000.0,23106000.0,87031000.0,0.0,87031000.0,3896000,439000.0,0.0,2031000.0,391000.0,-1414000.0,995000.0,0.0,46615000.0,-9138000,-2381000.0,-179000.0,0.0,-71325000.0,72016000.0,0.0,512000.0,-3844000.0,1417000.0,0.0,0.0,0.0,-2427000.0,0.0,-4296000.0,22525000.0,26821000.0,-2560000.0,13.78,14.28,14.28,1713437.5,0,0,14.28
2011,132973000,5544000.0,127429000,0.9583,15187000.0,81544000,0.0,96731000,102275000,557000.0,133000.0,420000.0,71675000,0.539,70698000,0.5317,424000.0,71122000.0,0.5349,396000.0,70726000,0.5319,5.2,5.04,13640705,14022449,24043000.0,62106000.0,86149000.0,12555000.0,5395000.0,5390000.0,109489000.0,1070000.0,0.0,0.0,0.0,53644000.0,0.0,169000.0,54883000.0,0.0,164372000.0,2417000.0,0.0,0.0,12992000.0,24431000.0,39840000.0,0.0,17932000.0,0.0,682000.0,18614000.0,0.0,0.0,58454000.0,0.0,0.0,-97580000.0,-13000.0,211848000.0,105918000.0,164372000.0,0.0,164372000.0,70726000,420000.0,0.0,3869000.0,23034000.0,1673000.0,-3825000.0,0.0,69649000.0,-40398000,57651000.0,-698000.0,0.0,-195162000.0,133672000.0,0.0,-62188000.0,-2244000.0,8298000.0,0.0,0.0,0.0,6054000.0,0.0,1517000.0,24043000.0,22526000.0,56953000.0,31.84,31.48,31.48,4391250.0,0,0,31.48
2012,90816000,6039000.0,84777000,0.9335,15462000.0,97646000,2022000.0,115130000,121169000,520000.0,39000.0,2561000.0,-27272000,-0.3003,-30353000,-0.3342,481000.0,-29872000.0,-0.3289,-91000.0,-29781000,-0.3279,-2.12,-2.12,13973140,13973140,29076000.0,37737000.0,66813000.0,13692000.0,9587000.0,5175000.0,95267000.0,8237000.0,0.0,25078000.0,25078000.0,11079000.0,0.0,1992000.0,46386000.0,0.0,141653000.0,2360000.0,0.0,0.0,3273000.0,31048000.0,36681000.0,0.0,15516000.0,0.0,5520000.0,21036000.0,0.0,0.0,57717000.0,0.0,211266000.0,-127361000.0,31000.0,0.0,83936000.0,141653000.0,0.0,141653000.0,-29781000,2561000.0,0.0,5070000.0,-11063000.0,807000.0,-2346000.0,0.0,58586000.0,2228000,-30985000.0,-6880000.0,-26435000.0,-38462000.0,105109000.0,0.0,33332000.0,0.0,2686000.0,0.0,0.0,0.0,2686000.0,0.0,5033000.0,29076000.0,24043000.0,-37865000.0,23.2,23.82,23.82,1738112.5,0,0,23.82
2013,134205000,7091000.0,127114000,0.9472,8073000.0,105176000,4548000.0,117797000,124888000,662000.0,5399000.0,6161000.0,16140000,0.1203,9317000,0.0694,-4737000.0,4580000.0,0.0341,-38733000.0,43313000,0.3227,3.04,3.0,14184002,14385994,244674000.0,27263000.0,271937000.0,22275000.0,10145000.0,32688000.0,337045000.0,8340000.0,0.0,82521000.0,82521000.0,4080000.0,76342000.0,325000.0,171608000.0,0.0,508653000.0,9134000.0,0.0,61875000.0,3041000.0,144682000.0,156857000.0,0.0,12475000.0,0.0,201905000.0,214380000.0,0.0,0.0,371237000.0,0.0,221124000.0,-84048000.0,-7000.0,347000.0,137416000.0,508653000.0,0.0,508653000.0,43313000,6161000.0,-103202000.0,6109000.0,121602000.0,-7838000.0,4266000.0,10833000.0,180188000.0,-64229000,9754000.0,-1962000.0,-52725000.0,-37746000.0,54397000.0,-150000.0,-38036000.0,0.0,3727000.0,0.0,0.0,240153000.0,243880000.0,0.0,215598000.0,244674000.0,29076000.0,7792000.0,26.06,27.06,27.06,2384137.5,0,0,27.06
2014,390363000,15146000.0,375217000,0.9612,7116000.0,121126000,10161000.0,138403000,153549000,215000.0,23921000.0,12025000.0,249054000,0.638,236814000,0.6067,-23706000.0,213108000.0,0.5459,81346000.0,131762000,0.3375,9.04,8.2,14573250,16576750,488668000.0,70773000.0,559441000.0,32108000.0,8456000.0,17615000.0,617620000.0,7055000.0,0.0,72300000.0,72300000.0,6961000.0,0.0,7068000.0,93384000.0,0.0,711004000.0,1278000.0,0.0,0.0,0.0,56221000.0,57499000.0,229891000.0,0.0,32589000.0,26639000.0,289119000.0,0.0,0.0,346618000.0,0.0,239961000.0,47714000.0,-37000.0,76809000.0,364447000.0,711065000.0,-61000.0,711004000.0,131762000,12025000.0,87378000.0,8930000.0,379933000.0,-15453000.0,1689000.0,15076000.0,560121000.0,-675945000,-55917000.0,-599000.0,0.0,-73754000.0,27046000.0,0.0,-47307000.0,0.0,9803000.0,0.0,0.0,337415000.0,347218000.0,0.0,243994000.0,488668000.0,244674000.0,-56516000.0,56.2,57.02,57.02,4890750.0,0,0,57.02
