,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Open,Close,Adj Close,Volume,Dividend,Dividend Cum,Price with cum Dividends
1992,86700000,56200000,30500000,0.3518,0.0,20500000,2100000.0,22600000,78800000,0.0,0.0,2100000,10100000,0.1165,7900000,0.0911,100000,8000000,0.0923,3100000,4900000,0.0565,0.12,0.12,42382655,42382655,8400000,0.0,8400000,1100000,9600000,700000,19800000,8300000,0.0,0.0,0.0,0.0,0.0,1400000.0,9700000,0.0,29500000,5300000,0.0,0.0,0.0,4700000,10000000,0.0,0.0,0.0,-100000.0,-100000.0,0.0,0.0,9900000,0.0,0.0,19300000,-6500000.0,6800000,19600000,29500000,0.0,29500000,4900000,2100000,0.0,0.0,1300000.0,0.0,-1100000,0.0,24600000,3200000,11500000,-5300000,0.0,0.0,0.0,-200000,-5500000,0.0,0.0,0.0,0.0,-2500000.0,-2500000.0,-6000000.0,-2500000.0,2400000.0,4900000,6200000,2.29,2.74,0.6599999999999999,3577999.0,0.0,0.0,0.6599999999999999
1993,112900000,71700000,41200000,0.3649,0.0,26400000,2900000.0,29300000,101000000,0.0,0.0,2900000,15000000,0.1329,11900000,0.1054,200000,12100000,0.1072,4200000,7900000,0.07,0.17,0.17,46752939,46752939,16100000,0.0,16100000,900000,11000000,7100000,35100000,13700000,0.0,0.0,0.0,0.0,0.0,0.0,13700000,0.0,48800000,3800000,0.0,0.0,0.0,6700000,10500000,0.0,,100000.0,0.0,,0.0,0.0,10500000,0.0,0.0,13800000,-8300000.0,32800000,38300000,48800000,0.0,48800000,7900000,2900000,0.0,0.0,-1100000.0,0.0,-1400000,0.0,23500000,1200000,10900000,-8500000,0.0,-6600000.0,0.0,1400000,-13700000,0.0,24200000.0,0.0,0.0,-13700000.0,10500000.0,2800000.0,10500000.0,18900000.0,8400000,2400000,2.6950000000000003,2.54,0.61,2565985.0,0.0,0.0,0.61
1994,129600000,84900000,44700000,0.3449,0.0,29400000,4200000.0,33600000,118500000,0.0,0.0,4200000,15800000,0.1219,11100000,0.0856,500000,11600000,0.0895,4400000,7200000,0.0556,0.16,0.15,46262583,47623247,12500000,0.0,12500000,1000000,12900000,6700000,33100000,21100000,0.0,0.0,0.0,0.0,0.0,200000.0,21300000,0.0,54400000,3100000,0.0,0.0,0.0,6500000,9600000,0.0,0.0,200000.0,,200000.0,0.0,0.0,9800000,0.0,0.0,21000000,-11800000.0,35400000,44600000,54400000,0.0,54400000,7200000,4200000,100000.0,0.0,5200000.0,0.0,-1900000,0.0,28700000,-8000000,8700000,-11900000,0.0,-25600000.0,24200000.0,1900000,-11400000,0.0,0.0,-900000.0,0.0,0.0,-900000.0,2700000.0,-900000.0,15200000.0,16100000,-3200000,2.17,2.08,0.5,1021692.5,0.0,0.0,0.5
1995,145000000,95500000,49500000,0.3414,0.0,32700000,5100000.0,37800000,133300000,0.0,0.0,5100000,17400000,0.12,11700000,0.0807,600000,12300000,0.0848,4600000,7700000,0.0531,0.16,0.16,46800924,46800924,19500000,0.0,19500000,1000000,17000000,4100000,41600000,23100000,0.0,0.0,0.0,0.0,0.0,400000.0,23500000,0.0,65100000,6000000,0.0,0.0,0.0,6900000,12900000,0.0,0.0,400000.0,,400000.0,0.0,0.0,13300000,0.0,0.0,28700000,-16400000.0,39500000,51800000,65100000,0.0,65100000,7700000,5100000,100000.0,0.0,9000000.0,0.0,-4100000,0.0,37700000,-9700000,12200000,-7300000,0.0,-3900000.0,6600000.0,-100000,-4700000,0.0,0.0,-500000.0,0.0,0.0,-500000.0,-7500000.0,-500000.0,12000000.0,12500000,4900000,2.285,2.33,0.565,824336.0,0.0,0.0,0.565
1996,172300000,112900000,59400000,0.3447,0.0,39300000,5400000.0,44700000,157600000,0.0,0.0,5400000,21300000,0.1236,14700000,0.0853,1200000,15900000,0.0923,6100000,9800000,0.0569,0.21,0.21,45914543,46891448,22500000,0.0,22500000,1000000,27100000,6700000,57300000,23900000,0.0,0.0,0.0,0.0,0.0,500000.0,24400000,0.0,81700000,8700000,0.0,0.0,0.0,10900000,19600000,0.0,0.0,500000.0,,500000.0,0.0,0.0,20100000,0.0,0.0,38600000,-21400000.0,44400000,61600000,81700000,0.0,81700000,9800000,5400000,-400000.0,0.0,17200000.0,0.0,-10100000,0.0,54900000,-20400000,11600000,-6200000,0.0,-5100000.0,2800000.0,-100000,-8600000,0.0,100000.0,-100000.0,0.0,,,0.0,,,19500000,5400000,4.055,4.005,0.965,3182597.0,0.43399,0.43399,1.39899
1997,206400000,135100000,71300000,0.3454,0.0,45500000,5300000.0,50800000,185900000,0.0,0.0,5300000,26900000,0.1303,20500000,0.0993,1100000,21600000,0.1047,8000000,13600000,0.0659,0.29,0.28,47029857,48522906,35500000,0.0,35500000,1400000,31100000,10400000,78400000,23000000,0.0,0.0,0.0,0.0,0.0,600000.0,23600000,0.0,102000000,9400000,0.0,0.0,0.0,14100000,23500000,0.0,0.0,500000.0,,500000.0,0.0,0.0,24000000,0.0,0.0,52200000,-26300000.0,52100000,78000000,102000000,0.0,102000000,13600000,5300000,200000.0,0.0,23000000.0,0.0,-4000000,0.0,77900000,-23600000,18500000,-4500000,0.0,-6800000.0,3800000.0,-100000,-7600000,0.0,2000000.0,0.0,0.0,0.0,2000000.0,-10900000.0,2000000.0,24500000.0,22500000,14000000,6.415,6.69,1.83,1947645.5,0.0,0.43399,2.26399
1998,267900000,169100000,98800000,0.3688,0.0,57800000,5300000.0,63100000,232200000,0.0,0.0,5300000,42700000,0.1594,35700000,0.1333,1700000,37400000,0.1396,14100000,23300000,0.087,0.49,0.47,47659091,50087580,53600000,0.0,53600000,2100000,42300000,16500000,114500000,29400000,0.0,0.0,0.0,0.0,0.0,900000.0,30300000,0.0,144800000,17200000,0.0,0.0,0.0,19400000,36600000,0.0,0.0,400000.0,-100000.0,300000.0,0.0,0.0,36900000,0.0,0.0,75500000,-29700000.0,62100000,107900000,144800000,0.0,144800000,23300000,5300000,-200000.0,0.0,26100000.0,0.0,-11200000,0.0,104000000,-22000000,32500000,-12100000,0.0,-11400000.0,5900000.0,-200000,-17800000,0.0,3400000.0,0.0,0.0,0.0,3400000.0,-14700000.0,3400000.0,38900000.0,35500000,20400000,10.66,10.795,2.96,3580363.5,0.0,0.43399,3.39399
1999,337900000,209500000,128400000,0.38,0.0,69400000,7200000.0,76600000,286100000,0.0,0.0,7200000,61300000,0.1814,51800000,0.1533,2300000,54100000,0.1601,20100000,34000000,0.1006,0.69,0.65,49305517,51988801,61700000,0.0,61700000,4000000,49400000,28900000,144000000,39200000,0.0,0.0,0.0,0.0,0.0,2900000.0,42100000,0.0,186100000,16800000,0.0,0.0,0.0,23200000,40000000,0.0,,0.0,0.0,,0.0,0.0,40000000,0.0,0.0,109500000,-34800000.0,71400000,146100000,186100000,0.0,186100000,34000000,7200000,-800000.0,0.0,3582000.0,0.0,-7100000,0.0,107582000,-5482000,38500000,-17100000,0.0,-22900000.0,10200000.0,-1100000,-30900000,0.0,2500000.0,-1900000.0,0.0,-100000.0,500000.0,-7600000.0,500000.0,54100000.0,53600000,21400000,10.495,9.95,2.725,3984581.5,0.0,0.43399,3.15899
2000,375526000,233629000,141897000,0.3779,0.0,74977000,9888000.0,84865000,318494000,0.0,0.0,9888000,69384000,0.1848,57032000,0.1519,2464000,59496000,0.1584,22110000,37386000,0.0996,0.77,0.73,46586901,46586901,37205000,44359000.0,81564000,3430000,55045000,2387000,142426000,53567000,0.0,0.0,0.0,0.0,0.0,2553000.0,56120000,0.0,198546000,15773000,0.0,0.0,0.0,19071000,34844000,0.0,0.0,0.0,442000.0,442000.0,0.0,0.0,35286000,0.0,207000.0,146920000,-38168000.0,54301000,163260000,198546000,0.0,198546000,37386000,9888000,-545000.0,0.0,28254000.0,0.0,-5634000,0.0,135836000,-34046000,40937000,-24963000,0.0,-33150000.0,15150000.0,693000,-42270000,0.0,1076000.0,-24243000.0,0.0,0.0,-23167000.0,0.0,-24500000.0,37205000.0,61705000,15974000,6.1850000000000005,6.13,1.6800000000000002,2094194.5,0.0,0.43399,2.1139900000000003
2001,393247000,250450000,142797000,0.3631,0.0,80000000,0.0,80000000,330450000,0.0,0.0,11867000,66558000,0.1693,51101000,0.1299,3860000,54961000,0.1398,20164000,34527000,0.0878,0.75,0.72,46212744,46212744,69155000,39245000.0,108400000,2068000,54392000,6593000,171453000,56081000,0.0,0.0,0.0,0.0,0.0,2999000.0,59080000,0.0,230533000,13703000,0.0,0.0,0.0,21914000,35617000,0.0,0.0,0.0,850000.0,850000.0,0.0,0.0,36467000,0.0,204000.0,181447000,-47605000.0,60020000,194066000,230533000,0.0,230533000,34527000,11867000,-296000.0,0.0,41075000.0,0.0,1693000,0.0,176911000,-39972000,47201000,-14690000,0.0,-19551000.0,25044000.0,-236000,-9433000,0.0,1487000.0,-7305000.0,0.0,0.0,-5818000.0,0.0,31950000.0,69155000.0,37205000,32511000,8.2,8.39,2.3,1267092.0,0.0,0.43399,2.73399
